gppd_idnr,owner,lei
AUS0000477,AGL Energy,549300QAZ8A74DEDXO80
AUS0000416,International Power Pty Ltd,549300URVIMVNUT7QT37
AUS0000300,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000127,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000452,BHP Billiton,WZE1WSENV6JSZFK0JC28
AUS0000064,International Power - GDF Suez Australia,549300URVIMVNUT7QT37
AUS0000462,Rio Tinto Australia Pty Ltd,213800YOEO5OQ72G2R82
AUS0000270,Capral Ltd,5299001LIFP42ALG9922
AUS0000126,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000144,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000103,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000125,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000179,RATCH Australia,549300I8H73KQYHJXP77
AUS0000301,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000003,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000185,Rio Tinto Australia Pty Ltd,213800YOEO5OQ72G2R82
AUS0000156,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000321,Barrick Gold,0O4KBQCJZX82UKGCBV73
AUS0000109,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000136,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000233,Synergen Power,635400PCERYKASXR1H89
AUS0000084,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000306,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000135,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000275,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000418,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000143,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000331,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000303,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000454,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000250,TRUenergy,5493003UGD130PSN0V95
AUS0000453,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000419,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000145,CSR,549300TOGR54OMW2T093
AUS0000056,CSR,549300TOGR54OMW2T093
WRI1005192,Verbund,5299006UDSEJCTTEJS30
AUS0000159,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000088,Industry Funds Management Nominees Ltd Ecogen Holdings,5493002BVK0QI7KW7H93
AUS0000089,Industry Funds Management Nominees Ltd,5493002BVK0QI7KW7H93
AUS0000021,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000134,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000038,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000332,AGL,2138006IPPRD4N6XLT30
AUS0000209,Southern Cross Energy,549300355G8KIHLIIC84
AUS0000210,Southern Cross Energy,549300355G8KIHLIIC84
AUS0000161,Stanwell Corporation Ltd,254900AFLC58ODCNXV49
AUS0000211,Transfield Services Infrastructure Fund,549300OPTPV7U3E65F87
AUS0000055,Stanwell Corporation Ltd,254900AFLC58ODCNXV49
AUS0000190,Alcoa of Australia Ltd,213800ITOYEXT7GSDW08
AUS0000191,Synergy,213800MHKBQ3DW69AB26
AUS0000192,Synergy,213800MHKBQ3DW69AB26
AUS0000193,International Power Plc & Mitsui & Co Ltd & Transfield,549300URVIMVNUT7QT37
AUS0000244,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000124,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000491,FRV,724500WSGKH4UPJJGI67
WRI1005190,Verbund,5299006UDSEJCTTEJS30
AUS0000219,Barrick Gold of Australia,0O4KBQCJZX82UKGCBV73
AUS0000090,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000212,Southern Cross Energy,549300355G8KIHLIIC84
AUS0000132,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000123,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000091,TRUenergy,5493003UGD130PSN0V95
AUS0000131,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000338,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000075,IPM Australia Limited,549300R70U5N95ZQZX40
AUS0000417,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000493,Mackay Sugar Limited,WR8WCG2IUY8G3WAB5E75
AUS0000146,Stanwell Corporation Ltd,254900AFLC58ODCNXV49
AUS0000142,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000104,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000122,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000446,Stanwell Corporation,254900AFLC58ODCNXV49
AUS0000448,Silex Systems,5493003U7WMXGIEUEF14
AUS0000249,Synergen Power,635400PCERYKASXR1H89
