gppd_idnr,owner,lei
USA0054720,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054716,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054717,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054715,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054712,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054719,American Profol Incorporated,549300XCS8D0TRFUZ325
USA0054710,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054718,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054735,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054967,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054929,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0054968,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0056074,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0055996,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0056073,Industrial Energy Applications Inc,335800SVLTBUMJLQUY45
USA0007315,Turlock Irrigation District,5493001J7IGC81HEQJ12
USA0058659,Altus Power America Management  LLC,549300CBHROLFP6KC187
USA0058813,Alpaca Energy LLC,549300NT4ABD1U02ZC60
USA0058003,Consolidated Edison Development Inc.,54930033SBW53OO8T749
USA0058002,Consolidated Edison Development Inc.,54930033SBW53OO8T749
USA0059926,Wolverine Power Supply Coop,549300N75FC0CGVH5H29
USA0057295,NRG Solar Alpine,549300WC65YQJNS0VI74
USA0007818,Prairie Power  Inc,549300SHD1G74VN7L557
USA0000214,Pacific Gas & Electric Co.,1HNPXZSMMB7HMBMVBS46
USA0057282,NRG Yield LLC,549300LHAZ9HA9G3XC48
USA0057291,NRG Yield LLC,549300LHAZ9HA9G3XC48
USA0057292,NRG Yield LLC,549300LHAZ9HA9G3XC48
USA0057293,NRG Yield LLC,549300LHAZ9HA9G3XC48
USA0057294,NRG Yield LLC,549300LHAZ9HA9G3XC48
USA0057835,Brookfield Energy Marketing LP,5493005D5C6SQ84WHW11
USA0058394,NRG Yield LLC,549300LHAZ9HA9G3XC48
USA0058395,NRG Yield LLC,549300LHAZ9HA9G3XC48
USA0050571,WM Renewable Energy LLC,549300YX8JIID70NFS41
USA0010773,Virginia Electric & Power Co,CQKUMNNZVDJLRYV2PT43
USA0050485,Terra-Gen Operating Co LLC,5493005QIRJCOJYARG32
USA0054690,Amalgamated Sugar Co-Nampa,5493004MUK8XBTQD8755
USA0010504,The Amalgamated Sugar Co,5493004MUK8XBTQD8755
USA0061377,AES Distributed Energy,549300B6X5XDOGP5TL33
USA0059800,Bloom Energy,549300XB5J9BFW5JXV97
USA0056681,Industrial Power Generating Company LLC,743700LQ48IZBTZN4S52
USA0054212,American Crystal Sugar Co,549300HNGEIJRNKJGB32
USA0054213,American Crystal Sugar Co,549300HNGEIJRNKJGB32
USA0054214,American Crystal Sugar Co,549300HNGEIJRNKJGB32
USA0054210,American Crystal Sugar Co,549300HNGEIJRNKJGB32
USA0054211,American Crystal Sugar Co,549300HNGEIJRNKJGB32
USA0000809,Idaho Power Co,TN0LL73P2C8X3W6KM391
USA0054630,Eagle Materials Co LLC,529900KRXRGXL61SG039
USA0058185,Amherst College,54930006RLCW4GRNOC04
USA0058044,Acciona Energy USA Global  LLC,549300HAGXDU1CZ6LK34
USA0008048,Duke Energy Florida  LLC,I1BZKREC126H0VB1BL91
USA0007336,Indiana Municipal Power Agency,AX0ZCCVOQ71Z4RXBL233
USA0056138,MidAmerican Energy Co,NINLOILYRTLIMK26MZ18
USA0010553,Anderson Power Products,549300B6WUECKLMI2G78
USA0006395,U S Bureau of Reclamation,254900HROIFWPRGM1V77
USA0056121,South Carolina Public Service Authority,2549007RZ1SV42YTM053
USA0058939,BayWa r.e Wind LLC,5493004MWLJOSUH4MS95
USA0058940,BayWa r.e Wind LLC,5493004MWLJOSUH4MS95
USA0059497,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0001480,Brookfield White Pine Hydro LLC,549300PWT6AGJLL4SE95
USA0055031,Verso Paper Androscoggin LLC,549300FODXCTQ8DGT594
USA0054085,Verso Paper Androscoggin LLC,549300FODXCTQ8DGT594
USA0058731,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0058867,Angier Farm LLC,549300CKEBYPFXQSP368
USA0007237,Northern States Power Co - Minnesota,OOVRSRHKQSBLKRB7QM17
USA0059331,Foundation CA Fund VII Manager  LLC,2549000ISKL3OP5JUK41
USA0010431,Anheuser-Busch Inc,5493002J2SVENP0PVK27
USA0010430,Anheuser-Busch Inc,5493002J2SVENP0PVK27
USA0060520,Enel Green Power NA  Inc.,549300VLR4TEG8VILM36
USA0010186,Eagle Creek RE LLC,549300SMRU3K38R6SJ11
USA0059495,GRE 314 East Lyme LLC,549300NJ7IIK2FJRZF84
USA0060279,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0060186,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0060187,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0057865,Golden Spread Electric Cooperative  Inc,5493007UJR2NMSZPGP02
USA0006469,Basin Electric Power Coop,5493002CLOJ5KYT5GB16
USA0003394,Tennessee Valley Authority,549300HE1ISW43LNKM54
USA0058489,Southern Power Co,5LADC78JBG2BMZD5XF57
USA0059557,Apple  Inc,HWUPKR0MPOU8FGXBT394
USA0059473,Apple  Inc,HWUPKR0MPOU8FGXBT394
USA0058264,Apple  Inc,HWUPKR0MPOU8FGXBT394
USA0058701,Apple  Inc,HWUPKR0MPOU8FGXBT394
USA0057994,Apple  Inc,HWUPKR0MPOU8FGXBT394
USA0059474,Apple  Inc,HWUPKR0MPOU8FGXBT394
USA0058828,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0006231,Northern States Power Co - Minnesota,OOVRSRHKQSBLKRB7QM17
USA0004043,Wisconsin Electric Power Co,AENKIFMULUAWOUU8Q584
USA0057280,Aqua America Inc,549300ILTEOF3E3QY357
USA0010864,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0010860,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0057046,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0010865,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0010861,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0010862,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0010863,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0010866,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0054316,Archer Daniels Midland Co,549300LO13MQ9HYSTR83
USA0058199,NRG Energy Center Phoenix LLC,5E2UPK5SW04M13XY7I38
USA0057765,Main Street Power,549300B6X5XDOGP5TL33
USA0058192,Arkalon Ethanol LLC,549300B4Z7VDT0MQR648
USA0008055,Entergy Arkansas Inc,549300A0I5ONUIFMLP35
USA0055282,Arlington Valley LLC,5493007XRR5KZ7E75Y40
USA0057680,Arlington Valley Solar Energy II LLC,549300S1FJX3N7DIU875
USA0055347,Armstrong Power LLC,549300032M6ZLF8KWQ79
USA0003995,Renewable World Energies LLC,5493000HGLPFKDYICD39
USA0001416,Southwestern Electric Power Co,R64UBJHEC74EB3HGQ410
USA0007512,City of San Antonio - (TX),5493002G2FEH20Q4GQ04
USA0008028,Basin Electric Power Coop,5493002CLOJ5KYT5GB16
USA0000688,City of Tallahassee - (FL),549300MPY4HDPK8B1G15
USA0002076,Empire District Electric Co,SODDIORBUCWXMHSFJ978
USA0010418,Ascend Performance Materials,549300NIMFUIRMMAGQ29
USA0003708,Green Mountain Power Corp,549300GXFVX0SC256V06
USA0054104,Domtar Industries Inc,XYSIJOU3HNVROZWNA008
USA0002706,Duke Energy Progress - (NC),0NIFZ782LS46WOC9QK20
USA0057032,Otter Tail Power Co,549300HHVBQRQUVKKD91
USA0057121,Ashtabula Wind II LLC,549300NB1U5Z63IDTH65
USA0057387,Ashtabula Wind III LLC,549300G5OA65NBB7LK64
USA0000825,PacifiCorp,SGY07Y7FNYBNLM6Z1M11
USA0059737,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0055375,Astoria Energy LLC,549300BXD26J7I0IPB62
USA0057664,Astoria Energy II LLC,549300BXD26J7I0IPB62
USA0055526,TX LFG Energy  LP,549300NZ25CKMJ25Q847
USA0055405,New Athens Generating Company LLC,549300H0282F5FK7S788
USA0055220,Entergy Mississippi Inc,54930043I78H35DVVW89
USA0060521,Enel Green Power NA  Inc.,549300VLR4TEG8VILM36
USA0059414,Consolidated Edison Development Inc.,54930033SBW53OO8T749
USA0057636,City of Auburn  New York,5493003LQLEW71O29M44
USA0008009,New York State Elec & Gas Corp,549300GEC6J0YHUXA160
USA0055234,Union Electric Co - (MO),QMPJLLDULY5C1M8PNY21
USA0001261,City of Augusta - (KS),549300KQE3J1ELKCEL58
USA0006791,City of Augusta - (KS),549300KQE3J1ELKCEL58
USA0055279,Aurora Generation LLC,54930021BLDBHHCIMD40
USA0000079,Aurora Energy LLC,549300F5KEDOXO4MIT14
USA0003594,Lower Colorado River Authority,549300QJFPW2NNBYR215
USA0056524,WM Renewable Energy LLC,549300YX8JIID70NFS41
USA0060634,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0057359,Avenal Solar Holdings LLC,5493009RZNGCWO8XQX33
USA0007854,City of Rock Falls - (IL),549300IDMJM5N10TI384
USA0000624,Duke Energy Florida  LLC,I1BZKREC126H0VB1BL91
USA0057657,NRG Solar Avra Valley,549300WC65YQJNS0VI74
USA0050491,Westlake Chemical Natrium Plant,GOXNEVUM0LL78B1OS344
USA0055051,Axiall Corp,549300K8M2QESPXVQF07
USA0058792,CD Global Solar Holdings  LLC,5493002PIB2NOX34F862
USA0058482,Dominion Renewable Energy,ILUL7B6Z54MRYCF6H308
USA0050999,Brookfield White Pine Hydro LLC,549300PWT6AGJLL4SE95
USA0006449,City of Pasadena - (CA),5493007ZF3ZMBUWLWB58
USA0050200,B Braun Medical Inc,529900LELICV8B499A06
USA0002378,RC Cape May Holdings LLC,549300QLD6RRUP6KTZ36
USA0055311,BASF Corporation,5299001GGZ10MYVHUA31
USA0058093,Bed Bath & Beyond,529900ZBUWWUV7BKGX39
USA0057847,BC Landfill Energy LLC,254900AM26M8CAV7WL55
USA0059930,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0054392,WM Renewable Energy LLC,549300YX8JIID70NFS41
USA0060116,Tesla Inc.,54930043XZGB27CTOV49
USA0060227,Tesla Inc.,54930043XZGB27CTOV49
USA0061313,MC Power Companies Inc,213800EI2RH785UFWG67
USA0059993,Florida Power & Light Co,A89MY1K3YLIGJMYWVX50
USA0007125,Duke Energy Carolinas  LLC,MWIUSDMN17TCR56VW396
USA0057927,Avangrid Renewables LLC,AH2OTHU2TT1C21ROXH10
USA0061527,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0061519,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0000217,Pacific Gas & Electric Co.,1HNPXZSMMB7HMBMVBS46
USA0000218,Pacific Gas & Electric Co.,1HNPXZSMMB7HMBMVBS46
USA0057882,Portland General Electric Co,GJOUP9M7C39GLSK9R870
USA0000889,Dynegy Midwest Generation Inc,HXKO75SOOZ4EHTG5PV61
USA0059040,Blue Heron Hydro LLC,549300IAC14OWOI4QO78
USA0061205,SoCore Energy LLC,LAXUQCHT4FH58LRZDY46
USA0000002,Alabama Power Co,0RL818ELFOHP5JHOFU19
USA0001481,Brookfield White Pine Hydro LLC,549300PWT6AGJLL4SE95
USA0008030,Basin Electric Power Coop,5493002CLOJ5KYT5GB16
USA0010735,Fulcrum Inc,254900K9H5ZXZHI0U810
USA0058710,First Solar Asset Management,549300NPYMLM4NHTOF27
USA0061194,Soltage LLC,549300RASN7V3KR4UI19
USA0004939,Topaz Power Group GP II  LLC,549300H8PMT8TQ6JNZ19
USA0060782,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0059766,Kearsarge Solar LLC,549300QNH1K8530H4N10
USA0056474,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000003,Alabama Power Co,0RL818ELFOHP5JHOFU19
USA0000702,Georgia Power Co,D981X4Z4RWS7PDMJUZ03
USA0057156,Avangrid Renewables LLC,AH2OTHU2TT1C21ROXH10
USA0056765,Avangrid Renewables LLC,AH2OTHU2TT1C21ROXH10
USA0054593,Seneca Power Partners LP,549300KEZ5B5DYBH0K10
USA0055063,Cooperative Energy,549300UYU2TZHSS7GI39
USA0006167,Virginia Electric & Power Co,CQKUMNNZVDJLRYV2PT43
USA0057583,Golden Valley Elec Assn Inc,549300GVQO0R4UJILB30
USA0060369,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0059038,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0056277,East Kentucky Power Coop  Inc,7NUG80E5OSRJXHJL2M92
USA0002050,Entergy Mississippi Inc,54930043I78H35DVVW89
USA0003982,Northern States Power Co - Minnesota,OOVRSRHKQSBLKRB7QM17
USA0058048,BayWa r.e Wind LLC,5493004MWLJOSUH4MS95
USA0000627,Duke Energy Florida  LLC,I1BZKREC126H0VB1BL91
USA0061528,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0056964,Bayonne Energy Center LLC,54930011FOZUNGHGHM74
USA0010298,Air Liquide Large Industries U S LP,5299003TOFEKE3T0ZD68
USA0060481,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0060474,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0060475,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0056294,Phillips 66,5493005JBO5YSIGK1814
USA0059309,CD Global Solar Holdings  LLC,5493002PIB2NOX34F862
USA0059308,CD Global Solar Holdings  LLC,5493002PIB2NOX34F862
USA0002741,Duke Energy Carolinas  LLC,MWIUSDMN17TCR56VW396
USA0061351,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0056807,Virginia Electric & Power Co,CQKUMNNZVDJLRYV2PT43
USA0008005,Bear Swamp Power Company LLC,549300SJ0DNMT1B5DY80
USA0056346,Golden State Water Company,549300HGBYL24QM6KT27
USA0002543,Erie Boulevard Hydropower LP,549300G3R9Y421V15508
USA0008000,Nebraska Public Power District,5493001J0BLQRMOJKP23
USA0059887,Capital Power Corporation,549300QRKTEXGXYVPO80
USA0008073,Portland General Electric Co,GJOUP9M7C39GLSK9R870
USA0055278,Devon Energy Production Co,54930042348RKR3ZPN35
USA0061079,MidAmerican Energy Co,NINLOILYRTLIMK26MZ18
USA0058811,Beaver Dam Energy LLC,549300T8SPSMT3FOB549
USA0007831,Great Lakes Energy Coop,549300UQYOTFF0A0V067
USA0058096,Bed Bath & Beyond,529900ZBUWWUV7BKGX39
USA0010531,Erie Boulevard Hydropower LP,549300G3R9Y421V15508
USA0059511,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0060653,Altus Power America Management  LLC,549300CBHROLFP6KC187
USA0000219,Pacific Gas & Electric Co.,1HNPXZSMMB7HMBMVBS46
USA0006451,Green Mountain Power Corp,549300GXFVX0SC256V06
USA0008042,Duke Energy Carolinas  LLC,MWIUSDMN17TCR56VW396
USA0002544,Erie Boulevard Hydropower LP,549300G3R9Y421V15508
USA0060234,Old Dominion Electric Coop,SW4VC32Z0ZKLJKPONQ50
USA0006034,DTE Electric Company,9N0FWODEJVKHC2DYLO03
USA0006150,Tennessee Valley Authority,549300HE1ISW43LNKM54
USA0001126,City of Bellevue - (IA),549300KRKQE0NF2MSP79
USA0057372,EDF Renewable Asset Holdings  Inc.,549300X3UK4GG3FNMO06
USA0010307,Northeast Energy Associates LP,XOISJEJUNG3FDJHIO374
USA0058403,WGL Energy Systems  Inc,549300D7A8QA85Z2MH11
USA0050966,Virginia Electric & Power Co,CQKUMNNZVDJLRYV2PT43
USA0003745,Great River Hydro  LLC,2549001VQQK5NTFNMG76
USA0058314,Belwood Farm LLC,549300Y5FPOUJ81TC379
USA0003325,Black Hills Power  Inc. d/b/a,549300WSKCZZU2LB2X28
USA0006484,PacifiCorp,SGY07Y7FNYBNLM6Z1M11
USA0002068,Cooperative Energy,549300UYU2TZHSS7GI39
USA0055733,Idaho Power Co,TN0LL73P2C8X3W6KM391
USA0002545,Erie Boulevard Hydropower LP,549300G3R9Y421V15508
USA0057198,Wisconsin Power & Light Co,JWBYHVQVMY66CVCOSO49
USA0010287,Terra-Gen Operating Company,5493005QIRJCOJYARG32
USA0058890,Perpetual Energy Systems,549300L37VJWNG2OCH14
USA0057945,South Carolina Public Service Authority,2549007RZ1SV42YTM053
USA0058871,SunEdison LLC,5493004W8FBXFVSWVZ87
USA0055041,Berkshire Power Co LLC,549300KFEXKTIV9WS085
USA0003734,Green Mountain Power Corp,549300GXFVX0SC256V06
USA0054639,Great Lakes Hydro America LLC,549300PVAFQ11PUKCZ64
USA0056069,WM Renewable Energy LLC,549300YX8JIID70NFS41
USA0001753,Indiana Michigan Power Co,JHR9V15J0ZRG02MIRD06
USA0050170,Berry Petroleum Co,DQ2XTZKV7SILNNV77403
USA0050622,Berry Petroleum Co,DQ2XTZKV7SILNNV77403
USA0052096,Berry Petroleum Co,DQ2XTZKV7SILNNV77403
USA0059097,Marina Energy LLC,549300GNF170H3Y1WT94
USA0060414,Southern Power Co,5LADC78JBG2BMZD5XF57
USA0059039,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0000645,Tampa Electric Co,WS423EPRKJIIJUITXD73
USA0003497,Luminant Generation Company LLC,549300FLGTCZR4C2RX49
USA0003074,USACE Northwestern Division,254900HROIFWPRGM1V77
USA0000317,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000318,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000322,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000319,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000320,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000321,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0003983,Northern States Power Co - Minnesota,OOVRSRHKQSBLKRB7QM17
USA0006459,PacifiCorp,SGY07Y7FNYBNLM6Z1M11
USA0057319,Avangrid Renewables LLC,AH2OTHU2TT1C21ROXH10
USA0056361,Avangrid Renewables LLC,AH2OTHU2TT1C21ROXH10
USA0007821,Wisconsin Electric Power Co,AENKIFMULUAWOUU8Q584
USA0007820,Wisconsin Electric Power Co,AENKIFMULUAWOUU8Q584
USA0060130,Devon Energy Production Co,54930042348RKR3ZPN35
USA0001353,Kentucky Power Co,JHOZYZ5WPEXWR477VH72
USA0054979,Terra-Gen Operating Co LLC,5493005QIRJCOJYARG32
USA0006098,Otter Tail Power Co,549300HHVBQRQUVKKD91
USA0000515,U S Bureau of Reclamation,254900HROIFWPRGM1V77
USA0056485,Portland General Electric Co,GJOUP9M7C39GLSK9R870
USA0061271,The Biltmore Company,222100JMKYE5LDL29526
USA0054296,Biola University,549300ZXYXFMJ2ZEMH56
USA0059035,Green Energy Team LLC,635400JSMJVCGH3QSJ46
USA0054304,Birchwood Power Partners LP,549300NWFGMLDJV30P05
USA0001224,Midwest Energy Inc,549300O4B5CVWMKUES27
USA0003971,Consolidated Water Power Co,5299001BMEW8X9VIJA73
USA0010234,Catalyst Paper - Biron Mill,549300XC9E3MQMOFK383
USA0058667,Sustainable Power Group  LLC,549300FQYD70FNIEOD41
USA0000323,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000324,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000325,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000326,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0000327,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0057463,SunEdison LLC,5493004W8FBXFVSWVZ87
USA0058111,Bishop Hill Energy II  LLC,5493008B3G0HOCRDLZ30
USA0057800,ALLETE  Inc.,549300NNLSIMY6Z8OT86
USA0057801,ALLETE  Inc.,549300NNLSIMY6Z8OT86
USA0058872,ALLETE  Inc.,549300NNLSIMY6Z8OT86
USA0057038,ALLETE  Inc.,549300NNLSIMY6Z8OT86
USA0060401,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0061158,CD Global Solar Holdings  LLC,5493002PIB2NOX34F862
USA0007229,City of Santa Clara - (CA),5493006XV9S6LSLH1666
USA0006396,U S Bureau of Reclamation,254900HROIFWPRGM1V77
USA0058150,PacifiCorp,SGY07Y7FNYBNLM6Z1M11
USA0001904,Northern States Power Co - Minnesota,OOVRSRHKQSBLKRB7QM17
USA0061336,Enerparc Inc.,529900U3NR8283GLI469
USA0056482,UNS Electric  Inc,0HHVF3BMNBQCDE68YY36
USA0058042,Black Mountain Solar LLC,549300VFLK5CZYMR6626
USA0058692,Black Oak Wind  LLC,549300LRQMP4X78BA442
USA0002546,Erie Boulevard Hydropower LP,549300G3R9Y421V15508
USA0056090,Bridge Energy LLC,5493005PKQLI8PI2DQ67
USA0057113,Blackstone Wind Farm II LLC,549300RDNEPC8I3GNY98
USA0057110,Blackstone Wind Farm LLC,549300RDNEPC8I3GNY98
USA0061561,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0061283,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0002547,Erie Boulevard Hydropower LP,549300G3R9Y421V15508
USA0001892,ALLETE  Inc.,549300NNLSIMY6Z8OT86
USA0002707,Duke Energy Progress - (NC),0NIFZ782LS46WOC9QK20
USA0000810,Idaho Power Co,TN0LL73P2C8X3W6KM391
USA0058035,Deepwater Wind Block Island LLC,5493003Q833NHYPPD493
USA0007767,City of St George,5493000P9OIY2JDS4K57
USA0003120,NRG REMA LLC,WCZ0QIZ6GE2F8LROPC92
USA0003992,Madison Gas & Electric Co,549300BYWGHSXX2TEO67
USA0056081,Blue Canyon Windpower LLC,213800ZJ41Z5CYZFKQ87
USA0056335,Blue Canyon Windpower II LLC,213800ZJ41Z5CYZFKQ87
USA0057108,Blue Canyon Windpower V LLC,213800ZJ41Z5CYZFKQ87
USA0057616,Blue Canyon Windpower VI LLC,213800ZJ41Z5CYZFKQ87
USA0057449,Avangrid Renewables LLC,AH2OTHU2TT1C21ROXH10
USA0008027,Northern States Power Co - Minnesota,OOVRSRHKQSBLKRB7QM17
USA0010764,Blue Lake Power LLC,254900RJPKMS8MQQ1E78
USA0060632,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0000512,U S Bureau of Reclamation,254900HROIFWPRGM1V77
USA0058130,Blue Mountain Biogas LLC,5493002PIW95QYB52864
USA0000757,Tennessee Valley Authority,549300HE1ISW43LNKM54
USA0056391,Wisconsin Electric Power Co,AENKIFMULUAWOUU8Q584
USA0060690,Blue Summit Storage  LLC,2138001YFNIM2HDA1W96
USA0058372,Blue Summit Wind LLC,2138001YFNIM2HDA1W96
USA0002132,City of Independence - (MO),549300HMXF8NWY6JBE12
USA0057706,Blue Water Renewables Inc,254900QPKC469HYTN727
USA0058605,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0055164,East Kentucky Power Coop  Inc,7NUG80E5OSRJXHJL2M92
USA0000299,PacifiCorp,SGY07Y7FNYBNLM6Z1M11
USA0060093,Blythe Solar 110  LLC,549300MK00Y120330J69
USA0060092,Blythe Solar II  LLC,549300QHRXSMOZL2PZ14
USA0006106,Portland General Electric Co,GJOUP9M7C39GLSK9R870
USA0001603,City of Holyoke Gas and Electric Dept.,549300I9GWXX4SYOE358
USA0061157,CD Global Solar Holdings  LLC,5493002PIB2NOX34F862
USA0057974,EDF Renewable Asset Holdings  Inc.,549300X3UK4GG3FNMO06
USA0006397,U S Bureau of Reclamation,254900HROIFWPRGM1V77
USA0007056,Green Mountain Power Corp,549300GXFVX0SC256V06
USA0059014,Main Street Power,549300B6X5XDOGP5TL33
USA0058193,Bonanza BioEnergy LLC,549300HH4FP7ZXGYH750
USA0061352,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0003075,USACE Northwestern Division,254900HROIFWPRGM1V77
USA0001482,Brookfield White Pine Hydro LLC,549300PWT6AGJLL4SE95
USA0060413,Apple  Inc,HWUPKR0MPOU8FGXBT394
USA0003395,Tennessee Valley Authority,549300HE1ISW43LNKM54
USA0060734,Marina Energy LLC,549300GNF170H3Y1WT94
USA0059200,Northern States Power Co - Minnesota,OOVRSRHKQSBLKRB7QM17
USA0000328,Southern California Edison Co,9R1Z5I36FERIBVKW4P77
USA0050067,Sid Richardson Carbon Ltd,ITDG1KW0ZOULDDI2BP49
USA0057625,Bos Dairy  LLC,549300Q8U67ZWY3ZD841
USA0058807,Cypress Creek Renewables,549300GCHBQMSFNSXT55
USA0061186,Boston Medical Center,54930000C3BLYBHD3L38
USA0057992,Consolidated Edison Solutions Inc,54930033SBW53OO8T749
USA0008022,Avista Corp,Q0IK63NITJD6RJ47SW96
USA0060352,Southern Power Co,5LADC78JBG2BMZD5XF57
USA0000732,Georgia Power Co,D981X4Z4RWS7PDMJUZ03
USA0006433,City of Seattle - (WA),549300MKLOL3XDWPZT95
USA0000703,Georgia Power Co,D981X4Z4RWS7PDMJUZ03
USA0059461,Bowerman Power LFG  LLC,549300DBVHP7K2TMYU36
USA0000505,U S Bureau of Reclamation,254900HROIFWPRGM1V77
USA0055991,Ormat Nevada Inc,5493000TSHHWY24VHM09
USA0006190,Cleco Power LLC,TM1ZH54SJKLNHFCBFK92
USA0007131,City of Lubbock - (TX),549300I1QTL3QZV4BX74
USA0007846,JEA,5067009J4E6V96N95O60
USA0054832,KMC Thermo  LLC,549300TRG2TVZ9IBM879
USA0058994,NextEra Energy Resources Breckinridge,549300FJM21DWKFIDD87
USA0003796,Virginia Electric & Power Co,CQKUMNNZVDJLRYV2PT43
USA0060733,Marina Energy LLC,549300GNF170H3Y1WT94
USA0055042,Bridgeport Energy LLC,7Z038VO2U7XB74RQ6020
USA0058551,Dominion Renewable Energy,ILUL7B6Z54MRYCF6H308
USA0055053,EnLink Midstream Services  LLC,54930000GY1H533OBE23
USA0000568,PSEG Power Connecticut LLC,549300XOAXLD64PU8O31
USA0002719,Duke Energy Carolinas  LLC,MWIUSDMN17TCR56VW396
USA0010290,Bridgewater Power Co LP,549300A1X92J6UP5X807
USA0060730,Marina Energy LLC,549300GNF170H3Y1WT94
USA0059734,Capital Dynamics,9845005B436E043B1A69
USA0058947,Bristol-Myers Squibb Co,HLYYNH7UQUORYSJQCN42
USA0054829,Bristol-Myers Squibb Co,HLYYNH7UQUORYSJQCN42
USA0058948,Bristol-Myers Squibb Co,HLYYNH7UQUORYSJQCN42
USA0056911,UGI Development Co,54930031C3E2WIF0DJ27
USA0055166,Broad River Energy LLC,213800ZVJHTOKR3QL703
USA0061218,Soltage LLC,549300RASN7V3KR4UI19
USA0058465,BayWa r.e Wind LLC,5493004MWLJOSUH4MS95
USA0058464,BayWa r.e Wind LLC,5493004MWLJOSUH4MS95
USA0003772,Appalachian Power Co,3SCHO1ABYYIG382BEI70
USA0058981,Broken Bow Wind II  LLC,54930037SJGBS6ZDON17
USA0057593,NRG Energy Gas & Wind Holdings Inc,5E2UPK5SW04M13XY7I38
USA0058719,DTE Electric Company,9N0FWODEJVKHC2DYLO03
USA0056936,Erie Boulevard Hydropower LP,549300G3R9Y421V15508
USA0060613,Soltage LLC,549300RASN7V3KR4UI19
USA0057962,Consolidated Edison Development Inc.,54930033SBW53OO8T749
USA0001128,City of Brooklyn - (IA),549300SRSB2KMQNYBB75
USA0007922,City of Brooklyn - (IA),549300SRSB2KMQNYBB75
USA0054914,Brooklyn Navy Yard Cogen PLP,549300NHL7FF51448808
USA0060451,WGL Energy Systems  Inc,549300D7A8QA85Z2MH11
