country,name,gppd_idnr,wepp_location_id
AUS,Burrup Peninsula (Karratha Gas Plant),AUS0000181,1020937
AUS,Burrup Peninsula (Pluto Phase 1),AUS0000182,
AUS,Butlers Gorge,AUS0000127,1019008
AUS,CSIRO Energy Centre,AUS0000438,1002121
AUS,Callide A,AUS0000178,1010509
AUS,Callide B,AUS0000177,1010509
AUS,Callide C,AUS0000176,1010509
AUS,Camballin,AUS0000414,1030182
AUS,Canning Vale,AUS0000330,1067435
AUS,Cannington Mine,AUS0000452,1047647
AUS,Canunda Wind Farm,AUS0000064,1059723
AUS,Cape Bridgewater Wind Farm,AUS0000007,1078632
AUS,Cape Lambert,AUS0000462,1027524
AUS,Cape Nelson North Wind Farm,AUS0000112,
AUS,Cape Nelson South Wind Farm,AUS0000111,1055739
AUS,Cape Preston,AUS0000457,
AUS,Cape Sir William Grant Wind Farm,AUS0000110,
AUS,Capital Wind Farm,AUS0000047,1071422
AUS,Capral (Aluminium Smelter),AUS0000270,
AUS,Carnarvon,AUS0000386,1030183
AUS,Catagunya,AUS0000126,1019009
AUS,Cathedral Rocks Wind Farm,AUS0000063,1058286
AUS,Cawse Nickel Mine,AUS0000415,
AUS,Cethana,AUS0000144,1019010
AUS,Challicum Hills Wind Farm,AUS0000006,1040167
AUS,Channel Island,AUS0000261,1024439
AUS,Charlestown Square,AUS0000401,
AUS,Christmas Creek Iron Ore Mine,AUS0000221,1085168
AUS,Clayton,AUS0000083,1016472
AUS,Clements Gap Wind Farm,AUS0000025,1058035
AUS,Cloudbreak,AUS0000324,1085169
AUS,Clover,AUS0000103,1030164
AUS,Cluny,AUS0000125,1019011
AUS,Cockburn,AUS0000183,1055737
AUS,Codrington Wind Farm,AUS0000015,1045053
AUS,Collgar Wind Farm,AUS0000307,1081301
AUS,Collie (Bluewaters),AUS0000184,1062485
AUS,Collie A,AUS0000208,1030184
AUS,Collinsville,AUS0000179,1010512
AUS,Colongra,AUS0000271,1064734
AUS,Condamine A,AUS0000154,
AUS,Condong Sugar Mill,AUS0000263,
AUS,Copeton,AUS0000301,1019041
AUS,Coral Bay Diesel Backup,AUS0000351,1063760
AUS,Corio,AUS0000336,1016473
AUS,Crookwell Wind Farm,AUS0000046,
AUS,Cullerin Range Wind Farm,AUS0000003,1071870
AUS,Daandine,AUS0000155,1064609
AUS,Dampier,AUS0000185,1018123
AUS,Darling Downs,AUS0000156,1062112
AUS,Darlot Gold Mine,AUS0000321,1085198
AUS,Dartmouth (Mount Beauty Hydro Scheme),AUS0000109,
AUS,Denham Diesel Backup,AUS0000353,
AUS,Derby,AUS0000366,1058766
AUS,Devils Gate,AUS0000136,1019012
AUS,Diamantina,AUS0000459,1088740
AUS,Dry Creek,AUS0000233,1014351
AUS,EarthPower Biomass Plant,AUS0000272,
AUS,Eastern Creek,AUS0000045,1057464
AUS,Eastern Creek 2,AUS0000044,1054566
AUS,Eildon,AUS0000084,1030166
AUS,Eildon Small Hydro,AUS0000335,
AUS,Emu Downs Wind Farm,AUS0000043,1058036
AUS,Energy Brix,AUS0000085,
AUS,Eraring,AUS0000273,
AUS,Eraring,AUS0000306,1014204
AUS,Esperance,AUS0000186,1030191
AUS,Esperance Wind Farm Nine Mile Beach,AUS0000042,1055738
AUS,Esperance Wind Farm Ten Mile Lagoon,AUS0000391,1030193
AUS,Exmouth,AUS0000372,1030194
AUS,Fisher,AUS0000135,1019013
AUS,Fitzroy Crossing,AUS0000367,1030195
AUS,Gadara,AUS0000274,
AUS,Geraldton,AUS0000187,1030197
AUS,German Creek,AUS0000157,1053501
AUS,Gladstone,AUS0000158,1024521
AUS,Glenbawn,AUS0000275,1019042
AUS,Glennies Creek,AUS0000276,1071134
AUS,Glenorchy,AUS0000418,
AUS,Gordon,AUS0000143,1019014
AUS,Gosnells,AUS0000331,1061149
AUS,Grange Avenue,AUS0000041,1076063
AUS,Grasmere Wind Farm (Albany stage II),AUS0000309,
AUS,Greenough River Solar Farm,AUS0000474,1088216
AUS,Gunning,AUS0000040,1087733
AUS,Guthega,AUS0000303,1029077
AUS,Hallam Road,AUS0000077,1088652
AUS,Hallett,AUS0000250,1055702
AUS,Hallett 1 Brown Hill  Wind Farm,AUS0000022,1062649
AUS,Hallett 1 Brown Hill  Wind Farm,AUS0000453,1062649
AUS,Hallett 2 Hallet Hill  Wind Farm,AUS0000023,1071423
