name,fuel,match_name,match_id,,
P.COLOMBIA,Hydro,Porto Colômbia,BRA0002117,,
PORTO PEDRAS,Hydro,Porto das Pedras,BRA0028995,,
PORTO ESTRELA,Hydro,Porto Estrela,BRA0027196,,
P.PRIMAVERA,Hydro,Porto Primavera (Eng° Sérgio Motta),BRA0002127,,
PROMISSAO,Hydro,Promissão (Mário Lopes Leão),BRA0002158,,
U.QUEB.QUEIXO,Hydro,Quebra Queixo,BRA0002167,,
QUEIMADO,Hydro,Queimado,BRA0002176,,
PCH QUEIXADA,Hydro,Queixada,BRA0030272,,
RETIRO BAIXO,Hydro,Retiro Baixo,BRA0029457,,
RISOLETANEVES,Hydro,Risoleta Neves (Antiga Candonga),BRA0000641,,
CANDONGA,Hydro,Risoleta Neves (Antiga Candonga),BRA0000641,,
ROCHEDO,Hydro,Rochedo,BRA0002537,,
RONDON II,Hydro,Rondon II,BRA0027448,,
ROSAL,Hydro,Rosal,BRA0002553,,
ROSANA,Hydro,Rosana,BRA0002555,,
SA CARVALHO,Hydro,Sá Carvalho,BRA0002563,,
SALTO,Hydro,Salto,BRA0028203,,
PCH SAL.CURUA,Hydro,Salto Curuá,BRA0028672,,
S.R.VERDINHO,Hydro,Salto do Rio Verdinho,BRA0028760,,
SALTO GRANDE,Hydro,Salto Grande,BRA0027210,,
SALTO PILAO,Hydro,Salto Pilão,BRA0028564,,
U.S.SANTIAGO,Hydro,Salto Santiago,BRA0002672,,
UHE SAMUEL,Hydro,Samuel,BRA0002687,,
SANTA BRANCA,Hydro,Santa Branca,BRA0027447,,
SANTO ANTONIO,Hydro,Santo Antonio,BRA0030674,,
PCH S A CAIAPO,Hydro,Santo Antônio do Caiapó,BRA0029119,,
STO.ANT.JARI,Hydro,Santo Antônio do Jari,BRA0026792,,
SAO DOMINGOS,Hydro,São Domingos,BRA0028761,,
PCH SAO JOAO,Hydro,São João,BRA0026834,,
SAO JOAQUIM,Hydro,São Joaquim,BRA0027985,,
SAO JOSE,Hydro,São José,BRA0029459,,
SAO LOURENCO,Hydro,São Lourenço (Antiga Zé Fernando),BRA0028825,,
SAO SALVADOR,Hydro,São Salvador,BRA0028567,,
SAO SIMAO-US,Hydro,São Simão,BRA0002704,,
UHE S.DA MESA,Hydro,Serra da Mesa,BRA0002731,,
S.DO FACAO,Hydro,Serra do Facão,BRA0028355,,
SIMPLICIO,Hydro,Simplício,BRA0029458,,
U.SOBRADINHO,Hydro,Sobradinho,BRA0002755,,
SOBRAGI,Hydro,Sobragi,BRA0002757,,
PCH TAQUARA,Hydro,Taquara,BRA0031079,,
TAQUARUCU,Hydro,Taquaruçu (Escola Politécnica),BRA0002821,,
TELES PIRES,Hydro,Teles Pires,BRA0030557,,
TRES IRMAOS,Hydro,Três Irmãos,BRA0002873,,
TRES MARIAS,Hydro,Três Marias,BRA0027113,,
US.TUCURUI,Hydro,Tucuruí,BRA0002889,,
PCH VILHENA,Hydro,Vilhena,BRA0027862,,
VOLTA GRANDE,Hydro,Volta Grande,BRA0003045,,
USINA XINGO,Hydro,Xingó,BRA0027053,,
ITAIPU 50 HZ,Hydro,,,,
PCH CELTINS,Hydro,,,,
PCH CGRANDE,Hydro,,,,
PCH CHESF,Hydro,,,,
PCH CESP,Hydro,,,,
CONJUNTO HIDRELETRICO BOCA DO MONTE,Hydro,,,,
PCH IACIARA,Hydro,,,,
PCH JAURU-CEMAT,Hydro,,,,
PCH ESCELSA,Hydro,,,,
PCH CPFL,Hydro,,,,
FUNIL GRANDE,Hydro,,,,
PCH CEEE,Hydro,,,,
PCH S.GRANDE,Hydro,,,,
USINA PA-I,Hydro,,,,
U.ITA,Hydro,,,,
USINA PA-IV,Hydro,,,,
USINA PA-II,Hydro,,,,
PCH BLUMENAU,Hydro,,,,
PCH XANXERE,Hydro,,,,
PCH PBRANCO,Hydro,,,,
PCH JI-PARANA,Hydro,,,,
CONJUNTO HIDRELETRICO SANTA CABECA,Hydro,,,,
STA.CLARA-MG,Hydro,,,,
PCH NORTEMS,Hydro,,,,
PCH CURITIBA,Hydro,,,,
PCH CERJ,Hydro,,,,
PCH ENERSUL,Hydro,,,,
PCH COPEL,Hydro,,,,
PCH PFUNDO,Hydro,,,,
PCH COELBA,Hydro,,,,
JAGUARI,Hydro,,,,
PHAMPLA,Hydro,,,,
PCH RGE,Hydro,,,,
STA.CLARA PR,Hydro,,,,
PCH CELPA,Hydro,,,,
FUNIL,Hydro,,,,
US.MAUA,Hydro,,,,
PCH ENORTE,Hydro,,,,
USINA PA-III,Hydro,,,,
PCH CEB,Hydro,,,,
SALTO GRANDE CS,Hydro,,,,
PCH CELG,Hydro,,,,
CONJUNTO HIDRELETRICO BARREIRAS,Hydro,,,,
CONJUNTO HIDRELETRICO LAJEADO GRANDE,Hydro,,,,
PCH CELESC,Hydro,,,,
PCH EMAE,Hydro,,,,
PCH CEMAT,Hydro,,,,
PCHCESP,Hydro,,,,
PCH CERON,Hydro,,,,
PCH CEMIG,Hydro,,,,
U.S.OSORIO,Hydro,,,,
H.BORDEN EXT,Hydro,,,,
ANGRA,Thermal,Almirante Álvaro Alberto - Unidade I (Antiga Angra I),BRA0000100,Almirante Álvaro Alberto - Unidade II (Antiga Angra II),BRA0000101
ALTA MOGIANA,Thermal,Alta Mogiana,BRA0000060,,
ALTOS,Thermal,Altos,BRA0028538,,
UTE AMANDINA,Thermal,Amandina,BRA0030115,,
UTE APARECIDA,Thermal,Aparecida Parte I,BRA0035736,,
ARACATI,Thermal,Aracati,BRA0028531,,
U.ARAUCARIA,Thermal,Araucária,BRA0027733,,
CAMACARI POLO,Thermal,Arembepe (Antiga Camaçari Pólo de Apoio I),BRA0029555,,
UTE AREMBEPE,Thermal,Arembepe (Antiga Camaçari Pólo de Apoio I),BRA0029555,,
IBIRITE,Thermal,Aureliano Chaves (Antiga Ibirité),BRA0001096,,
UT.AUR.CHAVES,Thermal,Aureliano Chaves (Antiga Ibirité),BRA0001096,,
BAHIA I,Thermal,Bahia I - Camaçari,BRA0028615,,
B.FLUMINENSE,Thermal,Baixada Fluminense,BRA0030769,,
UT.ELETROBOLT,Thermal,Barbosa Lima Sobrinho (Antiga Eletrobolt),BRA0027952,,
B.L.SOBRINHO,Thermal,Barbosa Lima Sobrinho (Antiga Eletrobolt),BRA0027952,,
BATURITE,Thermal,Baturité,BRA0028529,,
BELO JARDIM,Thermal,Belo Jardim,BRA0030599,,
UTE BERNECK,Thermal,Berneck,BRA0029993,,
CONJUNTO TERMELETRICO BIOPAV,Thermal,Biopav II,BRA0030053,,
CONJUNTO TERMELETRICO CACHOEIRA DOURADA,Thermal,Cachoeira Dourada,BRA0000528,,
CACU I,Thermal,Caçú I,BRA0030025,,
US.CAMACARI,Thermal,Camaçari,BRA0027933,,
U.CAMACARI,Thermal,Camaçari,BRA0027933,,
UT.CAM.GRANDE,Thermal,Campina Grande,BRA0000612,,
CAMPO MAIOR,Thermal,Campo Maior,BRA0028537,,
CAMPOS,Thermal,Campos (Antiga Roberto Silveira),BRA0027935,,
CANDIOTA III,Thermal,Candiota III,BRA0029767,,
CAUCAIA,Thermal,Caucaia,BRA0028528,,
CELSO FURTADO,Thermal,Celso Furtado (Antiga Termobahia Fase I),BRA0027263,,
TERMOBAHIA,Thermal,Celso Furtado (Antiga Termobahia Fase I),BRA0027263,,
CONJUNTO CHAPADAO,Thermal,Chapadão Agroenergia,BRA0030041,,
UT CIDADE NOV,Thermal,Cidade Nova,BRA0028923,,
UTE CMPC,Thermal,CMPC (Antiga Aracruz Unidade Guaíba),BRA0030666,,
COCAL,Thermal,Cocal,BRA0027974,,
UTE CODORA,Thermal,Codora,BRA0030355,,
CRATO,Thermal,Crato,BRA0028530,,
UTE CRIST ROCHA,Thermal,Cristiano Rocha,BRA0029499,,
UT.CRIS.ROCHA,Thermal,Cristiano Rocha,BRA0029499,,
UTE CUIABA,Thermal,Cuiabá (Antga Mário Covas),BRA0027003,,
DAIA,Thermal,Daia,BRA0028612,,
UTE ATLANTICO,Thermal,Do Atlântico,BRA0029587,,
UTE ELECTRON,Thermal,Electron (TG),BRA0027120,,
UTE MADEIRAS,Thermal,Energia Madeiras,BRA0028140,,
UT ERB CANDEI,Thermal,ERB Candeias,BRA0030979,,
EUZEBIO ROCHA,Thermal,Euzébio Rocha (Antiga Cubatão - CCBS),BRA0028014,,
FER.GASPARIAN,Thermal,Fernando Gasparian (Antiga Nova Piratininga),BRA0028191,,
NOVA PIRATINI,Thermal,Fernando Gasparian (Antiga Nova Piratininga),BRA0028191,,
US.FIGUEIRA,Thermal,Figueira,BRA0000955,,
UTE FLORES 4,Thermal,Flores,BRA0029192,,
UTE FLORES 1,Thermal,Flores,BRA0029192,,
UTE FLORES 3,Thermal,Flores,BRA0029192,,
UTE FLORES 2,Thermal,Flores,BRA0029192,,
UT.FORTALEZA,Thermal,Fortaleza,BRA0028357,,
T.FORTALEZA,Thermal,Fortaleza,BRA0028357,,
GERAMAR I,Thermal,Geramar I (Antiga Tocantinópolis),BRA0029705,,
TOCANTINOPOLI,Thermal,Geramar I (Antiga Tocantinópolis),BRA0029705,,
GERAMAR II,Thermal,Geramar II (Antiga Nova Olinda),BRA0029668,,
U.NOVA OLINDA,Thermal,Geramar II (Antiga Nova Olinda),BRA0029668,,
UTE GLOBAL I,Thermal,Global I,BRA0029653,,
UTE GLOBAL II,Thermal,Global II,BRA0029639,,
UTE GOIASA,Thermal,Goiasa,BRA0028118,,
TERMORIO,Thermal,Governador Leonel Brizola (Antiga TermoRio),BRA0027888,,
GOV.L.BRIZOLA,Thermal,Governador Leonel Brizola (Antiga TermoRio),BRA0027888,,
UTE GUARANI,Thermal,Guarani,BRA0028028,,
IGARAPE,Thermal,Igarapé,BRA0001100,,
IGUATU,Thermal,Iguatu,BRA0028532,,
UT INTERLAGOS,Thermal,Interlagos,BRA0029461,,
UTE IPAUSSU,Thermal,Ipaussu Bioenergia,BRA0030199,,
UT.POR.ITAQUI,Thermal,Itaqui,BRA0027948,,
JALLES MACHAD,Thermal,Jalles Machado,BRA0028112,,
UTE JARAQUI,Thermal,Jaraqui,BRA0029272,,
CONJUNTO TERMELETRICO JATAI,Thermal,Jataí,BRA0030043,,
JE.SO.PEREIRA,Thermal,Jesus Soares Pereira (Antiga Vale do Açú),BRA0028225,,
U.JLACERDA-B,Thermal,Jorge Lacerda I e II,BRA0001260,,
U.JLACERDA-A,Thermal,Jorge Lacerda I e II,BRA0001260,,
U.JLACERDA-C,Thermal,Jorge Lacerda III,BRA0027093,,
JUAZEIRO NORT,Thermal,Juazeiro do Norte,BRA0028534,,
JUIZ DE FORA,Thermal,Juiz de Fora,BRA0001276,,
UTE LAGO AZUL,Thermal,Lago Azul,BRA0001298,,
CONJUNTO TERMELETRICO RIO BRILHANTE,Thermal,LDC Bioenergia Rio Brilhante (Antiga Louis Dreyfus Rio Brilhante),BRA0029718,,
TRES LAGOAS,Thermal,Luiz Carlos Prestes (Antiga Três Lagoas),BRA0027975,,
L.C.PRESTES,Thermal,Luiz Carlos Prestes (Antiga Três Lagoas),BRA0027975,,
UTE LINHARES,Thermal,Luiz Oscar Rodrigues de Melo (Antiga Linhares),BRA0030054,,
LUIZ O R MELO,Thermal,Luiz Oscar Rodrigues de Melo (Antiga Linhares),BRA0030054,,
MANAUARA,Thermal,Manauara,BRA0029432,,
UTE MANAUARA,Thermal,Manauara,BRA0029432,,
US.MANDU,Thermal,Mandu,BRA0027787,,
UT.MARACANAU1,Thermal,Maracanaú I,BRA0029654,,
MARAMBAIA,Thermal,Marambaia,BRA0028535,,
UT.MARANHAO 3,Thermal,Maranhão III,BRA0030800,,
UT.MARANHAO 4,Thermal,Maranhão IV (Antiga MC2 Joinville),BRA0030202,,
UT.MARANHAO 5,Thermal,Maranhão V (Antiga MC2 João Neiva),BRA0030203,,
UT MARIO LAGO,Thermal,Mário Lago (Antiga Macaé Merchant),BRA0028029,,
MACAE MERCHAN,Thermal,Mário Lago (Antiga Macaé Merchant),BRA0028029,,
UTE MAUA,Thermal,Mauá,BRA0002952,,
U.W.ARJONA,Thermal,Modular de Campo Grande (Willian Arjona),BRA0027075,,
UTE MURICY,Thermal,Muricy (Antiga Camaçari Muricy I),BRA0029554,,
NO.FLUMINENSE,Thermal,Norte Fluminense,BRA0001544,,
NUTEPA,Thermal,Nutepa,BRA0001595,,
PALMEIRAS GO,Thermal,Palmeiras de Goiás,BRA0001946,,
UT.PARNAIBA 4,Thermal,Parnaíba IV,BRA0031193,,
UTE P.FERRO 1,Thermal,Pau Ferro I,BRA0029561,,
UTE PERNAMB.3,Thermal,Pernambuco III,BRA0030120,,
PETROLINA,Thermal,Petrolina,BRA0028584,,
U.PIRATININGA,Thermal,Piratininga,BRA0002082,,
T.PONTA NEGRA,Thermal,Ponta Negra,BRA0029361,,
PORTO ALEGRE,Thermal,Porto Alegre,BRA0030017,,
POTIGUAR,Thermal,Potiguar,BRA0028655,,
POTIGUAR III,Thermal,Potiguar III,BRA0029556,,
CONJUNTO TERMELETRICO QUIRINOPOLIS,Thermal,Quirinópolis,BRA0029268,,
UTE RIO ACRE,Thermal,Rio Acre,BRA0002277,,
RIO MADEIRA,Thermal,Rio Madeira,BRA0002406,,
FAFEN,Thermal,Rômulo Almeida Unidade I (Antiga Usina de Cogeração Camaçari - FAFEN Energia),BRA0028206,,
ROMULOALMEIDA,Thermal,Rômulo Almeida Unidade I (Antiga Usina de Cogeração Camaçari - FAFEN Energia),BRA0028206,,
SANTA CRUZ,Thermal,Santa Cruz,BRA0027243,,
UTE SANTANA,Thermal,Santana,BRA0027104,,
SANTAREM,Thermal,Santarém,BRA0031616,,
UTE SAO BORJA,Thermal,São Borja,BRA0029583,,
SAO JERONIMO,Thermal,São Jerônimo,BRA0026829,,
SEPE TIARAJU,Thermal,Sepé Tiaraju (Antiga Canoas),BRA0028038,,
U.CANOAS,Thermal,Sepé Tiaraju (Antiga Canoas),BRA0028038,,
UTE SUAPE II,Thermal,Suape II,BRA0029719,,
UTE SUZANO,Thermal,Suzano,BRA0002787,,
UTE SYKUE 1,Thermal,Sykué I,BRA0029634,,
UTE TAMBAQUI,Thermal,Tambaqui,BRA0029276,,
TERMOCABO,Thermal,Termocabo,BRA0028326,,
UT.TERMOCEARA,Thermal,Termoceará,BRA0028358,,
TERMOMANAUS,Thermal,Termomanaus,BRA0029562,,
TERMONORDESTE,Thermal,Termonordeste,BRA0029641,,
TERMOPARAIBA,Thermal,Termoparaíba,BRA0029638,,
UT PERNAMBUCO,Thermal,Termopernambuco,BRA0028031,,
TUBARAO,Thermal,Tubarão,BRA0002887,,
C.S.TUBARAO,Thermal,Tubarão,BRA0002887,,
U.URUGUAIANA,Thermal,Uruguaiana,BRA0002913,,
UTE USACIGA,Thermal,Usaciga,BRA0029144,,
VALE ROSARIO,Thermal,Vale do Rosário,BRA0002958,,
UTE VIANA,Thermal,Viana,BRA0029664,,
XAVANTES,Thermal,Xavantes Aruanã,BRA0028654,,
PECEM,Thermal,,,,
PCT CEEE,Thermal,,,,
UTE ANGELICA,Thermal,,,,
POR PECEM II,Thermal,,,,
UTE MAUA BL4,Thermal,,,,
UTE SANTANA II,Thermal,,,,
UEE.OSORIO,Thermal,,,,
PCT CPFL,Thermal,,,,
UTE CACU I,Thermal,,,,
PIE-RP,Thermal,,,,
PCT DJB,Thermal,,,,
PCT CSF,Thermal,,,,
CUIABA-ENRON,Thermal,,,,
UTE GUAIRA,Thermal,,,,
RJUSAN01,Thermal,,,,
TER BRASILIA,Thermal,,,,
UT SAO JOSE 1,Thermal,,,,
UT SAO JOSE 2,Thermal,,,,
GOIANIA II,Thermal,,,,
PCT CEMIG,Thermal,,,,
P.MEDICI,Thermal,,,,
PCT COELBA,Thermal,,,,
RJUSAN02,Thermal,,,,
PCT MARINGA,Thermal,,,,
UTE MAUA 7,Thermal,,,,
US.COPENE,Thermal,,,,
UE.DOS INDIOS,Thermal,,,,
NAZARIA,Thermal,,,,
UTE SOL,Thermal,,,,
PORTO PECEM I,Thermal,,,,
UTE MAUA BL 3,Thermal,,,,
UTE MAUA BL I,Thermal,,,,
CARIOBA,Thermal,,,,
TERMONORTE I,Thermal,,,,
US.CARIOBA,Thermal,,,,
U.CHARQUEADAS,Thermal,,,,
UT DISTRITO A,Thermal,,,,
UT DISTRITO B,Thermal,,,,
PCT ENERSUL,Thermal,,,,
PCT PIE,Thermal,,,,
PCT CELG,Thermal,,,,
PCT FURNAS,Thermal,,,,
UT.PECEM,Thermal,,,,
PCT CEMAT,Thermal,,,,
RLAN,Thermal,,,,
S.C.JEREISATI,Thermal,,,,
PORTO PECEM II,Thermal,,,,
PCT PBR,Thermal,,,,
JAGUARARI,Thermal,,,,
UTE IRANDUBA,Thermal,,,,
UTE MAUA BL 6,Thermal,,,,
U.ALEGRETE,Thermal,,,,
CONJUNTO TERMELETRICO DOURADOS,Thermal,,,,
CONJUNTO TERMELETRICO EDEIA,Thermal,,,,
JAIME BELTRAO,Thermal,,,,
UT MAUA BL 5A,Thermal,,,,
UT MAUA BL 5B,Thermal,,,,
PCT AOR,Thermal,,,,
TERMONORTE II,Thermal,,,,
U.NV.VENECIA2,Thermal,,,,
EOL ALEGRIA I,Wind,Alegria I,BRA0028444,,
EOL ALEGRIA 2,Wind,Alegria II,BRA0028443,,
EOL AREIA BRA,Wind,Areia Branca,BRA0030340,,
CONJUNTO EOLICO ATLANTICA,Wind,Atlântica I,BRA0030457,,
EOL BOCA CORR,Wind,Boca do Córrego,BRA0030697,,
CONJUNTO EOLICO BOM JARDIM DA SERRA,Wind,Bom Jardim,BRA0029062,,
EOL B.VENTOS,Wind,Bons Ventos,BRA0028887,,
CONJUNTO EOLICO CAETITE,Wind,Caetité,BRA0030792,,
CONJUNTO EOLICO CAETITE ABC,Wind,Caetité A,BRA0031344,,
CONJUNTO EOLICO CALANGO 13,Wind,Calango 1,BRA0030511,,
CERRO CHATO I,Wind,Cerro Chato I (Antiga Coxilha Negra V),BRA0030348,,
CERRO CHATO II,Wind,Cerro Chato II (Antiga Coxilha Negra VI),BRA0030349,,
CERRO CHATO III,Wind,Cerro Chato III (Antiga Coxilha Negra VII),BRA0030350,,
EOL COLONIA,Wind,Colônia,BRA0030295,,
EOL EMBUACA,Wind,Embuaca,BRA0030336,,
EOL ENACEL,Wind,Enacel,BRA0028770,,
CONJUNTO EOLICO AGUA DOCE,Wind,Eólica Água Doce,BRA0028793,,
EOL ICARAIZIN,Wind,Eólica Icaraizinho,BRA0028699,,
EOL PARACURU,Wind,Eólica Paracuru,BRA0028706,,
EOL PPARAJURU,Wind,Eólica Praias de Parajuru,BRA0028724,,
EOL RIO CHORO,Wind,Foz do Rio Choró,BRA0028630,,
CONJUNTO EOLICO IGAPORA PLANALTINA,Wind,Igaporã,BRA0030321,,
CONJUNTO EOLICO IGAPORA GUIRAPA,Wind,Igaporã,BRA0030321,,
EOL ILHA GRAN,Wind,Ilha Grande,BRA0030691,,
CONJUNTO EOLICO ITAREMA I,Wind,Itarema I,BRA0031485,,
CONJUNTO EOLICO ITAREMA V,Wind,Itarema V,BRA0031482,,
MANGUE SECO 1,Wind,Mangue Seco 1,BRA0030285,,
MANGUE SECO 2,Wind,Mangue Seco 2,BRA0030284,,
MANGUE SECO 3,Wind,Mangue Seco 3,BRA0030281,,
MANGUE SECO 5,Wind,Mangue Seco 5,BRA0030290,,
EOL MIASSABA3,Wind,Miassaba 3,BRA0030339,,
NOV.HORIZONTE,Wind,Novo Horizonte,BRA0030305,,
EOL BEBERIBE,Wind,Parque Eólico de Beberibe,BRA0028174,,
CONJUNTO EOLICO SANTA VITORIA DO PALMAR,Wind,Parque Eólico de Palmares,BRA0028855,,
EOL CIDREIRA1,Wind,Parque Eólico Elebrás Cidreira 1,BRA0028712,,
E.SANGRADOURO,Wind,Parque Eólico Sangradouro,BRA0028811,,
EOL SANGRADOU,Wind,Parque Eólico Sangradouro,BRA0028811,,
EOL PD BRANCA,Wind,Pedra Branca,BRA0030443,,
EOL P.MORGADO,Wind,Praia do Morgado,BRA0028440,,
EOL FORMOSA,Wind,Praia Formosa,BRA0028631,,
CONJUNTO EOLICO QUINTA 138 KV,Wind,Quinta de Gomariz,BRA0032302,,
