source_name,master_name,plant_count,iso3
Bangchak Solar Energy Company Limited (BSE),,2,THA
Bangkok Solar Power,,18,THA
Bangladesh Power Development Board,,120,BGD
Bannari Sugars ltd,,1,IND
Barrick,,2,PNG
Bashkir,,15,RUS
Bay Solar AG,,1,DEU
BBC,,4,IRQ
Bejing International,,1,CHN
Bejing News,,1,CHN
Belectric,,19,"SAU,DEU,ISR"
Belectric GmbH,,2,DEU
Bharat Corp ltd,,2,IND
Bharat Refinery ltd,,1,IND
Binani Industries ltd,,1,IND
Bioenergiepark Saerbeck,,1,DEU
Biosar,,12,GRC
BioTherm Energy,,2,ZAF
Birla Corp ltd,,2,IND
Bloomberg,,2,"RWA,IRN"
Bmm Pvt ltd,,1,IND
Building Energy,,1,ZAF
Bundesnetzagentur,,46,DEU
"Bureau of Ministry, Energy, and Economic Affairs",,87,TWN
Business Sweden,,6,RWA
Business Wire,,1,ITA
BWSC,,1,KEN
Canadian Power Plant Database,,29,CAN
Carpe Vigo,,2,ITA
Carpevigo AG,,6,DEU
Castle Peak Power Company Limited (CAPCO),,1,CHN
CDM,,387,"PAK,DOM,CHN,LAO,ZAF,MNG,IND,VNM,HND,KMH,MDG,GTM,KOR,IRN,CUB"
CEDC,,1,CHN
CEE PVF Ahlhorn (I-V) GmbH & Co KG,,1,DEU
CEE PVF Birkig GmbH & Co KG,,1,DEU
CEE PVF Ebern-TUP GmbH & Co KG,,1,DEU
CEE PVF Elsterheide GmbH & Co KG,,1,DEU
CEE PVF Forst GmbH & Co KG,,2,DEU
CEE PVF Gotha GmbH & Co KG,,1,DEU
CEE PVF Haidenaab GmbH & Co KG,,2,DEU
Central Asian Electric Power Corporation,,4,KAZ
Centrenergo,,3,UKR
Centro di Analisi Strutturale,,1,ITA
CEPR,,14,PRI
Ceylon Electricity Board,,15,LKA
CEZ Group,,49,CZE
CFE,,106,MEX
CGN Meiya Power Holding Company,,1,KOR
CH Karnchang,,1,THA
Chambal & chem,,1,IND
Chettinad Corp ltd,,1,IND
Chibu Electric Provider,,1,UZB
China Daily,,1,CHN
China Daily Asia,,1,CHN
China Development Gateway,,2,CHN
China Energy News,,1,CHN
China Gezhouba,,1,CHN
China Guodian Corporation,,1,CHN
China Huaneng Group Corporation (CHNG),,2,CHN
China Hydropower,,1,CHN
China National Offshore Oil Corporation (CNOOC),,2,CHN
China National Technical Import and Export Corporation,,7,CHN
China Power,,1,CHN
China Report,,2,CHN
China Shenua,,2,CHN
China Three Gorges Corporation,,1,CHN
China Tibet Online,,3,CHN
China Water,,4,CHN
China Wind Power Center,,60,CHN
China Yangtze Power,,1,CHN
Chinese Embassy,,1,CHN
Chinese National Committee on Large Dams,,27,CHN
Chubu Electric Power Company,,14,JPN
City Solar AG,,2,DEU
CK Power,,1,THA
Clean Energy edOjects.Com,,1,IND
Clean Technica,,1,PRI
CleanEnerg teLeanenergy,,1,IND
Clover Solar Private Limited (CSPL),,1,IND
CLP Group,,2,CHN
CN Hydro,,1,CHN
Coal Mi ICM,,1,IND
Companhia de Electricidade de Macau,,3,CHN
Conecon GmbH,,15,DEU
Construction Kenya,,1,KEN
Contact Energy,,10,NZL
Core Fuels ltd,,1,IND
Cubic News,,1,OMN
Cypark Resources Board,,5,MYS
Daelim Energy,,2,KOR
Daily FT,,4,LKA
Daio Paper Corporation,,2,JPN
Daiwa PI Partners Co Ltd,,5,JPN
Dam Site,,1,JPN
Danfoss Group,,1,DNK
Darling Wind Farm,,1,ZAF
Datang Guanyinyan,,1,CHN
Datta Ssk ltd,,1,IND
Daund Sugar ltd,,1,IND
Davangere Co ltd,,1,IND
Dawood Hercules,,1,PAK
Dcm & chem,,1,IND
Dcm Industries ltd,,1,IND
De Aar Solar,,1,ZAF
Department of Energy Business,,5,LAO
Deutsches Zentrum f�r Luft- und Raumfahrt eV (DLR),,1,DEU
Dhariwal Pvt ltd,,1,IND
Dichiarazione Ambientale,,1,ITA
Dichiarazione Ambientale Anno 2007,,1,ITA
Dnipro-SHEM PJSC,,11,UKR
Donbascenergo,,2,UKR
Dong Energy,,9,DNK
Dongga Power Generation Company,,2,CHN
Doosan,,1,KOR
Dorad Energy Limited,,1,ISR
Dorper Wind Farm,,1,ZAF
Dr Ssk ltd,,1,IND
Droogfontein,,1,ZAF
DTEK,,12,UKR
Duke Energy,,5,GTM
E.ON,,7,"NLD,ITA,SWE"
e·on Russia,,5,RUS
East China Hydropower Engineering,,1,CHN
EcoPower,,7,JPN
ECOREX,,13,"CPV,GMB"
ECRA,,987,SAU
ECREE,,1,NGA
EDF,,55,FRA
EDF Guiana,,6,GUF
Edipower,,4,ITA
Edison,,9,ITA
EDL- Generation Public Company,,8,LAO
EGAT,,38,THA
EGCO,,18,THA
Egyptian Electricity Holding Company,,46,EGY
Electrabel,,2,ITA
Electricité du Cambodge,,7,KMH
Electricity Generating Authority of Thailand,,1,THA
Elektrarny,,343,CZE
ELIA Belgian Grid Operator,,101,BEL
EM-Power Corporation,,1,HND
EMC Limited,,1,IND
Empresa Nacional De Energia Electrica,,28,HND
En Value,,2,ITA
EnBW Energie Baden-W�rttemberg AG,,1,DEU
ENEL,,13,ITA
Enel Green Power,,28,"ZAF,ROU,GRC,ITA"
Energias Endogenas de Portugal,,572,PRT
Energie AG,,3,AUT
Energix,,3,ISR
Energoatom,,4,UKR
Energy 21,,9,CZE
Energy Absolute,,4,THA
Energy and Hydroelectric Power,,4,IRQ
Energy blog,,1,ZAF
Energy Charter Secretariat,,31,"TJK,MDA,ALB"
Energy Department - Republic of South Africa,,1,ZAF
Energy Regulation Board of Zambia,,14,ZMB
Enerji Atlasi,,333,TUR
Enerparc AG,,59,DEU
Engie,,3,"ZAF,NLD"
Engineering News,,1,ZAF
Enipower,,3,ITA
Enka Teknik,,1,IRQ
ENTSOE,,1652,"BGR,SVN,ROU,HUN,LVA,NOR,PRT,SRB,DNK,ITA,POL,EST"
Envalue GmbH,,6,DEU
Environmental Assessment,,1,CHN
EP Energy,,3,CZE
Ereader Chinese,,1,CHN
Ergosud,,1,ITA
Erika Energy,,1,ZAF
Ertan Hydropower Development Company,,1,CHN
Eskom,,24,ZAF
Essel MP Energy Limited,,1,IND
Est vt Arind,,1,IND
Estonian Wind Energy Association,,13,EST
et97,,1,CHN
Ethekwini Municipality,,1,ZAF
European Investment Bank,,1,ROU
Eurus Energy,,35,"KOR,JPN"
EV Wind,,1,ROU
EvroSibEnergo,,1,RUS
Exenewable,,1,GRC
F&S Solar Concept GmbH,,8,DEU
Farab,,1,IRN
Finnish Energy Authority,,385,FIN
Firestone Trading Private Limited,,1,IND
First Solar,,2,"HND,JPN"
FLOUR engineering,Fluor,1,IRQ
Fluor; PREPA,,1,PRI
Fortum,,8,RUS
Fortum Refurbishing 2014,,1,FIN
Fortum Sweden,,129,SWE
Franken Solar,,1,DEU
FRPC,,1,JPN
Fuji Electric,,1,JPN
FVK,,1,CZE
Gading Kencana,,1,MYS
Gangakhed Energy ltd,,1,IND
GBC Renesys,,1,CZE
GCPPT,,6,PAK
GDF Suez,,23,"NLD,FRA"
GEF-6 REQUEST FOR PROJECT ENDORSEMENT/APPROVAL,,1,ZAF
Gehrlicher Solar AG,,25,DEU
Gem Sugars ltd,,1,IND
Genesis Energy,,10,NZL
GENOR,,1,GTM
GEODB,,22,"MAR,COD,VEN"
Geological Society of Greece,,5,GRC
George Herald,,1,ZAF
Geothermal Denmark,,1,DNK
Gestamp Solar,,5,ITA
Gestamp Wind,,1,PRI
Ghangzhou China Resources Thermal power Company,,1,CHN
Global Cement,,1,MMR
Global Engineering Management and Development Consultants,,1,MNG
Global Power Systems,,1,RWA
Global Reservoir and Dam,Global Reservoir and Dam Database,1,CHN
Global Reservoir and Dam Database,,17,"CHN,GRC"
Globeleq,,1,ZAF
Glow Group,,7,THA
Gm Energy ltd,,1,IND
Gmt Pvt ltd,,1,IND
Godavari Mills ltd,,1,IND
Godawari Energy ltd,,1,IND
Goodyear Dunlop Tires Germany Gmbh,,1,DEU
Goteborg Energi,,1,SWE
GP Joule,,2,ITA
GP Joule GmbH,,30,DEU
GPG ; Kenya Power,,1,KEN
GPSC,,3,THA
Grace Industries ltd,,1,IND
Grasim Cement ltd,,1,IND
Grasim Industries ltd,,1,IND
Greta Energy ltd,,1,IND
Grid Hub,,1,JPN
Grid.Stromhaltig,,2,DEU
Gr�ne Energien Solar GmbH,,1,DEU
GS Energy,,4,KOR
Guam Power Authority,,28,GUM
Guangdong Huizhou LNG Power Co Ltd,,1,CHN
Guangdong Provincial Electric Power Survey,,1,CHN
Guangxi Fangyuan Electric Power Company,,1,CHN
Guangxi University,,1,CHN
Guass Energia,,1,HND
Gujarat Industries Power Company Limited (GIPCL),,1,IND
Gujarat Mineral Development Corporation Limited (GMDC),,1,IND
Gujarat Urja Vikas Nigam Limited,,1,IND
Gunkul Chubu Powergen Company Limited,,4,THA
Gupta Ltd gepl),,1,IND
Gut Erlasee Solarpark,,1,DEU
Guyana Power and Light,,8,GUY
Hanwha Solar Power Kitsuki,,2,JPN
Hare Pvt ltd,,1,IND
Harsha Engineers Limited,,1,IND
Heli SCSP,,1,GRC
Hellector,,1,GRC
Hellenic Association of Independent Power Producers,,5,GRC
Hemarus Technologies ltd,,1,IND
Heyuan Xinfeng Hydropower,,1,CHN
Hindustan Pvt lt,,1,IND
Hindustan Zinc ltd,,3,IND
Hira Group,,1,IND
Hiraco India,,1,IND
Hitachi,,1,JPN
Hokkaido,,8,JPN
Hongkong Electric Company (HKC),,2,CHN
Hothur Pvt ltd,,1,IND
http://www.photonenergyoperations.cz/provoz-a-servis-fve,,9,CZE
Huadian Power International Company Limited,,2,CHN
Huang Longtan Hydropower Plant,,1,CHN
Huaxi,,1,CHN
Hydraulic Structures,,1,CHN
Hydrema Produktion Weimar GmbH,,1,DEU
Hydro World,,5,"ETH,PRY,COD,RWA"
HydroChina Corporation,,4,CHN
HydroChina Zhongnan Engineering Company,,4,CHN
Hydropower Resources Statistical Database in Africa,,5,MOZ
Hyundai Engineering Company,,1,KOR
IAEA,,30,"CHN,DEU,NLD,IND,RUS,SWE,TWN,IRN,ARM"
IAEA PRIS,IAEA,6,CHN
IB Vogt GmbH,,5,DEU
IC Power,,1,GTM
Iceland Energy Portal,,26,ISL
Ichigo ECO Energy Co Ltd,,6,JPN
Ideal Projects ltd,,1,IND
Idemitsu,,1,JPN
IFC,,2,ROU
IGCC,,1,ITA
Immpex,,2,ITA
Impact Electrons,,1,JPN
India Ltd icl),,1,IND
Indian Oil Corporation (IOC),,1,IND
Indian Power ltd,,1,IND
Indo Synthetics ltd,,1,IND
Indonesia Power Generation,,332,IDN
Industry About,,2,"CHN,ZAF"
Info Mongolia,,1,MNG
Infratech e M/Pdf,,1,IND
Ingenio La Union,,1,GTM
Ingenio Magdalena,,3,GTM
Ingenio Palo Gordo,,1,GTM
InnoWind,,3,ZAF
Inter RAO,,17,RUS
International Journal on Hydropower and Dams,,36,COD
Invest KZ,,2,KAZ
IPP Project South Africa,,19,ZAF
Iran Power Plant Investment Company,,2,IRN
Iran Water and Power Resources Development Company,,4,IRN
Iraq Business News,,4,IRQ
Iraq Coalition,,1,IRQ
Iren Energia,,1,ITA
Iren Energy,Iren Energia,1,ITA
Irish Wind Energy Association,,159,IRL
Irkutskenergo,,11,RUS
Irtysh River Basin Development and Construction Authority,,1,CHN
Islamabad Chamber of Commerce and Industry,,36,PAK
Israel Electric Corporation,,13,ISR
Itochu,,1,JPN
J-Power,,17,"THA,MNG,JPN"
Jaguar Energy Guatemala,,1,GTM
Jai Industries ltd,,1,IND
Jain Solar,,1,IND
Jamaica Energy Partners,,1,JAM
Jamaica Public Service Company,,16,JAM
Janki Corp ltd,,1,IND
Japan Asia Group,,2,JPN
Japan Coal Plant Tracker,,5,JPN
Japan Wind Development Company,,1,JPN
Japanese Electric Power Information Center,,141,JPN
JAPEX,,1,JPN
Jawahar Ssk ltd,,1,IND
Jaypee Ltd jccl),,3,IND
Jeffrey's Bay Wind Farm,,1,ZAF
JFE Steel Corporation East Japan Works,,1,JPN
JGC Corporation,,2,JPN
Jk Cement ltd,,4,IND
Jsw Steel ltd,,2,IND
Juwi,,5,"ZAF,CZE"
Juwi Shizen Energy Inc,,4,JPN
Juwi Solar GmbH,,27,DEU
Kamipa,,1,JPN
Karnataka Power Corporation Limited,,3,IND
Kasai Direct,,1,COD
Kawaski,Kawasaki,2,"KOR,JPN"
Kazakhmys,,4,KAZ
Kenya Electricity Generating Company,,18,KEN
Kenya Power,,1,KEN
KEPCO,,14,KOR
Kesoram Industries ltd,,1,IND
KEWP,,5,KOR
KHNP,,15,KOR
Khobab Wind Farm,,1,ZAF
Kjs Ahluwalia group,,1,IND
Klaron GmbH,,1,DEU
KOMIPO,,7,KOR
Komo News,,1,COD
Konark Gujarat Private Limited,,1,IND
Korea Herald,,1,KOR
Korea Water Resources Corporation,,3,KOR
KOSEP,,5,KOR
Koukamma Municipality,,1,ZAF
Kranti Ssk ltd,,1,IND
Krumbach Photovoltaik GmbH,,1,DEU
KSP,,12,KOR
KT Press,,1,RWA
Kumbhi Ssk ltd,,1,IND
Kuzbassenergo,,16,RUS
KWP,,6,KOR
Kyocera Solar,,5,JPN
Lahmeyer India,,1,PNG
Lahore Daily Times,,1,PAK
Lahore Tribune,,1,PAK
Lahtigasification,,1,FIN
Lake Turkana Wind Power,,1,KEN
Lancosola,,10,IND
Lanka Business,,1,LKA
Lao Energy,,1,LAO
Large Dam Database in Greece,,2,GRC
Large Dam Safety Supervision Center,,13,CHN
LEPL,,1,IND
Lingandwi,,1,IND
Liutl,,1,CHN
Lloyds Industries ltd,,2,IND
Loeriesfontein Wind Farm,,1,ZAF
Lokmangal Lokmangal group,,1,IND
Lotte E&C,,2,KOR
Luotian Government,,1,CHN
Madhav Group,,1,IND
Maharashtra State Power Generation Co Ltd (MAHAGENCO),,4,IND
Mahatma Power ltd,,1,IND
Mahtaab Gostar,,2,IRN
Maihar Cement ltd,,1,IND
Mainstream Renewable Power,,2,ZAF
Mainz Solar GmbH,,3,DEU
MalarEnergi,,1,SWE
Malaysia Airports,,1,MYS
MAN Power plants,,1,KEN
Management Capital Invest (MCG),,4,DEU
Mangalore & petrochem,,1,IND
Manglam Cement ltd,,1,IND
Manikgarh Manikgarh cement,,1,IND
Manikghar Cement co,,1,IND
MAPNA Group,,3,IRN
Maral Overseas ltd,,1,IND
Martifer Solar,,7,"GRC,ITA"
Marubeni Corporation,,5,"KOR,JPN"
Mass Group Holdings,,2,IRQ
Meil.In/P,,1,IND
MEMEE,,1,MAR
Mercury Energy,,13,NZL
Meridian Energy,,13,"ATA,NZL"
Metka,,1,IRQ
Metro Power,,1,PAK
Metro Wind,,1,ZAF
Metta Energy,,1,MYS
Mid-South Design and Research Institute,,1,CHN
Ministerio de Electricidad y Energia Renovable,,5,ECU
Ministry of Electricity and Energy of Yemen,,7,YEM
Ministry of Energy and Minerals,,7,TZA
"Ministry of Energy and Mines, Guatemala",,28,GTM
Ministry of Energy and Mining,,5,GTM
Ministry of Energy of the Republic of Kazakhstan,,1,KAZ
Ministry of Environmental Protection,,2,CHN
Ministry of New and Renewable Energy,,3,IND
Ministry of Power and Renewable Energy,,21,LKA
Mirror Business,,1,LKA
Mitsubishi,,6,"KOR,JPN"
Mitsui,,11,JPN
Mizzima,,1,MMR
Mono Steel (India) Ltd,,1,IND
M�hring Energie GmbH,,7,DEU
Mosenergo,,15,RUS
Moser Baer Clean Energy Limited (MBCEL),,2,IND
Moser Baer Solar Limited (MBSL),,1,IND
Moserbaer Solar,,1,IND
Moshanir,,3,IRN
mp-tec GmbH & Co KG,,1,DEU
MTBren,,1,ITA
Mukand Mukand ltd,,1,IND
Mukesh Gupta group,,1,IND
Mula Ssk ltd,,1,IND
Mulilo,,6,ZAF
Myanmar Times,,1,MMR
Mysore Mills ltd,,1,IND
Naftogaz Ukrainy,,1,UKR
Namavaran Delvar Engineering & Construction,,1,IRN
National And paper,,1,IND
National Interconnected System of the Dominican Republic,,75,DOM
National Ltd nfl),,1,IND
National Petrochemical Company,,1,IRN
National Renewable Energy Laboratory,,13,"THA,ZAF,MAR,IND"
National Thermal Power Corporation (NTPC),,6,IND
Natural Alliend indust,,1,IND
Natural Energy Development Company,,2,THA
Nava Bharat,,1,ZMB
Navbharat,,1,IND
NEPRA,,1,PAK
NERSA,,6,ZAF
New Energy,,1,CHN
Nichicon Corporation,,1,JPN
Nidel Power,,9,NGA
Nierji Reservoir,,1,CHN
Nikkei Business Publications,,14,JPN
Nippon KOEI,,1,PNG
Nippon Paper Group,,3,JPN
NIPPON STEEL & SUMITOMO METAL,,5,JPN
Nitin Spinners ltd,,1,IND
NKK,,1,JPN
Nobility,,7,CZE
Nocil Nocil rubber,,1,IND
Nord Pool,,2,"FIN,SWE"
North Shore Journal,,1,IRQ
Northwest Hydro Consulting Engineers,,1,CHN
NRG,,1,GUM
Nsl Sugars ltd,,2,IND
NuPlanet Clean Energy,,1,ZAF
Obyashi,,2,JPN
Office National de l\'Electricite (ONE),,4,MAR
OGK-2,,11,RUS
Oikocredit,,1,HND
OK Tedi Mining,,4,PNG
Ongc Gas corp,,2,IND
�WG Solar GmbH,,1,DEU
OPDE,,10,ITA
Open Development Myanmar,,30,MMR
Open Development Vietnam,,242,VNM
Open Government Portal,,1058,CAN
Open Power System Data,,2486,"DEU,FRA,AUT"
Orient Cement ltd,,1,IND
Orient Power ltd,,1,IND
ORIX,,6,JPN
Ormat ; Kenya Power,,1,KEN
Ovag Energie AG,,1,DEU
P3 Green,,1,IND
Pacific Metals,,1,JPN
Pamir Times,,1,PAK
Pandit Deendayal Petrolium University (PDPU),,1,IND
Panonske Energy,,3,SRB
Pantaleon Sugar Holding Company,,2,GTM
Pasargard Energy Development Company,,1,IRN
Pattern Energy,,1,PRI
PEDA,,3,IND
Penisular Malaysia Electricity Supply Company,,58,MYS
Peru Ministry of Energy and Mines,,64,PER
PetroKazakhstan,,1,KAZ
Petromin,,1,PNG
Pfalzsolar GmbH,,14,DEU
Pfeffenhausen-Egglhausen Photovoltaik GmbH,,1,DEU
PGE,,4,POL
Philippines Department of Energy,,156,PHL
Phoenix Solar AG,,3,DEU
Phono Solar,,4,"CZE,JPN"
Photon,,1,JPN
Plain Energy,,2,CZE
Plzenska Teplarenska,,1,CZE
PNG Power Limited,,9,PNG
Polaris Power Network News,,1,CHN
POSCO,,6,KOR
Power Africa,,1,RWA
Power and Technology,Power and Technology Magazine,4,"THA,ITA,KOR,IRQ"
Power and Technology Magazine,,1,ITA
Power Bejing,,2,CHN
Power Engineering,,1,CHN
Power Enginering International,Power Engineering International,2,IRQ
Power Generation Company of Trinidad and Tobago,,3,TTO
Power Mag,Power Magazine,1,MMR
Power Magazine,,1,ITA
Power Plants at Risk of Shutting Down,,3,ITA
Power Private edM/Pdf,,1,IND
Power Technology,,2,ZAF
Powers Private,,1,IND
Precision Technik Private Limited,,1,IND
PREPA,,11,PRI
PREPA; CEPR,,4,PRI
Private Power and Infrastructure Board,,29,PAK
ProColombia,,30,COL
PSJC Enel Russia (OGK-5),,4,RUS
Public Power Company of Greece,Public Power Corporation of Greece,3,GRC
Public Power Corporation of Greece,,23,GRC
"Public Power Corporation of Greece (capacity, fuel, location)",Public Power Corporation of Greece,10,GRC
Public Utilities Commission of Sri Lanka,,15,LKA
Puerto Rico Water Resources Authority,,2,PRI
Punj Lloyd,,1,IND
Puravis,,1,DEU
Purna Ssk ltd,,1,IND
Purti Sugar ltd,,1,IND
PV Magazine,,2,"MAR,JPN"
PV Tech,,2,"PRI,DEU"
Quaid-E-Azam Solar Power (Private) Ltd.,,1,PAK
Quandra,,21,RUS
Raajratna Energy Holdings Private Limited (REHPL),,1,IND
Rajasthan Renewable Energy Corporation Limited (RREC),,4,IND
Rakuten Trust,,1,JPN
Ranfit-E,,1,DEU
Ranft,,3,DEU
Rashtriya & fert,,2,IND
Ratchaburi,,7,THA
Ratchaburi Electric Generating Company,,5,THA
Rattanindia Power ltd,,1,IND
Ray ON,,4,CZE
Real Estate e,,1,IND
Red Eléctrica de España,,2317,ESP
REG,,20,RWA
Reliance Petrochemicals,,1,IND
Reliance Power Ltd,,4,IND
Ren Power,,5,CZE
Renewable Japan Co Ltd,,7,JPN
RenewGen,,1,LKA
Renova,,6,JPN
Repower,,1,ITA
Republic of Cuba Power Sector Infrastructure Assesment,,9,CUB
Reuters,,3,"COD,ITA,IRQ"
Ridder Tets AO,,1,KAZ
Rk Pvt ltd,,1,IND
Rswm Rswm ltd,,1,IND
RTE Transmission Operator,,107,FRA
RusHydro,,48,RUS
RWE,,7,NLD
S & Z Energiesysteme GmbH,,5,DEU
S J Green Park Energy Private Limited,,1,IND
S Limited Rsolar,,1,IND
SAG Solar,,2,CZE
Sahacogen Co Ltd,,1,THA
Sahakar Shiromani vasantrao,,1,IND
Sahakarmaharshi Bhausaheb thor,,1,IND
Sahara Power,,1,NGA
SAHRA,,3,ZAF
Samruk Energy,,11,KAZ
Sangam Spinners ltd,,1,IND
Santa Ana,,4,GTM
Sarafinchin,,3,NGA
Sarako,,1,MUS
Saudi Arabia Solar Industry Association,,1,SAU
Savannah Environmental,,1,ZAF
Scatec Solar,,4,"ZAF,CZE,HND"
Schneider Electric,,1,JPN
Se Pvt Rsolar,,1,IND
SEI Solar Energy Private Limited,,1,IND
Sekitan,,34,JPN
Sembcorp,,2,IND
SENER,,8,MEX
Sepset Constructio te,,1,IND
Serbia Construction,,1,IRQ
Severní Energetická,,1,CZE
Shamanur Sugars ltd,,1,IND
Shanghai Power,,2,CHN
SHARP,,1,JPN
Shenergy Group,,1,CHN
Shenzhen Guangqian Electric Power Co Ltd,,1,CHN
Shree Cement ltd,,2,IND
Shree Sugars ltd,,3,IND
Shri Hiranyakeshi ssk,,1,IND
Shri Malaprabha ssk,,1,IND
Shri Ssk ltd,,3,IND
Shri Vedganga ssk,,1,IND
Shunde Sheng Power Plant Â Co Ltd,,1,CHN
Sichuan News,,1,CHN
Siemens,,4,"ITA,KOR,IRQ"
Sierra Rutile,,1,SLE
Sina,,1,CHN
Sinarmas Paper ltd,,1,IND
Sinewave Pvt ltd,,1,IND
Sinohydro,,6,CHN
Sinosol AG,,1,DEU
Sinovel,,1,CHN
Situation of Renewable Energy in Paraguay,,2,PRY
SK Holdings,,3,KOR
Skelleftå Kraft,,1,SWE
SloeCentrale,,1,NLD
Small Hydro World,,1,PRI
SoftBank,,13,JPN
Sojitz Corporation,,2,JPN
Sokolovska Uhlena,,1,CZE
Solaer,,18,"IND,ISR,ITA,JPN"
Solaire Direct,Solairedirect,3,IND
SolaireDirect,Solairedirect,1,ZAF
Solar Asset Management,,5,"DEU,JPN"
Solar Capital,,1,ZAF
Solar Daily,,1,JPN
Solar for India,,2,IND
Solar Frontier,,1,JPN
Solar Global,,8,CZE
Solar Liglass,,7,CZE
Solar Power GMBH,,1,CZE
Solar Power Plant Business,,1,JPN
Solar Reserve,,6,ZAF
Solar Rig,,3,ITA
Solar Server,,1,DEU
Solar-Konzept GmbH,,7,DEU
Solarcomplex AG,,4,DEU
Solaria Energia,,1,ITA
Solarig Holdings,,1,JPN
Solarkraftwerk Barderup GmbH & Co KG,,1,DEU
Solarkraftwerk H�ttigweiler (Illingen),,1,DEU
Solarkraftwerk Schweizer Berg,,1,DEU
Solarkraftwerk Wetschhauser Hof (Ottweiler),,1,DEU
Solarparc GmbH,,18,DEU
Solarpark Brandenburg (Havel) GmbH,,1,DEU
Solarpark Frauental,,1,DEU
Solarpark Geusa GmbH & Co. KG,,1,DEU
Solarpark Glebitzsch GmbH,,1,DEU
Solarpark Klanxb�ll GmbH & Co KG,,1,DEU
Solarpark Lettewitz GmbH,,1,DEU
Solarpark Lochau GmbH,,1,DEU
Solarpark Metzdorf,,1,DEU
Solarpark Morbacher Energielandschaft,,1,DEU
Solarpark Neuhausen GmbH,,1,DEU
Solarpark Nordband,,1,DEU
Solarpark P�ttlingen (Herchenbach),,1,DEU
Solarpark Ramin GmbH & Co KG,,1,DEU
Solarpark Rassnitz GmbH,,1,DEU
Solarpark Roden�s GmbH,,8,DEU
Solarpark Roitzsch GmbH,,1,DEU
Solarpark Sch�newalde Ltd & Co KG,,1,DEU
Solarpark St. Wendel GmbH,,1,DEU
Solarpark Wange GmbH & Co KG,,1,DEU
Solarpark Weil GmbH,,1,DEU
Solarpark Zahna AG & Co KG,,1,DEU
Solea AG,,8,DEU
Soleq,,1,THA
Sonnedix,,5,"PRI,THA,ZAF"
Sonnewind & Waerme,,1,DEU
Sorgenia,,1,ITA
Sosian Menengai,,1,KEN
South Africa Renewable Energy Organization,,4,ZAF
South East Network,,1,CHN
Soventix GmbH,,3,DEU
Sovox Renewables Private Limited,,1,IND
Sparx Group,,1,JPN
SPCG Public Company Limited,,36,THA
Spr Pvt ltd,,1,IND
Sri Lanka Foundation,,1,LKA
Sri Sugars ltd,,1,IND
Stadtwerke Bielefeld GmbH,,1,DEU
Standard Media,,1,KEN
Standby-Europe,,8,CZE
Star Hydro,,1,PAK
State Electricity Regulatory Commission Dam Safety Supervision Center,,2,CHN
Statkraft,,63,SWE
Stellenbosch University Thesis Paper,,2,ZAF
Sterling and Wilson,,1,IND
