source_name,master_name,plant_count,data_year,iso3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renova,,6,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Reserve,,6,,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind Parks of Ukraine LLC,,6,,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow River Conservancy Commission of the Ministry of Water,,6,,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C Offshore,,5,,BEL,DNK,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Hydropower Resources Database,,5,,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cypark Resources Board,,5,,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiwa PI Partners Co Ltd,,5,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Energy Business,,5,,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e·on Russia,,5,,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geological Society of Greece,,5,,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gestamp Solar,,5,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellenic Association of Independent Power Producers,,5,,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydropower Resources Statistical Database in Africa,,5,,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB Vogt GmbH,,5,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan Coal Plant Tracker,,5,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwi,,5,,ZAF,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEWP,,5,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOSEP,,5,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyocera Solar,,5,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministerio de Electricidad y Energia Renovable,,5,,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Energy and Mining,,5,,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIPPON STEEL & SUMITOMO METAL,,5,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orix,ORIX,5,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratchaburi Electric Generating Company,,5,,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ren Power,,5,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S & Z Energiesysteme GmbH,,5,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Asset Management,,5,,DEU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonnedix,,5,,PRI,THA,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technoproexport,,5,,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2A,,4,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acc Acc ltd,,4,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstom,,4,,CHN,THA,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Carbon Italy,,4,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Grimm,,4,,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,,4,,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asian Electric Power Corporation,,4,,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Water,,4,,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily FT,,4,,LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Energy Energy,Duke Energy,4,,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edipower,,4,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energoatom,,4,,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Absolute,,4,,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy and Hydroelectric Power,,4,,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurus Energy Holdings,Eurus Energy,4,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEODB,,4,,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS Energy,,4,,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkul Chubu Powergen Company Limited,,4,,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HydroChina Corporation,,4,,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HydroChina Zhongnan Engineering Company,,4,,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran Water and Power Resources Development Company,,4,,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq Business News,,4,,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jk Cement ltd,,4,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwi Shizen Energy Inc,,4,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhmys,,4,,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra State Power Generation Co Ltd (MAHAGENCO),,4,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Capital Invest (MCG),,4,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marubeni,Marubeni Corporation,4,,KOR,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Thermal Power Corporation (NTPC),National Thermal Power Corporation (NTPC),4,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nersa,NERSA,4,,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office National de l\'Electricite (ONE),Office National de l'Electricite (ONE),4,,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK Tedi Mining,,4,,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,,4,,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phono Solar,,4,,CZE,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power and Technology,,4,,THA,ITA,KOR,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREPA; CEPR,,4,,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSJC Enel Russia (OGK-5),,4,,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan Renewable Energy Corporation Limited (RREC),,4,,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray ON,,4,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Ana,,4,,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scatec Solar,,4,,ZAF,CZE,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens,,4,,ITA,KOR,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solarcomplex AG,,4,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa Renewable Energy Organization,,4,,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunics Solar GmbH,,4,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPCO,,4,,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
