iso3,source_name,master_source_name
IND,Jaypee Ltd jccl),
ZAF,Jeffrey's Bay Wind Farm,
JPN,JFE Steel Corporation East Japan Works,
JPN,JGC,
JPN,JGC Corporation,
IND,Jk Cement ltd,
IND,Jsw Steel ltd,
ZAF,Juwi,
JPN,Juwi Shizen Energy Inc,
DEU,Juwi Solar GmbH,
JPN,Kamipa,
IND,Karnataka Power Corporation Limited,
COD,Kasai Direct,
KOR,Kawasaki Heavy Industries,
JPN,Kawaski,
KAZ,Kazakhmys,
KEN,Kenya Electricity Generating Company,
KEN,Kenya Power,
KOR,KEPCO,
IND,Kesoram Industries ltd,
KOR,KEWP,
KOR,KHNP,
ZAF,Khobab Wind Farm,
IND,Kjs Ahluwalia group,
DEU,Klaron GmbH,
KOR,KOMIPO,
COD,Komo News,
IND,Konark Gujarat Private Limited,
KOR,Korea Herald,
KOR,Korea Water Resources Corporation,
KOR,KOSEP,
ZAF,Koukamma Municipality,
IND,Kranti Ssk ltd,
DEU,Krumbach Photovoltaik GmbH,
KOR,KSP,
RWA,KT Press,
IND,Kumbhi Ssk ltd,
RUS,Kuzbassenergo,
KOR,KWP,
JPN,Kyocera Solar,
PNG,Lahmeyer India,
PAK,Lahore Daily Times,Lahore Daily Times
PAK,Lahore Tribune,Lahore Tribune
FIN,Lahtigasification,
KEN,Lake Turkana Wind Power,
IND,Lancosola,
LKA,Lanka Business,
LAO,Lao Energy,
GRC,Large Dam Database in Greece,
CHN,Large Dam Safety Supervision Cener,
CHN,Large Dam Safety Supervision Center,
IND,LEPL,
IND,Lingandwi,
CHN,Liutl,
IND,Lloyds Industries ltd,
ZAF,Loeriesfontein Wind Farm,
IND,Lokmangal Lokmangal group,
KOR,Lotte E&C,
CHN,Luotian Government,
IND,Madhav Group,
IND,Maharashtra State Power Generation Co Ltd (MAHAGENCO),
IND,Mahatma Power ltd,
IRN,Mahtaab Gostar,
IND,Maihar Cement ltd,
ZAF,Mainstream Renewable Power,
DEU,Mainz Solar GmbH,
SWE,MalarEnergi,
MYS,Malaysia Airports,
KEN,MAN Power plants,
DEU,Management Capital Invest (MCG),
IND,Mangalore & petrochem,
IND,Manglam Cement ltd,
IND,Manikgarh Manikgarh cement,
IND,Manikghar Cement co,
IRN,MAPNA Group,
IND,Maral Overseas ltd,
GRC,Martifer Solar,
KOR,Marubeni,
KOR,Marubeni Corporation,
IRQ,Mass Group Holding,
IRQ,Mass Group Holdings,
IND,Meil.In/P,
MAR,MEMEE,
NZL,Mercury Energy,
ATA,Meridian Energy,
IRQ,Metka,
PAK,Metro Power,
ZAF,Metro Wind,
MYS,Metta Energy,
CHN,Mid-South Design and Research Institute,
ECU,Ministerio de Electricidad y Energia Renovable,
YEM,Ministry of Electricity and Energy of Yemen,
TZA,Ministry of Energy and Minerals,
GTM,"Ministry of Energy and Mines, Guatemala",
GTM,Ministry of Energy and Mining,
KAZ,Ministry of Energy of the Republic of Kazakhstan,
CHN,Ministry of Environmental Protection,
IND,Ministry of New and Renewable Energy,
LKA,Ministry of Power and Renewable Energy,
LKA,Mirror Business,
JPN,Mistubishi Heavy Industries,
JPN,Misubishi Heavy Industries,
JPN,Mitsubishi,
KOR,Mitsubishi Heavy Industries,
JPN,Mitsui,
MMR,Mizzima,
IND,Mono Steel (India) Ltd,
DEU,M�hring Energie GmbH,
RUS,Mosenergo,
IND,Moser Baer Clean Energy Limited (MBCEL),
IND,Moser Baer Solar Limited (MBSL),
IND,Moserbaer Solar,
IRN,Moshanir,
DEU,mp-tec GmbH & Co KG,
ITA,MTBren,
IND,Mukand Mukand ltd,
IND,Mukesh Gupta group,
IND,Mula Ssk ltd,
ZAF,Mulilo,
MMR,Myanmar Times,
IND,Mysore Mills ltd,
UKR,Naftogaz Ukrainy,
IRN,Namavaran Delvar Engineering & Construction,
IND,National And paper,
DOM,National Interconnected System of the Dominican Republic,
IND,National Ltd nfl),
IRN,National Petrochemical Company,
MAR,National Renewable Energy Laboratory,
IND,National Thermal Power Corporation (NTPC),
IND,National Thermal Power Corporation (NTPC) Limited,
IND,Natural Alliend indust,
THA,Natural Energy Development Company,
ZMB,Nava Bharat,
IND,Navbharat,
PAK,NEPRA,
ZAF,Nersa,
ZAF,NERSA,
CHN,New Energy,
JPN,Nichicon Corporation,
NGA,Nidel Power,
CHN,Nierji Reservoir,
JPN,Nikkei Business Publications,
PNG,Nippon KOEI,
JPN,Nippon Paper Group,
JPN,NIPPON STEEL & SUMITOMO METAL,
IND,Nitin Spinners ltd,
JPN,NKK,
CZE,Nobility,
IND,Nocil Nocil rubber,
SWE,Nord Pool,
FIN,Nord Pool Spot,
IRQ,North Shore Journal,
CHN,Northwest hydro Consulting Engineers,
THA,NREL,
ZAF,NREL CSP Database,
GUM,NRG,
IND,Nsl Sugars ltd,
ZAF,NuPlanet Clean Energy,
JPN,Obyashi,
MAR,Office National de l\'Electricite (ONE),
RUS,OGK-2,
HND,Oikocredit,
PNG,OK Tedi Mining,
IND,Ongc Gas corp,
DEU,�WG Solar GmbH,
ITA,OPDE,
MMR,Open Development Myanmar,
VNM,Open Development Vietnam,
CAN,Open Government Portal,
DEU,Open Power System Data,
AUT,Open Power Systems Data,
IND,Orient Cement ltd,
IND,Orient Power ltd,
JPN,Orix,
JPN,ORIX,
KEN,Ormat ; Kenya Power,
DEU,Ovag Energie AG,
IND,P3 Green,
JPN,Pacific Metals,
PAK,Pamir Times,Pamir Times
IND,Pandit Deendayal Petrolium University (PDPU),
SRB,Panonske Energy,
GTM,Pantaleon Sugar Holding Company,
IRN,Pasargard Energy Development Company,
PRI,Pattern Energy,
IND,PEDA,
MYS,Penisular Malaysia Electricity Supply Company,
PER,Peru Ministry of Energy and Mines,
KAZ,PetroKazakhstan,
PNG,Petromin,
DEU,Pfalzsolar GmbH,
DEU,Pfeffenhausen-Egglhausen Photovoltaik GmbH,
POL,PGE,
PHL,Philippines Department of Energy,
DEU,Phoenix Solar AG,
CZE,Phono Solar,
JPN,Photon,
CZE,Plain Energy,
CZE,Plzenska Teplarenska,
PNG,PNG Power Limited,
CHN,Polaris Power Network News,
KOR,POSCO,
RWA,Power Africa,
THA,Power and Technology,
ITA,Power and Technology Magazine,
CHN,Power Bejing,
CHN,Power Engineering,
IRQ,Power Enginering International,
TTO,Power Generation Company of Trinidad and Tobago,
MMR,Power Mag,
ITA,Power Magazine,
ITA,Power Plants at Risk of Shutting Down,
IND,Power Private edM/Pdf,
ZAF,Power Technology,
IND,Powers Privat te,
IND,Precision Technik Private Limited,
PRI,PREPA,
PRI,PREPA; CEPR,
PAK,Private Power and Infrastructure Board,Private Power and Infrastructure Board
COL,ProColombia,
RUS,PSJC Enel Russia (OGK-5),
GRC,Public Power Company of Greece,
