,country_code,company,name,postcode,city,street,state,block,commissioned_original,commissioned,retrofit,shutdown,status,fuel,technology,type,eeg,chp,capacity,capacity_uba,chp_capacity_uba,merge_comment,efficiency_data,efficiency_estimate,efficiency_source,network_node,voltage,network_operator,name_uba,lat,lon,comment
BNA0012d,DE,Sappi Alfeld GmbH,Werkskraftwerk Sappi Alfeld,31061,Alfeld,Mühlenmarsch 1,Niedersachsen,Dieselgenerator,1994,1994.0,,,shutdown_temporary,oil,ST,,no,no,2.8,,,,,0.37840000000000007,,,,,,51.98513,9.822460000000001,
BNA0015,DE,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Altbach/Deizisau,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT E (solo),1997,1997.0,,,operating,gas,GT,,no,yes,65.0,78.3596837944664,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,0.44,0.3721999999999994,http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb,Altbach,110,Netze BW GmbH,"Altbach/Deizisau GT A-C, E",48.717611,9.374917,
BNA0016,DE,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Altbach/Deizisau,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT A (Solo),1971,1971.0,,,operating,gas,GT,,no,no,50.0,60.276679841897234,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.30459999999999976,,Altbach,110,Netze BW GmbH,"Altbach/Deizisau GT A-C, E",48.717611,9.374917,
BNA0017,DE,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Altbach/Deizisau,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT B,1973,1973.0,,,operating,gas,GT,,no,no,57.0,68.71541501976284,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3097999999999992,,Altbach,110,Netze BW GmbH,"Altbach/Deizisau GT A-C, E",48.717611,9.374917,
BNA0018,DE,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Altbach/Deizisau,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT C,1975,1975.0,,,operating,gas,GT,,no,no,81.0,97.64822134387352,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3149999999999995,,Altbach,110,Netze BW GmbH,"Altbach/Deizisau GT A-C, E",48.717611,9.374917,
BNA0019,DE,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Altbach/Deizisau,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT HKW 2 (DT Solobetrieb),1997,1997.0,2012.0,,operating,coal,ST,CHP,no,yes,336.0,379.0,280.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.44,0.45500000000000007,http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb,Altbach,380,Transnet BW GmbH,Altbach/Deizisau HKW 2,48.717611,9.374917,
BNA0020,DE,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Altbach/Deizisau,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT HKW 1,1985,1985.0,2006.0,,operating,coal,ST,CHP,no,yes,433.0,476.0,280.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.44,0.4399999999999995,http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb,Altbach,380,Transnet BW GmbH,Altbach/Deizisau HKW 1,48.717611,9.374917,
BNA0021,DE,Heizkraftwerk Altenstadt GmbH & Co. KG,HKW Altenstadt,86972,Altenstadt,Triebstraße 90,Bayern,,1999,1999.0,,,operating,biomass,ST,,yes,no,9.8,,,,,0.38,,,MS,LEW Verteilnetz GmbH,,47.79714,10.85874,
BNA0024,AT,TIWAG-Tiroler Wasserkraft AG,KW Amlach,A-9900,Amlach,,Österreich,Amlach,1989,1989.0,,,operating,run_of_river,ROR,,no,no,60.0,,,,,,,UW Amlach,110,TIWAG-Netz AG/APG bzw. Tennet,,46.81420479999999,12.761757000000001,
BNA0025,DE,Suiker Unie GmbH,Kesselhaus Zuckerfabrik,17389,Anklam,Bluthsluster Str. 24,Mecklenburg-Vorpommern,,1993,1993.0,,,operating,gas,ST,,no,yes,15.1,,,,,0.37729999999999997,,DE00100017389AS000000000001237294,20,E.DIS AG,,53.85625,13.7101,
BNA0027,DE,Zellstoff Stendal GmbH,Zellstoff Stendal GmbH,39596,Arneburg,Goldbecker Straße 1,Sachsen-Anhalt,-,2004 / 2013,2013.0,,,operating,biomass,ST,CHP,yes,yes,138.9,147.0,600.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.38,,"DE0075603959600000E00000000013559
DE0075603959600000E00000000013560
DE0075603959600000E00000000013561",30,Infrastrukturbetrieb der Stadt Arneburg,Arneburg,52.72713,12.01115,
BNA0033,DE,Stadtwerke Augsburg Energie GmbH,Gasturbine,86165,Augsburg ,Beim Grenzgraben 10,Bayern,GT,2004,2004.0,,,operating,gas,GT,,no,yes,28.8,,,,,0.39039999999999964,,Station 1000,110,Netze Augsburg GmbH,,48.40099,10.93576,
BNA0042,DE,Innwerk AG,Egglfing,94072,Bad Füssing,Am Innwerk 13,Bayern,Egglfing,1944,1944.0,,,operating,run_of_river,ROR,,no,no,40.4,,,,,,,Schaltanlage vor Ort,110,Bayernwerk AG,,48.3206154,13.3160755,
BNA0045,DE,"EnBW Energie Baden-Württemberg AG /
Energiedienst AG",Rheinkraftwerk Säckingen,79713,Bad Säckingen,Murger Weg 2,Baden-Württemberg,Säckingen,1959,1959.0,,,operating,run_of_river,ROR,,no,no,36.8,,,,,,,Säckingen bzw. CH,110,Netze BW GmbH,,47.558531200000004,7.955657899999999,
BNA0046,DE,Schluchseewerk Aktiengesellschaft,Säckingen,79713,Bad Säckingen,Stollenweg 2,Baden-Württemberg,Säckingen,1966,1966.0,,,operating,pumped_storage,PSP,,no,no,360.0,370.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,,,Kühmoos,220,Amprion/ Transnet BW,Säckingen 1 bis 4,47.565416,7.954035,
BNA0051,DE,Cargill Deutschland GmbH,KWK-Anlage Barby,39249,Barby,Monplaisirstr. 22,Sachsen-Anhalt,-,1993,1993.0,,,operating,gas,ST,,no,yes,18.0,,,,,0.37729999999999997,,Übergabe Schaltanlage E.ON,20,Avacon AG,,51.983191999999995,11.876560000000001,
BNA0055,DE,Pfleiderer Baruth GmbH,UTB,15837,Baruth/Mark,An der Birkenpfuhlheide 3,Brandenburg,,2002,2002.0,,,operating,biomass,ST,,yes,yes,16.0,,,,,0.38,,UTB/Eon-edis ,20,E.DIS AG,,52.07778,13.51725,
BNA0059a,DE,Volkswagen AG,HKW Kassel,34225,Baunatal,,Hessen,Turbine 1,1961,1961.0,,2013.0,shutdown,gas,ST,,no,yes,12.2,,,,,0.3421000000000003,,Anlage A,20,VW Kraftwerk GmbH,,51.258829999999996,9.43341,
BNA0059b,DE,Volkswagen AG,"GuD Baunatal, VW Werksgelände",34225,Baunatal,,Hessen,,2013,2013.0,,,operating,gas,CC,,no,yes,78.0,,,,0.47,0.5984999999999978,http://www.vw-kraftwerk.de/documente/umwelterklaerung_2012.pdf,UW Rengershausen,110,Avacon AG,,51.25308,9.4379,
BNA0062,DE,,,15848,Beeskow,,Brandenburg,,2001,2001.0,,,operating,biomass,ST,,yes,,18.3,,,,,0.38,,,HS/MS,E.DIS AG,,52.18269,14.258410000000001,
BNA0065,DE,Donau-Wasserkraft AG,Bergheim,86673,Bergheim,,Bayern,entfällt,1970,1970.0,,,operating,run_of_river,ROR,,no,no,23.7,,,,,,,loco Kraftwerk,20,DB Energie GmbH,,48.750807,11.273237,
BNA0066,DE,RWE Energiedienstleistungen GmbH,BMKW Bergkamen,59192,Bergkamen,Ernst-Schering-Straße 10,Nordrhein-Westfalen,,2005,2005.0,,,operating,biomass,ST,,yes,no,17.7,,,,,0.38,,DE000323591920000304434000000S003,30,GSW Gemeinschaftsstadtwerke GmbH Kamen-Bönen-Bergkamen,,51.63701,7.618760000000001,
BNA0067,DE,RWE Generation SE,Bergkamen,59192,Bergkamen,,Nordrhein-Westfalen,A,1981,1981.0,,,operating,coal,ST,,no,yes,717.0,780.0,20.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.3774999999999995,,Gersteinwerk,380,Amprion GmbH,Bergkamen A,51.63702,7.6191,
BNA0068,DE,RWE Energiedienstleistungen GmbH,HHKW Berlin-Neukölln,12355,Berlin,Köpenicker Straße 32,Berlin,,2005,2005.0,,,operating,biomass,ST,,yes,yes,16.5,,,,,0.38,,DE0000801235500000000000080116330,110,Stromnetz Berlin GmbH,,52.425290000000004,13.517307999999998,
BNA0073,DE,Vattenfall Europe Wärme AG,Mitte,10179,Berlin,Köpenicker Straße 60,Berlin,GuD Mitte,1996,1996.0,,,operating,gas,CC,CHP,no,yes,444.0,468.0,1210.0,List matching type: Multiple UBA capacities aggregated to single BNetzA power plant,0.49,0.5219999999999985,http://corporate.vattenfall.de/globalassets/deutschland/nachhaltigkeit/umwelt/zertifikate/ue_hkw_mi_2013.pdf,Mitte,110,Stromnetz Berlin GmbH,"Berlin-Mitte HKW GT 1, Berlin-Mitte HKW GT 2, Berlin-Mitte HKW DT",52.51172353,13.420915599999999,
BNA0074,DE,Vattenfall Europe Wärme AG,Charlottenburg,10589,Berlin,Am Spreebord 5,Berlin,Charlottenburg,1975,1975.0,2000.0,,operating,gas,GT,,no,yes,211.0,214.0,300.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.3799999999999999,,Charlottenburg,110,Stromnetz Berlin GmbH,Berlin-Charlottenburg 4 bis 6,52.52185624,13.31109524,
BNA0075,DE,Vattenfall Europe Wärme AG,Lichterfelde,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 1,1972,1972.0,1998.0,,operating,gas,ST,CHP,no,yes,144.0,150.0,240.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.38280000000000003,,Lichterfelde,110,Stromnetz Berlin GmbH,Berlin-Lichterfelde 1,52.42520804,13.30976486,
BNA0076,DE,Vattenfall Europe Wärme AG,Lichterfelde,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 3,1974,1974.0,1998.0,,operating,gas,ST,CHP,no,yes,144.0,150.0,240.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.38280000000000003,,Lichterfelde,110,Stromnetz Berlin GmbH,Berlin-Lichterfelde 3,52.42520804,13.30976486,
BNA0080,DE,Vattenfall Europe Wärme AG,Lichterfelde,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 2,1973,1973.0,1998.0,,special_case,gas,ST,CHP,no,yes,144.0,150.0,240.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.38280000000000003,,Lichterfelde,110,Stromnetz Berlin GmbH,Berlin-Lichterfelde 2,52.42520804,13.30976486,
BNA0081,DE,Vattenfall Europe Wärme Aktiengesellschaft,Klingenberg,10317,Berlin,Köpenicker Chaussee 42 - 45 ,Berlin,Klingenberg,1981,1981.0,1982.0,,operating,lignite,ST,CHP,no,yes,164.0,188.0,1010.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.3567999999999989,,Klingenberg,110,Stromnetz Berlin GmbH,Berlin-Klingenberg,52.48891639,13.49696159,
BNA0082,DE,Vattenfall Europe Wärme Aktiengesellschaft,Reuter,13599,Berlin,Otternbuchtstr. 11,Berlin,Reuter C,1969,1969.0,,,operating,coal,ST,CHP,no,yes,124.0,132.0,244.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.34750000000000014,,Reuter,110,Stromnetz Berlin GmbH,Berlin-Reuter C,52.532146,13.246072,
BNA0083,DE,Vattenfall Europe Wärme AG,Wilmersdorf,14199,Berlin,Forckenbeckstr. 3 - 6,Berlin,Wilmersdorf,1977,1977.0,,,operating,oil,ST,CHP,no,yes,276.0,280.0,330.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.35970000000000013,,Wilmersdorf,110,Stromnetz Berlin GmbH,Berlin-Wilmersdorf 1 bis 3,52.48159366,13.30761909,
BNA0084,DE,Vattenfall Europe Wärme Aktiengesellschaft,Reuter,13599,Berlin,Otternbuchtstr. 11,Berlin,Reuter M,1998,1998.0,,,operating,waste,ST,,no,yes,36.0,,,,,0.33,,Reuter,110,Stromnetz Berlin GmbH,,52.532146,13.246072,
BNA0085a,DE,Vattenfall Europe Wärme Aktiengesellschaft,Moabit,13353,Berlin,Friedrich-Krause-Ufer 10- 15,Berlin,Moabit A,1990,1990.0,1990.0,,operating,coal,ST,CHP,no,yes,89.0,100.0,136.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.40000000000000036,,Moabit,110,Stromnetz Berlin GmbH,Berlin-Moabit A,52.53735111,13.34611416,
BNA0085b,DE,Vattenfall Europe Wärme Aktiengesellschaft,Moabit,13353,Berlin,Friedrich-Krause-Ufer 10- 15,Berlin,Moabit GT,1971,1971.0,,,operating,oil,GT,,no,no,51.0,,,,,0.30459999999999976,,Moabit,110,Stromnetz Berlin GmbH,,52.53735111,13.34611416,
BNA0086,DE,Vattenfall Europe Wärme AG,Reuter West,13599,Berlin,Großer Spreering 5,Berlin,Reuter West D,1987,1987.0,,,operating,coal,ST,CHP,no,yes,282.0,300.0,363.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.4,0.39250000000000007,http://www.energie-und-management.de/free-archive/Freearchive/feView3/4449.html,Reuter,380,50 Hertz Transmission GmbH,Berlin-Reuter-West D,52.53508792,13.24264526,
BNA0087,DE,Vattenfall Europe Wärme AG,Reuter West,13599,Berlin,Großer Spreering 5,Berlin,Reuter West E,1988,1988.0,,,operating,coal,ST,CHP,no,yes,282.0,300.0,363.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.4,0.3949999999999996,http://www.energie-und-management.de/free-archive/Freearchive/feView3/4449.html,Reuter,380,50 Hertz Transmission GmbH,Berlin-Reuter-West E,52.53508792,13.24264526,
BNA0088a,DE,Solvay Chemicals GmbH,Dampfturbinenanlage der EBS-Kessel,06406,Bernburg,,Sachsen-Anhalt,,2010,2010.0,,,operating,waste,CC,IPP,no,yes,35.0,53.71287128712871,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,,,Umspannwerk Bernburg Nord,110,Mitteldeutsche Netzgesellschaft Strom mbH,Bernburg,51.802609000000004,11.751511,
BNA0088b,DE,Solvay Chemicals GmbH,Industriekraftwerk Bernburg (IKB),06406,Bernburg,,Sachsen-Anhalt,,1994,1994.0,,,operating,gas,CC,IPP,no,yes,66.0,101.2871287128713,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.5129999999999981,,Umspannwerk Bernburg Nord,110,Mitteldeutsche Netzgesellschaft Strom mbH,Bernburg,51.801239,11.75441,
BNA0090,DE,ENERTRAG Aktiengesellschaft,"ENERTRAG Netz GmbH 
(UW Bertikow)",17291,Bertikow,,Brandenburg,,2003,2003.0,,,operating,biomass,ST,,yes,no,20.0,,,,,0.38,,UW Bertikow,220,50Hertz Transmission GmbH,,53.252131999999996,13.957019,
BNA0093,DE,STEAG GmbH,Kraftwerk Bexbach,66450,Bexbach,Grubenstraße,Saarland,BEX,1983,1983.0,,,operating,coal,ST,,no,no,721.0,780.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.39,0.3825000000000003,http://www.spd-saar.de/uploads/media/konzept_bergbau.pdf,Mittelbexbach,380,Amprion GmbH,Bexbach,49.363481,7.2371360000000005,
BNA0097,DE,MVA Bielefeld-Herford GmbH,MVA Bielefeld,33609,Bielefeld,Schelpmilser Weg 30,Nordrhein-Westfalen,Linien 1 - 3,1981,1981.0,,,operating,waste,ST,,no,yes,34.0,,,,,0.33,,UW Milse,110,SWB Netz GmbH,,52.04269,8.60719,
BNA0098,DE,Stadtwerke Bielefeld GmbH,HKW Schildescher Straße,33611,Bielefeld,,Nordrhein-Westfalen,,1978,1978.0,,,special_case,gas,ST,,no,yes,23.0,,,,,0.36080000000000023,,UW Kraftwerk,110,SWB Netz GmbH,,52.033503,8.539061,
BNA0099,DE,Gemeinschaftskraftwerk Veltheim GmbH,Gasturbinenkraftwerk Bielefeld Ummeln,33649,Bielefeld,,Nordrhein-Westfalen,GT Ummeln,1975,1975.0,,2015.0,shutdown,gas,GT,,no,no,55.0,,,,,0.3149999999999995,,UW - Bielefeld West,110,SWB Netz GmbH,,51.983959999999996,8.45139,
BNA0100,DE,Stadtwerke Bielefeld GmbH,GuD Kraftwerk Hillegossen,33697,Bielefeld,,Nordrhein-Westfalen,GuD,2005,2005.0,,,operating,gas,CC,,no,yes,37.5,,,,,0.5624999999999982,,,110,SWB Netz GmbH,,52.033503,8.539061,
BNA0101,DE,Stadtwerke Bielefeld GmbH,HKW Schildescher Straße,33611,Bielefeld,,Nordrhein-Westfalen,,1966,1966.0,,,special_case,gas,ST,,no,yes,47.0,,,,,0.34760000000000035,,UW Kraftwerk,110,SWB Netz GmbH,,52.033503,8.539061,
BNA0103,DE,Stadtwerke Leipzig GmbH,Biomassekraftwerk Bischofferode,37345,Bischofferode,,Thüringen,,2006,2006.0,,,operating,biomass,ST,,yes,no,18.1,,,,,0.38,,Umspannwerk Bischofferode,20,TEN Thüringer Energienetze GmbH,,51.48993,10.41307,
BNA0105,DE,envia THERM GmbH,GuD Bitterfeld,06749,Bitterfeld,,Sachsen-Anhalt,,2000,2000.0,2000.0,,operating,gas,CC,IPP,no,yes,106.0,114.0,110.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.5399999999999991,,UW Bitterfeld Mitte,110,Mitteldeutsche Netzgesellschaft Strom mbH,Bitterfeld Chemiepark,51.633860999999996,12.299357,
BNA0106,DE,Zellstoff- und Papierfabrik Rosenthal GmbH,,07366,Blankenstein,Hauptstraße 16,Thüringen,,1999,1999.0,,,operating,biomass,ST,,yes,yes,53.5,,,,,0.38,,Umspannwerk,20,TEN Thüringer Energienetze GmbH,,51.490097999999996,10.412883,
BNA0110,DE,RWE Generation SE,Bochum,44799,Bochum,,Nordrhein-Westfalen,KBO,2004,2004.0,,,operating,gas,ST,,no,yes,20.7,,,,,0.3894000000000002,,Weitmar,110,Westnetz GmbH,,51.48333333,7.216666667,
BNA0111,DE,Stadtwerke Bochum Holding GmbH,HKW Hiltrop,44805,Bochum,,Nordrhein-Westfalen,,2014,2014.0,,,operating,gas,ST,,no,yes,44.0,,,,,0.4004000000000003,,INGU 2089 / IGRU 2088,10,Stadtwerke Bochum Netz GmbH,,51.50795,7.25029,
BNA0115,DE,Vattenfall Europe Generation AG,Lippendorf,04007,Böhlen,Werkstraße,Sachsen,R,2000,2000.0,,,operating,lignite,ST,,no,yes,875.0,933.6,230.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.41,0.39999999999999947,https://www.wirtschaftsrat.de/wirtschaftsrat.nsf/id/B836452CBA9B03CFC12578DC00337EBA/$file/kirmse.pdf (S.34),Pulgar,380,50 Hertz Transmission GmbH,Lippendorf R,51.182122,12.373287,
BNA0116,DE,EnBW Energie Baden-Württemberg AG,Braunkohlekraftwerk Lippendorf,04564,Böhlen,Werkstraße,Sachsen,LIP S,1999,1999.0,,,operating,lignite,ST,,no,yes,875.0,933.6,230.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.42,0.39759999999999884,https://www.enbw.com/unternehmen/konzern/energieerzeugung/fossile-energie/standorte.html,Pulgar,380,50 Hertz Transmission GmbH,Lippendorf S,51.182122,12.373287,
BNA0117a,DE,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Heizkraftwerk Karlstraße,53115,Bonn,,Nordrhein-Westfalen,Heizkraftwerk Karlstraße,1991,1991.0,,,operating,waste,ST,,no,yes,12.0,,,,,0.33,,Umspannanlage Endenich,10,Bonn Netz GmbH ,,50.73382,7.08055,
BNA0117b,DE,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Heizkraftwerk Karlstraße,53115,Bonn,,Nordrhein-Westfalen,Heizkraftwerk Karlstraße,2013,2013.0,,,operating,gas,ST,,no,yes,95.0,,,,,0.3993000000000002,,,10 und 110,Bonn Netz GmbH,,50.73382,7.08055,
BNA0118,DE,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Heizkraftwerk Süd,53121,Bonn,,Nordrhein-Westfalen,Heizkraftwerk Süd,1969,1969.0,,2012.0,shutdown,gas,ST,,no,yes,14.4,,,,,0.3509000000000002,,Umspannanlage Kessenich,10,Bonn Netz GmbH ,,50.73382,7.08055,
BNA0121,DE,Borchers Biomassekraftwerk GmbH,,46325,Borken,,Nordrhein-Westfalen,,2006,2006.0,,,operating,biomass,ST,,yes,,11.4,,,,,0.38,,,MS,Westnetz GmbH,,51.85542,6.888669999999999,
BNA0122,DE,Vattenfall Europe Generation AG,Boxberg,02943,Boxberg,Kraftwerksstraße,Sachsen,N,1979,1979.0,1993.0,,operating,lignite,ST,,no,yes,465.0,500.0,60.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.35,0.38319999999999954,https://www.greenpeace.de/sites/www.greenpeace.de/files/publications/vattenfalls-chance-roadmap-150424.pdf (S.15),Bärwalde,380,50 Hertz Transmission GmbH,Boxberg N,51.41626317,14.56194878,
BNA0123,DE,Vattenfall Europe Generation AG,Boxberg,02944,Boxberg,Kraftwerksstraße,Sachsen,P,1980,1980.0,1994.0,,operating,lignite,ST,,no,yes,465.0,500.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.35,0.3855999999999993,https://www.greenpeace.de/sites/www.greenpeace.de/files/publications/vattenfalls-chance-roadmap-150424.pdf (S.15),Bärwalde,380,50 Hertz Transmission GmbH,Boxberg P,51.41626317,14.56194878,
BNA0124,DE,Vattenfall Europe Generation AG,Boxberg,02945,Boxberg,Kraftwerksstraße,Sachsen,Q,2000,2000.0,,,operating,lignite,ST,,no,yes,857.0,907.0,65.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.423,0.39999999999999947,https://www.greenpeace.de/sites/www.greenpeace.de/files/publications/vattenfalls-chance-roadmap-150424.pdf (S.16),Bärwalde,380,50 Hertz Transmission GmbH,Boxberg Q,51.41626317,14.56194878,
BNA0129,DE,Stadtwerke Brandenburg an der Havel GmbH,HKW,14772,Brandenburg,,Brandenburg,,1997,1997.0,,,operating,gas,ST,,no,yes,36.0,,,,,0.3817000000000004,,UW Hohenstücken,110,E.DIS AG,,51.512175,13.97109,
BNA0130,DE,E.ON Kraftwerke GmbH,Kirchmöser,14774,Brandenburg,,Brandenburg,,1994,1994.0,,,operating,gas,CC,,no,no,160.0,207.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.5129999999999981,,Unterwerk Kirchmöser,110,50 Hertz Transmission GmbH / DB Energie GmbH,Kirchmöser,52.394166999999996,12.418056,
BNA0135,DE,Braunschweiger Versorgungs-AG & Co. KG,HKW-Mitte,38106,Braunschweig,,Niedersachsen,Block 12,1971,1971.0,,,operating,gas,CC,CHP,no,yes,20.0,26.68608885651857,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.40949999999999775,,UW Hasenwinkel 5/8,110,Braunschweiger Netz GmbH,Braunschweig-Mitte,52.278611,10.514722,
BNA0136,DE,Braunschweiger Versorgungs-AG & Co. KG,HKW-Mitte,38106,Braunschweig,,Niedersachsen,GuD,2010,2010.0,,,operating,gas,CC,CHP,no,yes,74.0,98.7385287691187,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.5849999999999991,,UW Hasenwinkel 3/7,110,Braunschweiger Netz GmbH,Braunschweig-Mitte,52.278611,10.514722,
