PowerWatch ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language
1030737,Phu Quy,Wind,,Onshore Wind,,6,,Petrovietnam,Operational,,,,,,,,,,10.5507,108.93,,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356090592.49/view,,,,,,,,,,,
1030738,Phu My 4,Gas,,,,458,,Vietnam Electricity (EVN),Operational,,,,,,,,,,10.5975,107.03,,,,,,,,,,,,,,,,
1030739,Phu My 3,Gas,,OCGT,,733,,,Operational,,,,,,,,,,10.6014,107.04,,,,,,,,,,,,,,,,
1030740,Phu My 22,Gas,,OCGT,,733,,,Operational,,,,,,,,,,10.603,107.04,,,,,,,,,,,,,,,,
1030741,Phu My 21,Gas,,OCGT,,896,,Vietnam Electricity (EVN),Operational,,,,,,,,,,10.6041,107.04,,,,,,,,,,,,,,,,
1030742,Phu My 1,Gas,,CCGT,,"1,108",,Vietnam Electricity (EVN),Operational,,,,Once Through Cooling,Song Thi Vai,,,,,10.6056,107.04,,,,,,,,,,,,,,,,
1030743,Bourbon,Oil,,,,24,,,Operational,,,,,,,,,,10.613,106.49,,,,,,,,,,,,,,,,
1030744,Hiep Phuoc,Oil,,,,375,,,Operational,,,,Once Through,Song Kinh,,,,,10.642,106.75,,,,,,,,,,,,,,,,
1030745,Nhon Trach 1,Gas,,CCGT,,465,,Petrovietnam,Operational,,,2009,Once Through Cooling,Song Dong Tranh,,,,,10.6428,106.84,,,,,,,,,,,,,,,,
1030745,Nhon Trach 2,Gas,,CCGT,,750,,Petrovietnam,Operational,,,2011,Once Through Cooling,Song Dong Tranh,,,,,10.6428,106.84,,,,,,,,,,,,,,,,
1030746,Formosa Dong Nai,Coal,,Sub-critical Thermal,,310,,Formosa Plastics Group,Operational,,,2004,Forced Draft Recirculating Tower,Song Thi Vai,,,,,10.7151,106.92,,,,,,,,,,,,,,,,
1030747,Thu Duc,Oil,,Sub-critical Thermal,,165,,Vietnam Electricity (EVN),Operational,,,,Once Through,Rach Tracomeco,,,,,10.8284,106.76,,,,,,,,,,,,,,,,
1030747,Thu Duc,Oil,,OCGT,,114,,Vietnam Electricity (EVN),Operational,,,,,,,,,,10.8284,106.76,,,,,,,,,,,,,,,,
1030748,Amata,Oil,,,,13,,,Operational,,,,,,,,,,10.9471,106.9,,,,,,,,,,,,,,,,
1030749,Thuan Nhien Phong,Wind,,Onshore Wind,,32,2017,Asia Renewable Energy Corporation,Operational,,,,,,,,,,11.0525,108.41,,CDM,https://cdm.unfccc.int/Projects/DB/ICONTEC1347549044.44/view,,,,,,,,,,,,,
1030750,Tuy Phong,Wind,,Onshore Wind,,30,,,Operational,,,,,,,,,,11.2122,108.2,,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,,,,,,,,,,,,
1030751,Vinh Tan 2,Coal,,Super-critical Thermal,2,"1,244",,Vietnam Electricity (EVN),Operational,,,2014,Once Through Cooling,Phan Ri,,,,,11.317,108.81,,,,,,,,,,,,,,,,
1030752,Bac Binh,Hydro,,,,33,2009,Viet Nam Hydro Power Development JSC.,Operational,Luy,144.7,2016,,,,,,,11.3711,108.33,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/bac-binh-hydropower,,,,,,,,,,"Phan Son, Phan Lam",,Vietnam,
1030753,Gia Lai sugar-cane,Biomass,,,,12,,Investment and Trade Consultancy Company Limited,Operational,,,,,,,,,,13.4257,108.42,,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,CDM,https://cdm.unfccc.int/Projects/DB/BVQI1354170248.97/view,,,,,,,,,,,
1030754,La Hieng 2,Hydro,,,,18,2015,VRG Phu Yen JSC.,Operational,La Hieng,68,2016,,,,,,,13.5017,108.85,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/la-hieng-2-hydropower,,,,,,,,,,Phu Mỡ,,Vietnam,
1030755,Phuong Mai 3,Wind,,Onshore Wind,,21,2017,Central Wind power Joint Stock Company,Operational,,,,,,,,,,13.9077,109.26,,CDM,https://cdm.unfccc.int/Projects/DB/ICONTEC1347544560.36/view,,,,,,,,,,,,,
1030756,Nong Son,Coal,,Sub-critical Thermal,,30,,Vinacomin,Operational,,,2014,Once Through Cooling,Thu Bon River,,,,,15.7171,108.03,,,,,,,,,,,,,,,,
1030757,Formosa Ha Tinh,Coal,,Sub-critical Thermal,,150,,Formosa Plastics Group,Operational,,,2015,Once Through Cooling,South China Sea,,,,,18.0288,106.45,,,,,,,,,,,,,,,,
1030758,Vung Ang I,Coal,,Sub-critical Thermal,2,"1,245",,Petrovietnam,Operational,,,2014,Once Through Cooling,Vinh Vung Ang,,,,,18.0979,106.38,,,,,,,,,,,,,,,,
1030759,Nghi Son 1,Coal,,Sub-critical Thermal,,600,,Vietnam Electricity (EVN),Operational,,,2013,Once Through Cooling,South China Sea,,,,,19.3158,105.8,,,,,,,,,,,,,,,,
1030760,Ninh Binh,Coal,,Sub-critical Thermal,,100,,Vietnam Electricity (EVN),Operational,,,1974,Once Through Cooling,Song Day,,,,,20.2527,105.98,,,,,,,,,,,,,,,,
1030761,Hai Phong 2,Coal,,Sub-critical Thermal,,600,,Vietnam Electricity (EVN),Operational,,,2013,Once Through Cooling,Song Da Bach,,,,,20.938642,106.757,,,,,,,,,,,,,,,,
1030762,Hai Phong 1,Coal,,Sub-critical Thermal,,600,,Vietnam Electricity (EVN),Operational,,,2011,Once Through Cooling,Song Da Bach,,,,,20.94191,106.76,,,,,,,,,,,,,,,,
1030763,Cai Lan,Oil,,,,39,,,Operational,,,,,,,,,,20.9861,107.03,,,,,,,,,,,,,,,,
1030764,Cam Pha I,Coal,,Sub-critical Thermal,,300,,Vinacomin,Operational,,,2011,Once Through Cooling,Bai Tu Long Bay,,,,,21.0063,107.36,,,,,,,,,,,,,,,,
1030764,Cam Pha II,Coal,,Sub-critical Thermal,,300,,Vinacomin,Operational,,,2011,Once Through Cooling,Bai Tu Long Bay,,,,,21.0063,107.36,,,,,,,,,,,,,,,,
1030765,Quang Ninh 1,Coal,,Sub-critical Thermal,2,600,,Vietnam Electricity (EVN),Operational,,,2009,Once Through Cooling,Vinh Cua Luc,,,,,21.0118,107.13,,,,,,,,,,,,,,,,
1030765,Quang Ninh 2,Coal,,Sub-critical Thermal,2,600,,Vietnam Electricity (EVN),Operational,,,2012,Once Through Cooling,Vinh Cua Luc,,,,,21.0118,107.13,,,,,,,,,,,,,,,,
1030766,Uong Bi,Coal,,Sub-critical Thermal,,105,,Vietnam Electricity (EVN),Operational,,,1974,Once Through Cooling,Song Uong,,,,,21.0398,106.78,,,,,,,,,,,,,,,,
1030766,Uong Bi Extension 1,Coal,,Sub-critical Thermal,,300,,Vietnam Electricity (EVN),Operational,,,2006,Once Through Cooling,Song Uong,,,,,21.0398,106.78,,,,,,,,,,,,,,,,
1030766,Uong Bi Extension 2,Coal,,Sub-critical Thermal,,330,,Vietnam Electricity (EVN),Operational,,,2011,Once Through Cooling,Song Uong,,,,,21.0398,106.78,,,,,,,,,,,,,,,,
1030767,Mong Duong 2,Coal,,Sub-critical Thermal,,"1,120",,"AES, POSCO, CPI",Operational,,,2015,Once Through Cooling,Bai Tu Long Bay,,,,,21.0725,107.35,,,,,,,,,,,,,,,,
1030768,Mong Duong 1,Coal,,Sub-critical Thermal,,"1,080",,Vietnam Electricity (EVN),Operational,,,2015,Once Through Cooling,Bai Tu Long Bay,,,,,21.0728,107.35,,,,,,,,,,,,,,,,
1030769,Mao Khe,Coal,,Circulating Fluidized Bed,,440,,Vinacomin,Operational,,,2013,Forced Draft Recirculating Tower,Song Cam,,,,,21.0907,10.577,,,,,,,,,,,,,,,,
1030770,Pha Lai 2,Coal,,Sub-critical Thermal,2,600,,Vietnam Electricity (EVN),Operational,,,2001,Once Through Cooling,Song Luc Nam,,,,,21.1141,106.31,,,,,,,,,,,,,,,,
1030771,Pha Lai 1,Coal,,Sub-critical Thermal,4,440,,Vietnam Electricity (EVN),Operational,,,1987,Once Through Cooling,Song Luc Nam,,,,,21.1146,106.31,,,,,,,,,,,,,,,,
1030772,Son Dong,Coal,,Sub-critical Thermal,2,220,,Vinacomin,Operational,,,2010,Forced Draft Recirculating Tower,,,,,,21.1793,106.78,,,,,,,,,,,,,,,,
1030773,An Khanh I,Coal,,Sub-critical Thermal,,120,2015,An Khanh Electricity Jsc,Operational,,,2016,Forced Draft Recirculating Tower,,,,,,21.596912,105.767,,,,,,,,,,,,,,,,
1030774,Cao Ngan,Coal,,Sub-critical Thermal,,115,,Vinacomin,Operational,,,2006,Forced Draft Recirculating Tower,Cau River,,,,,21.613,105.82,,,,,,,,,,,,,,,,
1030775,Na Duong,Coal,,Sub-critical Thermal,,110,,Vinacomin,Operational,,,2004,Forced Draft Recirculating Tower,,,,,,21.698111,106.976,,,,,,,,,,,,,,,,
1030776,Dak Lo,Hydro,,,,22,2016,Dak Lo- Song Da 3 JSC,Operational,Dak Lo,93.2,2016,,,,,,,14.727500000000001,108.36944444444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-lo-hydropower,,,,,,,,,,"Ngoc Tem, Mang Canh",,Vietnam,
1030777,Tri An,Hydro,,,,400,1991,Tri An Hydro Power Company,Operational,Dong Nai,1700,2016,,,,,,,11.10478611111111,106.98482222222222,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/tri-an-hydropower,,,,,,,,,,,,Vietnam,
1030778,Ham Thuan - Da Mi,Hydro,,,,475,2001,Da Nhim - Ham Thuan - Da Mi Hydropower Company,Operational,La Nga,1555.3,2016,,,,,,,11.335955555555556,107.93495555555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ham-thuan-da-mi-hydropower,,,,,,,,,,"La Ngau, Da Mi, Dong Giang, La Da, Loc Nam, Hoa Bac, Hoa Nam",,Vietnam,
1030779,Dai Nga,Hydro,,,,10,2015,Thac Mo Hydropower JSC.,Operational,Dai Nga,44,2016,,,,,,,11.421869444444443,107.87544444444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dai-nga-hydropower,,,,,,,,,,"Loc Nga, Loc An",,Vietnam,
1030780,Dam'Bri,Hydro,,,,75,2014,Southern Hydropower JSC.,Operational,Da’Mbri,338,2016,,,,,,,11.582669444444445,107.67257777777779,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/dataset/da-mbri-hydropower,,,,,,,,,,"Loc Tan, Phuoc Loc, Trieu Hai",,Vietnam,
1030781,Dai Ninh,Hydro,,,,300,2008,Vietnam Electricity (EVN),Operational,Da Nhim,1178,2016,,,,,,,11.649863888888888,108.32023888888888,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dai-ninh-hydropower,,,,,,,,,,"Ninh Gia, Phan Lam",,Vietnam,
1030782,Dong Nai 2,Hydro,,,,70,2015,Trung Nam Power,Operational,Dong Nai,264,2016,,,,,,,11.712938888888889,108.05786666666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dong-nai-2-hydropower,,,,,,,,,,Tan Thuong,,Vietnam,
1030783,Da Dang 2,Hydro,,,,34,2010,Southern Hydropower JSC.,Operational,Da Dang,152,2016,,,,,,,11.721952777777778,108.24680833333333,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-dang-2-hydropower,,,,,,,,,,Tan Thanh,,Vietnam,
1030784,Srok Phu Mieng,Hydro,,,,51,2006,Srok Phu Mieng Hydro Power JSC.,Operational,Be,228,2016,,,,,,,11.768858333333334,106.756425,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/sok-phu-mieng-hydropower,,,,,,,,,,"Long Binh, Thanh An",,Vietnam,
1030785,Dong Nai 5,Hydro,,,,150,2015,Vietnam National Coal - Mineral Industries Group,Operational,Dong Nai,616,2016,,,,,,,11.792691666666666,107.55336388888888,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dong-nai-5-hydropower,,,,,,,,,,"Dak Sin, Loc Bac",,Vietnam,
1030786,Ha Song Pha 1,Hydro,,,,5.4,2013,Ha Song Hydropower JSC,Operational,Krong Pha,31.86,2016,,,,,,,11.828372222222223,108.6906388888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-pha-1-hydropower,,,,,,,,,,Lam Son,,Vietnam,
1030787,Ha Song Pha 2,Hydro,,,,5.1,2015,Ha Song Hydropower JSC,Operational,Krong Pha,30,2016,,,,,,,11.831927777777777,108.70729166666666,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-pha-2-hydropower,,,,,,,,,,Lam Son,,Vietnam,
1030788,Song Pha,Hydro,,,,7.5,1995,Da Nhim - Ham Thuan - Da Mi Hydropower Company,Operational,Krong Pha,40,2016,,,,,,,11.833152777777778,108.68406944444445,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-pha-hydropower,,,,,,,,,,,,Vietnam,
1030789,Dak Sin 1,Hydro,,,,28,2015,VRG Dak Nong JSC. - Vietnam Rubber Group,Operational,Dak Sin,105,2016,,,,,,,11.818569444444444,107.45898055555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-sin-1-hydropower,,,,,,,,,,Dak Sin,,Vietnam,
1030790,Da Nhim,Hydro,,,,160,1964,Da Nhim - Ham Thuan - Da Mi Hydropower JSC.,Operational,Da Nhim,1000,2016,,,,,,,11.852897222222222,108.6058361111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-nhim-hydropower,,,,,,,,,,Loc Son,,Vietnam,
1030791,Thac Mo,Hydro,,,,150,1995,Thac Mo Hydro Power JSC.,Operational,Be,610,2016,,,,,,,11.857766666666667,107.01925277777778,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/thac-mo-hydropower,,,,,,,,,,,,Vietnam,
1030792,Bu Ca Mau,Hydro,,,,4,2009,Cat Nam Trading - Services and Production Company Limited,Operational,,12.5,2016,,,,,,,11.871277777777777,106.97678333333333,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/bu-ca-mau-hydropower,,,,,,,,,,Phu Nghia,,Vietnam,
1030793,Dong Nai 3,Hydro,,,,180,2011,Vietnam Electricity (EVN),Operational,Dong Nai,607,2016,,,,,,,11.872225,107.88865555555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dong-nai-3-hydropower,,,,,,,,,,Quang Khe,,Vietnam,
1030794,Dong Nai 4,Hydro,,,,340,2012,Vietnam Electricity (EVN),Operational,Dong Nai,1100,2016,,,,,,,11.885127777777777,107.7286388888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dong-nai-4-hydropower,,,,,,,,,,Loc Bao,,Vietnam,
1030795,Quang Tin,Hydro,,,,5,2009,N&S Limited Liability Company,Operational,Dak R'lap,21,2016,,,,,,,11.963099999999999,107.44928055555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/quang-tin-hydropower,,,,,,,,,,Quang Tin,,Vietnam,
1030796,Dak Nong 2,Hydro,,,,16,2016,Viet Nguyen Construction JSC.,Operational,Dak Nong,65,2016,,,,,,,11.964508333333333,107.66751111111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-nong-2-hydropower,,,,,,,,,,Nghia Tan,,Vietnam,
1030797,Dak Ru,Hydro,,,,7.5,2008,N&S Limited Liability Company,Operational,Dak Ru,40,2016,,,,,,,11.952166666666667,107.40419722222222,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ru-hydropower,,,,,,,,,,Dak Ru,,Vietnam,
1030798,Can Don,Hydro,,,,77,2004,Song Da Group,Operational,Be,321,2016,,,,,,,11.968902777777778,106.84347222222222,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/can-don-hydropower,,,,,,,,,,Da Kim,,Vietnam,
1030799,Dak R'Tih,Hydro,,,,144,2011,Construction Corporation No.1 Company Limited,Operational,Dak R'Tih,636.8,2016,,,,,,,11.990158333333332,107.65972222222223,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-rtih-hydropower,,,,,,,,,,Nhan Co,,Vietnam,
1030800,Suoi Vang (AnKroet),Hydro,,,,3.1,1945,Vietnam Electricity (EVN),Operational,Da Dung,,2016,,,,,,,11.992113888888888,108.37081666666666,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/suoi-vang-hydropower,,,,,,,,,,Lat,,Vietnam,
1030801,Dak Glun,Hydro,,,,18,2011,Sai Gon Accessories JSC,Operational,Dak Glun,76,2016,,,,,,,12.025169444444446,107.18336666666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-glun-hydropower,,,,,,,,,,Duong 10,,Vietnam,
1030802,Da Kai,Hydro,,,,6,,Nghia Gia Development Company Limited,Operational,Da Kai,25,2016,,,,,,,12.083752777777779,108.59531388888888,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-kai-hydropower,,,,,,,,,,Loc Lam,,Vietnam,
1030803,Da Nhim Thuong 2,Hydro,,,,7.5,2010,Thai Bao Production Trading Services and Investment Consultancy JSC.,Operational,Da Nhim,32,2016,,,,,,,12.116111111111111,108.58519444444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/da-nhim-thuong-hydropower,,,,,,,,,,Da Chay,,Vietnam,
1030804,Dac Me,Hydro,,,,5,2011,Dak Me Hydro Power JSC.,Operational,,25,2016,,,,,,,12.133269444444444,108.31304722222222,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dac-me-hydropower,,,,,,,,,,Da Long,,Vietnam,
1030805,Yan-Tann-Sien,Hydro,,,,19.5,2010,Cao Nguyen - Song Da Hydro Power JSC.,Operational,Dak Heur,79,2016,,,,,,,12.152644444444444,108.37868888888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/yan-tann-sien-hydropower,,,,,,,,,,Dung K'No,,Vietnam,
1030806,Dak N'teng,Hydro,,,,13,2011,Me Kong Hydro Power Limited Liability Company,Operational,Krong No,53,2016,,,,,,,12.195769444444444,107.92678055555557,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-nteng-hydropower,,,,,,,,,,Quang Son,,Vietnam,
1030807,Krong No 3,Hydro,,,,18,2016,Trung Nam Power,Operational,Dak Krong No,63.5,2016,,,,,,,12.21166111111111,108.28467222222223,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/krong-no-3-hydropower,,,,,,,,,,"Da Tong, Krong No",,Vietnam,
1030808,Buon Tua Srah,Hydro,,,,86,2009,Vietnam Electricity (EVN),Operational,Krong No,358.6,2016,,,,,,,12.285191666666666,108.0382861111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/buon-tua-srah-hydropower,,,,,,,,,,"Nam Ka, Quang Phu",,Vietnam,
1030809,Song Giang 2,Hydro,,,,37,2014,Song Giang Hydropower Exploitation JSC,Operational,Giang,141.7,2016,,,,,,,12.372883333333334,108.8373861111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-giang-2-hydropower,,,,,,,,,,Khanh Trung,,Vietnam,
1030810,Krong Kmar,Hydro,,,,12,2008,Song Da Investment and Development JSC,Operational,,60,2016,,,,,,,12.451969444444444,108.33720555555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/krong-kmar-hydropower,,,,,,,,,,Krong Kmar,,Vietnam,
1030811,Buon Kuop,Hydro,,,,280,2011,Vietnam Electricity (EVN),Operational,Srepok,1105,2016,,,,,,,12.530466666666667,107.92432500000001,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/buon-kuop-hydropower,,,,,,,,,,"Ea Na, Dray Sap, Hoa Phu, Nam Da",,Vietnam,
1030812,Dray H'Linh 1,Hydro,,,,12,1990,,Operational,Srepok,,2016,,,,,,,12.671211111111111,107.90750833333334,,Open Development Vietnam,,,,,,,,,,,,,Vietnam,
1030813,Dray H'Linh 2,Hydro,,,,16,2007,Dien Luc 3 Hydro Power JSC.,Operational,Srepok,80,2016,,,,,,,12.675675,107.90414166666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dray-hlinh-2-hydropower,,,,,,,,,,Eapo,,Vietnam,
1030814,SrePok 3,Hydro,,,,220,2009,Vietnam Electricity (EVN),Operational,Srepok,1060,2016,,,,,,,12.752433333333334,107.87675833333333,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/srepok-3-hydropower,,,,,,,,,,"Ea Po, Tan Hoa",,Vietnam,
1030815,Ea MDoal 3,Hydro,,,,5,2010,Me Kong Construction JSC.,Operational,,,2016,,,,,,,12.799883333333334,108.92868333333334,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ea-mdoal-3-hydropower,,,,,,,,,,Ea MDoal,,Vietnam,
1030816,SrePok 4,Hydro,,,,80,2010,Dai Hai Electricity Investment and Development JSC,Operational,Srepok,336,2016,,,,,,,12.807241666666668,107.85513055555555,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/srepok-4-hydropower,,,,,,,,,,"Ea Po, Ea Wer",,Vietnam,
1030817,Sre Pok 4a,Hydro,,,,64,2014,Buon Don Hydro Power JSC.,Operational,Srepok,308,2016,,,,,,,12.893463888888888,107.81229444444445,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/srepok-4a-hydropower,,,,,,,,,,"Ea Huar, Ea Wer, Krong Na",,Vietnam,
1030818,Song Hinh,Hydro,,,,70,2001,Vinh Son- Song Hinh Hydropower JSC,Operational,Hinh,370,2016,,,,,,,12.928144444444444,108.99357222222223,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-hinh-hydropower,,,,,,,,,,"Ea Trol, Song Hinh, Duc Binh Dong",,Vietnam,
1030819,Song Ba Ha,Hydro,,,,220,2008,Song Ba Ha JSC.,Operational,Ba,835,2016,,,,,,,13.022625000000001,108.90387222222223,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-ba-ha-hydropower,,,,,,,,,,"Suoi Trai, Krong Pa",,Vietnam,
1030820,Dak Srong 3B,Hydro,,,,20,2012,Hoang Anh Gia Lai JSC.,Operational,Ba,75,2016,,,,,,,13.338091666666667,108.55871944444443,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-3b-hydropower,,,,,,,,,,,,Vietnam,
1030821,Dak Srong 3A,Hydro,,,,10,2014,Hoang Anh Gia Lai JSC.,Operational,Ba,37,2016,,,,,,,13.347275,108.53225,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-3a-hydropower,,,,,,,,,,Rsuom,,Vietnam,
1030822,Ayun Ha,Hydro,,,,3,,Gia Lai Electricity JSC.,Operational,,,2016,,,,,,,13.580866666666667,108.2591861111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ayun-ha-hydropower,,,,,,,,,,Chu A Thai,,Vietnam,
1030823,Dak Srong 2,Hydro,,,,24,2010,Hoang Anh Gia Lai JSC.,Operational,,85.8,2016,,,,,,,13.678574999999999,108.56494722222222,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-srong-2-hydropower,,,,,,,,,,,,Vietnam,
1030824,Ia Drang 2,Hydro,,,,1.2,,Gia Lai Electricity JSC.,Operational,,,2016,,,,,,,13.738930555555555,107.85084166666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ia-drang-2-hydropower,,,,,,,,,,Ia Boong,,Vietnam,
1030825,Ia Grai 2,Hydro,,,,7.5,2014,Quoc Cuong Gia Lai JSC,Operational,,,2016,,,,,,,13.975558333333334,107.79280555555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ia-grai-2-hydropower,,,,,,,,,,Ia To,,Vietnam,
1030826,Ia Grai 1,Hydro,,,,10.8,2012,Quoc Cuong Gia Lai JSC,Operational,,,2016,,,,,,,13.975675,107.7277611111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ia-grai-1-hydropower,,,,,,,,,,Ia To,,Vietnam,
1030827,Se San 4,Hydro,,,,360,2009,Se San Hydropower Development Company,Operational,Se San,1042,2016,,,,,,,13.967830555555556,107.49532777777777,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/se-san-4-hydropower,,,,,,,,,,,,Vietnam,
