Controlling corporation,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (Mwh),Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Total Emissions (t CO2-e),Emission Intensity (t/Mwh),Grid Connected,Grid,Primary Fuel,Important Notes
ERM POWER LIMITED,Corporate Total,C,,"2,279,069","633,075","400,759","5,030","405,789"
ESPERANCE POWER STATION PTY LTD,Esperance Power Station,F,WA,"276,530","76,814","58,694",0,"58,694",0.76,Off,Off-grid,Gas/Diesel,
ESPERANCE POWER STATION PTY LTD,Corporate Total,C,,"276,530","76,814","58,694",0,"58,694"
ESSENTIAL ENERGY,Essential Energy Generation Facilities,F,NSW,"3,290",914,"1,239",406,"1,645",1.36,On,NEM,Multiple sources,
ESSENTIAL ENERGY,Corporate Total,C,,"3,290",914,"1,239",406,"1,645"
FENGATE EXMOUTH ENERGY SPV PTY LTD,Exmouth Power Station Pty Ltd,F,WA,"85,721","23,811","17,304",0,"17,304",0.73,Off,Off-grid,Gas,
FENGATE EXMOUTH ENERGY SPV PTY LTD,Corporate Total,C,,"85,721","23,811","17,304",0,"17,304"
FPC 30 LIMITED,FPC Green Energy,F,QLD,"284,724","79,090","3,854","1,960","5,814",0.05,On,NEM,Biofuel,
FPC 30 LIMITED,Corporate Total,C,,"284,724","79,090","3,854","1,960","5,814"
GOLDFIELDS POWER PTY LTD,Parkeston Power Station,F,WA,"879,767","244,380","130,402",0,"130,402",0.53,On,SWIS,Gas/Diesel,
GOLDFIELDS POWER PTY LTD,Corporate Total,C,,"879,767","244,380","130,402",0,"130,402"
GSP ENERGY PTY LTD,Blayney Wind Farm,F,NSW,"68,007","18,891",0,44,44,0.00,On,NEM,Wind,
GSP ENERGY PTY LTD,Burrinjuck Power Station,F,NSW,"299,060","83,072",0,66,66,0.00,On,NEM,Hydro,
GSP ENERGY PTY LTD,Crookwell Wind Farm,F,NSW,"31,427","8,730",0,31,31,0.00,On,NEM,Wind,
GSP ENERGY PTY LTD,Hume Power Station,F,NSW,"653,966","181,657",0,164,164,0.00,On,NEM,Hydro,
GSP ENERGY PTY LTD,Keepit Power Station,F,NSW,"4,405","1,224",0,0,0,0.00,On,NEM,Hydro,
GSP ENERGY PTY LTD,Corporate Total,C,,"1,056,865","293,574",0,305,305
HYDRO POWER PTY LIMITED,Wyangala A,F,NSW,"144,408","40,113",0,0,0,0.00,On,NEM,Hydro,
HYDRO POWER PTY LIMITED,Corporate Total,C,,"144,408","40,113",0,0,0
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,TAS,"976,362","271,212",0,94,94,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Bell Bay Thermal Power Station,F,TAS,543,151,760,41,801,5.04,On,NEM,Gas,
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,TAS,"169,404","47,057",0,0,0,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,TAS,"805,018","223,616","15,015",17,"15,032",0.07,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,TAS,"611,375","169,826",0,103,103,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,TAS,"270,139","75,039",0,9,9,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,F,TAS,"814,361","226,211",0,15,15,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Fisher Hydro Power Station,F,TAS,"594,628","165,174",0,0,0,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,F,TAS,"13,222","3,673","2,498",2,"2,500",0.68,Off,Off-grid,Wind/Diesel,
HYDRO-ELECTRIC CORPORATION,George Town (Temp Diesel),F,TAS,"31,595","8,776","6,160",3,"6,163",0.70,On,NEM,Diesel,
HYDRO-ELECTRIC CORPORATION,Gordon Hydro Power Station,F,TAS,"5,003,528","1,389,869",0,152,152,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,F,TAS,"1,344,498","373,472",0,203,203,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,King Island Power Station,F,TAS,"46,703","12,973","4,466",3,"4,469",0.34,Off,Off-grid,Wind/Diesel,
HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,F,TAS,"378,203","105,056",0,11,11,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,F,TAS,"55,477","15,410",0,1,1,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,F,TAS,"152,031","42,231",0,3,3,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,F,TAS,"810,358","225,099",0,36,36,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,F,TAS,"1,371,491","380,970",0,287,287,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Mackintosh Hydro Power Station,F,TAS,"970,421","269,561",0,280,280,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,F,TAS,"370,684","102,968","9,979",30,"10,009",0.10,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Paloona Hydro Power Station,F,TAS,"360,020","100,006",0,12,12,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,F,TAS,"7,916","2,199",0,0,0,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,F,TAS,"4,523,235","1,256,454",0,782,782,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Port Latta (Temp Diesel),F,TAS,"19,236","5,343","3,884",3,"3,887",0.73,On,NEM,Diesel,
HYDRO-ELECTRIC CORPORATION,Que River (Temp Diesel),F,TAS,"23,521","6,534","5,065",5,"5,070",0.78,On,NEM,Diesel,
HYDRO-ELECTRIC CORPORATION,Reece Hydro Power Station,F,TAS,"2,736,735","760,204",0,"1,593","1,593",0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Repulse Hydro Power Station,F,TAS,"455,516","126,532",0,6,6,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,F,TAS,"105,014","29,171",0,0,0,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Tamar Valley Power Station,F,TAS,"2,811,111","780,864","357,888",965,"358,853",0.46,On,NEM,Gas,
HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,F,TAS,"1,613,976","448,327",0,61,61,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Tods Corner Hydro Power Station,F,TAS,"9,085","2,524",0,3,3,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,F,TAS,"1,372,595","381,276",0,44,44,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Tribute Hydro Power Station,F,TAS,"656,992","182,498",0,39,39,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,F,TAS,"1,831,827","508,841",0,94,94,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,F,TAS,"799,235","222,010",0,4,4,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,F,TAS,"371,141","103,095",0,28,28,0.00,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,,"32,487,196","9,024,221","405,715","4,929","410,644"
IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,F,VIC,"491,832","136,620",27,196,223,0.00,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,F,SA,"631,683","175,468",13,181,194,0.00,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,Codrington Wind Farm,F,VIC,"148,019","41,116",11,55,66,0.00,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,Eildon Pondage Hydro,F,VIC,"45,476","12,632",0,0,0,0.00,On,NEM,Hydro,
IFM RENEWABLE ENERGY PTY LTD,Glenmaggie Hydro,F,VIC,"18,037","5,010",0,0,0,0.00,On,NEM,Hydro,
IFM RENEWABLE ENERGY PTY LTD,Ord Hydro,F,WA,"780,200","216,722",18,0,18,0.00,Off,Off-grid,Hydro,
IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,F,VIC,"1,657,431","460,398",5,0,5,0.00,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,The Drop Hydro,F,NSW,"14,184","3,940",0,0,0,0.00,On,NEM,Hydro,
IFM RENEWABLE ENERGY PTY LTD,William Hovell Hydro,F,VIC,"9,951","2,764",0,30,30,0.00,On,NEM,Hydro,
IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,F,VIC,"308,923","85,812",24,196,220,0.00,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,Corporate Total,C,,"4,105,736","1,140,482",98,658,756
INFIGEN ENERGY LIMITED,Alinta Wind Farm,F,WA,"1,103,621","306,561",43,752,795,0.00,On,SWIS,Wind,
INFIGEN ENERGY LIMITED,Capital East Solar Farm,F,NSW,149,41,0,4,4,0.00,On,NEM,Solar,
INFIGEN ENERGY LIMITED,Capital Wind Farm,F,NSW,"1,333,851","370,514",103,788,891,0.00,On,NEM,Wind,
INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",F,SA,"2,394,147","665,041",63,803,866,0.00,On,NEM,Wind,
INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,F,NSW,"545,517","151,533",22,335,357,0.00,On,NEM,Wind,
INFIGEN ENERGY LIMITED,Corporate Total,C,,"5,377,285","1,493,690",231,"2,682","2,913"
IPM (KWINANA) PTY LTD,Kwinana Cogeneration Plant,F,WA,"3,161,087","878,080","472,509",38,"472,547",0.54,On,SWIS,Gas,
IPM (KWINANA) PTY LTD,Corporate Total,C,,"3,161,087","878,080","472,509",38,"472,547"
IPM AUSTRALIA LIMITED,Loy Yang B Power Station,F,VIC,"30,425,411","8,451,503","9,647,046","3,059","9,650,105",1.14,On,NEM,Brown Coal,
IPM AUSTRALIA LIMITED,Corporate Total,C,,"30,425,411","8,451,503","9,647,046","3,059","9,650,105"
LMS ENERGY PTY LTD,Albury Renewable Energy Facility,F,NSW,"27,524","7,646",425,0,425,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Atlas Renewable Energy Facility,F,WA,"14,490","4,025",228,0,228,0.06,On,SWIS,Landfill Gas,
LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,F,NSW,"31,788","8,830",497,0,497,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Ballarat Renewable Energy Facility,F,VIC,"24,593","6,831",392,0,392,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Bendigo Renewable Energy Facility,F,VIC,"15,151","4,209",236,0,236,0.06,On,NEM,Solar,
LMS ENERGY PTY LTD,Birkdale Renewable Energy Facility,F,QLD,"23,993","6,665",364,0,364,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Darwin Renewable Energy Facility,F,NT,"27,675","7,688",445,0,445,0.06,On,DKIS,Landfill Gas,
LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,F,NSW,"226,741","62,984","3,247",0,"3,247",0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Hampton Park Renewable Energy Facility,F,VIC,"211,479","58,744","3,081",0,"3,081",0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Ipswich Renewable Energy Facility,F,QLD,"27,367","7,602",445,0,445,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Mornington Peninsula Renewable Energy Facility,F,VIC,"22,762","6,323",356,0,356,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,F,NSW,"64,609","17,947",973,0,973,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Remount Renewable Energy Facility,F,TAS,"44,237","12,288",705,0,705,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Rochedale Renewable Energy Facility,F,QLD,"123,969","34,436","1,768",0,"1,768",0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Shepparton Renewable Energy Facility,F,VIC,"15,685","4,357",242,0,242,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,South Cardup Renewable Energy Facility,F,WA,"100,737","27,983","1,566",0,"1,566",0.06,On,SWIS,Landfill Gas,
LMS ENERGY PTY LTD,Stapylton Renewable Energy Facility,F,QLD,"51,102","14,195",841,0,841,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Suntown Renewable Energy Facility,F,QLD,99,28,2,0,2,0.07,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Swanbank Renewable Energy Facility,F,QLD,"40,332","11,203",627,0,627,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Tweed Shire Renewable Energy Facility,F,NSW,"2,118",588,37,0,37,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Wollert Renewable Energy Facility,F,VIC,"197,228","54,786","3,053",0,"3,053",0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Wyndham Renewable Energy Facility,F,VIC,"55,106","15,307",763,0,763,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,F,NSW,"65,920","18,311","1,004",0,"1,004",0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Corporate Total,C,,"1,414,705","392,974","21,297",0,"21,297"
MERIDIAN ENERGY AUSTRALIA PTY LTD,Mt Mercer Wind farm Pty Ltd,F,VIC,"1,271,657","353,238",120,1,121,0.00,On,NEM,Wind,
MERIDIAN ENERGY AUSTRALIA PTY LTD,Mt Millar Wind Farm Pty Ltd,F,SA,"658,516","182,921",0,0,0,0.00,On,NEM,Wind,
MERIDIAN ENERGY AUSTRALIA PTY LTD,Corporate Total,C,,"1,930,173","536,159",120,1,121
MITSUI & CO. (AUSTRALIA) LTD.,Bald Hills Wind Farm,F,VIC,"1,165,374","323,715",45,844,889,0.00,On,NEM,Wind,
MITSUI & CO. (AUSTRALIA) LTD.,Corporate Total,C,,"1,165,374","323,715",45,844,889
MOMENTUM ENERGY PTY LIMITED,Alfred Hospital Cogeneration Plant,F,VIC,"51,831","14,398","13,568",552,"14,120",0.94,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,Dandenong Hospital Cogeneration Plant,F,VIC,"43,841","12,178","10,990",395,"11,385",0.90,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,Geelong Hospital Cogeneration Plant,F,VIC,"52,425","14,563","12,725",536,"13,261",0.87,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,Royal Melbourne Hospital Cogeneration Plant,F,VIC,"114,617","31,838","26,542",94,"26,636",0.83,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,ST. Vincent's Hospital Cogeneration Plant,F,VIC,"47,008","13,058","14,072",544,"14,616",1.08,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,Corporate Total,C,,"309,722","86,034","77,897","2,121","80,018"
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Mortons Lane Windfarm Pty Ltd,F,VIC,"220,200","61,167",0,41,41,0.00,On,NEM,Wind,
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Corporate Total,C,,"220,200","61,167",0,41,41
MUMBIDA WIND FARM HOLDINGS PTY LTD,Mumbida Wind Farm,F,WA,"547,031","151,953",2,328,330,0.00,On,SWIS,Wind,
MUMBIDA WIND FARM HOLDINGS PTY LTD,Corporate Total,C,,"547,031","151,953",2,328,330
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Hazelwood Power Station,F,VIC,"37,172,802","10,325,778","14,442,736","186,505","14,629,241",1.40,On,NEM,Brown Coal,
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Corporate Total,C,,"37,172,802","10,325,778","14,442,736","186,505","14,629,241"
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,"1,679,312","466,476",0,437,437,0.00,On,NEM,Wind,
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,Corporate Total,C,,"1,679,312","466,476",0,437,437
NEWGEN KWINANA HOLDINGS PTY LTD,Kwinana Gas Fired Power Station,F,WA,"6,955,328","1,932,036","766,556","4,059","770,615",0.40,On,SWIS,Gas,
NEWGEN KWINANA HOLDINGS PTY LTD,Corporate Total,C,,"6,955,328","1,932,036","766,556","4,059","770,615"
NRG VICTORIA 1 PTY LTD,Gladstone Power Station,F,QLD,"24,841,222","6,900,339","6,583,245","52,076","6,635,321",0.95,On,NEM,Black Coal,
NRG VICTORIA 1 PTY LTD,Corporate Total,C,,"24,841,222","6,900,339","6,583,245","52,076","6,635,321"
ONSLOW ELECTRIC POWER PTY LTD,Onslow Power Station,F,WA,"53,587","14,885","9,371",0,"9,371",0.63,Off,Off-grid,Gas,
ONSLOW ELECTRIC POWER PTY LTD,Corporate Total,C,,"53,587","14,885","9,371",0,"9,371"
ORIGIN ENERGY LIMITED,Australand,F,NSW,"4,139","1,150",685,48,733,0.60,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Ballarat Solar Park,F,VIC,"1,402",389,0,2,2,0.00,On,NEM,Solar,
ORIGIN ENERGY LIMITED,Bendigo Solar Park,F,VIC,"1,833",509,0,4,4,0.00,On,NEM,Solar,
ORIGIN ENERGY LIMITED,Blackmores,F,NSW,"4,811","1,336",970,56,"1,026",0.73,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Bond,F,NSW,"4,035","1,121",620,47,667,0.55,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Chifley Square,F,NSW,"3,005",835,580,35,615,0.69,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Cullerin Wind Farm,F,NSW,"367,841","102,178",8,90,98,0.00,On,NEM,Wind,
ORIGIN ENERGY LIMITED,Dandenong,F,VIC,"8,719","2,422","1,524",256,"1,780",0.63,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Darling Downs Power Station,F,QLD,"13,228,362","3,674,545","1,561,214","5,208","1,566,422",0.42,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Drapac,F,VIC,"2,673",743,462,42,504,0.62,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Eraring Power Station,F,NSW,"52,673,634","14,631,565","12,913,436","35,003","12,948,439",0.88,On,NEM,Black Coal,
ORIGIN ENERGY LIMITED,Exhibition Street,F,VIC,"9,755","2,710","1,493",153,"1,646",0.55,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Kent Street,F,NSW,"12,395","3,443","1,751",145,"1,896",0.51,On,NEM,Gas,
ORIGIN ENERGY LIMITED,La Trobe,F,VIC,"2,880",800,453,45,498,0.57,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Ladbroke Grove Power Station,F,SA,"735,807","204,391","106,412",465,"106,877",0.52,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Mirvac,F,NSW,"18,779","5,216","2,797",219,"3,016",0.54,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Mortlake Power Station,F,VIC,"1,753,502","487,084","262,086","6,548","268,634",0.54,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Mount,F,NSW,"6,782","1,884","1,051",79,"1,130",0.56,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Mt Stuart Power Station,F,QLD,"197,763","54,934","54,200","4,025","58,225",0.99,On,NEM,Kerosene,
ORIGIN ENERGY LIMITED,Quarantine Power Station,F,SA,"486,565","135,157","86,853","1,758","88,611",0.64,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Roma Power Station,F,QLD,"393,277","109,244","71,762",650,"72,412",0.66,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Shoalhaven Scheme,F,NSW,"568,395","157,888",2,"168,699","168,701",0.00,On,NEM,Hydro,
ORIGIN ENERGY LIMITED,Stockland Headquarters,F,NSW,"5,152","1,431",824,60,884,0.58,On,NEM,Gas,
ORIGIN ENERGY LIMITED,University of NSW,F,NSW,"8,961","2,489","1,221",105,"1,326",0.49,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Uranquinty Power Station,F,NSW,"2,818,838","783,011","474,499","5,261","479,760",0.61,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Corporate Total,C,,"73,319,305","20,366,474","15,544,903","229,003","15,773,906"
OZGEN HOLDINGS AUSTRALIA PTY LTD,Millmerran Power Station (facility),F,QLD,"23,953,296","6,653,693","5,461,349","3,927","5,465,276",0.82,On,NEM,Black Coal,
OZGEN HOLDINGS AUSTRALIA PTY LTD,Corporate Total,C,,"23,953,296","6,653,693","5,461,349","3,927","5,465,276"
PELICAN POINT POWER LIMITED,Pelican Point Power Station,F,SA,"1,095,846","304,402","123,223","2,713","125,936",0.40,On,NEM,Gas,
PELICAN POINT POWER LIMITED,Corporate Total,C,,"1,095,846","304,402","123,223","2,713","125,936"
PERTH ENERGY PTY LTD,Kwinana Swift Power Station,F,WA,"49,953","13,876","8,444",687,"9,131",0.61,On,SWIS,Gas,
PERTH ENERGY PTY LTD,Corporate Total,C,,"49,953","13,876","8,444",687,"9,131"
POWER AND WATER CORPORATION,Alpurrurulam (Lake Nash),F,NT,"7,102","1,973","1,240",0,"1,240",0.63,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Amanbidgi (Kildurk),F,NT,"1,035",288,263,0,263,0.91,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,"Ampilatwatja (Alparra, Ammaroo)",F,NT,"12,014","3,337","2,390",0,"2,390",0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Amunturangu,F,NT,"2,673",743,581,0,581,0.78,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Aputula (Finke),F,NT,"3,704","1,029",735,0,735,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Areyonga (Utju),F,NT,"3,929","1,091",791,0,791,0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Atitjere (Harts Range),F,NT,"3,417",949,708,0,708,0.75,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Borroloola Generation,F,NT,"23,342","6,484","4,453",0,"4,453",0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Bulla Camp,F,NT,"1,483",412,375,0,375,0.91,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Bulman,F,NT,"4,815","1,338","1,082",0,"1,082",0.81,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Daly Waters Generation,F,NT,"4,051","1,125",851,0,851,0.76,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Elliot Generation,F,NT,"10,483","2,912","2,230",0,"2,230",0.77,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Engawala (Alcoota),F,NT,"1,888",524,426,0,426,0.81,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Epenarra,F,NT,"2,572",714,589,0,589,0.82,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Eva Valley,F,NT,"1,299",361,309,0,309,0.86,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Galiwinku (Elcho Island),F,NT,"26,054","7,237","5,017",0,"5,017",0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Gapuwiyak (Lake Evella),F,NT,"11,076","3,077","2,227",0,"2,227",0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Gunbalanya (Oenpelli),F,NT,"18,127","5,035","3,539",0,"3,539",0.70,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Ikuntji (Haasts Bluff),F,NT,"2,796",777,611,0,611,0.79,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Imangara (Murray Downs),F,NT,"1,108",308,253,0,253,0.82,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Imanpa (Mount Ebenezer),F,NT,"2,092",581,483,0,483,0.83,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Kalkaringi (Wave Hill),F,NT,"10,524","2,923","1,787",0,"1,787",0.61,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Kaltukatjara (Docker River),F,NT,"5,669","1,575","1,144",0,"1,144",0.73,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Lajamanu (Hooker Creek),F,NT,"11,053","3,070","2,195",0,"2,195",0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Laramba (Napperby),F,NT,"3,585",996,702,0,702,0.70,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Maningrida,F,NT,"32,217","8,949","6,205",0,"6,205",0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Milikapiti (Snake Bay),F,NT,"8,568","2,380","1,835",0,"1,835",0.77,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Milingimbi,F,NT,"12,762","3,545","2,739",0,"2,739",0.77,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Milyakburra (Bickerton Island),F,NT,"3,722","1,034",721,0,721,0.70,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Minjilang (Croker Island),F,NT,"5,182","1,439","1,107",0,"1,107",0.77,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Minyerri (Hodgson Downs),F,NT,"8,141","2,261","1,664",0,"1,664",0.74,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Nauiyu Nambiyu (Daly River),F,NT,"10,999","3,055","2,153",0,"2,153",0.70,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Nguiu (Bathurst Island),F,NT,"23,767","6,602","4,835",0,"4,835",0.73,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Ngukurr (Roper River),F,NT,"17,122","4,756","3,465",0,"3,465",0.73,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Numbulwar (Rose River),F,NT,"11,571","3,214","2,273",0,"2,273",0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Nyirripi (Waite Creek),F,NT,"4,034","1,121",764,0,764,0.68,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Orwaitilla (Canteen Creek),F,NT,"3,509",975,692,0,692,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Palumpa,F,NT,"5,467","1,519","1,074",0,"1,074",0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Papunya,F,NT,"7,208","2,002","1,504",0,"1,504",0.75,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Peppimenarti,F,NT,"4,432","1,231",887,0,887,0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Pidgeon Hole,F,NT,"1,811",503,399,0,399,0.79,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Pirlangimpi (Garden Point),F,NT,"7,460","2,072","1,643",0,"1,643",0.79,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Ramingining,F,NT,"11,419","3,172","2,254",0,"2,254",0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Robinson River,F,NT,"3,917","1,088",808,0,808,0.74,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Tara (Neutral Junction),F,NT,"1,248",347,309,0,309,0.89,Off,Off-grid,Diesel,
