Reporting Entity ,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (Mwh),Scope 1 (t CO2-e),Scope 2 (t CO2-e),Total Emissions (t CO2-e),Emission  Intensity (t/Mwh),Grid Connected,Grid,Primary Fuel,Important Notes
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,937578,260438,49,229,278,0.00,On,NEM,Wind,N/A
AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,196824,54673,2902,1498,4400,0.05,On,NEM,Biogas,N/A
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,422961,117489,0,1709,1709,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,3172,881,624,0,624,0.71,Off,Off-grid,Solar,N/A
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,31209,8669,469,2,471,0.05,On,NEM,Landfill Gas,N/A
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,180662,50184,0,46,46,0.00,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Corporate Total,C,N/A,153528941,42646928,38308564,358510,38667074,,N/A,N/A,N/A,N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,5900732,1639092,1301720,246,1301966,0.79,On,SWIS,Gas,N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,F,WA,637048,176958,111432,6229,"117,661",0.63,On,SWIS,Gas/Diesel,N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,VIC,4536940,1260261,1374358,411,1374769,1.09,On,NEM,Brown Coal,N/A
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,N/A,11074720,3076311,2787510,6886,2794396,,N/A,N/A,N/A,N/A
ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,SA,9524596,2645721,2734413,7994,2742407,1.03,On,NEM,Brown Coal,N/A
ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,VIC,539356,149821,81092,1008,82100,0.54,On,NEM,Gas,N/A
ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,QLD,7907969,2196658,1243347,829,1244176,0.57,On,NEM,Coal Seam Methane,N/A
ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,WA,832806,231335,138146,0,138146,0.60,Off,Off-grid,Gas,N/A
ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,WA,1763554,489876,388562,0,388562,0.79,On,NWIS,Gas,N/A
ALINTA ENERGY FINANCE PTY LTD,Corporate Total,C,N/A,20568281,5713411,4585560,9831,4595391,,N/A,N/A,N/A,N/A
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,913852,253848,91,343,434,0.00,On,SWIS,Wind,N/A
APT PIPELINES LIMITED,Corporate Total,C,N/A,913852,253848,91,343,434,,N/A,N/A,N/A,N/A
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,9370735,2602982,1530289,854,1531143,0.59,On,NEM,Coal Seam Methane,N/A
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,N/A,9370735,2602982,1530289,854,1531143,,N/A,N/A,N/A,N/A
ATCO AUSTRALIA PTY. LTD.,Bulwer Island Energy Partnership facility,F,QLD,,,126378,45354,171732,,On,NEM,Gas,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.  "
ATCO AUSTRALIA PTY. LTD.,Karratha Power Station,F,WA,1706994,474165,270985,0,270985,0.57,On,NWIS,Gas,N/A
ATCO AUSTRALIA PTY. LTD.,Osborne facility,F,SA,,,608632,167,608799,,On,NEM,Gas,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.  "
ATCO AUSTRALIA PTY. LTD.,Corporate Total,C,N/A,1706994,474165,1005995,45521,1051516,,N/A,N/A,N/A,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Belmont Administration & Kalamunda Facility,FA,WA,20,6,19,18,37,3.42,On,SWIS,Liquid Fuel,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Canning Vale Facility,F,WA,2380,661,36,10,46,0.05,On,SWIS,Landfill Gas,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Red Hill Facility,F,WA,91876,25521,1277,1,1278,0.05,On,SWIS,Landfill Gas,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Tamala Park Facility,F,WA,114770,31881,1588,2,1590,0.05,On,SWIS,Landfill Gas,N/A
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,Corporate Total,C,N/A,209046,58068,2920,31,2951,,N/A,N/A,N/A,N/A
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,3486738,968538,460102,0,460102,0.48,On,NEM,Gas,N/A
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,N/A,3486738,968538,460102,0,460102,,N/A,N/A,N/A,N/A
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,QLD,2754361,765100,333565,526,334091,0.44,On,NEM,Gas,N/A
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Corporate Total,C,N/A,2754361,765100,333565,526,334091,,N/A,N/A,N/A,N/A
BHP BILLITON IRON ORE PTY. LTD.,Yarnima Power Station IOP,F,WA,1652126,458924,307351,0,307351,0.67,Off,Off-grid,Gas,N/A
BHP BILLITON IRON ORE PTY. LTD.,Corporate Total,C,N/A,1652126,458924,307351,0,307351,,N/A,N/A,N/A,N/A
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,6025829,1673841,1482015,2327,1484342,0.89,On,SWIS,Black Coal,N/A
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,N/A,6025829,1673841,1482015,2327,1484342,,N/A,N/A,N/A,N/A
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,6078158,1688377,1377635,1775,1379410,0.82,On,SWIS,Black Coal,N/A
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,N/A,6078158,1688377,1377635,1775,1379410,,N/A,N/A,N/A,N/A
BPIH PTY LIMITED,Brookfield District Energy (GX) Pty Ltd,F,NSW,78204,21723,11861,22049,33910,0.55,On,NEM,Gas,N/A
BPIH PTY LIMITED,Corporate Total,C,N/A,78204,21723,11861,22049,33910,,N/A,N/A,N/A,N/A
CANUNDA POWER PTY LTD,Canunda Wind Farm,F,SA,445274,123687,17,156,173,0.00,On,NEM,Wind,N/A
CANUNDA POWER PTY LTD,Corporate Total,C,N/A,445274,123687,17,156,173,,N/A,N/A,N/A,N/A
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,643940,178872,6032,1423,7455,0.03,On,NEM,Bagasse,N/A
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,375693,104359,3007,1687,4694,0.03,On,NEM,Bagasse,N/A
CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,N/A,1019633,283231,9039,3110,12149,,N/A,N/A,N/A,N/A
CLARKE ENERGY (AUSTRALIA) PTY. LTD.,Daandine Power Station,F,QLD,,,125058,0,125058,,On,NEM,Coal Seam Methane,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.  "
CLARKE ENERGY (AUSTRALIA) PTY. LTD.,Corporate Total,C,N/A,,,125058,0,125058,,N/A,N/A,N/A,N/A
CONTRACT POWER AUSTRALIA PTY LTD,FMG Cloud Break Mine Site Power Station,F,WA,643454,178737,110575,0,110575,0.62,Off,Off-grid,Diesel,N/A
CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,WA,50926,14146,10193,0,10193,0.72,Off,Off-grid,Diesel,N/A
CONTRACT POWER AUSTRALIA PTY LTD,Corporate Total,C,N/A,694380,192883,120768,0,120768,,N/A,N/A,N/A,N/A
CS ENERGY LIMITED,Callide A Power Station,F,QLD,362952,100820,123177,43885,167062,1.22,On,NEM,Black Coal,N/A
CS ENERGY LIMITED,Callide B Power Station,F,QLD,12706326,3529535,3285158,34530,3319688,0.93,On,NEM,Black Coal,N/A
CS ENERGY LIMITED,Callide C Power Station,F,QLD,19988727,5552424,4961514,20952,4982466,0.89,On,NEM,Black Coal,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made."
CS ENERGY LIMITED,Kogan Creek Power Station,F,QLD,20633364,5731490,4761463,2411,4763874,0.83,On,NEM,Black Coal,N/A
CS ENERGY LIMITED,Wivenhoe Power Station,F,QLD,72877,20244,23,50466,50489,0.00,On,NEM,Hydro,N/A
CS ENERGY LIMITED,Corporate Total,C,N/A,53764246,14934513,13131335,152244,13283579,,N/A,N/A,N/A,N/A
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,2566405,712890,227,611,838,0.00,On,SWIS,Wind,N/A
CWF HOLDINGS PTY LTD,Corporate Total,C,N/A,2566405,712890,227,611,838,,N/A,N/A,N/A,N/A
CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,F,NSW,751603,208779,55,720,775,0.00,On,NEM,Wind,N/A
CWP RENEWABLES PTY LTD,Taralga Wind Farm Pty Ltd,F,NSW,265563,73768,20,128,148,0.00,On,NEM,Wind,N/A
CWP RENEWABLES PTY LTD,Corporate Total,C,N/A,1017166,282546,75,848,923,,N/A,N/A,N/A,N/A
DELTA ELECTRICITY,Brown Mountain Power Station,F,NSW,48431,13453,6,0,6,0.00,On,NEM,Hydro,N/A
DELTA ELECTRICITY,Colongra PS,F,NSW,258467,71796,41565,3913,45478,0.58,On,NEM,Gas,N/A
DELTA ELECTRICITY,Vales Point Power Station,F,NSW,24972675,6936854,6020229,47711,6067940,0.87,On,NEM,Black Coal,N/A
DELTA ELECTRICITY,Corporate Total,C,N/A,25279573,7022104,6061800,51624,6113424,,N/A,N/A,N/A,N/A
DIAMANTINA HOLDING COMPANY PTY LIMITED,Diamantina Power Station,F,QLD,5410680,1502967,613667,95,613762,0.41,On,Mt Isa,Gas,N/A
DIAMANTINA HOLDING COMPANY PTY LIMITED,Corporate Total,C,N/A,5410680,1502967,613667,95,613762,,N/A,N/A,N/A,N/A
ECOGEN HOLDINGS PTY LTD,Jeeralang Power Station,F,VIC,79794,22165,15640,6730,22370,0.71,On,NEM,Gas,N/A
ECOGEN HOLDINGS PTY LTD,Newport Power Station,F,VIC,342893,95248,52641,24749,77390,0.55,On,NEM,Gas,N/A
ECOGEN HOLDINGS PTY LTD,Corporate Total,C,N/A,422687,117413,68281,31479,99760,,N/A,N/A,N/A,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Albany Wind Farm,F,WA,347600,96556,13,7,20,0.00,On,SWIS,Wind,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel System,FA,WA,6664,1851,220,3,223,0.12,On,SWIS,Wind/Diesel,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,WA,2369340,658150,260404,0,260404,0.40,On,SWIS,Gas,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station ,F,WA,8061797,2239388,2024283,3244,2027527,0.90,On,SWIS,Black Coal,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel System,FA,WA,12118,3366,1813,0,1813,0.54,Off,Off-grid,Wind/Diesel,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,F,WA,6871,1909,0,1,1,0.00,Off,Off-grid,Wind,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,F,WA,52851,14681,0,8,8,0.00,Off,Off-grid,Wind,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Geraldton Gas Turbine Station,F,WA,80,22,29,0,29,1.31,On,SWIS,Gas,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel System,FA,WA,19713,5476,2671,0,2671,0.49,Off,Off-grid,Wind/Diesel,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Photovoltaic,F,WA,81,23,0,4,4,0.00,On,SWIS,Solar,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,WA,15140,4206,0,6,6,0.00,On,SWIS,Wind,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,6739,1872,1751,0,1751,0.94,On,SWIS,Gas,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,WA,3520116,977810,602488,700,603188,0.62,On,SWIS,Gas,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,WA,13831474,3842076,3744318,1655,3745973,0.97,On,SWIS,Black Coal,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,WA,348804,96890,82909,0,82909,0.86,On,SWIS,Gas,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,WA,1670548,464041,376980,0,376980,0.81,On,SWIS,Gas,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,South West Cogeneration Joint Venture,F,WA,3568929,991369,623890,37,623927,0.63,On,SWIS,Gas,N/A
ELECTRICITY GENERATION AND RETAIL CORPORATION,Corporate Total,C,N/A,33838865,9399685,7721769,5665,7727434,,N/A,N/A,N/A,N/A
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,701,195,138,0,138,0.71,On,SWIS,Liquid Fuel,N/A
ELECTRICITY NETWORKS CORPORATION,Corporate Total,C,N/A,701,195,138,0,138,,N/A,N/A,N/A,N/A
ENERGEX LIMITED,Energy Impact - Bromelton Peak Generation Plant,F,QLD,6745,1874,1402,427,1829,0.75,On,NEM,Liquid Fuel,N/A
ENERGEX LIMITED,Energy Impact - Generation,F,QLD,4125,1146,799,0,799,0.70,On,NEM,Liquid Fuel,N/A
ENERGEX LIMITED,Corporate Total,C,N/A,10870,3019,2201,427,2628,,N/A,N/A,N/A,N/A
ENERGY DEVELOPMENTS LIMITED,Appin CSM Power Station,F,NSW,588901,163584,124621,85,124706,0.76,On,NEM,Coal Seam Methane,N/A
ENERGY DEVELOPMENTS LIMITED,Ardyaloon Remote Power Station,F,WA,6385,1774,1275,0,1275,0.72,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Beagle Bay Remote Power Station,F,WA,5835,1621,1151,0,1151,0.71,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Belrose and Grange Avenue LFG Power Stations,FA,NSW,46595,12943,815,6,821,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Berwick LFG Power Station,F,VIC,86977,24160,1539,810,2349,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Bidyadanga Remote Power Staiton,F,WA,10466,2907,2094,0,2094,0.72,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Broadmeadows LFG Power Station,F,VIC,69413,19281,1230,10,1240,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Brooklyn LFG Power Station,F,VIC,61195,16999,1054,5,1059,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Broome LNG Power Station,F,WA,485698,134916,82255,0,82255,0.61,Off,Off-grid,Gas/Diesel,N/A
ENERGY DEVELOPMENTS LIMITED,Browns Plains LFG Power Station,F,QLD,40383,11218,712,4,716,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Century Power Station,FA,QLD,4393,1220,848,0,848,0.69,On,Mt Isa,Diesel,N/A
ENERGY DEVELOPMENTS LIMITED,Clayton LFG Power Station,F,VIC,290315,80643,4503,321,4824,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Coober Pedy Remote Power Station,F,SA,42860,11906,8348,0,8348,0.70,Off,Off-grid,Diesel,N/A
ENERGY DEVELOPMENTS LIMITED,Cue Remote Power Station,F,WA,6804,1890,1363,0,1363,0.72,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Derby LNG Power Station,F,WA,128739,35761,18528,0,18528,0.52,Off,Off-grid,Gas/Diesel,N/A
ENERGY DEVELOPMENTS LIMITED,Djarandjin Remote Power Station,F,WA,5837,1621,1157,0,1157,0.71,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Eastern Creek LFG Power Station,F,NSW,58449,16236,931,3,934,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,EDL LFG (VIC),FA,VIC,28317,7866,502,7,509,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Fitzroy Crossing LNG Power Station,F,WA,52066,14463,7074,0,7074,0.49,Off,Off-grid,Gas/Diesel,N/A
ENERGY DEVELOPMENTS LIMITED,Gascoyne Junction Remote Power Station,F,WA,2847,791,603,0,603,0.76,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,German Creek CMM Power Station,F,QLD,1101467,305963,166630,0,166630,0.54,On,NEM,Waste Coal Mine Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Glennies Creek Power Station,F,NSW,326588,90719,53189,5,53194,0.59,On,NEM,Waste Coal Mine Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Halls Creek LNG Power Station,F,WA,41237,11455,6357,0,6357,0.55,Off,Off-grid,Gas/Diesel,N/A
ENERGY DEVELOPMENTS LIMITED,Highbury and Tea Tree Gully Power Stations,FA,SA,12141,3373,220,42,262,0.07,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Jacks Gully LFG Power Station,F,NSW,56366,15657,991,1,992,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Karumba Power Station,F,QLD,51753,14376,9935,8,9943,0.69,Off,Off-grid,Diesel,N/A
ENERGY DEVELOPMENTS LIMITED,Laverton Remote Power Station,F,WA,13825,3840,2685,0,2685,0.70,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Leonora Remote Power Station,F,WA,32000,8889,6446,0,6446,0.73,Off,Off-grid,Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Looma Power Station,FA,WA,9329,2591,2076,0,2076,0.80,Off,Off-grid,Gas/Diesel,N/A
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 1 LFG Power Station,F,NSW,81911,22753,1447,3,1450,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 2 LFG Power Station,F,NSW,363270,100908,6422,3,6425,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,McArthur River Power Station,F,NT,1028823,285784,132182,0,132182,0.46,Off,Off-grid,Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Meekatharra Remote Power Station,F,WA,23382,6495,4675,0,4675,0.72,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Menzies Remote Power Station,F,WA,2620,728,560,0,560,0.77,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Moranbah North CMM Power Station,F,QLD,1581863,439406,238554,0,238554,0.54,On,NEM,Waste Coal Mine Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Mt Magnet Remote Power Station,F,WA,12419,3450,2514,0,2514,0.73,Off,Off-grid,Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,ACT,79427,22063,1398,1,1399,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Oaky Creek Power Station,F,QLD,481153,133654,77508,23,77531,0.58,On,NEM,Coal Seam Methane,N/A
ENERGY DEVELOPMENTS LIMITED,Pedler Creek LFG Power Station,F,SA,68940,19150,1210,2,1212,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Pine Creek A Power Station,F,NT,651894,181082,90532,0,90532,0.50,On,DKIS,Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Roghan Road LFG Power Station,FA,QLD,4877,1355,83,44,127,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Sandstone Remote Power Station,F,WA,1831,509,406,0,406,0.80,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Springvale LFG Power Station,F,VIC,60010,16669,1066,13,1079,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Tahmoor Power Station,F,NSW,167241,46456,29870,10,29880,0.64,On,NEM,Waste Coal Mine Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Teralba Power Station,F,NSW,41260,11461,7316,32,7348,0.64,On,NEM,Coal Seam Methane,N/A
ENERGY DEVELOPMENTS LIMITED,Tower CSM Power Station,F,NSW,727327,202035,145425,9,145434,0.72,On,NEM,Coal Seam Methane,N/A
ENERGY DEVELOPMENTS LIMITED,Warmun Remote Power Station,F,WA,9744,2707,1967,0,1967,0.73,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,West Belconnen LFG Power Station,F,ACT,11163,3101,201,8,209,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Wiluna Remote Power Station,F,WA,8252,2292,1657,0,1657,0.72,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Wingfield 1 LFG Power Station,F,SA,57947,16096,1019,1,1020,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Wingfield 2 LFG Power Station,F,SA,59665,16574,1049,1,1050,0.06,On,NEM,Landfill Gas,N/A
ENERGY DEVELOPMENTS LIMITED,Yalgoo Remote Power Station,F,WA,2895,804,616,0,616,0.77,Off,Off-grid,Liquid Fuel,N/A
ENERGY DEVELOPMENTS LIMITED,Corporate Total,C,N/A,9195095,2554193,1256809,1457,1258266,,N/A,N/A,N/A,N/A
ENERGY WORLD CORPORATION LTD,Brewer Power Station,F,NT,169861,47184,30511,14,30525,0.65,Off,Off-grid,Gas,N/A
ENERGY WORLD CORPORATION LTD,Corporate Total,C,N/A,169861,47184,30511,14,30525,,N/A,N/A,N/A,N/A
