company,locationid,plant,iso3,lon,lat,plant.id
POWERSOUTH ENERGY COOP,12563,GANTT,USA,-86.4753,31.4,14593
SOUTHERN CO,33231,JOSEPH M FARLEY,USA,-85.11166667,31.22305556,13162
TENASKA INC,46230,TENASKA LINDSAY HILL GENERATING STATION,USA,-86.7386,32.6514,44968
POWERSOUTH ENERGY COOPERATIVE,,MCWILLIAMS,USA,-86.4767,31.4001,70423
SOUTHERN CO,46145,H ALLEN FRANKLIN COMBINED CYCLE,USA,-85.0961,32.6094,13983
GEORGIA POWER CO,,GOAT ROCK,USA,-85.0814,32.6088,70461
BOWATER NWPRT COOSA PINES OP,,U S ALLIANCE COOSA PINES,USA,-86.3583,33.3278,71890
MEADWESTVACO CORP,25921,MEAD COATED BOARD,USA,-85.0311,32.175,26638
ALABAMA POWER CO,,YATES DAM,USA,-85.8901,32.5743,70357
SOUTHERN CO,12584,HARRIS DAM,USA,-85.6162,33.2579,37638
ALABAMA MUNI ELEC AUTH,51028,AMEA PEAKING,USA,-86.2825,33.1661,44045
MORGAN STANLEY & CO INC,45660,LEE COUNTY,USA,-85.0384,32.5412,24826
SOUTHERN CO,12591,LOGAN MARTIN DAM,USA,-86.338,33.4258,25618
SOUTHERN CO,12587,H NEELY HENRY DAM,USA,-86.0524,33.7845,16394
LS POWER GROUP,48003,CALHOUN ENERGY CENTER,USA,-85.9731,33.5883,6709
SOUTHERN CO,12598,WEISS DAM,USA,-85.7537,34.1722,49174
TENNESSEE VALLEY AUTHORITY,34347,GUNTERSVILLE,USA,-86.3931,34.4211,16318
SOUTHERN CO,12582,GADSDEN,USA,-85.9708,34.0128,14442
TENNESSEE VALLEY AUTHORITY,,ALBERTVILLE,USA,-86.3297,34.3003,71292
SOUTHERN CO,12590,LEWIS SMITH DAM,USA,-87.1077,33.9406,25091
SOUTHERN CO,12581,GORGAS,USA,-87.2003,33.6446,15508
CALPINE CORP,46313,MORGAN ENERGY CENTER,USA,-87.0639,34.6397,29374
TENNESSEE VALLEY AUTHORITY,34339,COLBERT,USA,-87.8486,34.7439,9020
CALPINE CORP,49138,DECATUR ENERGY CENTER,USA,-87.0214,34.6292,10403
TENNESSEE VALLEY AUTHORITY,34383,WILSON DAM,USA,-87.6244,34.7934,49770
TENNESSEE VALLEY AUTHORITY,34332,BROWNS FERRY,USA,-87.11861111,34.70388889,5952
TENNESSEE VALLEY AUTHORITY,34378,WIDOWS CREEK,USA,-85.7547,34.8825,49634
INTERNATIONAL PAPER CO-COURTLD,,INTERNATIONAL PAPER COURTLAND MILL,USA,-87.3108,34.735,71635
TENNESSEE VALLEY AUTHORITY,34376,WHEELER DAM,USA,-87.3819,34.8069,49531
SOUTHERN CO,12594,MITCHELL DAM,USA,-86.4456,32.8049,28739
SOUTHERN CO,12592,LAY DAM,USA,-86.5187,32.9633,24710
SOUTHERN CO,12588,HOLT DAM,USA,-87.4495,33.2553,18188
SOUTHERN CO,12580,E C GASTON,USA,-86.4567,33.2442,11735
SOUTHERN CO,12595,JAMES H MILLER JR,USA,-87.0597,33.6319,28493
SOUTHERN CO,12585,GREENE COUNTY,USA,-87.7811,32.6017,15850
BOISE WHITE PAPER LLC,,BOISE CASCADE PULP & PAPER MILL,USA,-87.8989,31.4894,72097
INTERNATIONAL PAPER CO-RIVERDL,,INTERNATIONAL PAPER RIVERDALE MILL,USA,-86.8694,32.425,71877
SOUTHERN CO,12576,BANKHEAD DAM,USA,-87.5882,33.2146,3204
ROCK-TENN CO,21583,ROCK-TENN MILL,USA,-87.9759,32.4541,10540
UNITED STATES STEEL CORP,35768,FAIRFIELD WORKS,USA,-86.9212,33.4885,13037
KOCH INDUSTRIES INC,23496,GEORGIA PACIFIC NAHEOLA MILL,USA,-88.0252,32.2268,30220
US DEPT OF DEFENSE,35580,MILLERS FERRY,USA,-87.3969,32.1009,28497
INTERNATIONAL PAPER CO,25337,WEYERHAEUSER PINE HILL OPERATIONS,USA,-87.4806,31.9698,34661
"DRUMMOND COMPANY, INC.",,ABC COKE,USA,-86.787,33.5823,72326
JHW HOLDING CO LLC,46248,SLOSS INDUSTRIES CORP,USA,-86.8106,33.5611,4720
CITY OF OSCEOLA,,OSCEOLA (172),USA,-90.0053,35.6975,70380
PARAGOULD LIGHT & WATER COMM,,PARAGOULD RECIPROCATING,USA,-90.5094,36.0242,71327
RICELAND FOODS INC,56893,STEC-S LLC,USA,-91.5331,34.5136,53138
PIGGOTT MUNI LIGHT WATER,30174,MUNICIPAL LIGHT,USA,-90.1867,36.3858,34599
JONESBORO CITY WATER & LT,46298,CITY WATER LIGHT PLANT CITY OF JONESBORO,USA,-90.7257,35.8481,31693
COLUMBIA FOREST PRODUCTS INC,56895,COLUMBIA FLOORING MELBOURNE,USA,-91.9197,36.0614,7661
WHITE RIVER HYDROELECTRIC,,WHITE RIVER LOCK AND DAM 3,USA,-91.8519,35.8428,72844
