gppd_idnr,orig_name,aremi_oid,aremi_name,aremi_comment,nger_2016-2017_index
AUS0000298,West Illawarra Leagues Club,300,,,
AUS0000299,Western Suburbs Leagues Club (Campbelltown),301,,,
AUS0000300,Burrendong,302,,,7
AUS0000301,Copeton,303,,,10
AUS0000302,Wilga Park,304,,,425
AUS0000303,Guthega,305,,,
AUS0000304,Lake Keepit,306,,,194
AUS0000305,Broken Hill,307,,,
AUS0000306,Eraring,308,,,301
AUS0000307,Collgar Wind Farm,115,,,140
AUS0000308,Maryvale Mill,309,,,
AUS0000309,Grasmere Wind Farm (Albany stage II),310,Grasmere Wind Farm (Albany Stage II),,153
AUS0000310,Tully Sugar Mill,311,,,
AUS0000311,Proserpine Sugar Mill,312,,,
AUS0000313,Sydney,314,,,
AUS0000314,North Sydney,315,,,
AUS0000315,Blackmores,316,,,
AUS0000316,Nine Network,317,,,
AUS0000317,Revesby Workers Club,318,,,
AUS0000318,St George Leagues Club,319,,,
AUS0000319,University of New South Wales,320,,,
AUS0000320,Norseman Mine,321,,,
AUS0000321,Darlot Gold Mine,322,,,
AUS0000322,Windimurra Vanadium Mine,323,,,
AUS0000323,Rottnest Island Wind Turbine,324,,,
AUS0000324,Cloudbreak,325,,,
AUS0000325,Port Hedland,326,,,332
AUS0000326,Noranda,327,,,
AUS0000327,Red Hill,328,,,118
AUS0000328,Shenton Park WMRC Project,329,,,
AUS0000329,Kalamunda,330,,,105
AUS0000330,Canning Vale,331,,,
AUS0000331,Gosnells,332,,,
AUS0000332,KRC Cogeneration Plant,333,,,
AUS0000333,Melbourne,334,,,
AUS0000334,Carlton,335,,,
AUS0000335,Eildon Small Hydro,336,,,
AUS0000336,Corio,337,,,92
AUS0000337,South East Water Hallam Plant,338,,,
AUS0000338,Lower Rubicon,339,,,
AUS0000339,Royston,340,,,
AUS0000340,Rubicon Falls,341,,,
AUS0000341,Leonards Hill,342,,,
AUS0000342,Box Hill,343,,,
AUS0000343,Highbury,344,,,
AUS0000344,Tea Tree Gully,345,,,
AUS0000345,Port Stanvac,346,,,
AUS0000346,Maryborough,347,,,
AUS0000347,Stapylton Green Energy,348,,,264
AUS0000348,Bremer Bay Wind Turbine,349,,,
AUS0000349,Bremer Bay Diesel Backup,350,,,154
AUS0000350,Coral Bay Wind Turbines,351,,,
AUS0000351,Coral Bay Diesel Backup,352,,,157
AUS0000352,Denham Wind Turbines,353,,,
AUS0000353,Denham Diesel Backup,354,,,
AUS0000354,Woodman Point,395,,,
AUS0000355,Henderson,396,,,
AUS0000356,Tamala Park,397,,,122
AUS0000357,Mandurah,398,,,
AUS0000358,Rockingham,399,,,31
AUS0000359,South Cardup (Shale Road Landfill),400,,,
AUS0000360,Cue,401,,,
AUS0000361,Sandstone,402,,,
AUS0000362,Nullagine Solar Farm,403,,,
AUS0000363,Nullagine Diesel Backup,404,,,
AUS0000364,Marble Bar Solar Farm,405,,,
AUS0000365,Marble Bar Diesel Backup,406,,,
AUS0000366,Derby,407,,,94
AUS0000367,Fitzroy Crossing,408,,,97
AUS0000368,Halls Creek,409,,,103
AUS0000369,Warmun,410,,,124
AUS0000370,Kununurra,411,,,414
AUS0000371,Laverton,412,,,106
AUS0000372,Exmouth,413,,,188
AUS0000373,Tableland,414,,,
AUS0000374,South Johnstone,415,,,
AUS0000375,Mulgrave,416,,,
AUS0000376,Blue Lake Milling Power Plant,417,,,
AUS0000377,Tatiara Meats,418,,,
AUS0000378,Kalumburu,419,,,
AUS0000379,Ardyaloon,420,,,
AUS0000380,Djarindjin,421,,,
AUS0000381,Beagle Bay,422,,,
AUS0000382,Bidyadanga,423,,,85
AUS0000383,Gascoyne Junction,424,,,
AUS0000384,Wiluna,425,,,137
AUS0000385,Yalgoo,426,,,
AUS0000386,Carnarvon,427,,,411
AUS0000387,Mungullah,428,,,
AUS0000388,Exmouth Advanced Mini Wind Farm,429,,,
AUS0000389,Worsley,430,,,
AUS0000390,Kalbarri PV System,431,,,
AUS0000391,Esperance Wind Farm Ten Mile Lagoon,432,,,159
AUS0000392,Muja B,433,,,
AUS0000393,Muja A,434,,,
AUS0000394,Boco Rock,435,,,142
AUS0000395,Ben Lomond,355,,,
AUS0000396,Bannaby,,,,
AUS0000397,Bamarang,356,,,
AUS0000398,Bango Wind Farm,357,,,
AUS0000399,Bankstown Sports Club,358,,,
AUS0000400,Belconnen,359,,,125
AUS0000401,Charlestown Square,360,,,
AUS0000402,Club Merrylands,361,,,
AUS0000403,Erskine Park,362,,,
AUS0000404,Kooragang,363,,,
AUS0000405,Kalbarri Wind Farm,364,,,161
AUS0000406,Wodgina,365,,,
AUS0000407,Savannah Nickel Mine,366,,,
AUS0000408,Meekatharra,367,,,133
AUS0000409,Leonora,368,,,107
AUS0000410,Menzies,369,,,
AUS0000411,Onslow,370,,,418
AUS0000412,Hopetoun Diesel Backup,371,,,160
AUS0000413,Hopetoun Wind Turbines,372,,,160
AUS0000414,Camballin,373,,,
AUS0000415,Cawse Nickel Mine,374,,,
AUS0000416,Buronga,375,,,
AUS0000417,Macarthur Wind Farm,16,,,25
AUS0000418,Glenorchy,376,,,14
AUS0000419,Hobart,377,,,19
AUS0000420,Musselroe,378,,,427
AUS0000421,Kings Canyon,379,,,
AUS0000422,Bodangora Wind Farm,380,,,
AUS0000424,McArthur River Mine,382,,,111
AUS0000425,University of Queensland (St Lucia Campus) Solar Array,383,,,
AUS0000426,Perth Zoo,384,,,
AUS0000427,Tulla Calder Interchange Solar Array,385,,,
AUS0000428,Bridgewater Solar,386,,,
AUS0000429,Monash University (Clayton Campus) Solar Array,387,,,
AUS0000430,Queen Victoria Market Solar Array,388,,,
AUS0000431,Bendigo Solar Park,389,,,
AUS0000432,Adelaide Showgrounds,390,,,
AUS0000433,Adelaide Airport,391,,,
AUS0000434,Townsville RSL Stadium Solar Array,392,,,
AUS0000435,Fraser Coast Community Solar Farm,393,,,
AUS0000436,Metricon (Gold Coast) Stadium Solar Array,394,,,
AUS0000437,Carnarvon Solar Farm,436,,,
AUS0000438,CSIRO Energy Centre,437,,,
AUS0000439,Newington Solar Suburb,438,,,
AUS0000440,Singleton Solar Farm,439,,,
AUS0000441,Kogarah Town Square Solar Array,440,,,
AUS0000442,Stadium Australia,441,,,
AUS0000443,Mt Gambier,442,,,
AUS0000444,Narrogin Bioenergy Plant,443,,,
AUS0000445,Visy Paper Gibson Island,444,,,
AUS0000446,Mica Creek,480,,,461
AUS0000447,Wilpena Solar Farm,481,,,39
AUS0000448,Mildura Solar Farm,482,,,
AUS0000449,King Island (Currie),483,,,
AUS0000450,Merredin,116,,,323
AUS0000451,West Angelas Mine,484,,,326
AUS0000452,Cannington Mine,485,,,
AUS0000453,Hallett 1 Brown Hill  Wind Farm,486,,,
AUS0000454,Hallett 5 The Bluff  Wind Farm,487,Hallet 5 - The Bluff,,18
AUS0000455,Hallett 2 Hallet Hill  Wind Farm,488,,,
AUS0000456,Snowtown Wind Farm Stage 2,489,Snowtown South  ,,435
AUS0000457,Cape Preston,445,,,
AUS0000458,Solomon Iron Ore Mine,446,,,476
AUS0000459,Diamantina,447,,,47
AUS0000460,Leichhardt,448,,,
AUS0000461,Bulwer Island,449,,,
AUS0000462,Cape Lambert,450,,,
AUS0000463,Ernabella,451,,,
AUS0000464,Umuwa,452,,,
AUS0000465,Yuendumu,453,,,
AUS0000466,Lajamanu,454,,,
AUS0000467,Windorah,455,,,
AUS0000468,DoubleTree by Hilton Hotel,456,,,
AUS0000469,Alice Springs Airport,457,,,
AUS0000470,Uterne Solar,458,,,
AUS0000471,Hermannsburg,459,,,
AUS0000472,Ballarat Solar Park,460,,,
AUS0000473,Liddell Solar Thermal,461,,,
AUS0000474,Greenough River Solar Farm,462,,,
AUS0000475,Mumbida Wind Farm,463,,,151
AUS0000476,Nyngan Solar Plant,464,,,28
AUS0000477,Broken Hill Solar Plant,381,,,6
AUS0000478,Mt Mercer Wind Farm,18,,,
AUS0000479,North Sydney,313,,,
AUS0000480,Wadeye,465,,,
AUS0000481,Traralgon Network Support Station,466,,,
AUS0000482,Gullen Range Wind Farm,467,,,
AUS0000483,Lake Bonney Stage 1 Wind Farm,468,,,
AUS0000484,Lake Bonney Stage 3 Wind Farm,469,,,
AUS0000485,Royalla Solar Farm,470,,,
AUS0000486,Timber Creek,471,,,
AUS0000487,Daly Waters,472,,,
AUS0000488,Elliott,473,,,
AUS0000489,Ti-Tree,474,,,
AUS0000490,Roy Hill,475,,,
AUS0000491,Moree,476,,,
AUS0000492,Mortons Lane Wind Farm,478,,,
AUS0000493,Racecourse Mill,479,,,
,Gullen Range Wind Farm,,,duplicate of AUS0000482,
,Hallett 1 Brown Hill  Wind Farm,,,duplicate of AUS0000453 ,
,Hallett 2 Hallet Hill  Wind Farm,,,duplicate of AUS0000455,
,Playford B,,,duplicate of AUS0000247,
