Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Generation Data Source,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1005181,Großraming,Hydro,,Run of River,,72,1950,Verbund,,,271,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005182,Gstatterboden,Hydro,,Run of River,,2,2009,Verbund,,,7,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005183,Gunggl,Hydro,,Run of River,,4,1992,Verbund,,,7,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005189,Kalsdorf,Hydro,,Run of River,,19,2013,Verbund,,,81,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005196,Kolbnitz drinking,Hydro,,Run of River,,1,2005,Verbund,,,0,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005202,Lavamünd,Hydro,,Run of River,,28,1949,Verbund,,,156,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005208,Malta Primary school,Hydro,,Run of River,,41,1979,Verbund,,,120,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005213,Mühldorf,Hydro,,Run of River,,1,1925,Verbund,,,2,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005214,Mühlrading,Hydro,,Run of River,,25,1948,Verbund,,,112,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005226,Pöls,Hydro,,Run of River,,2,1904,Verbund,,,9,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005228,Ramsaubach,Hydro,,Run of River,,1,1985,Verbund,,,4,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005236,Schärding-Neuhaus,Hydro,,Run of River,,96,1966,Verbund,,,542,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005242,pitch,Hydro,,Run of River,,13,1982,Verbund,,,67,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005250,Stübing,Hydro,,Run of River,,12,,Verbund,,,58,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005251,Talbach,Hydro,,Run of River,,1,1897,Verbund,,,3,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005252,Teigitschmühle,Hydro,,Run of River,,1,1926,Verbund,,,2,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005259,Vordernberg,Hydro,,Run of River,,1,1987,Verbund,,,2,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005263,Weinzödl,Hydro,,Run of River,,16,1982,Verbund,,,63,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005272,Ybbs 2020 - Turbine renewal,Hydro,,Run of River,,18,,Verbund,,,60,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
