Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1070567,Weihai 3 Coal,Coal,,,,1320,2010,Huaneng Shandong Power Co Ltd,,Huancui District  Weihai Prefecture  Shandong Province,,,,,,,,,37.449876,122.208634,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33497-weihai-3-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070568,Weihai 2 Coal,Coal,,,,600,1998,Huaneng Shandong Power Co Ltd,,Huancui District  Weihai Prefecture  Shandong Province,,,,,,,,,37.448238,122.20495,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33496-weihai-2-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070569,Weifang - Huadian Coal,Coal,,,,2000,1993,Huadian Power International Company Limited,,Weifang Prefecture  Shandong Province,,,,,,,,,36.665614,119.264782,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33495-weifang-huadian-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070570,Tianyuan Coal,Coal,,,,600,2012,Shandong Tianyuan Thermoelectric,,Maqiao Town  Huantai City  Zibo Prefecture  Shandong Province,,,,,,,,,37.053196,117.875724,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33494-tianyuan-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070571,Yangxin Coal,Coal,,,,1400,2015,Weiqiao Aluminum Co Ltd,,Heliu Town  Yangxin County  Binzhou prefecture  Shandong Province,,,,,,,,,37.575483,117.59858,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33499-yangxin-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070572,Weiqiao Township Coal,Coal,,,,1320,2013,Weiqiao Huimin New Material Co Ltd,,Weiqiao Township  Zouping County  Binzhou Prefecture  Shandong Province,,,,,,,,,37.02546,117.483816,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33498-weiqiao-township-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070573,Dawukou 1-4 Coal,Coal,,,,440,,Guodian Dawukau Power Station,Shutdown,Dawukou District  Shizuishan Prefecture  Ningxia Hui Autonomous Region,,,,,,,,,39.037276,106.384217,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33408-dawukou-1-4-coal-power-plant-shutdown,,,,,,,,,,,,China,,Industry About
1070574,Dawukou 5-6 Coal,Coal,,,,660,2010,Guodian Dawukau Power Station,,Dawukou District  Shizuishan Prefecture  Ningxia Hui Autonomous Region,,,,,,,,,39.035953,106.38742,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33409-dawukou-5-6-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070575,Shihezi - XPCC 3 Coal,Coal,,,,720,2015,XPCC Shihezi Cogen Power Station,,Shihezi City  Xinjiang Uyghur Autonomous Region,,,,,,,,,44.428107,86.089829,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33363-shihezi-xpcc-3-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070576,Shihezi - XPCC 1 Coal,Coal,,,,1400,2012,Tianfu West Power Station,,Shihezi City  Xinjiang Uyghur Autonomous Region,,,,,,,,,44.427996,86.098126,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33362-shihezi-xpcc-1-coal-power-plant,,,,,,,,,,,,China,,Industry About
