eic_p,eic_g,type_g,cyear,Generation,cf,time_coverage,co2emitted
19W000000000016F,19W000000000026C,"Fossil Brown coal/Lignite",2015,2551857,0.749,0.997,2.96406e+09
19W000000000016F,19W000000000027A,"Fossil Brown coal/Lignite",2015,746126,0.219,0.997,8.66647e+08
19W000000000016F,19W0000000000288,"Fossil Brown coal/Lignite",2015,1435132,0.421,0.997,1.66695e+09
19W000000000016F,19W0000000000296,"Fossil Brown coal/Lignite",2015,2561059,0.752,0.997,2.97475e+09
19W000000000016F,19W000000000030L,"Fossil Brown coal/Lignite",2015,2239781,0.657,0.997,2.60157e+09
19W000000000016F,19W000000000032H,"Fossil Brown coal/Lignite",2015,5373559,0.717,0.997,6.06322e+09
17W100P100P01776,17W100P100P0092E,Nuclear,2015,6742115,0.847,0.999,0
17W100P100P01784,17W100P100P0093C,Nuclear,2015,6244486,0.784,0.999,0
17W100P100P01792,17W100P100P0094A,Nuclear,2015,2211359,0.278,0.999,0
17W100P100P0180H,17W100P100P00958,Nuclear,2015,4509757,0.566,0.999,0
17W100P100P0243J,17W100P100P0173E,"Fossil Gas",2015,1051848,0.299,0.941,3.87616e+08
48WSTN00000BLLAV,48W000000BLLA-1K,"Wind Onshore",2015,137752,0.156,0.755,0
14W-VOEST-KW---0,14W-BLOCK07-L--J,"Fossil Gas",2015,879637,0.664,0.989,4.49833e+08
11WD2HANN5C----0,11WD2HANN5C---1X,"Fossil Hard coal",2015,875155,0.743,0.989,9.23209e+08
11WD2HANN5C----0,11WD2HANN5C---2V,"Fossil Hard coal",2015,784543,0.671,0.981,8.27622e+08
11WD2MEHR2CSWH-O,11WD2MEHR2CSWHCZ,"Fossil Hard coal",2015,2862813,0.479,0.989,2.55539e+09
11WD7NORF5G--KWG,11WD7NORF5GAGUDC,"Fossil Gas",2015,174130,0.201,0.989,7.16421e+07
11WD2HERR5GKW--1,11WD2HERR5G----G,"Fossil Gas",2015,6213,0.007,0.981,5.44583e+06
11WD7NORF5G--KWG,11WD7NORF5G-HTER,"Fossil Gas",2015,54122,0.021,0.989,3.11743e+07
11WD7NORF5G--KWG,11WD7NORF5GGUDFA,"Fossil Gas",2015,351428,0.202,0.334,1.86442e+08
11WD7LUDW2GA800M,11WD7LUDW2GGT11E,"Fossil Gas",2015,1504213,0.843,0.989,7.98025e+08
11WD7LUDW2GA800M,11WD7LUDW2GGT12C,"Fossil Gas",2015,1475907,0.827,0.989,8.50122e+08
11WD7LUDW5GSUEDE,11WD7LUDW5GSDG1Q,"Fossil Gas",2015,801693,0.520,0.989,3.36711e+08
11WD7LUDW5GSUEDE,11WD7LUDW5GSDG2O,"Fossil Gas",2015,1147783,0.793,0.989,6.25387e+08
43W-RTEC-2-1---C,43W-RTEC-2-GG1-B,"Fossil Gas",2015,384107,0.151,0.999,1.37524e+08
43W-RTEC-2-1---C,43W-RTEC-2-TG1-K,"Fossil Gas",2015,215605,0.164,0.999,1.11729e+08
43W-RTEC-2-2---7,43W-RTEC-2-GG2-8,"Fossil Gas",2015,621428,0.244,0.999,2.22494e+08
43W-RTEC-2-2---7,43W-RTEC-2-TG2-H,"Fossil Gas",2015,340190,0.261,0.999,1.7629e+08
24WV--EBO------8,24WG--EBOG31---D,Nuclear,2015,937008,0.747,0.573,0
24WV--EBO------8,24WG--EBOG32---8,Nuclear,2015,936236,0.746,0.573,0
24WV--EBO------8,24WG--EBOG41---7,Nuclear,2015,1198937,0.956,0.573,0
24WV--EBO------8,24WG--EBOG42---2,Nuclear,2015,1197939,0.955,0.573,0
49W0000000000520,49W000000000053Z,"Fossil Hard coal",2015,2116003,0.600,0.986,2.06111e+09
49W000000000054X,49W000000000055V,Nuclear,2015,3674924,0.862,0.989,0
17W100P100P0281B,17W100P100P0052Q,"Hydro Water Reservoir",2015,87746,0.087,0.979,0
17W100P100P0281B,17W100P100P0054M,"Hydro Water Reservoir",2015,114011,0.132,0.868,0
17W100P100P0235I,17W100P100P0016U,"Fossil Hard coal",2015,279601,0.134,0.956,2.7206e+08
48WSTN0000BOWLWY,48W00000BOWLW-1K,"Wind Offshore",2015,217909,0.321,0.860,0
48WSTN0000BRDUWV,48W00000BRDUW-1V,"Wind Onshore",2015,129735,0.237,0.845,0
17W100P100P02586,17W100P100P02578,"Fossil Oil",2015,1931,0.003,1.000,1.73566e+06
17W100P100P0260J,17W100P100P02594,"Fossil Oil",2015,1639,0.002,1.000,1.4732e+06
17W100P100P0261H,17W100P100P0033U,"Fossil Oil",2015,4555,0.004,1.000,3.73296e+06
48WSTN00000BRGGA,48W000000BRGG-1M,"Fossil Gas",2015,8989,0.245,0.016,4.29716e+06
11WD2BRKW000294C,11WD2BROK000123P,Nuclear,2015,10516481,0.861,0.989,0
17W100P100P02829,17W100P100P0055K,"Hydro Water Reservoir",2015,282329,0.134,1.000,0
48WSTN0000BRYBW4,48W00000BRYBW-10,"Wind Onshore",2015,132401,0.260,0.880,0
48WSTN00000BRYPC,48W000000BRYP-17,"Fossil Gas",2015,32238,0.487,0.031,1.38059e+07
30W-CET-BUCS---S,30WELCEBUCU3---2,"Fossil Gas",2015,318109,0.452,0.956,2.07243e+08
30W-CET-BUCS---S,30WELCEBUCU4---Y,"Fossil Gas",2015,399821,0.568,0.956,2.60477e+08
30W-CET-BUCS---S,30WELCEBUCU5---T,"Fossil Gas",2015,3763,0.004,0.956,2.23522e+06
30W-CET-BUCS---S,30WELCEBUCU6---O,"Fossil Gas",2015,0,0.000,0.956,0
30W-CET-BUCV---D,30WELCEBUCV2---1,"Fossil Gas",2015,77791,0.082,0.956,5.06796e+07
30W-CET-BUCV---D,30WELCEBUCV3---X,"Fossil Gas",2015,654215,0.422,0.956,2.87229e+08
17W100P100P0181F,17W100P100P00966,Nuclear,2015,7231140,0.908,1.000,0
17W100P100P0182D,17W100P100P00974,Nuclear,2015,6584963,0.826,1.000,0
17W100P100P0183B,17W100P100P00982,Nuclear,2015,6293071,0.817,1.000,0
17W100P100P01849,17W100P100P01004,Nuclear,2015,4921948,0.639,1.000,0
48WSTN0000BURBWH,48W00000BURBW-1L,"Wind Offshore",2015,225734,0.330,0.868,0
11WD2BUSC0002637,11WD2BUSD0000386,"Fossil Brown coal/Lignite",2015,2128100,0.698,0.989,2.29835e+09
16WCABRIL------U,16WCABRIL1-----G,"Hydro Water Reservoir",2015,85277,0.181,0.997,0
16WCABRIL------U,16WCABRIL2-----9,"Hydro Water Reservoir",2015,67178,0.142,0.997,0
48WSTN0000CAIRBU,48W00000CAIRW-2E,"Wind Onshore",2015,99678,0.310,0.875,0
18WCAMGI10-12-07,18WCAMGI10-12-CK,"Fossil Gas",2015,0,0.000,1.000,0
18WCAMGI20--1-0D,18WCAMGI20-12-CC,"Fossil Gas",2015,0,0.000,1.000,0
16WCARRAPA-----2,16WCARRA1------C,"Hydro Run-of-river and poundage",2015,225659,0.386,0.997,0
16WCARRAPA-----2,16WCARRA2------4,"Hydro Run-of-river and poundage",2015,231377,0.395,0.997,0
16WCARRAPA-----2,16WCARRA3------X,"Hydro Run-of-river and poundage",2015,225553,0.385,0.997,0
18WCTGN1-1234-0C,18WCTGN1-1234-CP,"Fossil Gas",2015,936947,0.256,1.000,3.49794e+08
18WCTGN2-1234-03,18WCTGN2-1234-CG,"Fossil Gas",2015,64420,0.018,1.000,2.40501e+07
18WCTGN3-1234-0V,18WCTGN3-1234-C7,"Fossil Gas",2015,681828,0.189,1.000,2.54549e+08
18WCTJON1-123-06,18WCTJON1-123-CJ,"Fossil Gas",2015,341901,0.092,1.000,1.30051e+08
18WCTJON2-123-0Z,18WCTJON2-123-CB,"Fossil Gas",2015,8,0.000,1.000,3043.02
16WCBODE-------5,16WCBODE1------Q,"Hydro Water Reservoir",2015,52008,0.112,0.997,0
16WCBODE-------5,16WCBODE2------I,"Hydro Water Reservoir",2015,43561,0.094,0.997,0
16WCBODE-------5,16WCBODE3------A,"Hydro Water Reservoir",2015,51922,0.112,0.997,0
18WDUER-12345-0N,18WCA21-12345-AJ,"Hydro Water Reservoir",2015,358303,0.365,1.000,0
17W100P100P01873,17W100P100P01012,Nuclear,2015,6984948,0.616,0.995,0
17W100P100P01881,17W100P100P0103Z,Nuclear,2015,9423478,0.828,1.000,0
17W100B100P0189S,17W100P100P0104X,Nuclear,2015,9429859,0.828,1.000,0
17W100P100P0190E,17W100P100P0105V,Nuclear,2015,10185839,0.895,1.000,0
30W-CET-PETROM-L,30W-PETR-BRAZ1-W,"Fossil Gas",2015,2435402,0.329,0.956,8.9428e+08
48WSTN00000CDCLQ,48W000000CDCL-1P,"Fossil Gas",2015,471508,0.544,0.225,1.79487e+08
18WTAJO-12345-0U,18WCED1-12345-AZ,"Hydro Water Reservoir",2015,155348,0.146,1.000,0
18WTAJO-12345-0U,18WCED2-12345-AP,"Hydro Water Reservoir",2015,14717,0.014,1.000,0
18WTAJO-12345-0U,18WCED3-12345-AF,"Hydro Water Reservoir",2015,49817,0.045,1.000,0
18WTAJO-12345-0U,18WCED4-12345-A5,"Hydro Water Reservoir",2015,109353,0.099,1.000,0
49W000000000076N,49W000000000077L,"Fossil Hard coal",2015,2886187,,0.973,2.52297e+09
49W000000000090T,49W0000000000261,"Fossil Gas",2015,181536,0.389,0.238,7.69259e+07
30W-CET-BRAI---0,30WTE--BRAI11--0,"Fossil Gas",2015,0,0.000,0.956,0
30W-CET-BRAI---0,30WTE--BRAI2---3,"Fossil Gas",2015,0,0.000,0.956,0
30W-CET-BRAZ---Q,30UBRAZBRAZ5---T,"Fossil Gas",2015,293772,0.358,0.956,1.91388e+08
30W-CET-BRAZ---Q,30UBRAZBRAZ6---O,"Fossil Gas",2015,6,0.000,0.956,3908.9
30W-CET-CRAI---T,30WCRAICRA21---Y,"Fossil Brown coal/Lignite",2015,528267,0.482,0.956,7.25595e+08
30W-CET-CRAI---T,30WCRAICRA22---T,"Fossil Brown coal/Lignite",2015,390835,0.356,0.956,5.36827e+08
30W-CET-GALA---G,30WGALATGALA3--G,"Fossil Gas",2015,55327,0.069,0.956,4.85819e+07
30W-CET-GALA---G,30WGALAGALA5---Q,"Fossil Gas",2015,24718,0.031,0.956,2.17046e+07
30W-CET-GALA---G,30WGALAGALA6---L,"Fossil Gas",2015,0,0.000,0.956,0
30W-CET-MINT---R,30WMINTMINT2---1,"Fossil Hard coal",2015,143704,0.088,0.956,1.547e+08
30W-CET-MINT---R,30WMINTMINT3---X,"Fossil Hard coal",2015,601439,0.326,0.956,6.47459e+08
30W-CET-MINT---R,30WMINTMINT4---S,"Fossil Hard coal",2015,0,0.000,0.956,0
30W-CET-MINT---R,30WMINTMINT5---N,"Fossil Hard coal",2015,98197,0.060,0.956,1.02407e+08
30W-CET-MINT---R,30WMINTMINT6---I,"Fossil Hard coal",2015,0,0.000,0.956,0
30W-CET-PARO---N,30WTE-PARO124--W,"Fossil Hard coal",2015,722889,0.575,0.956,8.31871e+08
17W100P100P0302T,17W100P100P0049F,"Hydro Run-of-river and poundage",2015,94087,0.130,0.786,0
17W100P100P0302T,17W100P100P0050U,"Hydro Run-of-river and poundage",2015,117583,0.136,0.930,0
28W-G-0000000009,28W-G-000000123U,"Hydro Pumped Storage",2015,281969,0.179,1.000,0
30W-CHE-LOTR---A,30WHIDRLOTR1---C,"Hydro Water Reservoir",2015,205344,0.144,0.956,0
30W-CHE-LOTR---A,30UHIDRLOTR2---7,"Hydro Water Reservoir",2015,223959,0.157,0.956,0
30W-CHE-LOTR---A,30WHIDRLOTR3---B,"Hydro Water Reservoir",2015,463188,0.325,0.956,0
30W-CHE-PDF1---A,30WHIDRPDFE1---R,"Hydro Run-of-river and poundage",2015,793342,0.490,0.956,0
30W-CHE-PDF1---A,30WHIDRPDFE2---M,"Hydro Run-of-river and poundage",2015,924535,0.571,0.956,0
30W-CHE-PDF1---A,30WHIDRPDFE3---H,"Hydro Run-of-river and poundage",2015,703414,0.434,0.956,0
30W-CHE-PDF1---A,30WHIDRPDFE4---C,"Hydro Run-of-river and poundage",2015,816766,0.504,0.956,0
30W-CHE-PDF1---A,30WHIDRPDFE5---7,"Hydro Run-of-river and poundage",2015,926939,0.572,0.956,0
30W-CHE-PDF1---A,30WHIDRPDFE6---2,"Hydro Run-of-river and poundage",2015,614908,0.379,0.956,0
30W-CHE-RUIM---B,30WHIDRRIUM1---1,"Hydro Water Reservoir",2015,167045,0.119,0.956,0
30W-CHE-RUIM---B,30WHIDRRIUM2---W,"Hydro Water Reservoir",2015,259776,0.185,0.956,0
17W100P100P0273A,17W100P100P0056I,"Hydro Pumped Storage",2015,491170,0.219,0.989,0
