eic_p,eic_g,name_p,name_g,capacity_p,capacity_g,type_g,lat,lon,country,NUTS2,status_g,year_commissioned,year_decommissioned,water_type,cooling_type,water_withdrawal,water_consumption
54W-VAUDEJES011D,54W-VADEJ-G3014B,VAUDEJG,VAUDEJG3,250,50,"Hydro Water Reservoir",42.014,19.636,Albania,AL01,COMMISSIONED,,,Freshwater,,,
54W-VAUDEJES011D,54W-VADEJ-G40154,VAUDEJG,VAUDEJG4,250,50,"Hydro Water Reservoir",42.014,19.636,Albania,AL01,COMMISSIONED,,,Freshwater,,,
14W-WGM-KW-----J,14W-WGM1-M1----5,GDK-Mellach,"GDK-Mellach Linie 10",838,421,"Fossil Gas",46.933,15.517,Austria,AT22,COMMISSIONED,2012,,Freshwater,Once-through,43.07,0.38
14W-WGM-KW-----J,14W-WGM2-M1----X,GDK-Mellach,"GDK-Mellach Linie 20",838,417,"Fossil Gas",46.933,15.517,Austria,AT22,COMMISSIONED,2012,,Freshwater,Once-through,43.07,0.38
14W-BOW-KW-----9,14W-BOW-TU-----P,Ottensheim-Wilhering,Ottensheim-Wilhering,179,179,"Hydro Run-of-river and poundage",48.317,14.151,Austria,AT31,COMMISSIONED,1975,,Freshwater,,,
14WLSG-MITTE---U,,"FHKW Linz Mitte",NA,253.8,253.8,"Fossil Gas",48.299,14.324,Austria,AT31,COMMISSIONED,1970,,Freshwater,Once-through,43.07,0.38
14W-KW-THE-EVN-7,14W-KW-THE-KO--3,"Kraftwerk Theiß","Theiß Kombi",755,485,"Fossil Gas",48.383,15.7,Austria,AT12,RESERVE,2000,,Freshwater,Once-through,132.48,0.91
14W-KW-THE-EVN-7,14W-KW-THE-M2--7,"Kraftwerk Theiß","Theiß 2",755,130,"Fossil Gas",48.383,15.7,Austria,AT12,COMMISSIONED,1974,,Freshwater,Once-through,132.48,0.91
14W-KW-THE-EVN-7,14W-KW-THE--M5-O,"Kraftwerk Theiß","Theiß 5",755,230,"Fossil Gas",48.383,15.7,Austria,AT12,COMMISSIONED,2000,,Freshwater,Once-through,132.48,0.91
14W-KW-THE-EVN-7,14W-KW-THE--M3-U,"Kraftwerk Theiß","Theiß 3",755,255,"Fossil Gas",48.383,15.7,Austria,AT12,COMMISSIONED,2003,,Freshwater,Once-through,132.48,0.91
14W-KW-DU2-EVN-K,14W-KW-DUE-EVN-A,"Kraftwerk Dürnrohr","KW Dürnrohr Block 2",381.4,335,"Fossil Hard coal",48.317,15.917,Austria,AT12,COMMISSIONED,1985,,Freshwater,Once-through,137.59,0.95
14WLSG-1SUED---5,,"FHKW Linz Süd",NA,158,158,"Fossil Gas",48.299,14.324,Austria,AT31,COMMISSIONED,1993,,Freshwater,Once-through,43.07,0.38
14W-E110349----M,,"Kraftwerk Oschenik",NA,114,114,"Hydro Pumped Storage",46.988,13.106,Austria,AT21,COMMISSIONED,,,Freshwater,,,
14W-KW-KO2-EVN-5,14W-KW-KOR-EVN-F,"Kraftwerk Korneuburg","KW Korneuburg Block EVN",152,150,"Fossil Gas",48.317,16.333,Austria,AT12,COMMISSIONED,1958,,Freshwater,Once-through,43.07,0.38
14W-KW-KO2-EVN-5,14W-KW-KOR--M2-4,"Kraftwerk Korneuburg","KW Korneuburg M2",152,101.2,"Fossil Gas",48.317,16.333,Austria,AT12,COMMISSIONED,1958,,Freshwater,Once-through,43.07,0.38
14W-BAW-KW-----F,14W-BAW-TU-----V,Altenwörth,Altenwörth,328,328,"Hydro Run-of-river and poundage",48.375,15.855,Austria,AT12,COMMISSIONED,1976,,Freshwater,,,
14W-BYP-KW-----6,14W-BYP-TU-----M,Ybbs-Persenbeug,Ybbs-Persenbeug,236.5,236.5,"Hydro Run-of-river and poundage",48.189,15.068,Austria,AT12,COMMISSIONED,1959,,Freshwater,,,
14W-TKO-KW-----S,14W-TKO-TU-----7,Kaprun-Oberstufe,Kaprun-Oberstufe,112.8,112.8,"Hydro Pumped Storage",47.197,12.719,Austria,AT32,COMMISSIONED,1956,,Freshwater,,,
14W-DMO-KW-----D,14W-DMO-TU-----T,Malta-Oberstufe,Malta-Oberstufe,120,120,"Hydro Pumped Storage",47.066,13.354,Austria,AT21,COMMISSIONED,1975,,Freshwater,,,
14W-WDR-KW-----2,14W-WDR-M1-----I,"DKW Dürnrohr","DKW Dürnrohr",0,380,"Fossil Hard coal",48.317,15.917,Austria,AT12,COMMISSIONED,1985,,Freshwater,Once-through,85.50,0.39
14W-BAA-KW-----D,14W-BAA-TU-----T,Abwinden-Asten,Abwinden-Asten,168,168,"Hydro Run-of-river and poundage",48.248,14.431,Austria,AT31,COMMISSIONED,1979,,Freshwater,,,
14W-KW-HMUHR---R,,"Kraftwerk Hintermuhr",NA,107,107,"Hydro Pumped Storage",47.11,13.434,Austria,AT32,COMMISSIONED,,,Freshwater,,,
14W-BFR-KW-----A,14W-BFR-TU-----Q,Freudenau,Freudenau,172,172,"Hydro Run-of-river and poundage",48.177,16.481,Austria,AT13,COMMISSIONED,1997,,Freshwater,,,
14W-E110354----8,,"Kraftwerk Außerfragant",NA,100,100,"Hydro Water Reservoir",46.977,13.051,Austria,AT21,COMMISSIONED,,,Freshwater,,,
14W-BAS-KW-----I,14W-BAS-TU-----Y,Aschach,Aschach,287.4,287.4,"Hydro Run-of-river and poundage",48.385,14.023,Austria,AT31,COMMISSIONED,1964,,Freshwater,,,
14W-TZG-KW-----H,14W-TZG-TU-----X,Gerlos,Gerlos,200.2,200.2,"Hydro Water Reservoir",47.234,11.9,Austria,AT33,COMMISSIONED,1943,,Freshwater,,,
14W-TZR-KW-----I,14W-TZR-TU-----Y,Roßhag,Roßhag,231,231,"Hydro Pumped Storage",47.087,11.774,Austria,AT33,COMMISSIONED,1970,,Freshwater,,,
14WENERGIE--WT02,14WENERGIEAGWT4S,"Kraftwerk Timelkam GUD","Kraftwerk Timelkam GUD",400,400,"Fossil Gas",48,13.583,Austria,AT31,COMMISSIONED,2008,,Freshwater,"Mechanical Draught Tower",0.96,0.78
14W-TKH-KW-----O,14W-TKH-TU-----3,Kaprun-Hauptstufe,Kaprun-Hauptstufe,260,260,"Hydro Water Reservoir",47.199,12.722,Austria,AT32,COMMISSIONED,1953,,Freshwater,,,
14W-DMH-KW-----9,14W-DMH-TU-----P,Malta-Hauptstufe,Malta-Hauptstufe,730,730,"Hydro Pumped Storage",47.066,13.354,Austria,AT21,COMMISSIONED,1978,,Freshwater,,,
14W-WNW-KW-----R,14W-WNW-M1-----6,"FHKW Neudorf/Werndorf","FHKW Neudorf/Werndorf",0,150,"Fossil Oil",46.917,15.483,Austria,AT22,COMMISSIONED,,,Freshwater,"Natural Draught Tower",4.55,3.13
14W-PROD-LAU---8,14W-GEN-LAU----Z,"KW Leopoldau","Lau GuD",140,140,"Fossil Gas",48.267,16.433,Austria,AT13,COMMISSIONED,1975,,Freshwater,Once-through,43.07,0.38
14W-VOEST-KW---0,14W-BLOCK07-L--J,"voestalpine KW Linz","Block 07 Linz",153,153,"Fossil Gas",48.299,14.324,Austria,AT31,COMMISSIONED,,,Freshwater,Once-through,132.48,0.91
14W-BWM-KW-----L,14W-BWM-TU-----0,Wallsee-Mitterkirchen,Wallsee-Mitterkirchen,210,210,"Hydro Run-of-river and poundage",48.167,14.695,Austria,AT31,COMMISSIONED,1968,,Freshwater,,,
14W-WML-KW-----0,14W-WML-M1-----G,"FHKW Mellach","FHKW Mellach",200,200,"Fossil Hard coal",46.933,15.517,Austria,AT22,COMMISSIONED,1986,,Freshwater,Once-through,137.59,0.95
14W-TKP-KW-----I,14W-TKP-TU-----Y,"Limberg II","Limberg II",480,480,"Hydro Pumped Storage",47.198,12.72,Austria,AT32,COMMISSIONED,2011,,Freshwater,,,
14W-TKS-KW-----P,14W-TKS-TU-----4,Kaprun-Schwarzach,Kaprun-Schwarzach,120,120,"Hydro Water Reservoir",47.315,13.139,Austria,AT32,COMMISSIONED,1960,,Freshwater,,,
14W-PROD-DO----O,14W-GEN-DO3----F,"KW Donaustadt",DO3,395,395,"Fossil Gas",48.183,16.45,Austria,AT13,COMMISSIONED,2001,,Freshwater,Once-through,132.48,0.91
14W-PROD-SIM---P,14W-GEN-SIM3---P,"KW Simmering",Sim3,1272.2,420,"Fossil Gas",48.167,16.433,Austria,AT13,COMMISSIONED,1992,,Freshwater,Once-through,43.07,0.38
14W-PROD-SIM---P,14W-GEN-SIM1---Z,"KW Simmering",Sim1,1272.2,828,"Fossil Gas",48.167,16.433,Austria,AT13,COMMISSIONED,2009,,Freshwater,Once-through,43.07,0.38
14W-PROD-SIM---P,14W-GEN-SIMBIO-J,"KW Simmering","Sim Bio",1272.2,24.2,Biomass,48.167,16.433,Austria,AT13,COMMISSIONED,2009,,Freshwater,"Natural Draught Tower",3.32,2.09
14W-DRP-KW-----M,14W-DRP-TU-----1,"Reisseck 2","Reisseck 2",430,430,"Hydro Pumped Storage",47.078,13.417,Austria,AT32,COMMISSIONED,2014,,Freshwater,,,
14W-E110352----K,,"Kraftwerk Feldsee",NA,140,140,"Hydro Pumped Storage",47.003,13.059,Austria,AT21,COMMISSIONED,2009,,Freshwater,,,
14WENERGIEAGWR05,14WENERGIEAGWR21,"Kraftwerk Riedersbach 2","KW Riedersbach 2 G2",150,150,"Fossil Hard coal",48.033,12.833,Austria,AT31,COMMISSIONED,1970,,Freshwater,Once-through,137.59,0.95
14W-TZMA-KW----N,14W-TZM-TU-----A,Mayrhofen,Mayrhofen,355,355,"Hydro Water Reservoir",47.158,11.85,Austria,AT33,COMMISSIONED,1970,,Freshwater,,,
14W-TZH-KW-----7,14W-TZH-TU-----N,Häusling,Häusling,360,360,"Hydro Pumped Storage",47.146,11.967,Austria,AT33,COMMISSIONED,1986,,Freshwater,,,
14W-BME-KW-----Q,14W-BME-TU-----5,Melk,Melk,187,187,"Hydro Run-of-river and poundage",48.223,15.304,Austria,AT12,COMMISSIONED,1982,,Freshwater,,,
14W-BGS-KW-----Q,14W-BGS-TU-----5,Greifenstein,Greifenstein,293,293,"Hydro Run-of-river and poundage",48.355,16.242,Austria,AT12,COMMISSIONED,1985,,Freshwater,,,
36W-TE-TUZLA---K,36W-TE-TUZLA4--0,TE_TUZLA,TE_TUZLA_G4,730,200,"Fossil Hard coal",44.52,18.605,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Natural Draught Tower",2.22,1.81
36W-TE-TUZLA---K,36W-TE-TUZLA6--T,TE_TUZLA,TE_TUZLA_G6,730,230,"Fossil Hard coal",44.52,18.605,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Natural Draught Tower",2.22,1.81
36W-TE-TUZLA---K,36W-TE-TUZLA3--4,TE_TUZLA,TE_TUZLA_G3,730,100,"Fossil Hard coal",44.52,18.605,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Natural Draught Tower",2.22,1.81
36W-TE-TUZLA---K,36W-TE-TUZLA5--X,TE_TUZLA,TE_TUZLA_G5,730,200,"Fossil Hard coal",44.52,18.605,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Natural Draught Tower",2.22,1.81
36W-TE-UGLJEVIKN,36W-TE-UGLJEV1-5,TE_UGLJEVIK,TE_UGLJEVIK_G1,269,269,"Fossil Hard coal",44.682,18.967,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Natural Draught Tower",2.40,1.87
36W-TE-GACKO---O,36W-TE-GACKO1--G,TE_GACKO,TE_GACKO_G1,269,269,"Fossil Hard coal",43.173,18.512,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Natural Draught Tower",2.40,1.87
36W-HE-VISEGRADJ,36W-H-VISEG-G1-N,HE_VISEGRAD,HE_VISEGRAD_G1,315,105,"Hydro Water Reservoir",43.76,19.289,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,,,
36W-HE-VISEGRADJ,36W-H-VISEG-G2-K,HE_VISEGRAD,HE_VISEGRAD_G2,315,105,"Hydro Water Reservoir",43.76,19.289,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,,,
36W-HE-VISEGRADJ,36W-H-VISEG-G3-H,HE_VISEGRAD,HE_VISEGRAD_G3,315,105,"Hydro Water Reservoir",43.76,19.289,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,,,
36W-HE-DUBROV--K,36W-H-DUBR--G2-H,HE_DUBROVNIK,HE_DUBROVNIK_G2,126,126,"Hydro Water Reservoir",42.603,18.23,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,,,
36W-TE-KAKANJ--S,36W-TE-KAKANJ5-A,TE_KAKANJ,TE_KAKANJ_G5,416,100,"Fossil Hard coal",44.088,18.114,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Mechanical Draught Tower",2.22,1.81
36W-TE-KAKANJ--S,36W-TE-KAKANJ6-7,TE_KAKANJ,TE_KAKANJ_G6,416,100,"Fossil Hard coal",44.088,18.114,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Mechanical Draught Tower",2.22,1.81
36W-TE-KAKANJ--S,36W-TE-KAKANJ7-4,TE_KAKANJ,TE_KAKANJ_G7,416,216,"Fossil Hard coal",44.088,18.114,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Mechanical Draught Tower",2.22,1.81
36W-TE-STANARI-V,36W-TE-STANAG1-F,TE_STANARI,TE_STANARI_G1,300,300,"Fossil Brown coal/Lignite",44.753,17.792,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,"Air Cooling",0.33,0.22
36W-HECAPLJINA-1,36W-H-CAPLJ-G1-K,HE_CAPLJINA,HE_CAPLJINA_G1,440,210,"Hydro Pumped Storage",42.936,17.831,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,,,
36W-HECAPLJINA-1,36W-H-CAPLJ-G2-H,HE_CAPLJINA,HE_CAPLJINA_G2,440,220,"Hydro Pumped Storage",42.936,17.831,"Bosnia and Herzegovina",,COMMISSIONED,,,Freshwater,,,
22WSAINT-000221B,22WSAINT-150221B,"SAINT-GHISLAIN STEG","SAINT-GHISLAIN STEG",350,350,"Fossil Gas",50.466,3.833,Belgium,BE32,COMMISSIONED,2001,,Freshwater,"Air Cooling",0.01,0.01
22WDOELX40000793,22WDOELX41500793,"DOEL 4","DOEL 4",1039,1039,Nuclear,51.316,4.258,Belgium,BE23,COMMISSIONED,1985,,Freshwater,"Natural Draught Tower",4.17,2.54
22WCOOXII000070C,22WCOOX4X0000588,"COO II T","COO 4 T",690,230,"Hydro Pumped Storage",50.385,5.862,Belgium,BE33,COMMISSIONED,1978,,Freshwater,,,
22WCOOXII000070C,22WCOOX5X000061A,"COO II T","COO 5 T",690,230,"Hydro Pumped Storage",50.385,5.862,Belgium,BE33,COMMISSIONED,1978,,Freshwater,,,
22WCOOXII000070C,22WCOOX6X000064W,"COO II T","COO 6 T",690,230,"Hydro Pumped Storage",50.385,5.862,Belgium,BE33,COMMISSIONED,1978,,Freshwater,,,
22WDROGEN0000863,22WDROGEN0000847,"DROGENBOS TGV","DROGENBOS GT2",465,150,"Fossil Gas",50.804,4.298,Belgium,BE24,COMMISSIONED,1899,,Freshwater,"Natural Draught Tower",0.96,0.78
22WDROGEN0000863,22WDROGEN0000855,"DROGENBOS TGV","DROGENBOS ST",465,160,"Fossil Gas",50.804,4.298,Belgium,BE24,COMMISSIONED,1899,,Freshwater,"Natural Draught Tower",0.96,0.78
22WDROGEN0000863,22WDROGEN0000839,"DROGENBOS TGV","DROGENBOS GT1",465,150,"Fossil Gas",50.804,4.298,Belgium,BE24,COMMISSIONED,1899,,Freshwater,"Natural Draught Tower",0.96,0.78
22WINESCO000149P,22WINESCO150149P,"INESCO WKK","INESCO WKK",133,133,"Fossil Gas",51.027,3.578,Belgium,BE21,COMMISSIONED,,,Freshwater,"Mechanical Draught Tower",0.96,0.78
22WMARCIN000179H,22WMARCIN150179H,"Marcinelle Energie (Carsid)","Marcinelle Energie (Carsid)",405,405,"Fossil Gas",50.41,4.433,Belgium,BE32,COMMISSIONED,2011,,Freshwater,Once-through,43.07,0.38
22WSCHELD0002261,22WSCHELD1502261,"Scheldelaan Exxonmobil","Scheldelaan Exxonmobil",140,140,"Fossil Gas",51.254,4.334,Belgium,BE21,COMMISSIONED,2009,,Freshwater,"Air Cooling",0.01,0.01
22WTHORNT000237E,22WTHORNT150237E,"Thorntonbank - C-Power - Area NE","Thorntonbank - C-Power - Area NE",147.6,147.6,"Wind Offshore",51.556,2.969,Belgium,BE25,COMMISSIONED,,,None,,0.00,0.00
22WDOELX3000078D,22WDOELX3150078D,"DOEL 3","DOEL 3",1006,1006,Nuclear,51.316,4.258,Belgium,BE23,COMMISSIONED,1982,,Freshwater,"Natural Draught Tower",4.17,2.54
22WTHORNT000238C,22WTHORNT150238C,"Thorntonbank - C-Power - Area SW","Thorntonbank - C-Power - Area SW",177.6,177.6,"Wind Offshore",51.54,2.921,Belgium,BE25,COMMISSIONED,,,None,,0.00,0.00
22WT-POWE000244W,22WT-POWE150244W,"T-power Beringen","T-power Beringen",419.8,419.8,"Fossil Gas",51.058,5.105,Belgium,BE22,COMMISSIONED,2011,,Freshwater,"Mechanical Draught Tower",0.96,0.78
22WCOOXIX000067T,22WCOOX1X000050E,"COO I T","COO 1 T",474,158,"Hydro Pumped Storage",50.393,5.869,Belgium,BE33,COMMISSIONED,1969,,Freshwater,,,
22WCOOXIX000067T,22WCOOX2X0000521,"COO I T","COO 2 T",474,158,"Hydro Pumped Storage",50.385,5.862,Belgium,BE33,COMMISSIONED,1969,,Freshwater,,,
22WCOOXIX000067T,22WCOOX3X000055N,"COO I T","COO 3 T",474,158,"Hydro Pumped Storage",50.385,5.862,Belgium,BE33,COMMISSIONED,1969,,Freshwater,,,
22WDOELX1000076X,22WDOELX1150076X,"DOEL 1","DOEL 1",433,433,Nuclear,51.316,4.258,Belgium,BE23,COMMISSIONED,1975,,Freshwater,Once-through,167.87,1.02
22WRODENH000213L,22WRODENH150213L,"RODENHUIZE 4","RODENHUIZE 4",268,268,Biomass,51.127,3.769,Belgium,BE23,COMMISSIONED,,,Freshwater,"Natural Draught Tower",3.32,2.09
22W20161130----Z,22W20161115----Z,"Nobelwind Offshore Windpark","Nobelwind Offshore Windpark",165,165,"Wind Offshore",51.527,3.014,Belgium,BE25,COMMISSIONED,,,None,,0.00,0.00
22WBELWIN0000271,22WBELWIN1500271,"Belwind Phase 1","Belwind Phase 1",171,171,"Wind Offshore",51.66,2.8,Belgium,BE25,COMMISSIONED,,,None,,0.00,0.00
22WHERDER0001288,22WHERDER000127A,"HERDERSBRUG STEG","HERDERSBRUG ST",480.3,167,"Fossil Gas",51.257,3.208,Belgium,BE25,COMMISSIONED,1998,,Freshwater,"Air Cooling",0.01,0.01
22WHERDER0001288,22WHERDER000126C,"HERDERSBRUG STEG","HERDERSBRUG GT2",480.3,156.3,"Fossil Gas",51.257,3.208,Belgium,BE25,COMMISSIONED,1998,,Freshwater,"Air Cooling",0.01,0.01
22WHERDER0001288,22WHERDER000125E,"HERDERSBRUG STEG","HERDERSBRUG GT1",480.3,157,"Fossil Gas",51.257,3.208,Belgium,BE25,COMMISSIONED,1998,,Freshwater,"Air Cooling",0.01,0.01
22WRINGVA000209C,22WRINGVA150209C,"RINGVAART STEG","RINGVAART STEG",365,365,"Fossil Gas",51.099,3.712,Belgium,BE23,COMMISSIONED,1998,,Freshwater,"Air Cooling",0.01,0.01
22WDOELX2000077N,22WDOELX2150077N,"DOEL 2","DOEL 2",433,433,Nuclear,51.316,4.258,Belgium,BE23,COMMISSIONED,1975,,Freshwater,Once-through,167.87,1.02
22WZELZAT0002618,22WZELZAT1502618,"Zelzate 2 Knippegroen","Zelzate 2 Knippegroen",315,315,"Fossil Gas",51.157,3.812,Belgium,BE23,COMMISSIONED,2010,,Freshwater,"Mechanical Draught Tower",4.55,3.13
22WZANDVL000255D,22WZANDVL150255D,"Zandvliet Power","Zandvliet Power",386.2,386.2,"Fossil Gas",51.361,4.255,Belgium,BE21,COMMISSIONED,,,Seawater,"Mechanical Draught Tower",4.55,3.13
22WTIHANG000239G,22WTIHANG150239G,"TIHANGE 1N","TIHANGE 1N",481,481,Nuclear,50.532,5.273,Belgium,BE33,COMMISSIONED,1975,,Freshwater,Once-through,167.87,1.02
22WTIHANG000242R,22WTIHANG150242R,"TIHANGE 3","TIHANGE 3",1038,1038,Nuclear,50.532,5.273,Belgium,BE33,COMMISSIONED,1985,,Freshwater,Once-through,167.87,1.02
22WTIHANG000241T,22WTIHANG150241T,"TIHANGE 2","TIHANGE 2",1008,1008,Nuclear,50.532,5.273,Belgium,BE33,COMMISSIONED,1983,,Freshwater,Once-through,167.87,1.02
22WTIHANG000240V,22WTIHANG150240V,"TIHANGE 1S","TIHANGE 1S",481,481,Nuclear,50.532,5.273,Belgium,BE33,COMMISSIONED,,,Freshwater,Once-through,167.87,1.02
22WLANGER0001694,22WLANGER1501694,"LANGERLO 1","LANGERLO 1",235,235,"Fossil Hard coal",50.934,5.478,Belgium,BE22,DECOMMISSIONED,1899,2016,Freshwater,"Natural Draught Tower",2.22,1.81
22WNORTHW000187B,22WNORTHW150187B,Northwind,Northwind,216,216,"Wind Offshore",51.619,2.9,Belgium,BE25,COMMISSIONED,,,None,,0.00,0.00
22WAMERCO000010Y,22WAMERCO000009J,"Amercoeur 1 R TGV","Amercoeur 1 R ST",451,162,"Fossil Gas",50.433,4.4,Belgium,BE32,COMMISSIONED,2010,,Freshwater,Once-through,43.07,0.38
22WAMERCO000010Y,22WAMERCO000008L,"Amercoeur 1 R TGV","Amercoeur 1 R GT",451,289,"Fossil Gas",50.433,4.4,Belgium,BE32,COMMISSIONED,2010,,Freshwater,Once-through,43.07,0.38
22WESCH-S0000967,22WESCH-S1500967,"ESCH-SUR-ALZETTE STEG","ESCH-SUR-ALZETTE STEG",376.4,376.4,"Fossil Gas",49.511,5.964,Belgium,LU00,COMMISSIONED,2002,,Freshwater,"Air Cooling",0.01,0.01
22WPLATEX000208N,22WPLATEX150208N,"PLATE-TAILLE T","PLATE-TAILLE T",144,144,"Hydro Pumped Storage",50.188,4.386,Belgium,BE32,COMMISSIONED,1981,,Freshwater,,,
22WLANGER000174B,22WLANGER150174B,"LANGERLO 4 REPOWERING","LANGERLO 4 REPOWERING",43,43,"Fossil Gas",50.934,5.478,Belgium,BE22,DECOMMISSIONED,,,Freshwater,"Air Cooling",0.01,0.01
22WLANGER000173D,22WLANGER150173D,"LANGERLO 3 REPOWERING","LANGERLO 3 REPOWERING",43,43,"Fossil Gas",50.934,5.478,Belgium,BE22,DECOMMISSIONED,,,Freshwater,"Air Cooling",0.01,0.01
22WLANGER000171H,22WLANGER150171H,"LANGERLO 2","LANGERLO 2",235,235,"Fossil Hard coal",50.934,5.478,Belgium,BE22,DECOMMISSIONED,1899,2016,Freshwater,"Natural Draught Tower",2.22,1.81
32W001100100050N,,CHP_EVN_PLOVDIV,NA,105,105,"Fossil Gas",42.171,24.746,Bulgaria,BG42,COMMISSIONED,,,Freshwater,Once-through,132.48,0.91
32W001100100218B,32W001100100007O,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G1,570,190,"Fossil Brown coal/Lignite",42.285,23.034,Bulgaria,BG41,COMMISSIONED,1973,,Freshwater,"Natural Draught Tower",2.22,1.81
32W001100100218B,32W001100100009K,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,570,190,"Fossil Brown coal/Lignite",42.285,23.034,Bulgaria,BG41,COMMISSIONED,1975,,Freshwater,"Natural Draught Tower",2.22,1.81
32W001100100218B,32W001100100008M,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G2,570,190,"Fossil Brown coal/Lignite",42.285,23.034,Bulgaria,BG41,COMMISSIONED,1974,,Freshwater,"Natural Draught Tower",2.22,1.81
32W001100100217D,32W001100100016N,NPP_KOZLODUY,"NPP KZL G9",2000,1000,Nuclear,43.744,23.772,Bulgaria,BG31,COMMISSIONED,1988,,Freshwater,Once-through,167.87,1.02
32W001100100217D,32W001100100017L,NPP_KOZLODUY,"NPP KZL G10",2000,1000,Nuclear,43.744,23.772,Bulgaria,BG31,COMMISSIONED,1993,,Freshwater,Once-through,167.87,1.02
32W001100100070H,,PSHPP_BELMEKEN,NA,375,375,"Hydro Water Reservoir",42.161,23.802,Bulgaria,BG42,COMMISSIONED,1974,,Freshwater,,,
32W001100100071F,,HPP_SESTRIMO,NA,240,240,"Hydro Water Reservoir",42.216,23.921,Bulgaria,BG42,COMMISSIONED,1974,,Freshwater,,,
32W0011001000781,,PSHPP_ORFEUS_GEN,NA,160,160,"Hydro Water Reservoir",41.94,24.447,Bulgaria,BG42,COMMISSIONED,1975,,Freshwater,,,
32W0011001000749,,HPP_PESHTERA,NA,135,135,"Hydro Water Reservoir",42.03,24.299,Bulgaria,BG42,COMMISSIONED,1959,,Freshwater,,,
32W001100100072D,,HPP_MOMINA_KLISU,NA,120,120,"Hydro Water Reservoir",42.232,23.949,Bulgaria,BG42,COMMISSIONED,,,Freshwater,,,
32W0011001000692,32W0011001000951,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP1,864,227,"Hydro Pumped Storage",42.16,23.861,Bulgaria,BG42,COMMISSIONED,1995,,Freshwater,,,
