eic_p,eic_g,min_load,ramp_up,ramp_down,minimum_up_time,minimum_down_time,eff,best_source
36W-HE-DUBROV--K,36W-H-DUBR--G2-H,0.211,0.014,-0.014,60,60,,
36W-TE-KAKANJ--S,36W-TE-KAKANJ5-A,0.485,0.009,-0.012,151,83,0.270,Class_derived
36W-TE-KAKANJ--S,36W-TE-KAKANJ6-7,0.485,0.009,-0.012,151,83,0.270,Class_derived
36W-TE-KAKANJ--S,36W-TE-KAKANJ7-4,0.479,0.009,-0.013,221,134,0.320,Class_derived
36W-TE-STANARI-V,36W-TE-STANAG1-F,0.54,0.01,-0.014,363,198,0.320,Class_derived
36W-HECAPLJINA-1,36W-H-CAPLJ-G1-K,0.078,0.015,-0.015,60,57,,
36W-HECAPLJINA-1,36W-H-CAPLJ-G2-H,0.078,0.015,-0.015,60,57,,
22WSAINT-000221B,22WSAINT-150221B,0.335,0.011,-0.013,77,71,0.520,OEM_derived
22WDOELX40000793,22WDOELX41500793,0.498,0.009,-0.012,1694,342,,
22WCOOXII000070C,22WCOOX4X0000588,0.078,0.015,-0.015,60,57,,
22WCOOXII000070C,22WCOOX5X000061A,0.078,0.015,-0.015,60,57,,
22WCOOXII000070C,22WCOOX6X000064W,0.078,0.015,-0.015,60,57,,
22WDROGEN0000863,22WDROGEN0000847,0.286,0.011,-0.012,69,89,0.480,emissions_15_derived
22WDROGEN0000863,22WDROGEN0000855,0.335,0.011,-0.013,77,71,0.480,emissions_15_derived
22WDROGEN0000863,22WDROGEN0000839,0.286,0.011,-0.012,69,89,0.480,emissions_15_derived
22WINESCO000149P,22WINESCO150149P,0.286,0.011,-0.012,69,89,0.500,OEM_derived
22WMARCIN000179H,22WMARCIN150179H,0.308,0.012,-0.014,152,76,0.540,OEM_derived
22WSCHELD0002261,22WSCHELD1502261,0.383,0.008,-0.008,474,112,0.340,OEM_derived
22WTHORNT000237E,22WTHORNT150237E,0.054,0.014,-0.014,11894,60,,
22WDOELX3000078D,22WDOELX3150078D,0.498,0.009,-0.012,1694,342,,
22WTHORNT000238C,22WTHORNT150238C,0.054,0.014,-0.013,15314,60,,
22WT-POWE000244W,22WT-POWE150244W,0.308,0.012,-0.014,152,76,0.460,OEM_derived
22WCOOXIX000067T,22WCOOX1X000050E,0.078,0.015,-0.015,60,57,,
22WCOOXIX000067T,22WCOOX2X0000521,0.078,0.015,-0.015,60,57,,
22WCOOXIX000067T,22WCOOX3X000055N,0.078,0.015,-0.015,60,57,,
22WDOELX1000076X,22WDOELX1150076X,0.498,0.009,-0.012,1694,342,,
22WRODENH000213L,22WRODENH150213L,0.41,0.008,-0.011,60,60,0.350,emissions_15_derived
22W20161130----Z,22W20161115----Z,0.054,0.014,-0.013,15314,60,,
22WBELWIN0000271,22WBELWIN1500271,0.054,0.014,-0.013,15314,60,,
22WHERDER0001288,22WHERDER000127A,0.335,0.011,-0.013,77,71,0.480,emissions_15_derived
22WHERDER0001288,22WHERDER000126C,0.335,0.011,-0.013,77,71,0.480,emissions_15_derived
22WHERDER0001288,22WHERDER000125E,0.335,0.011,-0.013,77,71,0.480,emissions_15_derived
22WRINGVA000209C,22WRINGVA150209C,0.335,0.011,-0.013,77,71,0.520,OEM_derived
22WDOELX2000077N,22WDOELX2150077N,0.498,0.009,-0.012,1694,342,,
22WZELZAT0002618,22WZELZAT1502618,0.335,0.011,-0.013,77,71,0.550,Class_derived
22WZANDVL000255D,22WZANDVL150255D,0.335,0.011,-0.013,77,71,0.540,OEM_derived
22WTIHANG000239G,22WTIHANG150239G,0.498,0.009,-0.012,1694,342,,
22WTIHANG000242R,22WTIHANG150242R,0.498,0.009,-0.012,1694,342,,
22WTIHANG000241T,22WTIHANG150241T,0.498,0.009,-0.012,1694,342,,
22WTIHANG000240V,22WTIHANG150240V,0.498,0.009,-0.012,1694,342,,
22WLANGER0001694,22WLANGER1501694,0.479,0.009,-0.013,221,134,0.350,emissions_15_derived
22WNORTHW000187B,22WNORTHW150187B,0.054,0.014,-0.013,15314,60,,
22WAMERCO000010Y,22WAMERCO000009J,0.335,0.011,-0.013,77,71,0.540,emissions_15_derived
22WAMERCO000010Y,22WAMERCO000008L,0.335,0.011,-0.013,77,71,0.550,OEM_derived
22WESCH-S0000967,22WESCH-S1500967,0.335,0.011,-0.013,77,71,0.520,OEM_derived
22WPLATEX000208N,22WPLATEX150208N,0.121,0.015,-0.015,60,60,,
22WLANGER000174B,22WLANGER150174B,0.383,0.008,-0.008,474,112,0.360,Class_derived
22WLANGER000173D,22WLANGER150173D,0.383,0.008,-0.008,474,112,0.360,Class_derived
22WLANGER000171H,22WLANGER150171H,0.479,0.009,-0.013,221,134,0.350,emissions_15_derived
32W001100100050N,,0.286,0.011,-0.012,69,89,0.480,Class_derived
32W001100100218B,32W001100100007O,0.54,0.01,-0.014,363,198,0.320,Class_derived
32W001100100218B,32W001100100009K,0.54,0.01,-0.014,363,198,0.320,Class_derived
32W001100100218B,32W001100100008M,0.54,0.01,-0.014,363,198,0.320,Class_derived
32W001100100217D,32W001100100016N,0.498,0.009,-0.012,1694,342,,
32W001100100217D,32W001100100017L,0.498,0.009,-0.012,1694,342,,
32W001100100070H,,0.124,0.014,-0.014,60,60,,
32W001100100071F,,0.124,0.014,-0.014,60,60,,
32W0011001000781,,0.124,0.014,-0.014,60,60,,
32W0011001000749,,0.211,0.014,-0.014,60,60,,
32W001100100072D,,0.211,0.014,-0.014,60,60,,
32W0011001000692,32W0011001000951,0.078,0.015,-0.015,60,57,,
32W0011001000692,32W001100100097Y,0.078,0.015,-0.015,60,57,,
32W0011001000692,32W001100100099U,0.078,0.015,-0.015,60,57,,
32W0011001000692,32W001100100098W,0.078,0.015,-0.015,60,57,,
32W001100100115L,,0.051,0.012,-0.013,15026,60,,
32W0011001000676,,0.268,0.008,-0.009,60,132,0.360,Class_derived
32W001100100063E,32W001100100040Q,0.54,0.01,-0.014,363,198,0.350,emissions_15_derived
32W001100100063E,32W001100100038D,0.54,0.01,-0.014,363,198,0.350,emissions_15_derived
32W001100100063E,32W001100100037F,0.54,0.01,-0.014,363,198,0.350,emissions_15_derived
32W001100100063E,32W001100100039B,0.54,0.01,-0.014,363,198,0.350,emissions_15_derived
32W001100100233F,,0.54,0.01,-0.014,363,198,0.320,Class_derived
32W001100100005S,,0.562,0.009,-0.013,224,68,0.270,Class_derived
32W0011001000838,,0.211,0.014,-0.014,60,60,,
32W001100100089X,32W001100100024O,0.485,0.009,-0.012,151,83,0.270,Class_derived
32W001100100088Z,32W0011001000498,0.562,0.009,-0.013,224,68,0.270,Class_derived
32W0011001000854,,0.211,0.014,-0.014,60,60,,
32W001100100294W,32W0011001000943,0.54,0.01,-0.014,363,198,0.260,emissions_16_derived
32W001100100294W,32W0011001000935,0.54,0.01,-0.014,363,198,0.260,emissions_16_derived
32W001100100026K,,0.485,0.009,-0.012,151,83,0.270,Class_derived
32W001100100022S,,0.485,0.009,-0.012,151,83,0.270,Class_derived
32W001100100023Q,,0.479,0.009,-0.013,221,134,0.320,Class_derived
32W001100100153D,32W001100100041O,0.54,0.01,-0.014,363,198,0.320,emissions_15_derived
32W001100100153D,32W001100100046E,0.54,0.01,-0.014,363,198,0.320,emissions_15_derived
32W001100100153D,32W001100100044I,0.54,0.01,-0.014,363,198,0.320,emissions_15_derived
32W001100100153D,32W001100100045G,0.54,0.01,-0.014,363,198,0.320,emissions_15_derived
32W001100100153D,32W001100100043K,0.54,0.01,-0.014,363,198,0.320,emissions_15_derived
32W001100100153D,32W001100100042M,0.54,0.01,-0.014,363,198,0.320,emissions_15_derived
32W001100100153D,32W001100100048A,0.54,0.01,-0.014,363,198,0.330,emissions_15_derived
32W001100100153D,32W001100100047C,0.54,0.01,-0.014,363,198,0.330,emissions_15_derived
12W-0000000018-B,12W-0000000687-U,0.078,0.015,-0.015,60,57,,
12W-0000000018-B,12W-0000000444-S,0.121,0.015,-0.015,60,60,,
12W-0000000018-B,12W-0000000690-A,0.078,0.015,-0.015,60,57,,
12W-0000000018-B,12W-0000000688-R,0.078,0.015,-0.015,60,57,,
12W-0000000018-B,12W-0000000689-O,0.078,0.015,-0.015,60,57,,
12W-0000000011-W,,0.124,0.014,-0.014,60,60,,
12W-0000000021-S,,0.124,0.014,-0.014,60,60,,
12W-0000000052-D,12W-0000000438-K,0.498,0.009,-0.012,1694,342,,
12W-0000000105-J,12W-0000000007-I,0.124,0.014,-0.014,60,60,,
12W-0000000016-H,,0.057,0.014,-0.013,60,60,,
12W-0000000034-F,12W-0000000929-X,0.052,0.013,-0.013,60,60,,
12W-0000000017-E,12W-0000000433-Z,0.901,0.008,-0.01,94,116,,
12W-0000000017-E,12W-0000000431-4,0.901,0.008,-0.01,94,116,,
12W-0000000925-8,12W-0000000734-H,0.211,0.014,-0.014,60,60,,
12W-0000000925-8,12W-0000000733-K,0.211,0.014,-0.014,60,60,,
12W-0000000925-8,12W-0000000730-T,0.124,0.014,-0.014,60,60,,
12W-0000000925-8,12W-0000000731-Q,0.211,0.014,-0.014,60,60,,
12W-0000000849-U,12W-0000000209-2,0.2,0.015,-0.015,307,63,,
12W-0000000035-C,,0.057,0.014,-0.013,60,60,,
12W-0000000241-A,12W-0000000839-Y,0.057,0.014,-0.013,60,60,,
12W-0000000851-D,12W-0000000211-M,0.121,0.015,-0.015,60,60,,
12W-0000000116-C,12W-0000000722-R,0.057,0.014,-0.013,60,60,,
12W-0000000080-7,12W-0000000164-Z,0.2,0.015,-0.015,307,63,,
12W-0000000846-2,12W-0000000207-8,0.211,0.014,-0.014,60,60,,
12W-0000000033-I,,0.078,0.015,-0.015,60,57,,
12W-0000000064-3,12W-0000000950-B,0.124,0.014,-0.014,60,60,,
12W-0000000056-1,12W-0000000945-0,0.498,0.009,-0.012,1694,342,,
12W-0000000060-F,12W-0000000719-A,0.124,0.014,-0.014,60,60,,
12W-0000000060-F,12W-0000000720-X,0.124,0.014,-0.014,60,60,,
12W-0000000902-P,12W-0000000723-O,0.124,0.014,-0.014,60,60,,
12W-0000000902-P,12W-0000000724-L,0.124,0.014,-0.014,60,60,,
12W-0000000902-P,12W-0000000725-I,0.052,0.013,-0.013,60,60,,
12W-0000000057-Z,12W-0000000946-Y,0.901,0.008,-0.01,94,116,,
12W-0000000031-O,12W-0000000926-5,0.057,0.014,-0.013,60,60,,
12W-0000000917-6,12W-0000000458-C,0.121,0.015,-0.015,60,60,,
12W-0000000917-6,12W-0000000457-F,0.121,0.015,-0.015,60,60,,
12W-0000000917-6,12W-0000000456-I,0.121,0.015,-0.015,60,60,,
12W-0000000850-G,12W-0000000210-P,0.121,0.015,-0.015,60,60,,
12W-0000000026-D,12W-0000000922-H,0.124,0.014,-0.014,60,60,,
12W-0000000013-Q,,0.121,0.015,-0.015,60,60,,
27W-PU-EPLE----4,,0.562,0.009,-0.013,224,68,0.270,Class_derived
27W-PU-EPC1----Y,27W-GU-EPC1G2--8,0.54,0.01,-0.014,363,198,0.370,emissions_15_derived
27W-PU-EPC1----Y,27W-GU-EPC1G5--X,0.54,0.01,-0.014,363,198,0.380,emissions_15_derived
27W-PU-EPC1----Y,27W-GU-EPC1G4--0,0.54,0.01,-0.014,363,198,0.370,emissions_15_derived
27W-PU-EPC1----Y,27W-GU-EPC1G6--T,0.54,0.01,-0.014,363,198,0.380,emissions_15_derived
27W-PU-EPC1----Y,27W-GU-EPC1G3--4,0.54,0.01,-0.014,363,198,0.370,emissions_15_derived
27W-PU-EDAL----O,27W-GU-EDALG2--Z,0.121,0.015,-0.015,60,60,,
27W-PU-EDAL----O,27W-GU-EDALG3--V,0.121,0.015,-0.015,60,60,,
27W-PU-EDAL----O,27W-GU-EDALG4--R,0.121,0.015,-0.015,60,60,,
27W-PU-EDAL----O,27W-GU-EDALG1--2,0.121,0.015,-0.015,60,60,,
27W-PU-EME3----W,27W-GU-EME3G11-4,0.398,0.012,-0.013,84,60,0.350,Class_derived
27W-PU-EDUK----1,27W-GU-EDUKB2--0,0.498,0.009,-0.012,1694,342,,
27W-PU-EDUK----1,27W-GU-EDUKB4--T,0.498,0.009,-0.012,1694,342,,
27W-PU-EDUK----1,27W-GU-EDUKB1--4,0.498,0.009,-0.012,1694,342,,
27W-PU-EDUK----1,27W-GU-EDUKB3--X,0.498,0.009,-0.012,1694,342,,
27W-PU-ECHV----Y,27W-GU-ECHVG3--4,0.54,0.01,-0.014,363,198,0.340,emissions_15_derived
27W-PU-ECHV----Y,27W-GU-ECHVG2--8,0.54,0.01,-0.014,363,198,0.340,emissions_15_derived
27W-PU-ECHV----Y,27W-GU-ECHVG4--0,0.54,0.01,-0.014,363,198,0.340,emissions_15_derived
27W-PU-ECHV----Y,27W-GU-ECHVG1--C,0.54,0.01,-0.014,363,198,0.340,emissions_15_derived
27W-PU-ETU2----I,27W-GU-ETU2G23-H,0.54,0.01,-0.014,363,198,0.390,emissions_15_derived
27W-PU-ETU2----I,27W-GU-ETU2G24-E,0.54,0.01,-0.014,363,198,0.390,emissions_15_derived
27W-PU-ETU2----I,27W-GU-ETU2G21-N,0.54,0.01,-0.014,363,198,0.390,emissions_15_derived
27W-PU-ETU2----I,27W-GU-ETU2G22-K,0.54,0.01,-0.014,363,198,0.390,emissions_15_derived
27W-PU-ETBE----5,,0.479,0.009,-0.013,221,134,0.320,Class_derived
27W-PU-EPR1----3,,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-ETI1----Y,,0.562,0.009,-0.013,224,68,0.270,Class_derived
27W-PU-ESLA----4,,0.211,0.014,-0.014,60,60,,
27W-PU-ETEM----A,27W-GU-ETEMG1--P,0.498,0.009,-0.012,1694,342,,
27W-PU-ETEM----A,27W-GU-ETEMG2--L,0.498,0.009,-0.012,1694,342,,
27W-PU-EKOM----C,,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EDET----M,27W-GU-EDETG1--0,0.479,0.009,-0.013,221,134,0.350,emissions_15_derived
27W-PU-EDET----M,27W-GU-EDETG4--P,0.479,0.009,-0.013,221,134,0.350,emissions_15_derived
27W-PU-EDET----M,27W-GU-EDETG3--T,0.479,0.009,-0.013,221,134,0.350,emissions_15_derived
27W-PU-EDET----M,27W-GU-EDETG2--X,0.479,0.009,-0.013,221,134,0.350,emissions_15_derived
27W-PU-EPC2----S,27W-GU-EPC2B21-L,0.308,0.012,-0.014,152,76,0.540,OEM_derived
27W-PU-ELI1----O,,0.211,0.014,-0.014,60,60,,
27W-PU-EPR2----Y,27W-GU-EPR2-G22M,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EPR2----Y,27W-GU-EPR2G21-2,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EPR2----Y,27W-GU-EPR2G23-X,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EPR2----Y,27W-GU-EPR2G24-U,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EPR2----Y,27W-GU-EPR2G25-R,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EME2----1,,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-ELEX2---U,,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EDST----Z,27W-GU-EDSTG2--9,0.078,0.015,-0.015,60,57,,
27W-PU-EDST----Z,27W-GU-EDSTG1--D,0.078,0.015,-0.015,60,57,,
27W-PU-ELED----H,27W-GU-ELEDG6--C,0.398,0.012,-0.013,84,60,0.380,Class_derived
27W-PU-EOPA----8,,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EORK----8,,0.124,0.014,-0.014,60,60,,
27W-PU-EME1----7,,0.54,0.01,-0.014,363,198,0.320,Class_derived
27W-PU-EECK----8,27WGU-EECKG7---A,0.562,0.009,-0.013,224,68,0.370,emissions_15_derived
27W-PU-EECK----8,27W-GU-EECKG5--7,0.562,0.009,-0.013,224,68,0.370,emissions_15_derived
27W-PU-EECK----8,27W-GU-EECKG4--B,0.562,0.009,-0.013,224,68,0.370,emissions_15_derived
27W-PU-EPOR----G,,0.211,0.014,-0.014,60,60,0.294,Class_derived
11WD8DRES5X---PZ,11WD8DRES5X----D,0.335,0.011,-0.013,77,71,0.490,OEM_derived
11WD8HAVLXW---PM,11WD8HAVLXW----0,0.052,0.014,-0.014,837,60,,
11WD8MOOR1C----G,11WD8MOOR1C---AV,0.28,0.011,-0.013,211,69,0.410,emissions_16_derived
11WD8MOOR1C----G,11WD8MOOR1C---BT,0.28,0.011,-0.013,211,69,0.410,emissions_16_derived
11WD8TIEF5X----V,11WD8TIEF5G-GUDI,0.286,0.011,-0.012,69,89,0.480,Class_derived
11WD8TIEF5X----V,11WD8TIEF5C----9,0.479,0.009,-0.013,221,134,0.330,Class_derived
11WD8KLIN5X----0,11WD8KLIN5G--13E,0.54,0.01,-0.014,363,198,0.320,Class_derived
11WD8MITT5G----0,11WD8MITT5GGUD-8,0.308,0.012,-0.014,152,76,0.480,OEM_derived
11WD8BOXB1L----J,11WD8BOXB1L---P4,0.398,0.012,-0.013,84,60,0.350,emissions_15_derived
11WD8BOXB1L----J,11WD8BOXB1L---Q2,0.398,0.012,-0.013,84,60,0.370,emissions_15_derived
11WD8BOXB1L----J,11WD8BOXB1L---R0,0.398,0.012,-0.013,84,60,0.380,emissions_15_derived
11WD8BOXB1L----J,11WD8BOXB1L---N8,0.398,0.012,-0.013,84,60,0.350,emissions_15_derived
11WD8LICH5G----1,11WD8LICH5G---1Y,0.383,0.008,-0.008,474,112,0.230,Class_derived
11WD8LICH5G----1,11WD8LICH5G---3U,0.383,0.008,-0.008,474,112,0.230,Class_derived
11WD8SCHW5X----D,11WD8SCHW5X---27,0.169,0.009,-0.011,110,60,0.230,Class_derived
11WD8SCHW5X----D,11WD8SCHW5X---19,0.169,0.009,-0.011,110,60,0.230,Class_derived
11WD8SWPU1L----5,11WD8SWPU1L---AK,0.398,0.012,-0.013,84,60,0.350,emissions_15_derived
11WD8SWPU1L----5,11WD8SWPU1L---BI,0.398,0.012,-0.013,84,60,0.350,emissions_15_derived
11WD8GOLD1H----6,11WD8GOLD1H---AL,0.078,0.015,-0.015,60,57,,
11WD8GOLD1H----6,11WD8GOLD1H---BJ,0.078,0.015,-0.015,60,57,,
11WD8GOLD1H----6,11WD8GOLD1H---CH,0.078,0.015,-0.015,60,57,,
11WD8GOLD1H----6,11WD8GOLD1H---DF,0.078,0.015,-0.015,60,57,,
11WD8GEHA5H----R,11WD8GEHA5H---C1,0.121,0.015,-0.015,60,60,,
11WD8GEHA5H----R,11WD8GEHA5H---B3,0.121,0.015,-0.015,60,60,,
11WD8GEHA5H----R,11WD8GEHA5H---A5,0.121,0.015,-0.015,60,60,,
11WD8LIPD1L----P,11WD8LIPD1L---R6,0.398,0.012,-0.013,84,60,0.420,emissions_15_derived
11WD8LIPD1L----P,11WD8LIPD1L---S4,0.398,0.012,-0.013,84,60,0.420,emissions_15_derived
11WD8WED15C----Q,11WD8WED15C---2K,0.485,0.009,-0.012,151,83,0.270,Class_derived
11WD8WED15C----Q,11WD8WED15C---1M,0.485,0.009,-0.012,151,83,0.270,Class_derived
11WD8REUW1C----4,11WD8REUW1C---DD,0.479,0.009,-0.013,221,134,0.320,emissions_15_derived
11WD8REUW1C----4,11WD8REUW1C---EB,0.479,0.009,-0.013,221,134,0.320,emissions_15_derived
11WD8BRUN1O----D,11WD8BRUN1O---BQ,0.182,0.013,-0.014,60,85,0.370,OEM_derived
11WD8BRUN1O----D,11WD8BRUN1O---CO,0.182,0.013,-0.014,60,85,0.370,OEM_derived
11WD8BRUN1O----D,11WD8BRUN1O---AS,0.182,0.013,-0.014,60,85,0.370,OEM_derived
11WD8BRUN1O----D,11WD8BRUN1O---DM,0.182,0.013,-0.014,60,85,0.370,OEM_derived
11WD8ROST1C---P5,11WD8ROST1C----K,0.28,0.011,-0.013,211,69,0.410,emissions_15_derived
11WD8CHAR5X----K,11WD8CHAR5O---6N,0.139,0.014,-0.013,86,105,0.370,OEM_derived
11WD8CHAR5X----K,11WD8CHAR5G--5-U,0.139,0.014,-0.013,86,105,0.370,OEM_derived
11WD8CHAR5X----K,11WD8CHAR5G---41,0.139,0.014,-0.013,86,105,0.370,OEM_derived
11WD8LEIP5X----6,11WD8LEIP5X----6,0.335,0.011,-0.013,77,71,0.490,OEM_derived
11WD8SCHK1L----O,11WD8SCHK1L---B0,0.398,0.012,-0.013,84,60,0.310,emissions_15_derived
11WD8SCHK1L----O,11WD8SCHK1L---A2,0.398,0.012,-0.013,84,60,0.310,emissions_15_derived
11WD8MARK1H----7,11WD8MARK1H---AM,0.078,0.015,-0.015,60,57,,
11WD8MARK1H----7,11WD8MARK1H---FC,0.078,0.015,-0.015,60,57,,
11WD8MARK1H----7,11WD8MARK1H---CI,0.078,0.015,-0.015,60,57,,
11WD8MARK1H----7,11WD8MARK1H---BK,0.078,0.015,-0.015,60,57,,
11WD8MARK1H----7,11WD8MARK1H---EE,0.078,0.015,-0.015,60,57,,
