gppd_id,name,dukes_name,repd_name,capacity,fuel,repd_id,geo_id,carma_id,repd_id2,owner,year_of_data,source,url,latitude,longitude,geolocation_source
GBR0000778,Risley,,Risley,2.0,Waste,778,,,,Biffa,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.4376,-2.5024,UK Renewable Energy Planning Database
GBR0001681,Watchfield Lawn,,Watchfield Lawn,10.2,Solar,1681,,,,Belltown Power,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.2253,-2.9446,UK Renewable Energy Planning Database
GBR0000770,Gallymoor Landfill,,Gallymoor Landfill,2.9,Waste,770,,,,FCC Environment,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.8459,-0.7262,UK Renewable Energy Planning Database
GBR0000773,Craigahulliar Landfill Gas,,Craigahulliar Landfill Gas,1.0,Waste,773,,,,B9 Organic Energy and Craigahulliar Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,55.1965,-6.6106,UK Renewable Energy Planning Database
GBR0000772,Meadow Hall Power,,Meadow Hall Power,1.1,Waste,772,,,,Waste Recycling Group,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.426,-1.407,UK Renewable Energy Planning Database
GBR0000775,Wapsey's Wood,,Wapsey's Wood,7.5,Waste,775,,,,Veolia,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.5902,-0.5963,UK Renewable Energy Planning Database
GBR0000774,Arlesey Landfill Gas (Extension),,Arlesey Landfill Gas (Extension),2.3,Waste,774,,,,Waste Recycling Group,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.003,-0.2703,UK Renewable Energy Planning Database
GBR0000777,Standen Heath,,Standen Heath,1.5,Waste,777,,,,Biffa,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.6915,-1.3595,UK Renewable Energy Planning Database
GBR0004877,British Sugar - Bury,,British Sugar - Bury,5.0,Biomass,4877,,,,British Sugar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.2543,0.727,UK Renewable Energy Planning Database
GBR0004874,Abbots Ann,,Abbots Ann,7.0,Solar,4874,,,,British Solar Renewables,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.1636,-1.5123,UK Renewable Energy Planning Database
GBR0004878,Margate,Margate,Margate Solar Farm,3.366,Solar,4878,,,,Lanhydrock Estate Company,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.4671,-4.6976,UK Renewable Energy Planning Database
GBR0001171,Turves Solar Farm (Resubmission),,Turves Solar Farm (Resubmission),5.0,Solar,1171,,,,Abbey Renewables,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.5303,-0.0262,UK Renewable Energy Planning Database
GBR0000488,Allt Ladaidh Hydro,,Allt Ladaidh Hydro,1.3,Hydro,488,,,,Green Highland Renewables,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,57.0604,-4.9225,UK Renewable Energy Planning Database
GBR0001176,Hatchlands Farm,,Hatchlands Farm,5.2,Solar,1176,,,,Orta Solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.4236,-3.7849,UK Renewable Energy Planning Database
GBR0000482,Ardtornish Estate-Upgrade to existing,,Ardtornish Estate-Upgrade to existing,1.5,Hydro,482,,,,Ardtornish Estate,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,56.5583,-5.6873,UK Renewable Energy Planning Database
GBR0000480,Chonais Hydro,,Chonais Hydro,2.0,Hydro,480,,,,Green Highland Renewables,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,57.4917,-5.2603,UK Renewable Energy Planning Database
GBR0000487,Ben Glas,,Ben Glas,1.3,Hydro,487,,,,Gilkes Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,56.3299,-4.7172,UK Renewable Energy Planning Database
GBR0001103,Park Wall Solar Park,,Park Wall Solar Park,5.0,Solar,1103,,,,,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.1195,-2.971,UK Renewable Energy Planning Database
GBR0000485,Black Rock,Black Rock,Black Rock,3.5,Hydro,485,,61503,,RWE npower,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,57.6692,-4.3504,UK Renewable Energy Planning Database
GBR0000484,Maldie,Maldie,Maldie Burn,4.0,Hydro,484,,76507,,RWE npower,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,58.2603,-4.9819,UK Renewable Energy Planning Database
