wri_id,wri_name,country,geo_id,geo_name,carmav3_id,carmav3_name,osm_id,osm_name
1000039,Shoubra El-Kheima,Egypt,45801,Shoubra El-Kheima Thermal Power Plant Egypt,41392,SHOUBRAH EL-KHEIMA,,
1000040,Cairo West,Egypt,45804,Cairo West EXT Thermal Power Station Egypt,6616,CAIRO WEST,,
1000041,Cairo South,Egypt,45775,Cairo South II CCGT Power Plant Egypt,6615,CAIRO SOUTH,,
1000042,Cairo North,Egypt,45773,Cairo North I and II CCGT Power Plant Egypt,51843,CAIRO NORTH,,
1000043,El-Tebeen,Egypt,45802,El Tebbin Thermal Power Plant Egypt,,,,
1000045,October 6th,Egypt,45776,6 October CCGT Power Plant Egypt,76959,6-Oct,,
1000046,North Giza,Egypt,45778,Giza North I-III CCGT Power Plant Egypt,75424,GIZA NORTH,,
1000047,Damietta,Egypt,45780,Damietta CCGT Power Plant Egypt,10136,DAMIETTA,127212017,Damietta
1000048,Ataka,Egypt,45805,Ataka (Suez) Thermal Power Plant Egypt,2408,ATAKA,,
1000049,Abu Sultan,Egypt,45806,Abu Sultan Thermal Power Plant Egypt,164,ABU SULTAN,105569177,Abu Sultan
1000051,New Gas Shabab,Egypt,45784,Shabab New OCGT Power Plant Egypt,12178,EL SHABAB,,
1000052,New Gas Damietta,Egypt,45779,Damietta New CCGT Power Plant Egypt,30966,NEW DAMIETTA PLANT,,
1000053,Damietta West,Egypt,45781,West Damietta CCGT Power Plant Egypt,10136,DAMIETTA,,
1000056,Oyoun Mousa,Egypt,45837,Oyoun (Ayoun) Moussa Thermal Power Plant Egypt,,,,
1000059,Zafarana,Egypt,45786,Zafarana Wind Farm Egypt,50831,ZAFARANA,1316378101,Zafarana 1
1000060,Suez Gulf,Egypt,45797,Suez Gulf Gas Thermal Power Plant Egypt,16279,GULF OF SUEZ,,
1000061,PortSaid East,Egypt,45796,Port Said East Gas Thermal Power Plant Egypt,35402,PORT SAID EAST,,
1000062,Talkha,Egypt,45828,Talkha CCGT Power Plant Egypt,44374,TALKHA,,
1000063,Nubaria,Egypt,45826,Nubaria I-III CCGT Power Station Egypt,67584,NUBARIA MILL,,
1000065,El-Atf,Egypt,45831,El-Atf CCGT Power Station Egypt,697,EL-ATF,,
1000066,Banha,Egypt,44896,Banha CCGT Power Plant Egypt,77555,BANHA,,
1000071,Abu Kir,Egypt,45820,Abu Qir (Kir) Thermal Power Plant Egypt,,,,
1000072,Sidi Krir,Egypt,45822,Sidi Krir 5and6 CCGT Gas Power Plant Egypt,41500,SIDI KRIR-II,,
1000074,Walidia,Egypt,45798,Walidia Thermal Power Plant Egypt,48804,WALIDIA,,
1000075,Kuriemat 1,Egypt,44891,Kuriemat ISCC  Power Plant Egypt,,,,
1000078,High Dam,Egypt,45787,Aswan High Dam Hydroelectric Power Plant Egypt,2398,ASWAN HIGH DAM,218610666,Merowe-Hamdab High Dam Hydroelectric power plant
1000079,Aswan Dam I,Egypt,45787,Aswan High Dam Hydroelectric Power Plant Egypt,2398,ASWAN HIGH DAM,,
1000110,Calabar,Nigeria,42561,Calabar OCGT Power Plant Nigeria,6648,CALABAR MILLS,,
1000115,Alaoji,Nigeria,42559,Alaoji Power Plant Nigeria,798,ALAOJI,,
1000116,Olorunsogo II,Nigeria,42564,Olorunsogo OCGT Power Station Nigeria,,,,
1000117,Omotosho II,Nigeria,42565,Omotosho I and II Power Station Nigeria,77556,OMOTOSHO-II,,
1000120,Shiroro,Nigeria,42545,Shiroro Hydroelectric Power Plant Nigeria,41328,SHIRORO,3237126061,Shiroro Power Station
1000121,Kainji,Nigeria,42543,Kainji Hydroelectric Power Plant Nigeria,20812,KAINJI,497048365,Kainji Dam
1000122,Jebba,Nigeria,42544,Jebba Hydroelectric Power Plant Nigeria,20170,JEBBA,,
1000125,Kariba,Zambia,45986,Kariba North Hydroelectric Power Station Zambia,21302,KARIBA NORTH,253048578,Kariba South Bank Power Station (underground)
1000126,Kafue Gorge,Zambia,3769,Kafue Gorge Dam Hydroelectric Power Plant Zambia,20755,KAFUE GORGE,,
1000129,Aksombo,Ghana,45952,Akosombo Hydroelectric Project Ghana,,,,
1000138,PAGBILAO,Philippines,43992,Pagbilao Coal Power Plant Philippines,33329,PAGBILAO,397942151,Pagbilao Power Station
1000139,CALACA,Philippines,41682,Calaca (Batangas) Coal Power Plant Philippines,6653,CALACA,2134538916,Calaca Power Plant
1000140,MASINLOC,Philippines,41683,Masinloc Coal Power Plant Philippines,27453,MASINLOC,1661772543,Masinloc Coal Power Plant
1000141,SUAL,Philippines,41685,Sual Coal Power Plant Philippines,43510,SUAL,2043963628,Sual Power Plant
1000142,QUEZON POWER,Philippines,41684,Quezon Coal Power Plant Philippines,36291,QUEZON,39996539,Quezon Power Plant
1000144,MARIVELES COAL,Philippines,,,27277,MARIVELES,,
1000152,MALAYA,Philippines,41718,Malaya Oil Thermal Power Plant Philippines,26775,MALAYA,,
1000153,LIMAY CCGT,Philippines,41692,Limay Bataan CCGT Power Plant Philippines,25260,LIMAY BATAAN,,
1000154,STA RITA,Philippines,41719,Santa Rita San Lorenzo CCGT Power Plants Philippines,,,,
1000155,ILIJAN,Philippines,43968,Ilijan CCGT Power Plant Philippines,19201,ILIJAN,156623859,Ilijan Power Plant
1000156,SAN LORENZO,Philippines,41719,Santa Rita San Lorenzo CCGT Power Plants Philippines,77034,SAN LORENZO WIND,100805566,San Lorenzo Combined Cycle Power Plant
1000165,KALAYAAN PSPP,Philippines,41706,Kalayaan Pumped Storage Power Project Philippines,20889,KALAYAAN,96691959,Kalayaan Hydroelectric Power Plant
1000212,UNIFIED LEYTE,Philippines,45392,Leyte Geothermal Power Plant Philippines,,,,
1000256,Bayswater,Australia,43163,Bayswater Coal Power Plant Australia,3667,BAYSWATER,171863884,Bayswater Power Station
1000261,Braemar 1,Australia,43136,Braemar I OCGT Power Plant Australia,,,,
1000266,Callide C,Australia,43156,Callide C Coal Power Plant Australia,6731,CALLIDE C,119996556,Callide Power Station A
1000266,Callide,Australia,43156,Callide C Coal Power Plant Australia,,,,
1000278,Colongra,Australia,45967,Colongra OCGT Power Plant Australia,29873,COLONGRA,257571176,Colongra Power Station
1000284,Darling Downs,Australia,,,10235,DARLING DOWNS,,
1000289,Eraring,Australia,43165,Eraring Coal Power Plant Australia,,,24038129,Eraring Power Station
1000292,Gladstone,Australia,43161,Gladstone Coal Power Plant Australia,15208,GLADSTONE (AU),54674805,Gladstone Power Station
1000308,Hazelwood,Australia,43145,Hazelwood Coal Power Plant Australia,17233,HAZELWOOD,420651431,Hazelwood Power Station
1000324,Kogan Creek,Australia,43158,Kogan Creek Coal Power Plant Australia,22602,KOGAN CREEK,2113341516,Kogan Creek Power Station
1000338,Liddell,Australia,43164,Liddell Coal Power Plant Australia,25185,LIDDELL,171863885,Liddell Power Station
1000339,Loy Yang A,Australia,43141,Loy Yang A Coal Power Plant Australia,26026,LOY YANG A,146581906,Loy Yang A Power Station
1000347,Millmerran,Australia,43157,Millmerran Coal Power Plant Australia,28503,MILLMERRAN,186721091,Millmerran Power Station
1000349,Mortlake,Australia,45709,Mortlake OCGT Power Plant Australia,29432,MORTLAKE,234560801,Origin Energy Mortlake Power Station
1000355,Mt Piper,Australia,45772,Mount Piper Coal Power Plant Australia,29573,MOUNT PIPER,52050254,Mount Piper Power Station
1000358,Muja C & D,Australia,40750,Muja Coal Power Plant Australia,29777,MUJA,,
1000361,Murray,Australia,43177,Murray-2 Hydroelectric Power Plant Australia,29965,MURRAY-1,199430371,Murray Hydroelectric Power Plant
1000362,Murray 1,Australia,45934,Murray-1 Hydroelectric Power Plant Australia,29965,MURRAY-1,174879640,Murray 1 Power Station
1000364,Newport,Australia,43148,Newport D Gas Power Plant Australia,31065,NEWPORT D,243897689,Ecogen Newport Power Station
1000366,Northern,Australia,43167,Northern Coal Power Plant Australia,31675,NORTHERN AUGUSTA,,
1000392,Stanwell,Australia,43162,Stanwell Coal Power Plant Australia,43061,STANWELL,171484162,Stanwell Power Station
1000398,Tarong,Australia,43159,Tarong Coal Power Plant Australia,44647,TARONG,160913416,Tarong
1000406,Torrens Island,Australia,43173,Torrens Island Thermal Power Plant Australia,45957,TORRENS ISLAND,172714953,Torrens Island Power Station
1000410,Tumut-1,Australia,43223,Tumut-1 Hydroelectric Power Station Australia,46581,TUMUT-1,,
1000413,Uranquinty,Australia,43192,Uranquinty OCGT Power Plant Australia,48690,URANQUINTY,172230180,Uranquinty Power Station
1000414,Vales Point,Australia,43171,Vales Point B Coal Power Plant Australia,47612,VALES POINT,24039088,Vales Point Power Station
1000424,Wivenhoe,Australia,45950,Wivenhoe Pumped Storage Power Station Australia,49940,WIVENHOE,1824155751,Wivenhoe Power Station
1000429,Yallourn,Australia,43144,Yallourn West Coal Power Plant Australia,50446,YALLOURN,133972914,Yallourn W Power Station
1000435,Bin Qasim,Pakistan,2345,KESC Bin Qasim Thermal Power Station Pakistan,4635,BIN QASIM,245063536,Bin Qasim Power Plant
1000437,Chasnupp,Pakistan,43680,Chasnupp Nuclear Power Reactor Pakistan,8012,CHASHMA NPP (CHASNUPP),,
1000438,Hub Power Project,Pakistan,41109,Hub River Power Project Oil Plant Pakistan,,,,
1000452,Uch Power Limited,Pakistan,41112,Uch Power Project CCGT Pakistan,46825,UCH,245155008,Uch Power Plant
1000467,Kot Addu Power Company ltd.,Pakistan,3897,Kot Addu CCGT Power Plant Pakistan,22907,KOT ADDU,245060385,Kot Addu Power Plant
1000468,Tarbela,Pakistan,5662,Tarbela Dam Hydroelectric Power Project Pakistan,44619,TARBELA,,
1000469,Ghazi Barotha,Pakistan,3312,Ghazi Barotha Hydroelectric Project Pakistan,15034,GHAZI-BAROTHA,245064843,Ghazi-Barotha Hydropower Project
1000470,Mangla,Pakistan,4161,Mangla Dam Hydroelectric Project Pakistan,26966,MANGLA,245066467,Mangla Hydro-Power-Plant
1000495,Son La,Vietnam,,,42333,SON LA,,
1000496,Hoa Binh,Vietnam,41188,Hoa Binh Hydroelectric Power Plant Vietnam,17975,HOA BINH,,
1000521,Dong Nai 3,Vietnam,,,11088,DONG NAI-3,,
1000524,Pha Lai 1,Vietnam,41201,Pha Lai 1 Coal Power Plant Vietnam,34418,PHA LAI-1,,
1000525,Uong Bi 1,Vietnam,41183,Uong Bi Coal Power Plant Vietnam,47181,UONG BI,,
1000527,Hai Phong 1,Vietnam,41199,Hai Phong Coal Power Plant Vietnam,16503,HAI PHONG,,
1000528,Quang Ninh 1,Vietnam,41200,Quang Ninh Coal Power Plant Vietnam,36241,QUANG NINH,,
1000529,Nghi Son 1,Vietnam,,,31087,NGHI SON-1,,
1000530,Vinh Tan 2,Vietnam,,,61881,VINH TAN-2,,
1000537,Phu My 2.1,Vietnam,41195,Phu My 4 CCGT Power Plant Vietnam,34475,PHU MY-2.2,,
1000538,Phy My 1,Vietnam,41198,Phu My 1 CCGT Power Plant Vietnam,34473,PHU MY-1,,
1000578,Cam Pha I  III,Vietnam,41184,Cam Pha Coal Power Plant Vietnam,6762,CAM PHA,,
1000579,Vung Ang 1,Vietnam,,,48624,VUNG ANG-1,,
1000583,Mong Duong 2,Vietnam,,,29070,MONG DUONG-II,,
1000584,Phu My 3,Vietnam,41197,Phu My 3 CCGT Power Plant Vietnam,34476,PHU MY-3,,
1000585,Phy My 2.2,Vietnam,,,34475,PHU MY-2.2,,
1000586,Ca Mau 1,Vietnam,41213,Ca Mau CCGT Power Plant Vietnam,6497,CA MAU,,
1000587,Nhon Trach 1,Vietnam,44779,Nhon Trach I and II CCGT Power Plant Vietnam,31099,NHON TRACH,,
1000607,"ANAPARA ""C""",India,43496,Lanco Anpara-C Coal Power Station India,1664,ANPARA-C,,
1000610,ANPARA,India,46002,Anpara Coal Power Station India,1663,ANPARA,196923445,Anpara A Unit-III
1000612,AURAIYA GT,India,42434,Auraiya CCGT Power Plant India,2560,AURAIYA,,
1000613,AVANTHA BHANDAR TPP,India,,,74277,AVANTHA BHANDAR,,
1000615,BADARPUR,India,43484,Badarpur Coal Power Station India,2807,BADARPUR,172701685,Badarpur Thermal Power Station
1000619,BALIMELA,India,41232,Balimela Hydroelectric Power Plant India,3022,BALIMELA,241951911,Balimela Power House
1000623,BARADARHA TPP,India,,,75301,BARADARHA,203168041,Baradarha Power Station
1000627,BARH STPP II,India,45695,NTPC Barh Power Plant India,3334,BARH,,
1000635,BELLARY TPS,India,43503,Bellary (BTPS) Coal Power Station India,3930,BELLARY,,
1000637,BHAKRA,India,41546,Bhakra Nangal Hydroelectric Power Project India,79690,BHAKRA-NANGAL R,6278572,Bhakra Power station
1000643,BHILAI TPP,India,42455,Bhilai Steel CPP Power Station India,4358,BHILAI,202180496,Bhilai Captive Power Plant
1000647,BHUSAWAL,India,43508,Bhusawal Coal Power Station India,4474,BHUSAWAL,221054237,Bhusawal Thermal Power Station
1000648,BINA TPP,India,,,56833,BINA,319414989,Bina TPS
1000651,BOKARO A,India,2388,Bokaro A Coal Power Station India (shutdown),51142,BOKARO,134530447,Bokaro Thermal Power Station
1000655,BUDGE BUDGE,India,40660,Budge Budge Coal Power Station India,6117,BUDGE BUDGE,,
1000657,BUTIBORI TPP II,India,,,6427,BUTIBORI,201955740,Butibori Thermal Power Station
1000662,CHANDRAPURA,India,40661,Chandrapura DVC Coal Power Station India,7889,CHANDRAPURA,,
1000665,CHHABRA TPS,India,45278,Chhabra Coal Power Plant India,8240,CHHABRA,,
1000671,DADRI (NCTPP),India,43485,NTPC-Dadri Coal Power Station India,30696,NCTPP (DADRI),65534367,Dadri Powerplant
1000672,DADRI GT,India,42435,Dadri CCGT Power Plant India,9979,DADRI,65534365,Dadri Powerplant
1000673,DEHAR,India,41545,Dehar Power Station India,10468,DEHAR,,
1000674,DGEN MEGA CCCP,India,45264,DGEN Mega (Torrent) CCGT I II III Power Plants India,10023,DGEN,391690051,DGEN
1000677,DHANU,India,40763,Dahanu (Dhanu) Coal Power Station India,,,,
1000688,DURGAPUR STEEL TPS,India,42457,DVC Durgapur Steel Thermal Power Plant India,11521,DURGAPUR STEEL CITY,206009237,Durgapur Steel Tharmal Power Station
1000692,EMCO WARORA TPP,India,45281,EMCO Warora Coal Power Plant India,59600,WARORA EMCO,,
1000694,ESSAR GT IMP.,India,45652,Essar Hazira CCGT Power Plant India,,,,
1000697,FARAKKA STPS,India,44358,Farakka STPS Coal Power Station India,13141,FARAKKA,,
1000700,GANDHAR GT,India,42437,Jhanor-Gandhar Gas CCGT Power Plant India,14556,JHANOR-GANDHAR,,
1000725,IDUKKI,India,41891,Idukki Hydroelectric Power Plant India,,,,
1000727,INDIRA SAGAR,India,3660,Indira Sagar Hydro Power Plant India,19342,INDIRA SAGAR,192715770,Indira Sagar
1000731,JALLIPPA KAPURDI TPP,India,44160,JSW Barmer (Jallipa-Kapurdi) Coal Power Plant India,3356,JALLIPA KAPURDI,,
1000735,JSW RATNAGIRI TPP,India,42428,JSW Ratnagiri Coal Power Plant India,36742,RATNAGIRI,,
1000742,KAHALGAON,India,43490,Kahalgaon STPS Coal Power Station India,20782,KAHALGAON,205942949,Kahalgaon
1000743,KAIGA,India,45752,Kaiga Atomic Power Station India,20798,KAIGA,152627181,Kaiga Atomic Power Station
1000744,KAKATIYA TPP,India,40947,Kakatiya Coal Power Plant India,4467,KAKATIYA,,
1000747,KALINADI,India,3784,Kalinadi Kodasalli Hydroelectric Power Plant India,20925,KALINADI SUPA,251093125,Kalinadi Supa Hydro Power Project
1000750,KAMALANGA,India,,,10736,KAMALANGA,396925739,Kamalanga Thermal Power Plant
1000753,KARCHAM WANGTOO,India,42131,Karcham Wangtoo Hydroelectric Project India,21289,KARCHAM-WANGTOO,429548141,Karcham Wangtoo Hydroelectric Plant
1000760,KAWAI TPP,India,45279,Adani Kawai Coal Power Plant India,61985,KAWAI,174639100,Kawai Thermal Power Station
1000761,KAWAS GT,India,42438,Kawas Gas CCGT Power Plant India,21573,KAWAS,,
1000772,KODERMA,India,44164,DVC Koderma Thermal Power Plant India,22582,KODERMA,,
1000774,KOLAGHAT,India,40787,Kolaghat (KTPS) Coal Power Station India,22664,KOLAGHAT,,
1000776,KONDAPALLI GT,India,43457,Lanco Kondapalli CCGT Power Plant India,22748,KONDAPALLI,,
1000778,KORADI,India,45994,Koradi Coal Power Station India,22813,KORADI,128552626,Koradi Thermal Power Station
1000779,KORBA STPS,India,43487,Korba STPS Coal Power Station India,22823,KORBA STPS,203167965,HTPS Korba West
1000783,KOTA,India,40775,Kota Super Coal Power Station India,22908,KOTA,320865415,Kota Unit 5
1000787,KOYNA COMPLEX,India,45417,Koyna I-IV (Pophali) Hydro Power Plant India,22987,KOYNA,6394122,Koyna Hydroelectric Project
1000789,KUNDAH IV,India,41248,Kundah PH IV Hydroelectric Power Plant India,23301,KUNDAH,,
1000814,MAHAN TPP,India,45659,Essar Mahan Coal Power Plant India,26617,MAHAN,195665346,Mahan I
1000815,MAHATMA GANDHI TPP,India,43509,Mahatma Gandhi Coal Power Plant India,59931,MAHATMA GANDHI,161478975,Mahatma Gandhi Thermal Power Project
1000819,MAITHON RB TPP,India,42442,Tata Maithon Right Bank Thermal Power Plant India,26682,MAITHON RB POWER,205803245,Maithon Power Plant
1000827,MARWA TPP,India,,,61331,MARWA,202980849,Marwa Thermal Power Plant
1000829,MEJIA,India,41175,Mejia Coal Power Station India,27936,MEJIA,,
1000830,MEJIA TPS EXT,India,41175,Mejia Coal Power Station India,27936,MEJIA,,
1000831,METTUR,India,43916,Mettur Coal Power Station India,28213,METTUR,429967366,Mettur Thermal Power Plant
1000833,METTUR TPS EXT,India,43916,Mettur Coal Power Station India,28213,METTUR,,
1000838,MOUDA STPS,India,,,56328,MOUDA,201955697,Mouda Thermal Power Station
1000843,MUNDRA TPP,India,43495,Adani Mundra Ultramega Coal Power Plant India,,,160685914,Mundra Thermal Powerplant
1000844,MUNDRA UMPP,India,43495,Adani Mundra Ultramega Coal Power Plant India,29854,MUNDRA UMPP,,
1000851,NAGARJUNA SAGAR,India,4426,Nagarjuna Sagar Hydro Power Plant India,30158,NAGARJUNA SAGAR,,
1000855,NASIK,India,40726,Nasik Coal Power Station India,30598,NASIK,220816413,Nasik Thermal Power Project
1000857,NATHPA JHAKRI,India,44636,Nathpa Jhakri Hydro Electric Project India,30620,NATHPA JHAKRI,429548142,Nathpa Jhakri Hydro Power station
1000860,NEYVELI ST I,India,41045,Neyveli I Extension Lignite Power Station India,31075,NEYVELI,,
1000867,NORTH CHENNAI,India,44168,North Chennai Coal Power Station India,31586,NORTH CHENNAI,,
1000868,NORTH CHENNAI EXTENSION,India,44168,North Chennai Coal Power Station India,31586,NORTH CHENNAI,,
1000872,OMKARESHWAR,India,41419,Omkareshwar Hydroelectric Power Project India,32549,OMKARESHWAR,248594484,Omkareshwar
1000874,PAGUTHAN,India,40825,Paguthan Gas CCGT India,33332,PAGUTHAN,,
1000880,PANIPAT,India,4695,Panipat (PTPS I and II) Coal Power Station India,33567,PANIPAT,259587456,Panipat Thermal Power Station
1000884,PARAS,India,40727,Paras Coal Power Station India,33667,PARAS,221135458,Paras Thermal Power Station
1000886,PARICHA,India,44161,Paricha Coal Power Station India,,,,
1000887,PARLI,India,40760,Parli Coal Power Station India,33736,PARLI,221410710,Parli Thermal Power Station
1000889,PATHADI TPS PH I,India,40645,Lanco Amarkantak (Pathadi) Coal Power Plant India,33849,PATHADI,,
1000891,PATRATU,India,40679,Patratu Coal Power Station India,33873,PATRATU,205783721,Patratu Thermal Power Station
1000897,PIPAVAV CCCP,India,45265,Pipavav CCGT Power Plant India,57484,PIPAVAV VIDEOCON,,
1000902,PRAGATI CCCP III,India,43500,Pragati III (Bawana) CCGT Power Plant India,35655,PRAGATI,172301975,Pragati-III
1000905,PURULIA PSS,India,41880,Purulia Pumped Storage Hydroelectric Power Project India,36099,PURULIA,1639258475,Purulia Pumped Storage Project
1000913,RAICHUR,India,41173,Raichur Coal Power Station India,36452,RAICHUR,136558034,KPCL Raichur Thermal Power Plant
1000914,RAIGARH TPP,India,40875,O.P. Jindal Raigarh Coal Mega Power Plant India,75528,RAIGARH JSW,354077540,Raigarh project (VISA Power)
1000917,RAJIV GANDHI TPS HISAR,India,40680,Rajiv Gandhi Khedar Mega Power Plant (RGKTPP) India,17897,RAJIV GANDHI,183894202,Rajiv Gandhi Thermal Power Project
1000918,RAJPURA TPP,India,44990,Rajpura Thermal Power Plant India,44043,SYL RAJPURA,392090790,Rajpura Thermal Power Plant
1000925,RANJIT SAGAR,India,5010,Ranjit Sagar Dam (Thein Dam) Hydroelectric Power Station India,36628,RANJIT SAGAR,,
1000927,RATNAGIRI GAS,India,40828,Ratnagiri II (Dhabol) Gas CCGT India,36742,RATNAGIRI,135894012,Ratnagiri Power & Gas Private Limited
1000928,RAYAL SEEMA,India,41466,Rayala Seema (RTPP) Coal Power Station India,,,,
1000931,RIHAND,India,45276,Rihand Coal Power Station India,37326,RIHAND,196564252,Rihand Unit-VI
1000936,ROPAR,India,40774,Ropar Coal Power Station India,37938,ROPAR,210624446,GGSSTP Ropar
1000937,ROSA TPP PH 1,India,43494,Rosa Coal Power Plant India,,,203915176,Rosa Thermal Power Plant
1000941,SAGARDIGHI TPP,India,46004,Sagardighi Super Coal Power Station India,38566,SAGARDIGHI,148270935,Sagardighi
1000942,SALAL I & II,India,5219,Salal I Hydroelectric Power Plant India,38810,SALAL,,
1000943,SALAYA TPP,India,45658,Essar Salaya Coal Power Plant India,52824,SALAYA,223725824,Salaya I
1000947,SANJAY GANDHI,India,40719,Sanjay Gandhi (Birsinghpur) Coal Power Station (SGTPS) India,39496,SANJAY GANDHI (BIRSINGPUR),195777815,Sanjay Gandhi Thermal Power Station
1000948,SANTALDIH,India,42451,Santaldih Coal Power Station India,39664,SANTALDIH,,
1000950,SASAN UMPP,India,44406,Sasan Ultra Mega Coal Power Plant India,39892,SASAN UMPP,311130978,Sasan UMPP
1000951,SATPURA,India,45277,Satpura (Sarni) STPS Coal Power Station India,39925,SATPURA,194209498,Satpura
1000963,Shri Singaji MALWA TPP,India,45995,Malwa Shri Singaji (MTPP) Coal Power Station India,26854,SHREE SINGAJI (MALWA),394927521,Shree Singaji Thermal Power Project
1000965,SIMHADRI,India,43493,Simhadri Coal Power Station India,41668,SIMHADRI,241951906,Simhadri Super Thermal Power Station
1000967,SINGRAULI STPS,India,43478,Singrauli Super (SSTPP) Coal Power Station India,41741,SINGRAULI,196411761,Singrauli Super Thermal Power Station
1000969,SIPAT STPS,India,43483,Sipat Coal Power Plant India,41763,SIPAT,248385257,Sipat Thermal Power Station
1000974,SRISAILAM,India,5513,Srisailam Left Bank Hydro Power Plant India,42779,SRISAILAM RIGHT BANK,245128484,Srisailam right power station
1000975,SRISAILAM LBPH,India,5514,Srisailam Right Bank Hydro Power Plant India,42779,SRISAILAM RIGHT BANK,245128484,Srisailam right power station
1000977,STERLITE TPP,India,42430,Sterlite (Jharsuguda) Coal Mega Power Plant India,20278,JHARSUGUDA STERLITE,,
1000979,SUGEN CCCP,India,5581,SUGEN (Torrent Power) CCGT Power Plant India,43578,SUGEN,146657606,SUGEN Mega Power Plant
1000981,SURAT LIG.,India,40637,Surat Lignite Power Station India,43843,SURAT,,
1000982,SURATGARH,India,40675,Suratgarh Coal Super Power Station India,51148,SURATGARH,,
1000989,TALCHER STPS,India,43488,Talcher Kaniha STPS Coal Power Station India,44355,TALCHER,151113257,Talcher Super Thermal Powerstation
1000990,TAMNAR TPP,India,,,36458,TAMNAR,353914770,Tamnar Power Station
1000994,TARAPUR,India,45750,Tarapur Atomic Power Station India,44612,TARAPUR,331427518,Tarapur Atomic Power Station
1000998,TEESTA V,India,45311,Teesta V Hydroelectric Power Station India,44847,TEESTA STAGE-V,,
1000999,TEHRI ST 1,India,5680,Tehri Hydroelectric Power Project India,44884,TEHRI,,
1001005,TIRORA TPP,India,44173,Adani Tirora (Tiroda) Thermal Power Plant India,57581,TIRORA,,
1001007,TORANGALLU EXT,India,40873,Torangallu (Jindal Steel) Works Coal Power Station India,,,,
1001010,TROMBAY,India,40798,Trombay Gas CCGT India,46363,TROMBAY,,
1001014,TUTICORIN,India,45697,Tuticorin Coal Power Station India,46687,TUTICORIN,,
1001018,UDUPI TPP,India,42429,Lanco Udupi Coal Mega Power Plant India,30157,UDUPI,256638645,Udupi Power Corporation Limited
1001025,UNCHAHAR,India,43480,Unchahar Coal Power Station India,47044,UNCHAHAR,,
1001026,UPPAR INDRAVATI,India,45663,Upper Indravati Hydroelectric Power Station India,19353,INDRAVATI,230905848,Indravati Dam
1001030,URAN GT,India,40797,Uran Gas CCGT India,47262,URAN,377548455,Uran
1001039,VALLUR ntpc/ntecl,India,43507,Vallur Coal Power Plant India,51723,VALLUR,,
1001044,VIJAYWADA,India,40648,Vijayawada (VTPS) Coal Power Station India,,,,
1001050,WANAKBORI,India,5980,Wanakbori Coal Power Station India,48855,WANAKBORI,116801207,Wanakbori
1001051,WARDHA WARORA,India,45282,Wardha Warora Coal Power Plant India,58980,WARDHA WARORA,221264662,Wardha Thermal Power Station
1001054,YAMUNANAGAR TPP,India,42783,Yamunanagar (DCRTPP) Coal Power Station India,62059,YAMUNANAGAR BSI,,
1001060,Nam Theun 2,Laos,41645,Nam Theun 2 Hydroelectric Power Project Laos,30333,NAM THEUN-2,183429596,Nam Ngum 2 power house
1001066,Nam Ngum 2,Laos,41646,Nam Ngum-2 Hydroelectric Power Project Laos,30318,NAM NGUM-2,183429596,Nam Ngum 2 power house
1001205,PLTGU Cilegon,Indonesia,,,62103,CILEGON CABOT,,
1001207,PLTGU Gresik,Indonesia,41535,Gresik CCGT Power Plant Indonesia,15903,GRESIK,,
