"plant_name","latitude","longitude","fuel_used","OutputMWh","elec_capacity_MW"
"Abu Ghoson Powerplant",24.45,35.2,,3.0,
"Abu Hamed Powerplant",15.631,32.5069,,249.0,
"Abu Kamash Powerplant",33.0747,11.7356,,208676.0,
"Abu Kir Powerplant",31.26917,30.141,"Heavy Fuel Oil",4696624,912
"Abu Korkas Sugar Powerplant",27.9308,30.8364,"Biomass",4049,
"Abu Madi Works Powerplant",30.9,29.3833,,26164.0,
"Abu Moosa Powerplant",0.0,0.0,,2718.0,
"Abu Mudabi Powerplant",0,0,,588,
"Abu Qir Works Powerplant",31.2,29.9,,104195.0,
"Abu Rawash Wwtp Powerplant",30.0456,31.0925,"Biogas",5764,
"Abu Rudeis Field Powerplant",28.9036,33.1875,,114340.0,
"Abu Simbul Powerplant",22.3667,31.6333,,2906.0,
"Abu Sultan Powerplant",30.4027,32.30876,"Natural Gas",2792747,600
"Abuan Powerplant",17.1481,121.891,,0.0,
"Abuela Santa Marta Powerplant",39.0763,-1.50699,,0.0,
"Abuja Powerplant",9.12,7.46,,0.0,
"Abuli Powerplant",41.4006,43.6083,,0.0,
"Aburumagawa Powerplant",37.9162,139.036,,8579.0,
"Abuta Powerplant",42.5539,140.757,,40373.0,
"Abwinden-asten Powerplant",48.025854,13.9723665,"Hydro",554520,
"Aby Powerplant",58.6667,16.1833,,5958.1,
"Abybro Biersted Powerplant",57.158356045759,9.7367191314697,"Wind",4081,
"Abybro Ron Powerplant",57.158356045759,9.7367191314697,"Wind",5713,
"Abyfors Powerplant",60.65,17.0333,,3994.0,
"Abyverken Powerplant",59.2833,15.2167,,217966.0,
"Ac Lek Greenhouse Powerplant",52.165833,4.706944,"Natural Gas",382,
"Acacia Powerplant",-33.904917,18.548811,"Natural Gas",108033,171
"Acadia Energy Center Powerplant",30.4284,-92.4112,,1.1658e+06,
"Acadia Powerplant",30.524,-92.3908,,1.72335e+06,
"Acajutla Powerplant",13.59,-89.83,,1.23546e+06,
"Acampo-armijo Powerplant",41.5976,-0.905662,,36799.0,
"Acarau Powerplant",-2.88556,-40.12,,0.0,
"Acari Powerplant",-15.43,-74.61,,703.0,
"Acate Vittoria Powerplant",36.9537,14.5332,,2203.0,
"Accadia Wind Powerplant",41.16667,15.33333,"Wind",15127,
"Acceglio Powerplant",44.474627,6.990918,"Hydro",31098,18
"Access Softek Powerplant",37.8717,-122.272,,29.0,
"Acciaiolo Powerplant",0.0,0.0,,0.0,
"Accomac Perdue Powerplant",37.7196,-75.6655,,0.0,
"Accum Powerplant",53.55,8.016666,"Wind",21918,
"Ace Cogen Powerplant",35.7632,-117.385,,722515.0,108.0
"Ace Hereford Ranch Powerplant",38.8026,-116.419,,1674.0,
"Aceca Fenosa Powerplant",39.9394,-3.86453,,1.11068e+06,
"Aceca Powerplant",39.95,-3.85,"Natural Gas",3023616,400
"Aceca Sagra Powerplant",39.9667,-3.88333,,569.0,
"Aceh (asean) Powerplant",-0.589724,101.343,,63082.0,
"Aceh (sumatra) Powerplant",-0.589724,101.343,,126460.0,
"Aceh Besar Powerplant",4.69513,96.7494,,0.0,
"Acera De La Vega Powerplant",42.5519,-4.84813,,10496.0,
"Acerra Fri-el Powerplant",40.9507,14.3762,,0.0,
"Acerra Plant Powerplant",40.9507,14.3762,,389127.0,
"Acerra Wte Powerplant",40.950713,14.376232,"Municipal Solid Waste",0,
"Acg Chp Powerplant",37.9795,23.7162,,1169.0,
"Acg Vertis Powerplant",41.6611,-91.5302,,0.0,
"Achachicala Powerplant",-16.499,-68.1462,,22777.0,
"Achada Powerplant",39.116376,-9.200631,"Wind",24031,
"Achaea Thegero Powerplant",0.0,0.0,,0.0,
"Achamaqui Powerplant",-6.16389,-77.9453,,513.0,
"Achanalt Powerplant",57.6158585,-4.6894946,"Hydro",3292,3
"Achany Powerplant",58.004444444444,-4.5316666666667,"Wind",0,38
"Acharn Powerplant",56.4761,-5.04127,,417.0,
"Achen Powerplant",47.9833,12.25,,142.0,
"Achenbach Schacht Iv Powerplant",51.4332,7.66159,,3428.0,
"Achencoil Powerplant",8.88333,76.6,,0.0,
"Achensee (jenbach) Powerplant",47.2537414,11.601487,"Hydro",320603,
"Acheres V Powerplant",48.9608,2.07002,,11722.0,
"Achham Powerplant",29.05,81.3,,1680.0,
"Achigawa Powerplant",34.8333,138.2,,1245.0,
"Achim-borstel Powerplant",53.04,9.01,,14351.0,
"Achim-embsen Powerplant",53.04,9.01,,23194.0,
"Achim Hospital Powerplant",53.04,9.01,,1591.0,
"Achim Powerplant",53.04,9.01,,435.0,
"Achlum-deersum Powerplant",53.1493,5.48346,,231.0,
"Achlumerweg Powerplant",53.1667,5.51667,,694.0,
"Achmer Vint Powerplant",52.4,7.93333,,60015.0,
"Acia-2 Powerplant",8.75,-82.4333,,0.0,
"Ackendorf Powerplant",52.21667,11.43333,"Wind",4349,
"Ackendorf Saxovent Powerplant",52.224,11.4404,,25886.0,
"Ackersand I Powerplant",46.238930396452,7.8747081756592,"Hydro",28581,
"Ackersand Ii Powerplant",46.2389,7.87471,,152278.0,
"Acme Farm Powerplant",14.5612,121.219,,0.0,
"Acobamba Powerplant",-12.86,-74.56,,1411.0,
"Acoje Mining Powerplant",16.2762,122.125,,2488.0,
"Acomayo Powerplant",-9.63,-76.06,,641.0,
"Aconquija Powerplant",-27.2167,-66.1333,,848.0,
"Acor Powerplant",40.2167,-8.05,,69655.0,
"Acos Powerplant",-12.0986,-77.0582,,1776.0,
"Acozer Bologna Powerplant",44.4938,11.3387,,893.0,
"Acqua Spruzza Powerplant",41.600627,14.446525,"Hydro",3838,6.8
"Acquandida Powerplant",40.4319,17.4722,,0.0,
"Acquaviva Delle Fonti Powerplant",40.8978,16.8425,,0.0,
"Acquaviva Powerplant",41.3155,15.6274,,5041.4,
"Acquedotto Sinni Powerplant",40.6295,16.7997,,0.0,
"Acquigny Powerplant",49.1667,1.18333,,84.0,
"Acquoria Rebuild Powerplant",41.9609,12.7989,,92617.0,
"Acres Donegal Powerplant",0.0,0.0,,0.0,
"Acs Powerplant",47.7102,18.0157,,0.0,
"Act Ic Powerplant",-35.4735,149.012,,3101.0,
"Actherm Chumtov Powerplant",50.088,14.4208,,0.0,
"Actis Amagasaki Powerplant",34.6913,135.183,,606.0,
"Acua Hanneman Env Park Powerplant",39.4151,-74.5845,,2754.0,
"Acua Landfill Powerplant",39.3822537,-74.6166192,"Landfill Gas",2726,
"Acula Powerplant",37.0841,-3.80746,,5102.7,
"Acworth Powerplant",43.2156,-72.2924,,13.0,
"Ad Duqm Powerplant",19.6339,57.6054,,1276.0,
"Ad Dur Powerplant",25.971447358261,50.607592463493,"Natural Gas",0,1336
"Ada Cogeneration Lp Powerplant",42.9627,-85.4941,,198670.0,
"Ada Cogeneration Powerplant",42.9627,-85.4941,"Natural Gas",157759,33.1
"Ada Dam Powerplant",42.9661,-85.4875,"Hydro",6607,
"Adacami-rize Powerplant",41.02,40.5234,,0.0,
"Adachi (hitachi) Powerplant",37.5448,140.338,,23182.0,
"Adachi Tokyo Powerplant",35.6149,139.581,,56968.0,
"Adadag Powerplant",41.2833,32.85,,0.0,
"Adair Wind Farm Powerplant",41.4236,-94.665,"Wind",438050,
"Adam Cunningham Powerplant",48.416477192774,-71.248837709426,"Hydro",32588,7
"Adam Powerplant",22.3833,57.5333,,7301.0,
"Adama Wind Powerplant",0,0,"Wind",0,
"Adamant Powerplant",44.2812,-72.4877,"Hydro",625,
"Adamjee Powerplant",23.6233,90.5011,,0.0,
"Adamow Powerplant",52.0146,18.5009,,1.80312e+06,
"Adams (ma) Fjc Powerplant",42.6258,-73.0997,,2578.0,
"Adams (ny) Powerplant",43.8153,-76.063,,977.0,
"Adams Pfizer Powerplant",42.6258,-73.0997,,15829.0,
"Adams Wind Farm-3 Powerplant",43.5652435,-92.7193503,"Wind",0,
"Adams Wind Farm Powerplant",43.5433,-92.7489,"Wind",49350,
"Adamselv Powerplant",70.3833333,26.6333333,"Hydro",239197,54
"Adamsville Hydro Powerplant",41.78528,-85.99389,"Hydro",1116,
"Adamtilla Powerplant",26.2006,92.9376,,29350.0,
"Adana Amylum Powerplant",37.0017,35.3289,,24644.0,
"Adana Biomass Powerplant",37.0017,35.3289,,0.0,
"Adana Sasa Powerplant",37.0017,35.3289,,75537.0,
"Adana Sumer Powerplant",37.0,35.3244,,2536.0,
"Adana Tire Plant Powerplant",37.0016667,35.3288889,"Natural Gas",309470,1220
"Adani Port Powerplant",0.0,0.0,,7884.9,
"Adanki Branch Mile 10 Powerplant",16.3,80.45,,9625.9,
"Adanki Branch Mile 13 Powerplant",16.3,80.45,,9625.9,
"Adanki Branch Mile 18-0 Powerplant",16.3,80.45,,9799.9,
"Adanki Branch Mile 18-4 Powerplant",16.3,80.45,,9799.9,
"Adanki Branch Mile 28 Powerplant",16.3,80.45,,14818.0,
"Adanki Branch Mile 4/6 Powerplant",16.3,80.45,,9268.8,
"Adanki Branch Mile 4 Powerplant",16.3,80.45,,6718.9,
"Adanki Branch Mile 6 Powerplant",16.3,80.45,,10474.0,
"Adapazari Intergen Powerplant",40.7806,30.4033,,2.12007e+06,
"Adapazari Sugar Plant Powerplant",40.7806,30.4033,,61634.0,
"Adawikanda Powerplant",6.7765,80.3621,,0.0,
"Adazi Chp Powerplant",57.0758,24.3214,,752.0,
"Addalam A Powerplant",16.4664,121.653,,0.0,
"Addenbrookes Hospital Powerplant",52.2,0.116667,,12027.0,
"Addington Powerplant",-43.55,172.617,,0.0,
"Addis Brewery Powerplant",9.02497,38.7469,,24702.0,
"Addis Powerplant",30.489,-91.1577,,3691.0,
"Addition Hill Powerplant",42.3491,-71.5455,,0.0,
"Adelaide Aquatic Centre Powerplant",-34.9333,138.6,,486.0,
"Adelaide Boral Powerplant",-34.9333,138.6,,111.0,
"Adelaide Sardi Powerplant",-34.964,138.638,,1915.0,
"Adelaide Showground Powerplant",-34.9514,138.583,,2714.1,
"Adelaide Strathroy Powerplant",42.9551,-81.6223,,0.0,
"Adelanto Substation Powerplant",34.5361,-117.291,,0.0,
"Adele Caes Powerplant",51.8667,11.5833,,0.0,
"Adelshofen Powerplant",47.9667,9.86667,,17396.0,
"Aden Container Terminal Powerplant",12.7794,45.0367,,70742.0,
"Aden Grain Mill Powerplant",12.7794,45.0367,,16896.0,
"Aden Pec Powerplant",12.7794,45.0367,,0.0,
"Aden Refinery Powerplant",12.7794,45.0367,,99840.0,
"Aderklaa Powerplant",48.2085,16.3721,,12077.0,
"Aderstedt Powerplant",51.76667,11.68333,"Wind",57405,
"Adeshikh Powerplant",0.0,0.0,,122.0,
"Adetex Plant Powerplant",-6.90389,107.619,,5094.0,
"Adewa Powerplant",14.1635,38.8992,,51.0,
"Adgas Gt Powerplant",0.0,0.0,,0.0,
"Adglc Plant Powerplant",0.0,0.0,,0.0,
"Adhc Ic Powerplant",0.0,0.0,,0.0,
"Adi-keih Powerplant",14.8444,39.3733,,537.0,
"Adigrat Powerplant",14.27,39.46,,62.0,
"Adiguna Shipyard Powerplant",-6.21462,106.845,,1473.0,
"Adiguzel Powerplant",38.1956704,29.2233608,"Hydro",184602,62
"Adilabad Cement Plant Powerplant",19.6667,78.5333,,2140.0,
"Adilabad Sainath Powerplant",19.6667,78.5333,,0.0,
"Adilabad Shalivahana Powerplant",19.6667,78.5333,,10512.0,
"Adilabad Suchand Powerplant",19.6667,78.5333,,30290.0,
"Adilcevaz Powerplant",38.8036,42.7445,,1191.0,
"Adinath Sugar Mill Powerplant",17.6833333,75.9166667,"Biomass",2628,
"Adipala Powerplant",-7.72934,109.021,,0.0,
"Adirappally Lower Powerplant",10.5167,76.2167,,0.0,
"Adirappally Upper Powerplant",10.5167,76.2167,,0.0,
"Aditya Aluminium Powerplant",21.7333,84.0167,,0.0,
"Aditya Cement Works Powerplant",19.1167,72.8333,,201480.0,
"Adityapur Works Powerplant",22.8,86.18,,245280.0,
"Adjarala (mono River) Powerplant",6.9,1.59,,0.0,
"Adjaristskali-1 Powerplant",41.5436,41.7231,,0.0,
"Adjaristskali-2 Powerplant",41.5436,41.7231,,0.0,
"Adjaristskali-3 Powerplant",41.5436,41.7231,,0.0,
"Adjumani Powerplant",3.36,31.78,,204.0,
"Adkins Energy Powerplant",42.3875,-89.8373,,21592.0,
"Adler Canyon Ps Powerplant",33.8223,-111.918,,0.0,
