NOTE: The Global Power Plant Database is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,geolocation_source,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
MOMBOLO HUTTER,CARMA0029026,,,AGO,,CARMA,http://carma.org/,-12.6789,13.2914,CARMA,,,,,,,,
NAMIBE,CARMA0059241,,,AGO,,CARMA,http://carma.org/,-15.1961,12.1522,CARMA,,,,,,,,
NDALATANDO,CARMA0030697,,,AGO,,CARMA,http://carma.org/,-9.2978,14.9116,CARMA,,,,,,,,
NOVA LISBOA MARSCHALL,CARMA0031756,,,AGO,,CARMA,http://carma.org/,-12.7761,15.7392,CARMA,,,,,,,,
NOVA LISBOA VALE QUEVE,CARMA0031757,,,AGO,,CARMA,http://carma.org/,-12.7761,15.7392,CARMA,,,,,,,,
PESKWANZA,CARMA0034314,,,AGO,,CARMA,http://carma.org/,-10.7314,13.7599,CARMA,,,,,,,,
PORTO AMBOIM,CARMA0059238,,,AGO,,CARMA,http://carma.org/,-10.7314,13.7599,CARMA,,,,,,,,
QUARTEIS,CARMA0059237,,,AGO,,CARMA,http://carma.org/,-8.8368,13.2343,CARMA,,,,,,,,
QUILENGUES,CARMA0036298,,,AGO,,CARMA,http://carma.org/,-14.0667,14.0833,CARMA,,,,,,,,
QUILENGUES MOURA,CARMA0036299,,,AGO,,CARMA,http://carma.org/,-14.0667,14.0833,CARMA,,,,,,,,
SOYO CITY,CARMA0042620,,,AGO,,CARMA,http://carma.org/,-6.1349,12.3689,CARMA,,,,,,,,
SUMBE,CARMA0043656,,,AGO,,CARMA,http://carma.org/,-11.2060,13.8437,CARMA,,,,,,,,
TOMBWA,CARMA0045791,,,AGO,,CARMA,http://carma.org/,-15.8000,11.8500,CARMA,,,,,,,,
UIGE,CARMA0046897,,,AGO,,CARMA,http://carma.org/,-7.6087,15.0613,CARMA,,,,,,,,
VILA NOVA AHLEFELD,CARMA0048187,,,AGO,,CARMA,http://carma.org/,-12.5667,16.2333,CARMA,,,,,,,,
XITOTO,CARMA0030346,,,AGO,,CARMA,http://carma.org/,-15.1961,12.1522,CARMA,,,,,,,,
BALLSH,CARMA0003038,,,ALB,,CARMA,http://carma.org/,40.5989,19.7347,CARMA,,,,,,,,
BARMASH,CARMA0060519,,,ALB,,CARMA,http://carma.org/,40.3378,20.6789,CARMA,,,,,,,,
BENE,CARMA0060550,,,ALB,,CARMA,http://carma.org/,42.0683,19.5126,CARMA,,,,,,,,
BICAJ,CARMA0060497,,,ALB,,CARMA,http://carma.org/,42.0769,20.4219,CARMA,,,,,,,,
BISTRICA KESH,CARMA0004769,,,ALB,,CARMA,http://carma.org/,39.9178,20.1336,CARMA,,,,,,,,
BOGOVA,CARMA0005112,,,ALB,,CARMA,http://carma.org/,40.5711,20.1500,CARMA,,,,,,,,
BORSH,CARMA0060543,,,ALB,,CARMA,http://carma.org/,39.8756,20.0053,CARMA,,,,,,,,
BRADAZHNICE,CARMA0060558,,,ALB,,CARMA,http://carma.org/,42.4331,20.0511,CARMA,,,,,,,,
BULQIZA,CARMA0060491,,,ALB,,CARMA,http://carma.org/,41.4917,20.2219,CARMA,,,,,,,,
CARSHOVE,CARMA0007231,,,ALB,,CARMA,http://carma.org/,40.2336,20.3517,CARMA,,,,,,,,
CEREM,CARMA0060555,,,ALB,,CARMA,http://carma.org/,42.4956,19.9608,CARMA,,,,,,,,
CERRIK REFINERY,CARMA0007721,,,ALB,,CARMA,http://carma.org/,41.0317,19.9758,CARMA,,,,,,,,
CINI,CARMA0060516,,,ALB,,CARMA,http://carma.org/,40.0758,20.1389,CARMA,,,,,,,,
COROVODE,CARMA0060547,,,ALB,,CARMA,http://carma.org/,40.5042,20.2272,CARMA,,,,,,,,
CURRAJ EPERM,CARMA0060557,,,ALB,,CARMA,http://carma.org/,42.3481,19.9119,CARMA,,,,,,,,
DARDHE,CARMA0060524,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
DHERMI,CARMA0010738,,,ALB,,CARMA,http://carma.org/,40.4667,19.4897,CARMA,,,,,,,,
DOMAJ-HAS,CARMA0060518,,,ALB,,CARMA,http://carma.org/,42.1378,20.4917,CARMA,,,,,,,,
DRAGOBI,CARMA0060556,,,ALB,,CARMA,http://carma.org/,42.4339,19.9892,CARMA,,,,,,,,
DUKAGJIN,CARMA0060549,,,ALB,,CARMA,http://carma.org/,40.5000,20.2500,CARMA,,,,,,,,
ELBASAN,CARMA0012221,,,ALB,,CARMA,http://carma.org/,41.1125,20.0822,CARMA,,,,,,,,
ERIND,CARMA0060515,,,ALB,,CARMA,http://carma.org/,40.0758,20.1389,CARMA,,,,,,,,
FIER,CARMA0013391,,,ALB,,CARMA,http://carma.org/,40.7239,19.5561,CARMA,,,,,,,,
FIERZA,CARMA0013393,,,ALB,,CARMA,http://carma.org/,42.2647,20.0269,CARMA,,,,,,,,
FLETE,CARMA0060542,,,ALB,,CARMA,http://carma.org/,42.0444,19.8997,CARMA,,,,,,,,
FTERRE,CARMA0060546,,,ALB,,CARMA,http://carma.org/,39.8756,20.0053,CARMA,,,,,,,,
FUNARES,CARMA0060531,,,ALB,,CARMA,http://carma.org/,41.1794,20.3150,CARMA,,,,,,,,
GJANCI,CARMA0015195,,,ALB,,CARMA,http://carma.org/,40.5400,20.6450,CARMA,,,,,,,,
GJINAR,CARMA0060512,,,ALB,,CARMA,http://carma.org/,41.1125,20.0822,CARMA,,,,,,,,
GJORICE,CARMA0015199,,,ALB,,CARMA,http://carma.org/,41.4917,20.2219,CARMA,,,,,,,,
HOCISHT,CARMA0060505,,,ALB,,CARMA,http://carma.org/,40.6083,20.9142,CARMA,,,,,,,,
HOMESH,CARMA0060499,,,ALB,,CARMA,http://carma.org/,41.4917,20.2219,CARMA,,,,,,,,
HORMOVE,CARMA0060551,,,ALB,,CARMA,http://carma.org/,40.2958,20.0192,CARMA,,,,,,,,
KAPARIEL,CARMA0060509,,,ALB,,CARMA,http://carma.org/,40.0758,20.1389,CARMA,,,,,,,,
KELSYRE,CARMA0060559,,,ALB,,CARMA,http://carma.org/,42.4058,20.0294,CARMA,,,,,,,,
KERPICE,CARMA0060508,,,ALB,,CARMA,http://carma.org/,40.8697,20.1844,CARMA,,,,,,,,
KOLONJE,CARMA0060517,,,ALB,,CARMA,http://carma.org/,40.0758,20.1389,CARMA,,,,,,,,
KOMANI,CARMA0022707,,,ALB,,CARMA,http://carma.org/,42.0444,19.8997,CARMA,,,,,,,,
KORCE,CARMA0022827,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
KOZEL,CARMA0060522,,,ALB,,CARMA,http://carma.org/,40.3378,20.6789,CARMA,,,,,,,,
LABINOT,CARMA0060507,,,ALB,,CARMA,http://carma.org/,41.1125,20.0822,CARMA,,,,,,,,
LANABREGAS,CARMA0024322,,,ALB,,CARMA,http://carma.org/,41.3431,19.8944,CARMA,,,,,,,,
LEKBIBAJ,CARMA0060552,,,ALB,,CARMA,http://carma.org/,42.2947,19.9317,CARMA,,,,,,,,
LENIE,CARMA0060490,,,ALB,,CARMA,http://carma.org/,40.8697,20.1844,CARMA,,,,,,,,
LESHNICE,CARMA0060545,,,ALB,,CARMA,http://carma.org/,39.8756,20.0053,CARMA,,,,,,,,
LESKOVIK-1,CARMA0025043,,,ALB,,CARMA,http://carma.org/,40.3378,20.6789,CARMA,,,,,,,,
LESKOVIK-2,CARMA0025044,,,ALB,,CARMA,http://carma.org/,40.3378,20.6789,CARMA,,,,,,,,
LIBOHOE,CARMA0060511,,,ALB,,CARMA,http://carma.org/,40.0758,20.1389,CARMA,,,,,,,,
LIENGE,CARMA0060541,,,ALB,,CARMA,http://carma.org/,40.9025,20.6525,CARMA,,,,,,,,
LOZHAN MINI,CARMA0060513,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
LUNIK,CARMA0060532,,,ALB,,CARMA,http://carma.org/,41.1794,20.3150,CARMA,,,,,,,,
MALIQ,CARMA0026813,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
MARJAN,CARMA0060521,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
MARTANESH,CARMA0060537,,,ALB,,CARMA,http://carma.org/,41.4000,20.2000,CARMA,,,,,,,,
MENKULAS,CARMA0060504,,,ALB,,CARMA,http://carma.org/,40.5286,20.9517,CARMA,,,,,,,,
