BEL,1002235,GEODB,"CARMA/GEO Location Integration [lat: 51.2622, lon: 3.21315]"
BEL,1002236,GEODB,"CARMA/GEO Location Integration [lat: 50.5335, lon: 5.2962]"
BEL,1002237,GEODB,"CARMA/GEO Location Integration [lat: 50.4928, lon: 5.07]"
BEL,1002239,GEODB,"CARMA/GEO Location Integration [lat: 50.4665, lon: 4.8992]"
BEL,1002240,GEODB,"CARMA/GEO Location Integration [lat: 50.5922, lon: 5.4613]"
BEL,1002241,GEODB,"CARMA/GEO Location Integration [lat: 50.7517, lon: 5.6863]"
BEL,1002242,GEODB,"CARMA/GEO Location Integration [lat: 50.6517, lon: 5.6308]"
BEL,1002250,GEODB,"CARMA/GEO Location Integration [lat: 49.733, lon: 5.377]"
BEL,1002253,GEODB,"CARMA/GEO Location Integration [lat: 50.9405, lon: 5.4906]"
BEL,1002253,GEODB,"CARMA/GEO Location Integration [lat: 50.9405, lon: 5.4906]"
BEL,1002258,GEODB,"CARMA/GEO Location Integration [lat: 50.4138, lon: 4.4067]"
BEL,1002263,GEODB,"CARMA/GEO Location Integration [lat: 50.1884, lon: 4.3861]"
BEL,1002264,GEODB,"CARMA/GEO Location Integration [lat: 51.1049, lon: 3.7257]"
BEL,1002266,GEODB,"CARMA/GEO Location Integration [lat: 51.1357, lon: 3.7878]"
BEL,1002267,GEODB,"CARMA/GEO Location Integration [lat: 50.4719, lon: 3.8248]"
BEL,1002270,GEODB,"CARMA/GEO Location Integration [lat: 51.1265, lon: 4.3226]"
BEL,1002275,GEODB,"CARMA/GEO Location Integration [lat: 50.53419312, lon: 5.275052105]"
BEL,1002277,GEODB,"CARMA/GEO Location Integration [lat: 50.53419312, lon: 5.275052105]"
BEL,1002277,GEODB,"CARMA/GEO Location Integration [lat: 50.53419312, lon: 5.275052105]"
BEL,1002281,GEODB,"CARMA/GEO Location Integration [lat: 50.4116, lon: 4.0804]"
BEL,1002287,GEODB,"CARMA/GEO Location Integration [lat: 51.35964, lon: 3.2219]"
BEL,1002288,GEODB,"CARMA/GEO Location Integration [lat: 51.1587, lon: 3.8068]"
