name,gppd_idnr,latitude,longitude,commissioning_year,source,unit01_MW,unit01_year,unit02_MW,unit02_year,unit03_MW,unit03_year,unit04_MW,unit04_year,unit05_MW,unit05_year,unit06_MW,unit06_year,unit07_MW,unit07_year,unit08_MW,unit08_year,unit09_MW,unit09_year,unit10_MW,unit10_year,unit11_MW,unit11_year,unit12_MW,unit12_year,unit13_MW,unit13_year,unit14_MW,unit14_year,unit15_MW,unit15_year,unit16_MW,unit16_year,unit17_MW,unit17_year,unit18_MW,unit18_year,unit19_MW,unit19_year,unit20_MW,unit20_year
CABRERIA,ARG0000365,-22.079056,-66.257044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACHEUTA (NUEVA),ARG0000195,-33.029117,-69.110936,2002,http://globalenergyobservatory.org/geoid/42263,30,2002,30,2002,30,2002,30,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACHI,ARG0000277,-25.108888,-66.210555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFAYATE,ARG0000278,-26.071502,-65.987562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMARONES,ARG0000366,-44.79829,-65.71061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPO GALLO,ARG0000317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL CATAMARCA - PREDIO CHOYA,ARG0000048,-28.453678,-65.784072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL CATAMARCA - PREDIO EX CARCEL,ARG0000049,-28.477261,-65.787161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL CATAMARCA - PREDIO RIPIERA,ARG0000050,-28.468384,-65.779708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAN PAGE,ARG0000367,-23.687361,-62.37741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA COLORADA,ARG0000368,-22.326589,-66.283769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA DE PIEDRA,ARG0000183,-38.21432,-67.190841,1996,https://es.wikipedia.org/wiki/Embalse_de_Casa_de_Piedra,30,1996,30,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASPALA,ARG0000369,-23.363344,-65.088718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASSAFFOUSTH,ARG0000086,-31.399157,-64.200607,1953,http://globalenergyobservatory.org/geoid/42295,5.76,1953,5.76,1953,5.76,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAMARCA (ECSAPEM),ARG0000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATUA,ARG0000370,-23.87111,-67.005099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG0000031,-38.787222,-62.25361,1990,http://globalenergyobservatory.org/geoid/42233,320,1989,320,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL BARREALITO,ARG0000291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
