name,latitude,longitude
LOS CORONELES (EX 25  DE MAYO),-34.599972,-68.528472
LOS MICHES,-37.20189,-70.844286
LOS MOLINOS I,-31.838016,-64.445163
LOS MOLINOS II,-31.838016,-64.445163
LOS PENITENTES,-32.84027778,-69.84194444
LOS QUIROGA,-27.650944,-64.361833
LOS REYUNOS,-34.60277777,-68.63833
LOTE 8,-25.386682,-62.275765
LUJAN DE CUYO,-33.05506,-68.98098
MAR DE AJO,-36.720833,-63.1976831
MAR DEL PLATA (9 DE JULIO),-38.049514,-57.54603
MARIA CRISTINA,-22.7381962,-62.2753954
MAYOR BURATOVICH,-39.2291117,-62.6496649
MBURUCUYA,-28.044121,-58.228541
MEDIALUNA,-23.7583298,-61.0213934
MERCEDES,-29.180801,-58.079319
MISA RUMI,-22.260121,-66.367428
MISION LA PAZ,-22.378888,-62.519444
MODESTO MARANZANA,-33.160791,-64.365609
MONTE QUEMADO,-25.80091,-62.84095
MOQUEHUE,-38.950137,-71.33087
NAZARENO,-22.499722,-65.116666
NECOCHEA,-38.578534,-58.71082
NIHUIL I,-34.99073,-68.623663
NIHUIL II,-34.903931,-68.617725
NIHUIL III,-34.882147,-68.576038
NIHUIL IV,-34.833,-68.5168
NUEVA ESPERANZA,-26.207194,-64.247658
NUEVA POMPEYA,-24.93166667,-61.48527778
NUEVO PIRQUITAS (MINA PIRQUITAS),-22.686383,-66.456469
NUEVO PUERTO,-34.57208,-58.38352
OBERA (TG Nº21 FIAT ),-27.50192,-55.12453
OLACAPATO,-24.139444,-66.719722
OLAROZ CHICO,-23.393506,-66.802811
ORAN (MITRE),-23.140545,-64.323197
ORENSE,-38.685059,-59.780381
OROSMAYO,-22.557281,-66.356108
PAICONE,-22.219456,-66.425725
PALMAR GRANDE,-27.942278,-57.900923
PALMAR LARGO,-23.18888889,-62.04277778
PALMARCITO,-22.80308,-62.164096
PAMPA DE LOS GUANACOS,-26.23213,-61.83607
PARANA,-33.354922,-60.171795
PARQUE EOLICO ARAUCO SAPEM I,-28.6683739,-66.7524147
PARQUE EOLICO ARAUCO SAPEM II,-28.6683739,-66.7524147
PARQUE EOLICO DIADEMA,-45.74583333,-67.69527778
PARQUE EOLICO EL TORDILLO,-45.85068,-67.90805
PARQUE EOLICO LOMA BLANCA IV (ENARSA),-43.090684,-65.229803
PARQUE EOLICO NECOCHEA,-38.604519,-58.790598
PARQUE EOLICO RAWSON I (ENARSA),-43.352204,-65.173354
PARQUE EOLICO RAWSON II (ENARSA),-43.352204,-65.173354
PASO DE INDIOS,-43.86630541,-69.0448871
PASO DE LOS LIBRES,-29.714766,-57.093307
PASO DEL SAPO,-42.737111,-69.6110021
PASTOS CHICOS,-23.765631,-66.438958
PATAGONIA,-45.793432,-67.514503
PERITO MORENO,-46.592917,-70.928806
PERUGORRIA,-29.339975,-58.607714
PICO TRUNCADO - JORGE ROMANUTTI,-46.8065478,-67.9807913
PICO TRUNCADO I,-46.784224,-67.949776
PIEDRA DEL AGUILA (CPSA),-31.665073,-63.831444
PIEDRA PARADA,-42.6632132,-70.1529204
PIEDRAS MORAS,-32.1675,-64.2438
PILAR  BICENTENARIO,-31.665073,-63.831444
PILAR ZANICHELLI,-31.666187,-63.834448
PLANICIE BANDERITA,-28.53388889,-65.79972222
PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1,-31.38913,-68.675205
POLVAREDAS,-32.79222222,-69.65138889
POSADAS,-27.443753,-55.917895
POZO CERCADO,-23.0286108,-62.3357949
POZO COLORADO,-23.552766,-65.81876
POZO DE MAZA,-23.571819,-61.700764
POZO LA CHIVA,-22.6789188,-62.3074558
POZO SARGENTO,-23.6518015,-61.7967348
POZO YACARE,-24.0782228,-62.3331895
PRESIDENTE SARMIENTO,-31.512867,-68.539934
PUEBLO VIEJO,-27.1149,-65.7523
PUENTE DEL INCA,-32.82416667,-69.90916667
PUERTO ALMANZA,-54.87059,-67.565574
PUERTO IRIGOYEN,-23.224468,-61.747627
PUERTO MADRYN,-42.706863,-65.104775
PUERTO NUEVO,-34.575369,-58.378812
PUERTO PIRAMIDES,-42.5736172,-64.2836893
PUERTO SAN JULIAN,-49.305042,-67.735328
PUERTO SANTA CRUZ,-50.023581,-68.536208
PUNTA ALTA - CENTENARIO,-38.7832606,-61.8984103
PUNTA ALTA - PEHUEN CO,-38.8971202,-61.6097081
PUNTA BANDERA,-50.315092,-72.7915
PUNTA DE VACAS,-32.85166667,-69.7525
PUNTA DEL AGUA,-24.3073257,-60.5404641
QUEBRADA DE ULLUM,-31.25667,-61.52028
QUIMILI,-27.65195,-62.41627
RADA TILLY,-45.9168704,-67.5793505
RIO CORRALITO ,-24.982970, -65.686011
RIO CUARTO,-33.161377,-64.364916
RIO GALLEGOS I (RIO CHICO),-51.656306,-69.382222
RIO GRANDE,-53.786243,-67.722158
RIO HONDO,-27.5225,-64.8861
RIO MAYO,-45.6964538,-70.2559804
RIO MUERTO,-23.6077408,-61.316872
RIO PICO,-44.2,-71.333333
RIO TURBIO,-51.5385166,-72.27133
RIVADAVIA BANDA SUR,-24.183055,-62.883888
SALAR DE POCITOS,-24.373009,-66.993965
SALTO ANDERSEN,-38.824417,-64.829639
SALTO GRANDE (MITAD ARGENTINA),-31.38913,-68.675205
SAN ANTONIO,-26.05598,-53.73322
SAN ANTONIO DE LOS COBRES,-24.214444,-66.318888
SAN CAYETANO,-23.8232703,-60.9788771
SAN FRANCISCO,-31.439111,-62.111887
SAN FRANCISCO (Dpto. Santa Catalina),-22.001228,-66.173533
SAN JUAN Y OROS,-22.225248,-66.248899
SAN MARTIN 1,-24.5319053,-59.9020512
SAN MARTIN DE LOS ANDES,-40.151149,-71.334017
SAN MIGUEL,-27.996278,-57.591061
SAN NICOLAS,-33.356181,-60.172865
SAN PEDRO,-26.62534,-54.11021
SAN ROQUE,-31.3533071,-64.3938303
SANTA ANA,-23.354583,-64.989389
SANTA ISABEL,-36.23138889,-66.93805556
SANTA ROSA DE LOS PASTOS GRANDES,-24.450077,-66.699815
SANTA VICTORIA ESTE,-22.27,-62.7125
SANTO DOMINGO,-22.542876,-66.222969
SANTO TOMAS,-39.871875,-70.10295
SANTO TOME,-28.5497,-56.072229
SANTOS LUGARES,-26.68374,-63.54889
SEPAUCAL,-42.271944,-67.404167
SEY,-23.946439,-66.488261
SORRENTO,-32.905315,-60.680651
SUDOESTE,-31.463023,-64.238814
SUMAYEN,-24.608269,-61.409681
SUSQUES,-23.399408,-66.367109
TAFI DEL VALLE,-26.856545,-65.721376
TANDIL - CRETAL,-37.4028152,-59.0230125
TARTAGAL,-22.5098645,-63.7970473
TECKA,-43.4935821,-70.8135608
TELSEN,-42.4387512,-66.941428
TENARIS SIDERCA CETE II,-33.365495,-60.143523
TERMOELECTRICA,-54.794366,-68.261348
TERMOELECTRICA TURBO,-54.794366,-68.261348
TIMON CRUZ,-22.191583,-66.158325
TINTINA,-27.02954,-62.70956
TOLAR GRANDE,-24.59,-67.399722
TOLHUIN,-54.512819,-67.188671
TOSTADO,-29.235159,-61.757651
TRES LAGOS,-49.600097,-71.445278
TRICAO MALAL,-37.043534,-70.322558
ULLUM,-31.455734,-68.755587
URUGUA-I,-25.87663,-54.56871
USPALLATA,-32.61916667,-69.36805556
VACA PERDIDA,-23.49486469,-61.6499983
VARVARCO,-36.846494,-70.677155
VENADO TUERTO,-33.777688,-61.955458
VILLA GESELL,-37.248694,-56.997274
VILLA LA ANGOSTURA,-40.757094,-71.638059
VILLA MARIA (LAS PLAYAS),-39.08722222,-67.08805556
VILLA TRAFUL,-40.654989,-71.397585
VUELTA DE OBLIGADO,-32.580655,-60.790337
YACYRETA,-27.482709,-56.739664
YALA LAUBAT,-42.7671354,-68.8754218
