country,id,name,lat,lon,loc_type,capacity,capacity_type,area,structure
BFA,69194,Essakane,14.364,0.078,inexact,19.9,AC,,
BFA,67803,Zagtouli,12.307,-1.637,exact,33.0,DC,59.1,Fixed tilt (N-S)
BGD,70913,Gopalganj,26.585,84.145,inexact,5.0,AC,,
BGD,66662,Teknaf,20.982,92.256,exact,28.0,DC,48.7,Fixed tilt (N-S)
BGR,65238,Bezmer,42.463,26.408,exact,10.0,DC,22.9,Fixed tilt (N-S)
BGR,61330,Cherganovo,42.588,25.484,exact,29.3,DC,59.3,Fixed tilt (N-S)
BGR,65232,Chervenako,42.632,26.037,exact,4.0,DC,11.9,Fixed tilt (N-S)
BGR,60369,Devnya,43.2072,27.6054,exact,4.8,DC,13.4,Fixed tilt (N-S)
BGR,62173,Hadjidimovo,41.508,23.796,exact,11.0,DC,34.5,Fixed tilt hillside
BGR,65236,Hanovo,42.396,26.526,exact,4.5,DC,14.4,Fixed tilt (N-S)
BGR,61402,Kalipetrovo,44.0587,27.2568,exact,3.9,DC,9.9,Fixed tilt (N-S)
BGR,61215,Karadzhalovo,42.105,25.322,exact,50.0,AC,96.6,Fixed tilt (N-S)
BGR,61847,Karlovo,42.581,24.803,exact,4.9,DC,10.9,Fixed tilt (N-S)
BGR,61331,Kolarovo,44.035,26.908,exact,5.9,DC,17.6,Fixed tilt (N-S)
BGR,61196,Letnitsa,43.308,25.032,exact,11.0,DC,42.8,Fixed tilt (N-S)
BGR,64143,Mokresh,43.7491,23.3858,exact,4.1,DC,8.0,Fixed tilt (N-S)
BGR,61405,Montan-Renar,44.107,27.174,exact,7.0,DC,20.0,Fixed tilt (N-S)
BGR,65231,Palauzovo,42.516,26.755,exact,5.0,DC,10.9,Fixed tilt (N-S)
BGR,61329,Pobeda,43.519,24.546,exact,50.6,DC,102.2,Fixed tilt (N-S)
BGR,65235,Skobelevo,42.4673,26.361,exact,5.0,DC,8.5,Fixed tilt (N-S)
BGR,63901,Solsbor,42.32,24.301,exact,10.0,DC,21.4,Fixed tilt (N-S)
BGR,61406,Vilo,44.042,27.016,exact,3.9,DC,14.5,Fixed tilt (N-S)
BGR,61195,Vratsa,43.242,23.544,exact,18.0,DC,51.0,Fixed tilt (N-S)
BGR,61136,Vratsa N,43.2466,23.5397,exact,5.0,DC,15.1,Fixed tilt (offset)
BGR,65237,Yambol,42.473,26.454,exact,10.0,DC,21.3,Fixed tilt (N-S)
BGR,63900,Yerusalimovo,41.865,26.095,exact,5.1,DC,11.6,Fixed tilt (N-S)
BGR,61142,Zdravets,42.125,25.635,exact,16.2,DC,27.1,Fixed tilt (N-S)
BHR,63150,Awali,26.1,50.58,inexact,5.0,DC,,
BLR,67624,Blizhnyaya Rechitsa,53.64, 31.55,inexact,55.0,DC,,
BLR,70614,Blizhnyaya Rechitsa 2,53.625,31.6,inexact,109.0,AC,200.0,
BLR,69842,Bragin EP,51.784,30.2559,exact,4.1,DC,8.3,Fixed tilt (N-S)
BLR,68456,Brahin,51.797,30.209,exact,18.5,AC,40.3,Fixed tilt (N-S)
BLR,69849,Chechevicy,52.92,30.85,inexact,11.3,DC,,
BLR,69850,Elsk,51.77,29.155,inexact,16.3,DC,,
BLR,69844,Smorgon,54.41,26.48,inexact,18.7,DC,,
BOL,64693,Cobija,-11.025, -68.815,inexact,5.0,DC,15.0,
BOL,65925,Uyuni Colcha K,-20.75, -67.65,inexact,50.0,AC,105.0,
BOL,67804,Yunchara,-21.83, -65.23,inexact,5.6,DC,,
BRA,68579,Apodi,-5.06,-37.755,inexact,120.0,AC,,1-axis horizontal
BRA,66653,Assu V,-5.555, -37.015,inexact,30.0,AC,72.0,1-axis horizontal
BRA,63214,BJL ENEL,-12.597,-44.107,exact,158.0,AC,839.4,1-axis horizontal
BRA,63682,Fontes I+II,-9.055,-38.12,inexact,10.0,AC,,
BRA,66300,Guaimbe,-21.91, -49.85,inexact,150.0,AC,,
BRA,71256,Guimarania 1,-18.88,-46.74,inexact,30.0,AC,,
BRA,71258,Guimarania 2,-18.88,-46.74,inexact,30.0,AC,,
BRA,66302,Horizonte,-12.705, -43.99,inexact,80.0,AC,,
BRA,66301,Ituverava,-12.594,-44.112,inexact,210.0,AC,,1-axis horizontal
BRA,66304,Nova Olinda,-8.213,-42.545,inexact,210.0,AC,,1-axis horizontal
BRA,71304,Paracatu,-17.34,-47.25,inexact,120.0,AC,,
BRA,66308,Pirapora I,-17.416,-44.92,exact,150.0,AC,,1-axis horizontal
BRA,69515,Pirapora II,-17.4,-44.88,inexact,115.0,DC,,
BRA,69781,Pirapora III,-17.4,-44.88,inexact,72.0,AC,,
BRA,66309,São Pedro,-12.26, -44.3,inexact,59.7,AC,,
BRA,66262,Sertão 1,-8.51,-42.505,inexact,30.0,AC,,
BRA,66263,Sobral 1,-8.465,-42.565,inexact,30.0,AC,,
BRA,69784,Tacaimbo,-8.343,-36.235,inexact,91.0,AC,,
BRA,64689,Vazante,-18.00, -46.87,inexact,90.0,AC,,
BRA,66241,Verde Vale III,-14.156,-42.735,exact,15.1,AC,50.2,1-axis horizontal
CAN,65459,Brooks,50.577,-111.866,exact,13.0,AC,30.9,Fixed tilt (N-S)
CAN,67649,Loyalist,44.37, -76.975,inexact,54.0,AC,,
CAN,62168,Midhurst II,44.5397,-79.762,exact,3.5,AC,8.5,Fixed tilt (N-S)
CAN,67638,Nanticoke,42.81, -80.035,inexact,44.0,AC,,
CAN,62199,Spring Valley ON,44.632,-75.805,exact,9.0,AC,24.7,Fixed tilt (N-S)
CHE,66360,Courgenay,47.41, 7.13,inexact,15.0,AC,,
CHE,62283,Neuendorf,47.3086,7.7847,inexact,5.2,DC,3.2,Rooftop
CHL,63909,Aguas Blancas 1,-24.155,-69.825,inexact,8.8,AC,,
CHL,67483,Arica I,-18.495, -70.12,inexact,18.0,AC,,
CHL,67509,Arica I p2,-18.495, -70.12,inexact,8.0,AC,,
CHL,67763,Arica I p3,-18.495, -70.12,inexact,14.0,AC,,
CHL,67487,Blue Sky,-22.33, -69.52,inexact,127.9,AC,,
CHL,67474,Boléro East,-23.48,-69.419,exact,76.7,AC,,
CHL,67476,Boléro West,-23.48,-69.419,exact,69.8,AC,,
CHL,65305,Cachiyuyo,-26.41, -69.37,inexact,50.0,AC,100.0,
CHL,67479,Calama 2,-22.444,-68.87,exact,9.0,AC,63.9,1-axis horizontal
CHL,61893,Calama Sur,-22.45,-68.868,exact,30.0,AC,,1-axis horizontal
CHL,71653,Cardones I,-27.35,-70.395,exact,29.2,AC,110.3,1-axis horizontal
CHL,61951,Carrera Pinto I,-27.005,-69.869,exact,97.0,AC,180.3,1-axis horizontal
CHL,64532,Carrera Pinto II,-27.005,-69.869,exact,38.0,AC,,
CHL,70986,Cerro Dominador CSP,-22.782,-69.485,exact,110.0,AC,1161.2,2-axis tracker
CHL,71865,Cerro Dominador PV,-22.788,-69.472,exact,100.0,AC,281.4,1-axis horizontal
CHL,63115,Conejo I,-25.45, -70.3,inexact,104.0,AC,260.0,
CHL,65253,Copiapó Odinsa,-27.495,-70.381,exact,14.0,AC,15.6,Fixed tilt (N-S)
CHL,64173,Crucero,-22.22,-69.576,exact,72.8,DC,185.6,1-axis horizontal
CHL,62320,Diego de Almagro Emelda,-26.371,-70.067,exact,21.0,AC,45.2,1-axis horizontal
CHL,65460,Doña Carmen,-32.483,-71.246,exact,40.0,AC,,Fixed tilt (N-S)
CHL,67965,El Pelícano,-29.485,-71.21,inexact,100.8,AC,,
CHL,62353,El Romero,-29.112,-70.915,exact,196.0,AC,280.0,Fixed tilt (N-S)
CHL,67762,Finis Terrae II,-22.343,-69.523,exact,69.0,AC,,
CHL,62496,Flor del Desierto,-23.5,-69.75,inexact,50.0,AC,52.0,
CHL,64530,Jama,-22.576,-68.693,exact,32.1,AC,127.3,1-axis horizontal
CHL,61874,Jama II,-22.581,-68.693,exact,23.8,AC,74.2,1-axis horizontal
CHL,67484,La Huayca II,-20.4532,-69.5376,exact,7.6,AC,9.6,
CHL,63243,La Huayca III,-20.456,-69.533,exact,21.0,AC,41.3,Fixed tilt (N-S)
CHL,61955,La Tirana,-20.274,-69.754,exact,30.2,AC,52.0,1-axis horizontal
CHL,64850,Lalackama II,-25.114,-70.307,exact,18.0,AC,,
CHL,61872,Lascar I,-22.555,-68.58,inexact,32.1,AC,,
CHL,61873,Lascar II,-22.555,-68.58,inexact,30.0,AC,,
CHL,63523,Los Andes I,-24.002,-68.585,exact,21.0,AC,,
CHL,67760,Los Andes II,-24.005,-68.575,inexact,120.0,AC,,
CHL,65052,Los Loros,-27.855,-70.175,exact,50.2,AC,100.2,Fixed tilt (N-S)
CHL,66762,Luz del Norte I+II,-27.025,-69.894,exact,70.0,AC,,1-axis horizontal
CHL,66763,Luz del Norte III+,-27.025,-69.894,exact,71.0,AC,,
CHL,66166,Marchigüe I,-34.336,-71.539,exact,9.0,AC,32.3,1-axis horizontal
CHL,66167,Marchigüe II,-34.406,-71.666,exact,9.0,AC,26.5,1-axis horizontal
CHL,71649,Minera El Tesoro CSP,-22.9296,-69.0955,exact,8.0,AC,5.3,1-axis horizontal
CHL,63023,Pampa Camarones 1,-18.886,-70.113,exact,6.0,AC,26.0,1-axis horizontal
CHL,65061,Pampa Norte,-25.511,-70.166,exact,85.3,AC,,Fixed tilt (N-S)
CHL,62288,Pampa Sur,-25.536,-70.178,exact,85.7,AC,,Fixed tilt (N-S)
CHL,61868,Paruma,-22.555,-68.755,inexact,21.4,AC,,
CHL,66677,Portal del Inca A,-26.294,-69.628,exact,4.0,DC,10.1,Fixed tilt (N-S)
CHL,67465,Pozo Almonte 1,-20.268,-69.753,exact,9.0,AC,62.2,1-axis horizontal
CHL,67767,Pular,-22.53, -68.77,inexact,28.9,AC,,
CHL,65812,Quilapilún,-33.104,-70.637,exact,117.4,AC,283.8,1-axis horizontal
CHL,61784,Salar de Huasco,-20.268,-69.425,inexact,30.0,AC,,
CHL,63118,Salvador,-26.27,-69.63,inexact,68.0,AC,,1-axis horizontal
CHL,63537,San Andrés,-26.88, -69.505,inexact,48.2,AC,239.5,1-axis horizontal
CHL,63521,Sol de los Andes,-26.235, -69.85,inexact,100.0,AC,,
CHL,68858,Til Til,-33.094,-70.862,exact,98.0,AC,199.6,Fixed tilt (N-S)
CHL,67513,Uribe,-23.559,-70.214,exact,50.0,AC,217.7,1-axis horizontal
CHL,67496,Usya,-22.485, -68.845,inexact,25.0,AC,,
CHL,62354,Valleland II+III,-28.155,-70.685,inexact,60.0,AC,248.6,
CHL,66281,Boléro,-23.48,-69.419,exact,146.5,AC,425.3,1-axis horizontal
CHL,67468,Carrera Pinto ENEL,-27.005,-69.869,exact,135.0,AC,,
CHL,67488,Finis Terrae,-22.343,-69.523,exact,138.0,AC,,Fixed tilt (N-S)
CHL,62406,Luz del Norte,-27.025,-69.894,exact,141.0,AC,,
CHL,61952,Pozo Almonte 2+3,-20.248,-69.747,exact,23.5,AC,126.2,1-axis horizontal
CHN,70352,Aksai A,38.969,94.421,exact,20.0,DC,49.9,Fixed tilt (N-S)
CHN,65982,Aksu 1,41.048,80.123,exact,40.0,DC,86.6,Fixed tilt (N-S)
CHN,65981,Aksu A,41.045,80.106,exact,40.0,DC,85.7,Fixed tilt (N-S)
CHN,65980,Aksu B,41.05,80.108,exact,10.0,DC,25.2,Fixed tilt (N-S)
CHN,65979,Aksu C,41.052,80.11,exact,15.0,DC,31.8,Fixed tilt (N-S)
CHN,65978,Aksu D,41.053,80.109,exact,10.0,DC,21.1,Fixed tilt (N-S)
CHN,65977,Aksu E,41.051,80.1,exact,40.0,DC,86.6,Fixed tilt (N-S)
CHN,65976,Aksu F,41.058,80.087,exact,20.0,DC,51.0,Fixed tilt (N-S)
CHN,63652,Aksu Jinko,41.042,80.12,exact,20.0,DC,53.4,Fixed tilt (N-S)
CHN,66657,Ala'er A,40.706,81.295,exact,20.0,DC,66.5,Fixed tilt (N-S)
CHN,61545,Ala'er Sky,40.699,81.287,exact,30.2,DC,68.2,Fixed tilt (N-S)
CHN,63606,Alashan 1p1,38.895,105.648,exact,100.0,DC,266.2,Fixed tilt (N-S)
CHN,65954,Alashan 1p2,38.761,105.723,exact,400.0,DC,110.1,
CHN,63607,Alashan 1p3,38.93,105.64,exact,500.0,DC,,Fixed tilt (N-S)
CHN,68228,Alashanzuo Qi A,37.679,105.079,exact,50.0,DC,107.0,Fixed tilt (N-S)
CHN,68229,Alashanzuo Qi B,37.696,105.079,exact,15.0,DC,,Fixed tilt (N-S)
CHN,64610,Alxa League,39.099,105.895,exact,30.0,DC,,Fixed tilt (N-S)
CHN,70194,AlxaB,38.56,105.648,exact,40.0,DC,,Fixed tilt (N-S)
CHN,72550,Anji A,30.806,119.548,exact,25.0,DC,72.9,Fixed tilt (N-S)
CHN,72827,Anyang A,36.284,114.013,exact,75.0,DC,166.9,Fixed tilt (N-S)
CHN,68068,Arikunduleng Wind-Solar,45.21,119.909,exact,20.0,DC,,Fixed tilt (N-S)
CHN,65032,Awati II,40.496,80.176,exact,20.0,DC,45.0,Fixed tilt (N-S)
CHN,65031,Awati III,40.501,80.165,exact,22.0,DC,,Fixed tilt (N-S)
CHN,68056,Baicheng Linhai,45.445,122.778,exact,12.0,DC,44.2,Fixed tilt (N-S)
CHN,64283,Baigou,39.141,116.054,exact,9.6,DC,30.0,Rooftop
CHN,64284,Baigou p2,39.146,116.0513,exact,10.5,DC,9.3,Rooftop
CHN,69744,Baisicun A,35.694,114.112,exact,50.0,DC,268.1,Fixed tilt hillside
CHN,61718,Baitugang I,37.793,106.364,exact,39.4,DC,134.6,Fixed tilt (N-S)
CHN,66517,Baitugang II,37.798,106.378,exact,40.0,DC,100.2,Fixed tilt (N-S)
CHN,66518,Baitugang III,37.794,106.384,exact,20.0,DC,46.6,Fixed tilt (N-S)
CHN,69275,Balagong II,40.197,107.036,exact,10.0,DC,26.9,Fixed tilt (N-S)
CHN,69276,Balagong III,40.187,107.064,exact,70.0,DC,245.5,Fixed tilt (N-S)
CHN,69277,Balagong IV,40.185,107.036,exact,100.0,DC,220.7,Fixed tilt (N-S)
CHN,66028,Baoying,33.318,119.583,exact,6.0,DC,14.2,Fixed tilt (N-S)
CHN,69963,Baoying A,33.323,119.575,exact,22.0,DC,59.4,Fixed tilt (N-S)
CHN,69964,Baoying B,33.32,119.583,exact,6.0,DC,16.1,Fixed tilt (N-S)
CHN,69969,Baoying C,33.226,119.667,exact,5.0,DC,14.2,Fixed tilt (N-S)
CHN,70038,Baoying D,33.378,119.53,exact,5.0,DC,15.2,Fixed tilt (N-S)
CHN,71674,Bashihan,40.82,120.04,inexact,22.1,DC,,
CHN,71675,Bashihan II,40.82,120.04,inexact,22.1,DC,,
CHN,69743,Bawei Floating,34.373,120.072,exact,60.0,DC,258.1,Fixed tilt floating
CHN,70200,Bayan Obo A,41.877,110.072,exact,20.0,DC,55.4,Fixed tilt (N-S)
CHN,70195,Bayan Obo B,41.732,109.964,exact,20.0,DC,49.1,Fixed tilt (N-S)
CHN,70196,Bayan Obo C,41.731,109.969,exact,10.0,DC,25.0,Fixed tilt (N-S)
CHN,70197,Bayan Obo D,41.73,109.96,exact,20.0,DC,,Fixed tilt (N-S)
CHN,70198,Bayan Obo E,41.728,109.986,exact,10.0,DC,,Fixed tilt (N-S)
CHN,70199,Bayan Obo F,41.755,109.932,exact,10.0,DC,,Fixed tilt (N-S)
CHN,70279,Bayan'aobo A,39.545,106.507,exact,30.0,DC,88.8,Fixed tilt (N-S)
CHN,61735,Bayin Baolige,41.059,107.0197,exact,10.1,DC,33.7,Fixed tilt (N-S)
CHN,69280,Bayin Xile II,41.091,112.63,exact,15.0,DC,29.6,Fixed tilt (N-S)
CHN,69281,Bayin Xile III,41.093,112.615,exact,10.0,DC,21.1,Fixed tilt (N-S)
CHN,69282,Bayin Xile IV,41.098,112.601,exact,35.0,DC,,Fixed tilt (N-S)
CHN,68038,Beidacun,24.835,103.412,exact,60.0,DC,120.8,Fixed tilt (N-S)
CHN,71134,Beigonggou A,41.247,114.548,exact,20.0,DC,53.2,Fixed tilt (N-S)
CHN,68060,Beilonggang,33.215,119.734,exact,20.0,DC,25.4,Fixed tilt (N-S)
CHN,70183,Bilike A,42.081,111.06,exact,50.0,DC,141.1,Fixed tilt (N-S)
CHN,69953,Binhai A,34.123,120.299,exact,15.0,DC,38.5,Fixed tilt (N-S)
CHN,70064,Bohu A,41.745,86.922,exact,10.0,DC,,Fixed tilt (N-S)
CHN,70256,Bohu B,41.73,86.893,exact,20.0,DC,,Fixed tilt (N-S)
CHN,61796,Bohu Bazhou,41.744,86.907,exact,20.0,DC,,Fixed tilt (N-S)
CHN,63735,Buzhake A,37.03,79.775,exact,20.0,DC,52.2,Fixed tilt (N-S)
CHN,66758,Buzhake C,37.021,79.779,exact,8.0,DC,,Fixed tilt (N-S)
CHN,66759,Buzhake D,37.03,79.778,exact,10.0,DC,,Fixed tilt (N-S)
CHN,72312,Caiwopeng A,39.111,106.54,exact,30.0,DC,58.6,Fixed tilt (N-S)
CHN,68103,Caojiayucun A,38.862,114.613,exact,20.0,DC,88.7,Fixed tilt hillside
CHN,61679,Caotai,37.386,105.476,exact,30.0,DC,81.0,Fixed tilt (N-S)
CHN,67934,Chahar 30,40.803,113.09,exact,30.0,DC,76.0,Fixed tilt (N-S)
CHN,67933,Chahar 50,40.801,113.071,exact,50.0,DC,137.1,Fixed tilt (N-S)
CHN,73335,Changde,46.245,125.006,exact,100.0,DC,366.9,Fixed tilt (N-S)
CHN,73773,Changfeng Floating A,32.135,117.061,exact,48.0,DC,79.6,Fixed tilt floating
CHN,73775,Changfeng Floating B,32.275,117.095,exact,28.0,DC,37.1,Fixed tilt floating
CHN,73776,Changfeng Floating C,32.256,117.152,exact,60.0,DC,,Fixed tilt floating
CHN,65244,Changji I,43.826,89.828,exact,30.0,DC,80.6,Fixed tilt (N-S)
CHN,70271,Changji II,44.015,88.977,exact,20.0,DC,84.7,Fixed tilt (N-S)
CHN,70118,Changkoucun A,31.519,119.463,exact,20.0,DC,50.8,Fixed tilt (N-S)
CHN,73315,Changling,44.615,123.525,inexact,22.0,DC,,
CHN,73314,Changling A,44.134,123.398,exact,40.0,DC,103.1,Fixed tilt (N-S)
CHN,74010,Changling B,44.197,123.97,exact,25.0,DC,71.7,Fixed tilt (N-S)
CHN,61632,Changma wind-solar,40.185,96.926,exact,9.0,DC,,Fixed tilt (N-S)
CHN,62415,Changshu,31.5587,120.8236,exact,9.8,DC,8.7,Rooftop
CHN,72545,Changxing A,30.916,119.927,exact,40.0,DC,66.5,Fixed tilt (N-S)
CHN,72546,Changxing B,30.91,119.925,exact,20.0,DC,,Fixed tilt (N-S)
CHN,72547,Changxing C,30.949,119.851,exact,40.0,DC,77.1,Fixed tilt (N-S)
CHN,72548,Changxing D,30.914,119.582,exact,40.0,AC,99.0,Fixed tilt hillside
CHN,72549,Changxing E,30.891,119.561,exact,40.0,DC,93.1,Fixed tilt (N-S)
CHN,70177,Chaogewenduerzhen A,41.445,106.987,exact,50.0,DC,,Fixed tilt (N-S)
CHN,70210,Chaohu A,31.312,117.589,exact,20.0,DC,35.8,Fixed tilt (N-S)
CHN,70211,Chaohu B,31.319,117.539,exact,30.0,DC,63.9,Fixed tilt (N-S)
CHN,70378,Chaohu C,31.816,117.832,exact,25.0,DC,100.1,Fixed tilt (N-S)
CHN,74027,Chemencun A,33.422,118.115,exact,20.0,DC,42.9,Fixed tilt (N-S)
CHN,68081,Chengde,40.89,118.623,exact,100.0,DC,94.7,Fixed tilt (N-S)
CHN,73336,Chunlei Farm,46.811,125.043,exact,40.0,DC,116.9,Fixed tilt (N-S)
CHN,65060,Cuomei,28.615, 91.505,inexact,20.0,DC,,
CHN,61799,Da Qaidam I,37.289,95.511,exact,10.0,DC,26.7,Fixed tilt (N-S)
CHN,62479,Da Qaidam III+,37.276,95.514,exact,270.0,DC,48.0,Fixed tilt (N-S) & 2-axis tracker
CHN,61634,Dabancheng,43.406,88.285,exact,10.0,DC,30.8,Fixed tilt (N-S)
CHN,70005,Dabaodangzhen A,38.65,110.05,exact,200.0,DC,,Fixed tilt (N-S)
CHN,69951,Dafeng A,33.129,120.825,exact,15.0,DC,,Fixed tilt (N-S)
CHN,69952,Dafeng B,33.119,120.826,exact,20.0,DC,,Fixed tilt (N-S)
CHN,65241,Dafoshan,26.11, 100.0,inexact,30.0,DC,,
CHN,72530,Daixian A,39.086,112.84,exact,30.0,AC,99.0,Fixed tilt (N-S)
CHN,70359,Dajialaingzicun A,39.141,106.658,exact,20.0,DC,59.8,Fixed tilt (N-S)
CHN,73235,Dalikoucun A,28.908,118.783,exact,35.0,DC,95.0,Fixed tilt (N-S)
CHN,69981,Dantu A,31.9339,119.3904,exact,10.0,DC,22.3,Fixed tilt (N-S)
CHN,69988,Dantu B,32.129,119.592,exact,10.0,DC,33.2,Fixed tilt (N-S)
CHN,69273,Darhan A,41.632,110.389,exact,20.0,DC,44.2,Fixed tilt (N-S)
CHN,69274,Darhan B,41.583,110.384,exact,10.0,DC,,Fixed tilt (N-S)
CHN,72832,Datong A,39.884,113.563,exact,5.0,DC,13.2,Fixed tilt (N-S)
CHN,61318,Datong GCL,40.467,114.027,exact,310.0,AC,520.9,Fixed tilt (N-S)
CHN,69532,Datong Panda,39.974,113.482,exact,50.0,AC,100.0,Fixed tilt (N-S)
CHN,73631,Datong TopRunner,40.008,112.956,exact,1000.0,DC,3540.8,Multiple types
CHN,67627,Datong UPV,39.974,113.447,exact,100.0,DC,293.0,Fixed tilt (N-S)
