"gid","gml_id","nombre","Propietario","Combustible","Potencia MW","Unidades","rca","estado","Fecha Operación","Coordenada Este","Coordenada Norte","Provincia","fuente_bas","fech_crea"
"41","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.41","SALMOFOOD II","SAGESA","PETROLEO DIESEL","1.600000000000000","2,00","S/I","EN OPERACION","2009","107866.059825999996974","5297473.563409999944270","CHILOE","EDELAYSEN","10-12-2014"
"42","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.42","TALTAL","ENDESA","GAS NATURAL","244.400000000000006","2,00","109-1998 / 67-2000 / 124-2000","EN OPERACION","1998","352040.000000000000000","7235495.000000000000000","ANTOFAGASTA","CNE","10-12-2014"
"43","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.43","CHUFKEN (TRAIGUEN)","SAGESA","PETROLEO DIESEL","1.600000000000000","2,00","S/I","EN OPERACION","2007","183567.375201999995625","5758881.396660000085831","MALLECO","CNE","10-12-2014"
"44","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.44","CURACAUTIN","SAGESA","PETROLEO DIESEL","2.400000000000000","3,00","S/I","EN OPERACION","2007","253967.739999999990687","5740175.339999999850988","MALLECO","CNE","10-12-2014"
"45","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.45","EAGON","SAGESA","PETROLEO DIESEL","2.400000000000000","3,00","S/I","EN OPERACION","2009","198339.139996999991126","5728841.265920000150800","CAUTIN","CNE","10-12-2014"
"46","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.46","LONQUIMAY","SAGESA","PETROLEO DIESEL","1.200000000000000","2,00","S/I","EN OPERACION","2011","288311.640000000013970","5730053.799999999813735","MALLECO","CNE","10-12-2014"
"47","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.47","LOUSIANA PACIFIC II","SAGESA","PETROLEO DIESEL","3.200000000000000","4,00","S/I","EN OPERACION","2011","197562.546518999995897","5728362.538499999791384","CAUTIN","CNE","10-12-2014"
"48","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.48","CARDONES","IC POWER","PETROLEO DIESEL","152.274799999999999","1,00","S/I","EN OPERACION","2009","363035.000000000000000","6958792.000000000000000","COPIAPO","CNE","10-12-2014"
"49","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.49","CENIZAS","ELECTRICA CENIZAS S.A.","PETROLEO DIESEL","13.900000000000000","3,00","229-2007","EN OPERACION","2009","362700.000000000000000","6959525.000000000000000","COPIAPO","CNE","10-12-2014"
"50","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.50","DIEGO DE ALMAGRO (U1-U2)","ENDESA","PETROLEO DIESEL","46.799999999999997","1,00","S/I","EN OPERACION","1981","396401.390000000013970","7079773.019999999552965","CHANARAL","CNE","10-12-2014"
"51","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.51","EL SALVADOR","SWC","PETROLEO DIESEL","23.669100000000000","1,00","S/I","EN OPERACION","2010","396308.197999999974854","7080457.417000000365078","CHANARAL","CNE","10-12-2014"
"52","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.52","EMELDA","EMELDA S.A.","PETROLEO DIESEL","68.700000000000003","2,00","250-2008","EN OPERACION","2010","398024.000000000000000","7081793.000000000000000","CHANARAL","CNE","10-12-2014"
