"gid","gml_id","nombre","Propietario","Tipo ","combustibl","Potencia MW","Unidades","rca","Sistema Eléctrico ","estado","Fecha Operación","Provincia","fuente_bas","fech_crea","fech_act"
"4","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.4","ALTO HOSPICIO","ENERNUEVAS S.A.","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SING","EN OPERACION","2010","IQUIQUE","CNE","02-01-2015","31-03-2016"
"5","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.5","ANGOSTURA","COLBUN S.A.","HIDRAULICA EMBALSE","NO APLICA","324","3.000000000000000","281/2009","SIC","EN OPERACION","2014","BIOBIO","CNE","10-12-2014","31-03-2016"
"6","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.6","ANTUCO","ENDESA","HIDRAULICA PASADA","NO APLICA","320","2.000000000000000","S/I","SIC","EN OPERACION","1981","BIOBIO","CNE","10-12-2014","31-03-2016"
"7","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.7","AUXILIAR DEL MAIPO (CAEMSA)","CARBOMET ENERGIA S.A.","HIDRAULICA PASADA","NO APLICA","5","1.000000000000000","S/I","SIC","EN OPERACION","2014","MAIPO","CNE","10-12-2014","31-03-2016"
"9","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.9","BLANCO","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","53","1.000000000000000","S/I","SIC","EN OPERACION","1993","LOS ANDES","CNE","18-03-2015","31-03-2016"
"10","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.10","BOQUIAMARGO","ELECTRICA SAN MIGUEL","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2014","BIOBIO","CNE","31-12-2014","31-03-2016"
"11","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.11","BUREO","PMGD BIO BIO NEGRETE S.A.","MINI HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","229/2013","SIC","EN OPERACION","2015","BIOBIO","CNE","30-09-2015","31-03-2016"
"12","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.12","CALLAO","HIDROCALLAO S.A.","HIDRAULICA PASADA","NO APLICA","3","2.000000000000000","301/2010","SIC","EN OPERACION","2012","OSORNO","CNE","10-12-2014","31-03-2016"
"13","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.13","CANUTILLAR","COLBUN S.A.","HIDRAULICA EMBALSE","NO APLICA","172","2.000000000000000","S/I","SIC","EN OPERACION","1990","LLANQUIHUE","CNE","10-12-2014","31-03-2016"
"14","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.14","CAPULLO","EMPRESA ELECTRICA CAPULLO S.A.","HIDRAULICA PASADA","NO APLICA","12","1.000000000000000","S/I","SIC","EN OPERACION","1995","OSORNO","CNE","10-12-2014","31-03-2016"
"15","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.15","CARENA","EMPRESA ELECTRICA INDUSTRIAL S.A.","HIDRAULICA PASADA","NO APLICA","10","4.000000000000000","S/I","SIC","EN OPERACION","1943","MELIPILLA","CNE","10-12-2014","31-03-2016"
"16","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.16","CAVANCHA","CAVANCHA S.A.","HIDRAULICA PASADA","NO APLICA","3","1.000000000000000","S/I","SING","EN OPERACION","1995","IQUIQUE","CNE","18-03-2015","31-03-2016"
"17","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.17","CHACABUQUITO","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","26","4.000000000000000","S/I","SIC","EN OPERACION","2002","LOS ANDES","CNE","10-12-2014","31-03-2016"
"18","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.18","CHACAYES","PACIFICHYDRO","HIDRAULICA PASADA","NO APLICA","112","2.000000000000000","162/2008","SIC","EN OPERACION","2011","CACHAPOAL","CNE","10-12-2014","31-03-2016"
"19","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.19","CHAPIQUINA","E-CL S.A.","HIDRAULICA PASADA","NO APLICA","10","1.000000000000000","S/I","SING","EN OPERACION","1967","PARINACOTA","CNE","10-12-2014","31-03-2016"
"20","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.20","CHIBURGO","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","19","2.000000000000000","137/2005","SIC","EN OPERACION","2007","LINARES","CNE","10-12-2014","31-03-2016"
"21","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.21","CIPRESES","ENDESA","HIDRAULICA EMBALSE","NO APLICA","106","3.000000000000000","S/I","SIC","EN OPERACION","1955","TALCA","CNE","10-12-2014","31-03-2016"
"22","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.22","COLBUN","COLBUN S.A.","HIDRAULICA EMBALSE","NO APLICA","474","2.000000000000000","S/I","SIC","EN OPERACION","1985","LINARES","CNE","10-12-2014","31-03-2016"
"23","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.23","COLLIL","ENERGIA COLLIL S.A.","MINI HIDRAULICA PASADA","NO APLICA","7","2.000000000000000","551/2012","SIC","EN OPERACION","2014","CHILOE","CNE","01-04-2015","31-03-2016"
"24","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.24","CONTRA","EMPRESA ELECTRICA CONTRA S.P.A.","HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2013","RANCO","CNE","18-03-2015","31-03-2016"
"25","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.25","COYA","PACIFIC HYDRO","HIDRAULICA PASADA","NO APLICA","12","1.000000000000000","S/I","SIC","EN OPERACION","2008","CACHAPOAL","CNE","10-12-2014","31-03-2016"
"26","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.26","CUCHILDEO","EPA S.A.","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","LOS LAGOS / HORNOPIREN","EN OPERACION","2008","PALENA","CNE","02-01-2015","31-03-2016"
"27","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.27","CURILEUFU","SOC. AGRICOLA Y GANADERA CURILEUFU LTDA.","MINI HIDRAULICA PASADA","NO APLICA","0","2.000000000000000","S/I","SIC","EN OPERACION","2015","RANCO","CNE","31-12-2015","31-03-2016"
"28","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.28","CURILLINQUE","EMPRESA ELECTRICA PEHUENCHE S.A.","HIDRAULICA PASADA","NO APLICA","92","1.000000000000000","S/I","SIC","EN OPERACION","1993","TALCA","CNE","10-12-2014","31-03-2016"
"29","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.29","DON WALTERIO","GENERADORA ELECTRICA RHOM LTDA.","HIDRAULICA PASADA","NO APLICA","3","1.000000000000000","707/2006","SIC","EN OPERACION","2013","RANCO","CNE","10-12-2014","31-03-2016"
"30","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.30","DONA HILDA","FORESTAL Y GANADERA CARRAN LTDA","HIDRAULICA PASADA","NO APLICA","0","2.000000000000000","S/I","SIC","EN OPERACION","2010","RANCO","CNE","10-12-2014","31-03-2016"
"31","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.31","DONGO","HIDROELECTRICA DONGO SPA","HIDRAULICA PASADA","NO APLICA","6","2.000000000000000","723/2008","SIC","EN OPERACION","2010","CHILOE","CNE","10-12-2014","31-03-2016"
"32","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.32","DONGUIL","DONGUIL ENERGIA","HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2011","CAUTIN","CNE","02-01-2015","31-03-2016"
"33","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.33","EL ARRAYAN","ENERGIA RENOVABLE ARRAYAN LTDA","HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2013","RANCO","CNE","18-03-2015","31-03-2016"
"34","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.34","EL CANELO","HIDROCANELO","HIDRAULICA PASADA","NO APLICA","6","2.000000000000000","061/2011","SIC","EN OPERACION","2015","CAUTIN","CNE","10-12-2014","31-03-2016"
"35","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.35","EL DIUTO","HIDROELECTRICA DIUTO","HIDRAULICA PASADA","NO APLICA","3","1.000000000000000","209/2009","SIC","EN OPERACION","2011","BIOBIO","CNE","10-12-2014","31-03-2016"
"36","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.36","EL LLANO","ELECTRICA PUNTILLA S.A.","HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","S/I","SIC","EN OPERACION","2013","CORDILLERA","CNE","10-12-2014","31-03-2016"
"37","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.37","EL MANZANO","HIDROELECTRICA EL MANZANO S.A.","HIDRAULICA PASADA","NO APLICA","5","1.000000000000000","193/2007","SIC","EN OPERACION","2008","CAUTIN","CNE","10-12-2014","31-03-2016"
"38","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.38","EL MIRADOR","HIDROELECTRICA EL MIRADOR S.A.","MINI HIDRAULICA PASADA","NO APLICA","3","1.000000000000000","S/I","SIC","EN OPERACION","2015","BIOBIO","CNE","31-12-2015","31-03-2016"
"39","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.39","EL RINCON (RM)","ASOC. DE CANAL. SOCIEDAD CANALISTAS DEL MAIPO","HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2006","SANTIAGO","CNE","10-12-2014","31-03-2016"
"40","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.40","EL TARTARO","WENKE Y CIA. LTDA.","HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2010","SAN FELIPE","CNE","31-12-2014","31-03-2016"
"41","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.41","EL TORO","ENDESA","HIDRAULICA EMBALSE","NO APLICA","450","4.000000000000000","S/I","SIC","EN OPERACION","1973","BIOBIO","CNE","02-01-2015","31-03-2016"
"42","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.42","EL TORO 2","ENERNUEVAS S.A.","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SING","EN OPERACION","2010","IQUIQUE","CNE","02-01-2015","31-03-2016"
"44","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.44","ENSENADA RIO BLANCO","HIDROELECTRICA ENSENADA S.A.","HIDRAULICA PASADA","NO APLICA","1","3.000000000000000","136/2009","SIC","EN OPERACION","2013","LLANQUIHUE","CNE","02-01-2015","31-03-2016"
"45","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.45","EYZAGUIRRE","ASOC. DE CANAL. SOCIEDAD CANALISTAS DEL MAIPO","HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","S/I","SIC","EN OPERACION","2003","CORDILLERA","CNE","10-12-2014","31-03-2016"
"47","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.47","GUAYACAN","ENERGIA COYANCO S.A.","HIDRAULICA PASADA","NO APLICA","12","2.000000000000000","187/2009","SIC","EN OPERACION","2011","CORDILLERA","CNE","10-12-2014","31-03-2016"
"48","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.48","HIDROBONITO MC1","HIDROBONITO S.A.","HIDRAULICA PASADA","NO APLICA","9","2.000000000000000","001/2012","SIC","EN OPERACION","2013","OSORNO","CNE","10-12-2014","31-03-2016"
"49","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.49","HIDROBONITO MC2","HIDROBONITO S.A.","HIDRAULICA PASADA","NO APLICA","3","1.000000000000000","001/2012","SIC","EN OPERACION","2013","OSORNO","CNE","10-12-2014","31-03-2016"
"50","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.50","HORNITOS","RIO TRANQUILO S.A.","HIDRAULICA PASADA","NO APLICA","61","1.000000000000000","081/2004","SIC","EN OPERACION","2008","LOS ANDES","CNE","10-12-2014","31-03-2016"
"52","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.52","JUNCAL","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","29","1.000000000000000","S/I","SIC","EN OPERACION","1994","LOS ANDES","CNE","18-03-2015","31-03-2016"
"53","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.53","JUNCALITO","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2010","LOS ANDES","CNE","10-12-2014","31-03-2016"
"54","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.54","LA ARENA","EMPRESA ELECTRICA LA ARENA SPA","HIDRAULICA PASADA","NO APLICA","7","1.000000000000000","131/2013","SIC","EN OPERACION","2011","LLANQUIHUE","CNE","10-12-2014","31-03-2016"
"55","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.55","LA CONFLUENCIA","HIDROELECTRICA LA CONFLUENCIA S.A.","HIDRAULICA PASADA","NO APLICA","163","2.000000000000000","282/2007","SIC","EN OPERACION","2011","COLCHAGUA","CNE","10-12-2014","31-03-2016"
"56","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.56","LA HIGUERA","HIDROELECTRICA LA HIGUERA S.A.","HIDRAULICA PASADA","NO APLICA","155","2.000000000000000","116/2004","SIC","EN OPERACION","2011","COLCHAGUA","CNE","10-12-2014","31-03-2016"
"57","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.57","LA PALOMA","HIDROPALOMA S.A.","HIDRAULICA PASADA","NO APLICA","5","2.000000000000000","169/2008","SIC","EN OPERACION","2010","LIMARI","CNE","10-12-2014","31-03-2016"
"60","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.60","LAS FLORES","HIDROELECTRICA LAS FLORES S.A.","MINI HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","S/I","SIC","EN OPERACION","2015","RANCO","CNE","30-06-2015","31-03-2016"
"61","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.61","LAS VERTIENTES","ELECTRICA PUNTILLA S.A.","HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","S/I","SIC","EN OPERACION","2013","CORDILLERA","CNE","10-12-2014","31-03-2016"
"62","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.62","LICAN","EMPRESA ELECTRICA LICAN S.A.","HIDRAULICA PASADA","NO APLICA","18","2.000000000000000","000/2010","SIC","EN OPERACION","2011","RANCO","CNE","10-12-2014","31-03-2016"
"63","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.63","LIRCAY","HIDROMAULE S.A.","HIDRAULICA PASADA","NO APLICA","19","2.000000000000000","414/2006","SIC","EN OPERACION","2009","TALCA","CNE","10-12-2014","31-03-2016"
"64","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.64","LLEUQUEREO","HIDROELECTRICA LLEUQUEREO S.A.","HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","S/I","SIC","EN OPERACION","2015","BIOBIO","CNE","10-12-2014","31-03-2016"
"65","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.65","LOMA ALTA","EMPRESA ELECTRICA PEHUENCHE S.A.","HIDRAULICA PASADA","NO APLICA","40","1.000000000000000","S/I","SIC","EN OPERACION","1997","TALCA","CNE","10-12-2014","31-03-2016"
"66","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.66","LOS BAJOS","CARBOMET ENERGIA S.A.","HIDRAULICA PASADA","NO APLICA","6","1.000000000000000","S/I","SIC","EN OPERACION","2012","CORDILLERA","CNE","18-03-2015","31-03-2016"
"67","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.67","LOS COLONOS","EMPRESA ELECTRICA RIO PUMA SPA.","MINI HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2014","OSORNO","CNE","30-06-2015","31-03-2016"
"68","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.68","LOS CORRALES","AGRICOLA ALEJANDRO PONCE","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2010","RANCO","CNE","10-12-2014","31-03-2016"
"69","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.69","LOS CORRALES 2","AGRICOLA ALEJANDRO PONCE","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2013","RANCO","CNE","10-12-2014","31-03-2016"
"70","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.70","LOS HIERROS","EMPRESA ELECTRICAS AGUAS DEL MELADO S.A.","HIDRAULICA PASADA","NO APLICA","25","2.000000000000000","190/2010","SIC","EN OPERACION","2014","LINARES","CNE","10-12-2014","31-03-2016"
"71","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.71","LOS HIERROS 2","EMPRESA ELECTRICA PORTEZUELO SPA.","HIDRAULICA PASADA","NO APLICA","6","1.000000000000000","007/2012","SIC","EN OPERACION","2015","LINARES","CNE","31-12-2015","31-03-2016"
"72","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.72","LOS MOLLES","ENDESA","HIDRAULICA PASADA","NO APLICA","18","2.000000000000000","S/I","SIC","EN OPERACION","1952","LIMARI","CNE","31-12-2014","31-03-2016"
"74","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.74","LOS PADRES","LOS PADRES HIDRO S.A.","HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","S/I","SIC","EN OPERACION","2014","BIOBIO","CNE","18-03-2015","31-03-2016"
"76","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.76","MACHICURA","COLBUN S.A.","HIDRAULICA EMBALSE","NO APLICA","95","2.000000000000000","S/I","SIC","EN OPERACION","1985","LINARES","CNE","10-12-2014","31-03-2016"
"77","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.77","MAISAN","HIDROELECTRICA MAISAN SPA.","HIDRAULICA PASADA","NO APLICA","1","2.000000000000000","S/I","SIC","EN OPERACION","2013","CAUTIN","CNE","31-12-2014","31-03-2016"
"79","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.79","MALLARAUCO","HIDROELECTRICA MALLARAUCO S.A.","HIDRAULICA PASADA","NO APLICA","3","1.000000000000000","459/2010","SIC","EN OPERACION","2011","MELIPILLA","CNE","10-12-2014","31-03-2016"
"80","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.80","MAMPIL","DUKE ENERGY","HIDRAULICA PASADA","NO APLICA","55","2.000000000000000","220/1996","SIC","EN OPERACION","2000","BIOBIO","CNE","10-12-2014","31-03-2016"
"81","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.81","MARIA ELENA","GENERADORA ELECTRICA MARIA ELENA LTDA.","MINI HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2014","OSORNO","CNE","01-04-2015","31-03-2016"
"82","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.82","MARIPOSAS","HIDROLIRCAY","HIDRAULICA PASADA","NO APLICA","6","1.000000000000000","139/2009","SIC","EN OPERACION","2011","TALCA","CNE","10-12-2014","31-03-2016"
"83","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.83","MCH DOSAL","DOSAL HNOS. Y CIA. LTDA.","MINI HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2015","CURICO","CNE","30-09-2015","31-03-2016"
"84","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.84","MINIHIDRO SANTA ROSA","ENERNUEVAS","MINI HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SING","EN OPERACION","2015","IQUIQUE","CNE","31-12-2015","31-03-2016"
"86","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.86","MUCHI","HIDROMUCHI S.A.","HIDRAULICA PASADA","NO APLICA","1","2.000000000000000","S/I","SIC","EN OPERACION","2011","RANCO","CNE","10-12-2014","31-03-2016"
"87","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.87","NALCAS","HIDRONALCAS S.A.","HIDRAULICA PASADA","NO APLICA","7","2.000000000000000","420/2009","SIC","EN OPERACION","2012","OSORNO","CNE","10-12-2014","31-03-2016"
"88","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.88","OJOS DE AGUA","ENDESAECO S.A.","HIDRAULICA PASADA","NO APLICA","9","1.000000000000000","011/2006","SIC","EN OPERACION","2008","TALCA","CNE","10-12-2014","31-03-2016"
"89","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.89","PALMUCHO","ENDESA","HIDRAULICA PASADA","NO APLICA","32","1.000000000000000","231/2005","SIC","EN OPERACION","2007","BIOBIO","CNE","10-12-2014","31-03-2016"
"90","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.90","PANGUE","ENDESA","HIDRAULICA EMBALSE","NO APLICA","467","2.000000000000000","S/I","SIC","EN OPERACION","1996","BIOBIO","CNE","10-12-2014","31-03-2016"
"91","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.91","PANGUIPULLI","IMELSA","HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2015","VALDIVIA","CNE","31-03-2016","31-03-2016"
