central,empresa,grupoempresario,tipodecentral,potenciainstaladamv,caracteristicas,localidad,departamento,provincia,fuente,geom,geojson
MAYOR BURATOVICH,COOPERATIVA ELECTRICA DE MAYOR BURATOVICH,SIN DATOS DE GRUPO EMPRESARIO,EOLICA|TERMICA,2.02,<br>Maquina: BONUS ANB/44-3 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 1997-10-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: BONUS ANB/44-3 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 1997-10-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: SPECTRUM-DETROIT | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.485 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: SPECTRUM-DETROIT | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.335 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,VILLARINO,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000F76D2D3828534FC0C3503D88539D43C0,"{""type"":""Point"",""coordinates"":[-62.6496649,-39.2291117]}"
ORENSE,COOPERATIVA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.72,<br>Maquina: MAN GBV - C.E.E. | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.548 | Fecha de puesta en servicio: 2013-05-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: KOERTING - C.E.E. | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.288 | Fecha de puesta en servicio: 2013-05-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: DEUTZ - GARBE-LAHMEYER | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.12 | Fecha de puesta en servicio: 2013-05-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: MAN GBV - C.E.E. | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.548 | Fecha de puesta en servicio: 2013-05-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: BERLIET - AUBRY-SIMONIN | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.096 | Fecha de puesta en servicio: 2013-05-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: DEUTZ - GARBE-LAHMEYER | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.12 | Fecha de puesta en servicio: 2013-05-22 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,TRES ARROYOS,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000BBB54C86E3E34DC04D6A6803B05743C0,"{""type"":""Point"",""coordinates"":[-59.780381,-38.685059]}"
PUNTA ALTA - CENTENARIO,COOPERATIVA,SIN DATOS DE GRUPO EMPRESARIO,EOLICA,1.8,<br>Maquina: AN BONUS 600/41 N° 03 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 1998-12-10 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: AN BONUS 600/41 N° 01 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 1998-12-10 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: AN BONUS 600/41 N° 0 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 1998-12-10 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CORONEL DE MARINA LEONARDO ROSALES,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000DD71D41BFFF24EC0679F22E2416443C0,"{""type"":""Point"",""coordinates"":[-61.8984103,-38.7832606]}"
PUNTA ALTA - PEHUEN CO,COOPERATIVA,SIN DATOS DE GRUPO EMPRESARIO,EOLICA,0.4,<br>Maquina: MICON M750 - 400/100 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.4 | Fecha de puesta en servicio: 1995-02-17 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CORONEL DE MARINA LEONARDO ROSALES,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000009BCD3EEA0ACE4EC05ECAAFD5D47243C0,"{""type"":""Point"",""coordinates"":[-61.6097081,-38.8971202]}"
TANDIL - CRETAL,CRETAL LTDA,SIN DATOS DE GRUPO EMPRESARIO,EOLICA,0.8,<br>Maquina: MICON M750 - 400/100 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.4 | Fecha de puesta en servicio: 1995-06-25 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: MICON M750 - 400/100 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.4 | Fecha de puesta en servicio: 1995-06-25 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,TANDIL,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000001973D712F2824DC0752ACF728FB342C0,"{""type"":""Point"",""coordinates"":[-59.0230125,-37.4028152]}"
ARRECIFES ENARS,CT ARRECIFES-AGGREKO,AGGREKO ARGENTINA S.R.L.,TERMICA,20,<br>Maquina: ARREDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 20 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-06-14,SIN DATOS DE LOCALIDAD,ARRECIFES,BUENOS AIRES,CAMMESA,0101000020E6100000F886DEBC9A104EC01D562A3B4C0541C0,"{""type"":""Point"",""coordinates"":[-60.129722222,-34.041388889]}"
BRAGADO,CT BRAGADO - EMGASUD,GENNEIA,TERMICA,49.8,<br>Maquina: BRAGTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 24.9 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-06-16<br>Maquina: BRAGTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 24.9 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-06-16,SIN DATOS DE LOCALIDAD,BRAGADO,BUENOS AIRES,CAMMESA,0101000020E610000036321BA62E374EC07AE5EC30759141C0,"{""type"":""Point"",""coordinates"":[-60.43111111,-35.136388889]}"
CAPITAN SARMIEN,CT CAPITAN SARMIENTO - SECCO,INDUSTRIAS JUAN F. SECCO S.A.,TERMICA,5,<br>Maquina: CSARDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 5 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-01-14,SIN DATOS DE LOCALIDAD,CAPITAN SARMIENTO,BUENOS AIRES,CAMMESA,0101000020E6100000B2D424BF58E24DC0ED807935F11441C0,"{""type"":""Point"",""coordinates"":[-59.768333333,-34.163611111]}"
COLON BSAS,CT COLON BS.AS - SULLAIR,SULLAIR ARGENTINA S.A.,TERMICA,15.3,<br>Maquina: COLBDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15.3 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-12-31,SIN DATOS DE LOCALIDAD,COLON,BUENOS AIRES,CAMMESA,0101000020E61000005BB4BE50D9894EC0B345B1600BF640C0,"{""type"":""Point"",""coordinates"":[-61.07694444,-33.92222222]}"
VILLEGAS ENARSA,CT GRAL. VILLEGAS - AGGREKO,AGGREKO ARGENTINA S.R.L.,TERMICA,23.5,<br>Maquina: VGADDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 23.5 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-01-22,SIN DATOS DE LOCALIDAD,GENERAL VILLEGAS,BUENOS AIRES,CAMMESA,0101000020E61000003EE5DA48C07F4FC019AC17C7718441C0,"{""type"":""Point"",""coordinates"":[-62.99805556,-35.03472222]}"
JUNIN,CT JUNIN - SOENERGY,SOENERGY ARGENTINA S.A.,TERMICA,22,<br>Maquina: JUNIDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 22 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-04-22,SIN DATOS DE LOCALIDAD,JUNIN,BUENOS AIRES,CAMMESA,0101000020E6100000E479FC2043754EC08CE80911114941C0,"{""type"":""Point"",""coordinates"":[-60.91611111,-34.57083333]}"
LAS ARMAS,CT LAS ARMAS - EMGASUD,GENNEIA,TERMICA,10.4,<br>Maquina: ARMATG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 5.2 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-11-18<br>Maquina: ARMATG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 5.2 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-11-18,SIN DATOS DE LOCALIDAD,MAIPU,BUENOS AIRES,CAMMESA,0101000020E610000067416A0BB6E84CC049BC7EB9FD8942C0,"{""type"":""Point"",""coordinates"":[-57.81805556,-37.07805556]}"
LAS ARMAS,CT LAS ARMAS II - EMGASUD,GENNEIA,TERMICA,23.4,<br>Maquina: ARMATG03 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 23.4 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-01-21,SIN DATOS DE LOCALIDAD,MAIPU,BUENOS AIRES,CAMMESA,0101000020E610000067416A0BB6E84CC049BC7EB9FD8942C0,"{""type"":""Point"",""coordinates"":[-57.81805556,-37.07805556]}"
LINCOLN,CT LINCOLN - SOENERGY,SOENERGY ARGENTINA S.A.,TERMICA,15,<br>Maquina: LINCDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-01-29,SIN DATOS DE LOCALIDAD,LINCOLN,BUENOS AIRES,CAMMESA,0101000020E6100000B9F98890A1C24EC0F12A8CA9CB6D41C0,"{""type"":""Point"",""coordinates"":[-61.52055556,-34.85777778]}"
LOBOS ENARSA,CT LOBOS BS.AS - SULLAIR,SULLAIR ARGENTINA S.A.,TERMICA,15.7,<br>Maquina: LOBODI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15.7 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-12-08,SIN DATOS DE LOCALIDAD,LOBOS,BUENOS AIRES,CAMMESA,0101000020E61000006D631EBF588A4DC00DB18F88889841C0,"{""type"":""Point"",""coordinates"":[-59.08083333,-35.19166667]}"
MIRAMAR I ENARS,CT MIRAMAR I - ENERGYST,ENERGYST RENTAL SOLUTIONS ARGE,TERMICA,20,<br>Maquina: MIR1DI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 20 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-06-22,SIN DATOS DE LOCALIDAD,GENERAL ALVARADO,BUENOS AIRES,CAMMESA,0101000020E6100000360D1F4B7EE94CC04CDF4AFAA41F43C0,"{""type"":""Point"",""coordinates"":[-57.82416667,-38.24722222]}"
OLAVARR DELIVER,CT OLAVARRIA - EMGASUD,GENNEIA,TERMICA,38.8,<br>Maquina: OLADTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 19.4 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-09-22<br>Maquina: OLADTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 19.4 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-09-22,SIN DATOS DE LOCALIDAD,OLAVARRIA,BUENOS AIRES,CAMMESA,0101000020E61000000DD68BE3381E4EC0CACDE459D17842C0,"{""type"":""Point"",""coordinates"":[-60.23611111,-36.94388889]}"
CT PEHUAJO (ENARSA),ENARSA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,22.4,<br>Maquina: PEHUADI03 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI01 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI06 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI02 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI04 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI05 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI07 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI08 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI09 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI10 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI11 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI12 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI13 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI16 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI15 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: PEHUADI14 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.4 | Fecha de puesta en servicio: 2008-05-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,PEHUAJO,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000638C7A4E1BF04EC02184D3C4B3EA41C0,"{""type"":""Point"",""coordinates"":[-61.87583333,-35.83361111]}"
